Date,BKR
2000-01-03,8.995285987854004
2000-01-04,8.995285987854004
2000-01-05,9.050810813903809
2000-01-06,9.91147518157959
2000-01-07,10.577788352966309
2000-01-10,10.244630813598633
2000-01-11,10.466739654541016
2000-01-12,9.994759559631348
2000-01-13,9.994759559631348
2000-01-14,10.10581111907959
2000-01-18,10.494499206542969
2000-01-19,10.411211013793945
2000-01-20,9.828182220458984
2000-01-21,10.10581111907959
2000-01-24,10.244630813598633
2000-01-25,10.161340713500977
2000-01-26,10.10581111907959
2000-01-27,9.5783109664917
2000-01-28,9.245156288146973
2000-01-31,10.966476440429688
2000-02-01,10.716606140136719
2000-02-02,10.438974380493164
2000-02-03,10.657707214355469
2000-02-04,10.043911933898926
2000-02-07,10.406608581542969
2000-02-08,10.099715232849121
2000-02-09,9.709115982055664
2000-02-10,10.07181453704834
2000-02-11,10.155508995056152
2000-02-14,10.657707214355469
2000-02-15,11.383102416992188
2000-02-16,11.299400329589844
2000-02-17,11.327301979064941
2000-02-18,10.96460247039795
2000-02-22,10.825109481811523
2000-02-23,10.713508605957031
2000-02-24,11.07620906829834
2000-02-25,10.741406440734863
2000-02-28,11.215702056884766
2000-02-29,11.550501823425293
2000-03-01,12.1921968460083
2000-03-02,12.69438648223877
2000-03-03,11.941091537475586
2000-03-06,12.220091819763184
2000-03-07,12.973381042480469
2000-03-08,11.885292053222656
2000-03-09,12.554889678955078
2000-03-10,12.164289474487305
2000-03-13,12.164289474487305
2000-03-14,11.941091537475586
2000-03-15,11.550501823425293
2000-03-16,12.220091819763184
2000-03-17,11.801596641540527
2000-03-20,11.466797828674316
2000-03-21,12.164289474487305
2000-03-22,12.05269718170166
2000-03-23,12.247990608215332
2000-03-24,12.49909496307373
2000-03-27,12.415390014648438
2000-03-28,12.861784934997559
2000-03-29,13.754583358764648
2000-03-30,13.363985061645508
2000-03-31,13.503485679626465
2000-04-03,13.726682662963867
2000-04-04,13.503485679626465
2000-04-05,12.69438648223877
2000-04-06,12.69438648223877
2000-04-07,12.945491790771484
2000-04-10,11.606298446655273
2000-04-11,12.833888053894043
2000-04-12,13.140778541564941
2000-04-13,12.69438648223877
2000-04-14,12.666495323181152
2000-04-17,12.49909496307373
2000-04-18,12.69438648223877
2000-04-19,12.750194549560547
2000-04-20,13.336084365844727
2000-04-24,12.945491790771484
2000-04-25,13.084988594055176
2000-04-26,14.173077583312988
2000-04-27,14.200976371765137
2000-04-28,14.200976371765137
2000-05-01,14.479971885681152
2000-05-02,15.289070129394531
2000-05-03,14.842668533325195
2000-05-04,15.678088188171387
2000-05-05,15.7620849609375
2000-05-08,15.678088188171387
2000-05-09,15.81806755065918
2000-05-10,15.62209701538086
2000-05-11,16.12603759765625
2000-05-12,16.294008255004883
2000-05-15,16.461990356445312
2000-05-16,16.378005981445312
2000-05-17,16.965927124023438
2000-05-18,16.19603157043457
2000-05-19,15.986059188842773
2000-05-22,15.314132690429688
2000-05-23,16.15403175354004
