Date,WSM
2000-01-03,6.884682655334473
2000-01-04,6.667683124542236
2000-01-05,6.707139015197754
2000-01-06,5.365710735321045
2000-01-07,5.2769389152526855
2000-01-10,5.454479694366455
2000-01-11,5.484071731567383
2000-01-12,5.32625675201416
2000-01-13,5.385436534881592
2000-01-14,5.405162334442139
2000-01-18,5.612297058105469
2000-01-19,5.908198356628418
2000-01-20,5.770108222961426
2000-01-21,5.671475410461426
2000-01-24,5.632022857666016
2000-01-25,5.434752464294434
2000-01-26,5.217758655548096
2000-01-27,4.911991119384766
2000-01-28,4.971174716949463
2000-01-31,5.000762462615967
2000-02-01,5.109260559082031
2000-02-02,5.237485885620117
2000-02-03,5.0993971824646
2000-02-04,5.158577919006348
2000-02-07,5.0796709060668945
2000-02-08,5.2078938484191895
2000-02-09,5.168440818786621
2000-02-10,5.0698065757751465
2000-02-11,4.773904323577881
2000-02-14,4.694994926452637
2000-02-15,4.596362113952637
2000-02-16,4.083464622497559
2000-02-17,4.734450817108154
2000-02-18,4.428683280944824
2000-02-22,4.458272933959961
2000-02-23,4.606225967407227
2000-02-24,4.359639644622803
2000-02-25,4.290596008300781
2000-02-28,4.458272933959961
2000-02-29,4.882402420043945
2000-03-01,5.12898588180542
2000-03-02,4.961309432983398
2000-03-03,4.872539043426514
2000-03-06,3.077393054962158
2000-03-07,3.106983184814453
2000-03-08,3.787559747695923
2000-03-09,3.629744291305542
2000-03-10,3.5705647468566895
2000-03-13,3.5015199184417725
2000-03-14,3.432476282119751
2000-03-15,3.6494710445404053
2000-03-16,4.320184230804443
2000-03-17,4.290596008300781
2000-03-20,4.261005401611328
2000-03-21,4.349777698516846
2000-03-22,4.231413841247559
2000-03-23,4.182096004486084
2000-03-24,4.1031904220581055
2000-03-27,4.053872585296631
2000-03-28,4.083464622497559
2000-03-29,4.1031904220581055
2000-03-30,4.290596008300781
2000-03-31,4.8922648429870605
2000-04-03,4.90212869644165
2000-04-04,4.813358306884766
2000-04-05,4.744313716888428
2000-04-06,4.754178047180176
2000-04-07,5.2078938484191895
2000-04-10,4.990900993347168
2000-04-11,4.842947006225586
2000-04-12,4.971174716949463
2000-04-13,5.217758655548096
2000-04-14,4.6851325035095215
2000-04-17,4.5371809005737305
2000-04-18,4.754178047180176
2000-04-19,4.645678997039795
2000-04-20,4.833083629608154
2000-04-24,4.734450817108154
2000-04-25,4.872539043426514
2000-04-26,5.286800384521484
2000-04-27,5.306530475616455
2000-04-28,5.464343070983887
2000-05-01,5.375574111938477
2000-05-02,5.2078938484191895
2000-05-03,4.852811813354492
2000-05-04,4.823221206665039
2000-05-05,4.911991119384766
2000-05-08,5.0796709060668945
2000-05-09,4.961309432983398
2000-05-10,4.882402420043945
2000-05-11,5.2078938484191895
2000-05-12,5.345982074737549
2000-05-15,5.681339740753174
2000-05-16,5.868744850158691
2000-05-17,5.779972553253174
2000-05-18,5.582705974578857
2000-05-19,5.375574111938477
2000-05-22,5.345982074737549
2000-05-23,5.415025234222412
2000-05-24,5.257211208343506
2000-05-25,5.484071731567383
2000-05-26,5.030351638793945
2000-05-30,5.158577919006348
2000-05-31,5.059943675994873
2000-06-01,4.823221206665039
2000-06-02,4.931717872619629
2000-06-05,4.606225967407227
2000-06-06,4.2116875648498535
2000-06-07,4.330049991607666
2000-06-08,4.468136787414551
2000-06-09,4.379366874694824
2000-06-12,4.1031904220581055
2000-06-13,4.201824188232422
2000-06-14,4.418818473815918
2000-06-15,4.438547611236572
2000-06-16,4.3892292976379395
2000-06-19,4.162370681762695
2000-06-20,4.1722331047058105
2000-06-21,4.162370681762695
2000-06-22,4.1031904220581055
2000-06-23,4.201824188232422
2000-06-26,4.182096004486084
2000-06-27,4.6851325035095215
2000-06-28,4.813358306884766
2000-06-29,5.04021692276001
2000-06-30,5.119123935699463
2000-07-03,5.12898588180542
2000-07-05,5.119123935699463
2000-07-06,5.553115367889404
2000-07-07,5.582705974578857
2000-07-10,6.154786109924316
2000-07-11,6.03642463684082
2000-07-12,5.908198356628418
2000-07-13,5.779972553253174
2000-07-14,5.760249137878418
2000-07-17,5.80956506729126
2000-07-18,5.760249137878418
2000-07-19,5.701066017150879
2000-07-20,5.720793724060059
2000-07-21,5.878611087799072
2000-07-24,5.671475410461426
2000-07-25,5.819427490234375
2000-07-26,6.125195503234863
2000-07-27,6.381645202636719
2000-07-28,6.08574104309082
2000-07-31,6.115330696105957
2000-08-01,6.243555068969727
2000-08-02,6.381645202636719
2000-08-03,6.549323081970215
2000-08-04,6.786045551300049
2000-08-07,6.697273254394531
2000-08-08,6.776181697845459
2000-08-09,6.411234378814697
2000-08-10,6.213966369628906
2000-08-11,6.302736759185791
2000-08-14,6.322466850280762
2000-08-15,6.292873859405518
2000-08-16,5.730658054351807
2000-08-17,6.056150436401367
