Date,MU
2000-01-03,37.03042984008789
2000-01-04,35.59798049926758
2000-01-05,35.476078033447266
2000-01-06,36.08561706542969
2000-01-07,34.378875732421875
2000-01-10,36.26848602294922
2000-01-11,35.29319763183594
2000-01-12,36.08561706542969
2000-01-13,37.97523498535156
2000-01-14,35.71989059448242
2000-01-18,35.872283935546875
2000-01-19,35.171295166015625
2000-01-20,34.01313400268555
2000-01-21,32.73307418823242
2000-01-24,33.8912239074707
2000-01-25,32.123512268066406
2000-01-26,30.995845794677734
2000-01-27,31.574922561645508
2000-01-28,29.014795303344727
2000-01-31,30.325334548950195
2000-02-01,30.965370178222656
2000-02-02,32.123512268066406
2000-02-03,33.15976333618164
2000-02-04,32.854976654052734
2000-02-07,36.08561706542969
2000-02-08,37.091392517089844
2000-02-09,35.71989059448242
2000-02-10,35.29319763183594
2000-02-11,34.68364715576172
2000-02-14,33.03785705566406
2000-02-15,33.647403717041016
2000-02-16,32.275901794433594
2000-02-17,31.81874656677246
2000-02-18,30.782499313354492
2000-02-22,31.453012466430664
2000-02-23,32.672122955322266
2000-02-24,34.196006774902344
2000-02-25,35.90275955200195
2000-02-28,38.06667709350586
2000-02-29,46.813785552978516
2000-03-01,49.617733001708984
2000-03-02,47.54523468017578
2000-03-03,45.59466552734375
2000-03-06,46.813785552978516
2000-03-07,51.20258331298828
2000-03-08,49.25199508666992
2000-03-09,53.64078903198242
2000-03-10,51.87309265136719
2000-03-13,57.54194641113281
2000-03-14,54.37225341796875
2000-03-15,55.10371780395508
2000-03-16,55.28659439086914
2000-03-17,62.845069885253906
2000-03-20,66.13665771484375
2000-03-21,58.15150451660156
2000-03-22,68.75775146484375
2000-03-23,65.64900970458984
2000-03-24,65.70995330810547
2000-03-27,68.0262680053711
2000-03-28,66.56333923339844
2000-03-29,65.58805847167969
2000-03-30,59.0048713684082
2000-03-31,61.443092346191406
2000-04-03,58.51722717285156
2000-04-04,55.98757553100586
2000-04-05,63.88131332397461
2000-04-06,63.82034683227539
2000-04-07,62.60124588012695
2000-04-10,59.30964660644531
2000-04-11,56.871429443359375
2000-04-12,54.06747817993164
2000-04-13,51.934043884277344
2000-04-14,46.844261169433594
2000-04-17,55.591365814208984
2000-04-18,61.686912536621094
2000-04-19,57.05430221557617
2000-04-20,61.07735824584961
2000-04-24,60.16302490234375
2000-04-25,63.33271789550781
2000-04-26,62.78411102294922
2000-04-27,65.83187866210938
2000-04-28,67.93484497070312
2000-05-01,64.24702453613281
2000-05-02,61.19926452636719
2000-05-03,60.77257537841797
2000-05-04,60.223976135253906
2000-05-05,59.0048713684082
2000-05-08,56.93238830566406
2000-05-09,54.06747817993164
2000-05-10,51.690216064453125
2000-05-11,56.993350982666016
2000-05-12,59.248695373535156
2000-05-15,61.564998626708984
2000-05-16,63.02793884277344
2000-05-17,63.88131332397461
2000-05-18,63.149845123291016
2000-05-19,59.065818786621094
2000-05-22,59.12677764892578
2000-05-23,56.93238830566406
2000-05-24,58.821998596191406
2000-05-25,63.02793884277344
2000-05-26,63.02793884277344
2000-05-30,67.05098724365234
2000-05-31,68.2091293334961
2000-06-01,71.68360137939453
2000-06-02,77.2914810180664
2000-06-05,79.18111419677734
2000-06-06,75.15807342529297
2000-06-07,74.8532943725586
2000-06-08,78.75444030761719
2000-06-09,78.02296447753906
2000-06-12,77.53532409667969
2000-06-13,80.4612045288086
2000-06-14,78.38871002197266
2000-06-15,76.0723876953125
2000-06-16,75.46284484863281
2000-06-19,79.48590087890625
2000-06-20,87.65392303466797
2000-06-21,88.50731658935547
2000-06-22,84.72808074951172
2000-06-23,86.31291198730469
2000-06-26,86.98342895507812
2000-06-27,87.77584838867188
2000-06-28,85.39857482910156
2000-06-29,88.56824493408203
2000-06-30,85.88623046875
2000-07-03,88.0196533203125
2000-07-05,81.68030548095703
2000-07-06,84.3623275756836
2000-07-07,87.2882080078125
2000-07-10,88.75113677978516
2000-07-11,88.75113677978516
2000-07-12,91.67698669433594
2000-07-13,89.72642517089844
2000-07-14,94.17615509033203
2000-07-17,92.77417755126953
2000-07-18,90.70170593261719
2000-07-19,86.06908416748047
2000-07-20,85.94717407226562
2000-07-21,80.4612045288086
2000-07-24,82.89940643310547
