Date,A
2000-01-03,42.938438415527344
2000-01-04,39.65839385986328
2000-01-05,37.198402404785156
2000-01-06,35.78201675415039
2000-01-07,38.76384353637695
2000-01-10,41.11204528808594
2000-01-11,40.55296325683594
2000-01-12,39.73295211791992
2000-01-13,40.32932662963867
2000-01-14,40.77659606933594
2000-01-18,42.64023971557617
2000-01-19,41.74567794799805
2000-01-20,40.62751388549805
2000-01-21,41.00022888183594
2000-01-24,40.85112762451172
2000-01-25,40.366600036621094
2000-01-26,40.73931121826172
2000-01-27,40.81387710571289
2000-01-28,40.59022521972656
2000-01-31,39.47205352783203
2000-02-01,42.34206008911133
2000-02-02,45.6220817565918
2000-02-03,46.3675422668457
2000-02-04,45.472984313964844
2000-02-07,47.41117858886719
2000-02-08,47.113006591796875
2000-02-09,45.174800872802734
2000-02-10,45.73390579223633
2000-02-11,44.951171875
2000-02-14,45.58481979370117
2000-02-15,48.82754898071289
2000-02-16,48.30573654174805
2000-02-17,57.84760284423828
2000-02-18,55.90940856933594
2000-02-22,54.567569732666016
2000-02-23,59.040313720703125
2000-02-24,63.66218185424805
2000-02-25,64.48217010498047
2000-02-28,60.23306655883789
2000-02-29,61.9476203918457
2000-03-01,65.07855224609375
2000-03-02,62.79558563232422
2000-03-03,64.40763854980469
2000-03-06,94.82235717773438
2000-03-07,84.68412017822266
2000-03-08,90.64778900146484
2000-03-09,91.2441635131836
2000-03-10,84.68412017822266
2000-03-13,78.27313995361328
2000-03-14,72.38404083251953
2000-03-15,68.13492584228516
2000-03-16,70.40859985351562
2000-03-17,72.23494720458984
2000-03-20,67.83675384521484
2000-03-21,68.58219909667969
2000-03-22,71.22859954833984
2000-03-23,71.37765502929688
2000-03-24,71.56403350830078
2000-03-27,68.13492584228516
2000-03-28,71.0422134399414
2000-03-29,66.79308319091797
2000-03-30,62.61854553222656
2000-03-31,62.02214813232422
2000-04-03,58.443965911865234
2000-04-04,55.76032638549805
2000-04-05,57.81032943725586
2000-04-06,62.61854553222656
2000-04-07,72.75675964355469
2000-04-10,63.885807037353516
2000-04-11,60.19581985473633
2000-04-12,51.287574768066406
2000-04-13,53.673038482666016
2000-04-14,49.312095642089844
2000-04-17,47.41117858886719
2000-04-18,51.88392639160156
2000-04-19,52.033016204833984
2000-04-20,53.63576889038086
2000-04-24,54.64213562011719
2000-04-25,53.673038482666016
2000-04-26,54.79121398925781
2000-04-27,54.120296478271484
2000-04-28,52.85302734375
2000-05-01,56.87849426269531
2000-05-02,60.09330749511719
2000-05-03,54.567569732666016
2000-05-04,53.82213592529297
2000-05-05,54.53031921386719
2000-05-08,50.54209899902344
2000-05-09,47.82118606567383
2000-05-10,45.920257568359375
2000-05-11,45.65934753417969
2000-05-12,54.008487701416016
2000-05-15,52.59211349487305
2000-05-16,52.778480529785156
2000-05-17,46.516624450683594
2000-05-18,42.34206008911133
2000-05-19,39.73295211791992
2000-05-22,37.198402404785156
2000-05-23,34.58927917480469
2000-05-24,35.1856575012207
2000-05-25,41.00022888183594
2000-05-26,38.76384353637695
2000-05-30,44.951171875
2000-05-31,43.90751266479492
2000-06-01,43.534793853759766
2000-06-02,48.75300216674805
2000-06-05,47.113006591796875
2000-06-06,42.34206008911133
2000-06-07,39.95659255981445
2000-06-08,41.223873138427734
2000-06-09,42.26749801635742
2000-06-12,39.36021041870117
2000-06-13,41.18659973144531
2000-06-14,40.40385818481445
2000-06-15,39.32294845581055
2000-06-16,37.34748840332031
2000-06-19,40.55296325683594
2000-06-20,43.90751266479492
2000-06-21,46.81479263305664
2000-06-22,45.174800872802734
2000-06-23,44.80207443237305
2000-06-26,44.80207443237305
2000-06-27,44.988441467285156
2000-06-28,47.41117858886719
2000-06-29,45.24934768676758
2000-06-30,43.982059478759766
2000-07-03,43.944793701171875
2000-07-05,41.894779205322266
2000-07-06,41.223873138427734
2000-07-07,40.25477981567383
2000-07-10,40.85112762451172
2000-07-11,40.14296340942383
2000-07-12,41.149314880371094
2000-07-13,42.34206008911133
2000-07-14,45.9575309753418
2000-07-17,46.66572570800781
2000-07-18,45.696624755859375
2000-07-19,44.168426513671875
2000-07-20,32.203819274902344
2000-07-21,28.66289520263672
2000-07-24,29.520156860351562
2000-07-25,26.68743133544922
2000-07-26,25.643787384033203
2000-07-27,24.301959991455078
2000-07-28,24.60013771057129
2000-07-31,24.301959991455078
2000-08-01,24.152868270874023
2000-08-02,23.92922592163086
2000-08-03,24.4510440826416
2000-08-04,23.891956329345703
