Date,ROP
2000-01-03,14.9963960647583
2000-01-04,14.311148643493652
2000-01-05,14.126664161682129
2000-01-06,14.126664161682129
2000-01-07,14.337507247924805
2000-01-10,14.469287872314453
2000-01-11,14.284791946411133
2000-01-12,14.393604278564453
2000-01-13,14.261552810668945
2000-01-14,14.235136985778809
2000-01-18,14.129501342773438
2000-01-19,14.129501342773438
2000-01-20,14.604887008666992
2000-01-21,15.42359733581543
2000-01-24,15.29155158996582
2000-01-25,14.710530281066895
2000-01-26,15.10667610168457
2000-01-27,14.604887008666992
2000-01-28,14.631299018859863
2000-01-31,14.182324409484863
2000-02-01,14.129501342773438
2000-02-02,14.420012474060059
2000-02-03,15.10667610168457
2000-02-04,15.238731384277344
2000-02-07,15.159494400024414
2000-02-08,14.974627494812012
2000-02-09,14.1030912399292
2000-02-10,13.997447967529297
2000-02-11,13.205138206481934
2000-02-14,13.997447967529297
2000-02-15,14.050268173217773
2000-02-16,14.076684951782227
2000-02-17,13.997447967529297
2000-02-18,13.073089599609375
2000-02-22,13.073089599609375
2000-02-23,13.39001178741455
2000-02-24,12.993852615356445
2000-02-25,12.201546669006348
2000-02-28,11.594110488891602
2000-02-29,11.514883041381836
2000-03-01,11.250781059265137
2000-03-02,13.09950065612793
2000-03-03,14.393604278564453
2000-03-06,13.654112815856934
2000-03-07,13.284370422363281
2000-03-08,12.993852615356445
2000-03-09,12.86180591583252
2000-03-10,13.442832946777344
2000-03-13,13.918213844299316
2000-03-14,13.416419982910156
2000-03-15,13.601295471191406
2000-03-16,14.78975772857666
2000-03-17,14.420012474060059
2000-03-20,14.261552810668945
2000-03-21,14.287959098815918
2000-03-22,14.129501342773438
2000-03-23,14.261552810668945
2000-03-24,14.287959098815918
2000-03-27,14.155906677246094
2000-03-28,14.420012474060059
2000-03-29,13.997447967529297
2000-03-30,14.023855209350586
2000-03-31,14.340782165527344
2000-04-03,13.786166191101074
2000-04-04,13.231547355651855
2000-04-05,13.04667854309082
2000-04-06,12.941033363342285
2000-04-07,12.756160736083984
2000-04-10,12.676928520202637
2000-04-11,13.09950065612793
2000-04-12,12.705620765686035
2000-04-13,12.811503410339355
2000-04-14,12.705620765686035
2000-04-17,12.943857192993164
2000-04-18,13.261492729187012
2000-04-19,13.340900421142578
2000-04-20,13.49972915649414
2000-04-24,12.732095718383789
2000-04-25,13.023260116577148
2000-04-26,12.917390823364258
2000-04-27,13.208552360534668
2000-04-28,13.340900421142578
2000-05-01,14.161479949951172
2000-05-02,14.002654075622559
2000-05-03,13.976191520690918
2000-05-04,13.949711799621582
2000-05-05,14.161479949951172
2000-05-08,13.949711799621582
2000-05-09,13.737957000732422
2000-05-10,13.976191520690918
2000-05-11,14.399706840515137
2000-05-12,14.240880966186523
2000-05-15,14.267354965209961
2000-05-16,14.399706840515137
2000-05-17,14.796757698059082
2000-05-18,14.505577087402344
2000-05-19,14.558523178100586
2000-05-22,13.976191520690918
2000-05-23,13.393843650817871
2000-05-24,14.082066535949707
2000-05-25,13.605605125427246
2000-05-26,13.605605125427246
2000-05-30,14.187941551208496
2000-05-31,14.92910385131836
2000-06-01,14.796757698059082
2000-06-02,14.796757698059082
2000-06-05,14.717352867126465
2000-06-06,14.796757698059082
2000-06-07,14.902641296386719
2000-06-08,14.92910385131836
2000-06-09,14.743819236755371
2000-06-12,14.876165390014648
2000-06-13,15.008520126342773
2000-06-14,15.087936401367188
2000-06-15,15.246748924255371
2000-06-16,15.193806648254395
2000-06-19,15.034996032714844
2000-06-20,14.717352867126465
2000-06-21,13.764429092407227
2000-06-22,14.479119300842285
2000-06-23,14.002654075622559
2000-06-26,13.976191520690918
2000-06-27,13.8703031539917
2000-06-28,14.055594444274902
2000-06-29,13.8703031539917
2000-06-30,10.852721214294434
2000-07-03,11.0115385055542
2000-07-05,10.852721214294434
2000-07-06,10.773310661315918
2000-07-07,10.588020324707031
2000-07-10,10.985074043273926
2000-07-11,11.646819114685059
2000-07-12,11.752705574035645
