Date,MAS
2000-01-03,12.396069526672363
2000-01-04,12.088479995727539
2000-01-05,11.591438293457031
2000-01-06,11.715076446533203
2000-01-07,12.147818565368652
2000-01-10,11.807808876037598
2000-01-11,11.560529708862305
2000-01-12,11.37507152557373
2000-01-13,11.344156265258789
2000-01-14,11.436890602111816
2000-01-18,11.498702049255371
2000-01-19,11.591438293457031
2000-01-20,11.18959903717041
2000-01-21,11.158696174621582
2000-01-24,9.86044979095459
2000-01-25,9.705896377563477
2000-01-26,9.73680591583252
2000-01-27,10.169556617736816
2000-01-28,9.705896377563477
2000-01-31,9.86044979095459
2000-02-01,10.014996528625488
2000-02-02,9.891362190246582
2000-02-03,9.520435333251953
2000-02-04,9.149513244628906
2000-02-07,9.273148536682129
2000-02-08,9.05677604675293
2000-02-09,8.840401649475098
2000-02-10,8.562206268310547
2000-02-11,8.531298637390137
2000-02-14,9.211329460144043
2000-02-15,9.705896377563477
2000-02-16,9.891362190246582
2000-02-17,10.231377601623535
2000-02-18,9.798629760742188
2000-02-22,9.365880012512207
2000-02-23,9.273148536682129
2000-02-24,9.242239952087402
2000-02-25,9.1185941696167
2000-02-28,8.933135032653809
2000-02-29,8.840401649475098
2000-03-01,8.994956970214844
2000-03-02,8.964045524597168
2000-03-03,8.716763496398926
2000-03-06,8.624030113220215
2000-03-07,8.964045524597168
2000-03-08,9.396795272827148
2000-03-09,9.025863647460938
2000-03-10,9.087686538696289
2000-03-13,9.33497142791748
2000-03-14,9.149513244628906
2000-03-15,9.551346778869629
2000-03-16,10.695034980773926
2000-03-17,10.880498886108398
2000-03-20,11.096869468688965
2000-03-21,11.035052299499512
2000-03-22,10.756848335266113
2000-03-23,11.251421928405762
2000-03-24,11.467793464660645
2000-03-27,11.143240928649902
2000-03-28,10.880498886108398
2000-03-29,10.725944519042969
2000-03-30,10.756848335266113
2000-03-31,10.138640403747559
2000-04-03,11.12778091430664
2000-04-04,10.880498886108398
2000-04-05,11.126657485961914
2000-04-06,10.94017219543457
2000-04-07,10.846924781799316
2000-04-10,10.753691673278809
2000-04-11,11.344210624694824
2000-04-12,12.245526313781738
2000-04-13,12.027976036071777
2000-04-14,11.655011177062988
2000-04-17,11.313129425048828
2000-04-18,11.064491271972656
2000-04-19,11.219895362854004
2000-04-20,11.126657485961914
2000-04-24,11.157729148864746
2000-04-25,10.94017219543457
2000-04-26,11.188810348510742
2000-04-27,11.406373023986816
2000-04-28,11.157729148864746
2000-05-01,11.250967979431152
2000-05-02,11.313129425048828
2000-05-03,10.66821575164795
2000-05-04,10.287492752075195
2000-05-05,10.598286628723145
2000-05-08,10.287492752075195
2000-05-09,10.442889213562012
2000-05-10,10.13209056854248
2000-05-11,10.16317081451416
2000-05-12,10.147629737854004
2000-05-15,10.225330352783203
2000-05-16,10.4118070602417
2000-05-17,10.4118070602417
