Date,PSKY
2005-12-05,16.813045501708984
2005-12-06,16.221115112304688
2005-12-07,16.08888816833496
2005-12-08,15.988134384155273
2005-12-09,16.139259338378906
2005-12-12,16.523372650146484
2005-12-13,16.372249603271484
2005-12-14,16.183338165283203
2005-12-15,15.944052696228027
2005-12-16,15.931456565856934
2005-12-19,15.925163269042969
2005-12-20,15.786616325378418
2005-12-21,15.899978637695312
2005-12-22,15.811810493469238
2005-12-23,16.057392120361328
2005-12-27,16.1518497467041
2005-12-28,15.774027824401855
2005-12-29,15.742546081542969
2005-12-30,16.057392120361328
2006-01-03,16.498188018798828
2006-01-04,16.372249603271484
2006-01-05,16.598939895629883
2006-01-06,17.146778106689453
2006-01-09,17.020837783813477
2006-01-10,16.724876403808594
2006-01-11,16.485591888427734
2006-01-12,16.365949630737305
2006-01-13,16.044803619384766
2006-01-17,15.780336380004883
2006-01-18,16.164443969726562
2006-01-19,16.101472854614258
2006-01-20,15.729949951171875
2006-01-23,16.25890350341797
2006-01-24,16.938987731933594
2006-01-25,16.624122619628906
2006-01-26,16.882307052612305
2006-01-27,16.87601089477539
2006-01-30,17.171968460083008
2006-01-31,16.454113006591797
2006-02-01,16.46040153503418
2006-02-02,16.1518497467041
2006-02-03,16.158140182495117
2006-02-06,16.271495819091797
2006-02-07,16.076284408569336
2006-02-08,16.384838104248047
2006-02-09,16.139259338378906
2006-02-10,16.03221321105957
2006-02-13,16.082584381103516
2006-02-14,16.120359420776367
2006-02-15,16.12666893005371
2006-02-16,15.836996078491211
2006-02-17,16.277790069580078
2006-02-21,15.931456565856934
2006-02-22,15.887373924255371
2006-02-23,15.868487358093262
2006-02-24,15.545279502868652
2006-02-27,15.735400199890137
2006-02-28,15.500927925109863
2006-03-01,15.621335983276367
2006-03-02,15.247438430786133
2006-03-03,15.196735382080078
2006-03-06,15.196735382080078
2006-03-07,15.437555313110352
2006-03-08,15.29813003540039
2006-03-09,15.184061050415039
2006-03-10,15.177726745605469
2006-03-13,15.222094535827637
2006-03-14,15.184061050415039
2006-03-15,15.424880027770996
2006-03-16,15.348832130432129
2006-03-17,15.602315902709961
2006-03-20,15.462897300720215
2006-03-21,15.703718185424805
2006-03-22,15.893832206726074
2006-03-23,15.773428916931152
2006-03-24,15.862142562866211
2006-03-27,15.703718185424805
2006-03-28,15.475577354431152
2006-03-29,15.488245010375977
2006-03-30,15.361498832702637
2006-03-31,15.196735382080078
2006-04-03,15.653014183044434
2006-04-04,15.697372436523438
2006-04-05,15.779766082763672
2006-04-06,16.140987396240234
2006-04-07,15.931864738464355
2006-04-10,15.773428916931152
2006-04-11,15.589653015136719
2006-04-12,15.545279502868652
2006-04-13,15.748078346252441
2006-04-17,15.659354209899902
2006-04-18,15.71639633178711
2006-04-19,15.564298629760742
2006-04-20,15.545279502868652
2006-04-21,15.722731590270996
2006-04-24,15.722731590270996
2006-04-25,16.077625274658203
2006-04-26,15.938199043273926
2006-04-27,16.160001754760742
2006-04-28,16.140987396240234
2006-05-01,16.33744239807129
2006-05-02,16.191686630249023
2006-05-03,16.318435668945312
2006-05-04,16.502208709716797
2006-05-05,16.717679977416992
2006-05-08,16.857099533081055
2006-05-09,16.90144920349121
2006-05-10,16.666976928710938
2006-05-11,16.426177978515625
2006-05-12,16.26139259338379
2006-05-15,16.26139259338379
2006-05-16,16.68599510192871
2006-05-17,16.35011100769043
2006-05-18,16.064943313598633
2006-05-19,15.976217269897461
2006-05-22,16.007904052734375
2006-05-23,15.748078346252441
2006-05-24,16.09662628173828
2006-05-25,16.666976928710938
2006-05-26,16.60359764099121
2006-05-30,16.166337966918945
2006-05-31,16.41982650756836
2006-06-01,17.000547409057617
2006-06-02,16.86652946472168
2006-06-05,16.949493408203125
2006-06-06,16.770816802978516
2006-06-07,17.026077270507812
2006-06-08,16.9431095123291
2006-06-09,16.432594299316406
2006-06-12,16.432594299316406
2006-06-13,16.45811653137207
2006-06-14,16.483642578125
2006-06-15,16.764427185058594
2006-06-16,16.58574676513672
2006-06-19,16.566604614257812
2006-06-20,16.45811653137207
2006-06-21,16.617652893066406
2006-06-22,16.560216903686523
2006-06-23,16.911209106445312
2006-06-26,16.911209106445312
2006-06-27,16.923980712890625
2006-06-28,16.994169235229492
