Date,NKE
2000-01-03,4.441891670227051
2000-01-04,4.199606895446777
2000-01-05,4.441891670227051
2000-01-06,4.4188151359558105
2000-01-07,4.4188151359558105
2000-01-10,4.493810176849365
2000-01-11,4.71878719329834
2000-01-12,4.557264804840088
2000-01-13,4.614953994750977
2000-01-14,4.736095428466797
2000-01-18,4.672640800476074
2000-01-19,4.874543190002441
2000-01-20,4.7591681480407715
2000-01-21,4.678408145904541
2000-01-24,4.586108207702637
2000-01-25,4.511117458343506
2000-01-26,4.5688018798828125
2000-01-27,4.361128807067871
2000-01-28,4.326517105102539
2000-01-31,4.199606895446777
2000-02-01,4.309211254119873
2000-02-02,4.378437042236328
2000-02-03,4.4188151359558105
2000-02-04,4.309211254119873
2000-02-07,4.17653226852417
2000-02-08,3.415065050125122
2000-02-09,3.1150922775268555
2000-02-10,3.1150922775268555
2000-02-11,3.1381678581237793
2000-02-14,2.9824140071868896
2000-02-15,2.809351921081543
2000-02-16,2.72282075881958
2000-02-17,2.6766717433929443
2000-02-18,2.5843732357025146
2000-02-22,2.4920735359191895
2000-02-23,2.5901427268981934
2000-02-24,2.497843027114868
2000-02-25,2.4516940116882324
2000-02-28,2.57283616065979
2000-02-29,2.62475323677063
2000-03-01,2.595911979675293
2000-03-02,2.7170541286468506
2000-03-03,2.711284875869751
2000-03-06,2.630523204803467
2000-03-07,2.57283616065979
2000-03-08,2.515148162841797
2000-03-09,2.4690005779266357
2000-03-10,2.480536699295044
2000-03-13,2.6535983085632324
2000-03-14,2.6651363372802734
2000-03-15,3.0458688735961914
2000-03-16,3.3056998252868652
2000-03-17,3.143883228302002
2000-03-20,3.0514166355133057
2000-03-21,3.0629749298095703
2000-03-22,3.1207661628723145
2000-03-23,3.143883228302002
2000-03-24,3.132326126098633
2000-03-27,3.3230395317077637
2000-03-28,3.403947591781616
2000-03-29,3.606219530105591
2000-03-30,3.577324390411377
2000-03-31,3.664012908935547
2000-04-03,3.6986865997314453
2000-04-04,3.6004409790039062
2000-04-05,3.6235597133636475
2000-04-06,3.843167781829834
2000-04-07,3.9703099727630615
2000-04-10,3.9760913848876953
2000-04-11,4.172581195831299
2000-04-12,4.109011650085449
2000-04-13,4.0627760887146
2000-04-14,3.9414138793945312
2000-04-17,3.8836207389831543
2000-04-18,3.9182968139648438
2000-04-19,4.074334144592285
2000-04-20,4.0627760887146
2000-04-24,3.9934237003326416
2000-04-25,4.218815803527832
2000-04-26,4.056996822357178
2000-04-27,4.004982948303223
2000-04-28,4.016544342041016
2000-05-01,4.305502891540527
2000-05-02,4.184138774871826
2000-05-03,3.9182968139648438
2000-05-04,3.9529712200164795
2000-05-05,3.9529712200164795
2000-05-08,3.981867790222168
