Date,PYPL
2015-07-06,36.514774322509766
2015-07-07,36.425254821777344
2015-07-08,34.515464782714844
2015-07-09,34.3165283203125
2015-07-10,34.505516052246094
2015-07-13,36.58440017700195
2015-07-14,36.73360824584961
2015-07-15,37.31052017211914
2015-07-16,38.42456817626953
2015-07-17,38.18584060668945
2015-07-20,40.25477981567383
2015-07-21,39.1407356262207
2015-07-22,38.18584060668945
2015-07-23,36.81317901611328
2015-07-24,36.8032341003418
2015-07-27,36.196475982666016
2015-07-28,37.40004348754883
2015-07-29,37.74818420410156
2015-07-30,38.24552536010742
2015-07-31,38.49419403076172
2015-08-03,39.18052291870117
2015-08-04,38.742862701416016
2015-08-05,39.061161041259766
2015-08-06,38.643394470214844
2015-08-07,38.92190933227539
2015-08-10,38.84233093261719
2015-08-11,38.643394470214844
2015-08-12,37.98690414428711
2015-08-13,37.41993713378906
2015-08-14,37.937171936035156
2015-08-17,38.52403259277344
2015-08-18,37.78797149658203
2015-08-19,36.992225646972656
2015-08-20,35.788658142089844
2015-08-21,34.0678596496582
2015-08-24,33.57051467895508
2015-08-25,32.526100158691406
2015-08-26,32.99359893798828
2015-08-27,34.43588638305664
2015-08-28,34.85365676879883
2015-08-31,34.81386947631836
2015-09-01,33.59041213989258
2015-09-02,34.88349533081055
2015-09-03,35.122222900390625
2015-09-04,34.10764694213867
2015-09-08,34.515464782714844
2015-09-09,34.18722152709961
2015-09-10,33.28205871582031
2015-09-11,33.371578216552734
2015-09-14,33.59041213989258
2015-09-15,33.6202507019043
2015-09-16,33.59041213989258
2015-09-17,33.14280319213867
2015-09-18,32.744930267333984
2015-09-21,34.0678596496582
2015-09-22,33.17264175415039
2015-09-23,33.97834014892578
2015-09-24,33.72966766357422
2015-09-25,33.59041213989258
2015-09-28,32.078495025634766
2015-09-29,30.46710968017578
2015-09-30,30.87493133544922
2015-10-01,31.312589645385742
2015-10-02,32.65541458129883
2015-10-05,32.49625778198242
2015-10-06,31.690568923950195
