Date,SYY
2000-01-03,9.732413291931152
2000-01-04,9.429267883300781
2000-01-05,9.54003620147705
2000-01-06,9.940207481384277
2000-01-07,9.956215858459473
2000-01-10,9.988232612609863
2000-01-11,9.988232612609863
2000-01-12,10.35638427734375
2000-01-13,10.276350975036621
2000-01-14,10.08426570892334
2000-01-18,10.020245552062988
2000-01-19,9.780143737792969
2000-01-20,9.219903945922852
2000-01-21,9.091849327087402
2000-01-24,8.707688331604004
2000-01-25,8.819732666015625
2000-01-26,8.947790145874023
2000-01-27,8.835738182067871
2000-01-28,8.723691940307617
2000-01-31,9.107854843139648
2000-02-01,9.02781867980957
2000-02-02,9.059836387634277
2000-02-03,8.819732666015625
2000-02-04,8.643665313720703
2000-02-07,8.371543884277344
2000-02-08,8.387553215026855
2000-02-09,8.403558731079102
2000-02-10,8.4675874710083
2000-02-11,8.403558731079102
2000-02-14,8.403558731079102
2000-02-15,8.627655029296875
2000-02-16,8.7877197265625
2000-02-17,8.979798316955566
2000-02-18,8.707688331604004
2000-02-22,8.707688331604004
2000-02-23,8.515602111816406
2000-02-24,8.195469856262207
2000-02-25,8.14745044708252
2000-02-28,8.27550220489502
2000-02-29,8.403558731079102
2000-03-01,8.483592987060547
2000-03-02,8.227483749389648
2000-03-03,8.163459777832031
2000-03-06,7.555196762084961
2000-03-07,6.978951930999756
2000-03-08,7.107012748718262
2000-03-09,7.5872111320495605
2000-03-10,7.379126071929932
2000-03-13,7.267073631286621
2000-03-14,7.267073631286621
2000-03-15,8.227483749389648
2000-03-16,8.835738182067871
2000-03-17,8.723691940307617
2000-03-20,8.627655029296875
2000-03-21,8.771712303161621
2000-03-22,8.7877197265625
2000-03-23,8.691682815551758
2000-03-24,8.7877197265625
2000-03-27,8.867751121520996
2000-03-28,8.707688331604004
2000-03-29,8.707688331604004
2000-03-30,9.155879974365234
2000-03-31,9.25191879272461
2000-04-03,9.363968849182129
2000-04-04,9.828165054321289
2000-04-05,9.762646675109863
2000-04-06,9.875049591064453
2000-04-07,9.698419570922852
2000-04-10,9.602079391479492
2000-04-11,9.74659252166748
2000-04-12,9.618131637573242
2000-04-13,9.345170974731445
2000-04-14,9.08825397491455
2000-04-17,9.232766151428223
2000-04-18,9.040085792541504
2000-04-19,9.232766151428223
2000-04-20,9.248827934265137
2000-04-24,9.377286911010742
2000-04-25,9.569969177246094
2000-04-26,9.891104698181152
2000-04-27,9.698419570922852
2000-04-28,9.666305541992188
2000-05-01,9.762646675109863
2000-05-02,9.682361602783203
2000-05-03,9.858988761901855
2000-05-04,10.067732810974121
2000-05-05,9.875049591064453
2000-05-08,10.164074897766113
2000-05-09,10.164074897766113
2000-05-10,10.292531967163086
2000-05-11,10.533380508422852
2000-05-12,10.420987129211426
2000-05-15,10.388871192932129
2000-05-16,10.533380508422852
2000-05-17,10.420987129211426
2000-05-18,10.541411399841309
2000-05-19,10.45310115814209
2000-05-22,10.437044143676758
2000-05-23,10.533380508422852
2000-05-24,10.774237632751465
2000-05-25,10.308588981628418
2000-05-26,10.61367416381836
2000-05-30,11.143547058105469
2000-05-31,10.822407722473145
2000-06-01,10.79029369354248
2000-06-02,10.726066589355469
2000-06-05,10.356752395629883
2000-06-06,10.533380508422852
2000-06-07,10.950864791870117
2000-06-08,10.661839485168457
2000-06-09,10.742128372192383
2000-06-12,10.549444198608398
2000-06-13,10.629728317260742
2000-06-14,10.726066589355469
2000-06-15,10.886640548706055
2000-06-16,10.693951606750488
2000-06-19,10.597612380981445
2000-06-20,10.340703964233398
2000-06-21,10.148015975952148
2000-06-22,10.244361877441406
2000-06-23,10.276473999023438
2000-06-26,10.228299140930176
2000-06-27,10.372811317443848
2000-06-28,10.22027587890625
2000-06-29,10.276473999023438
2000-06-30,10.822407722473145
2000-07-03,10.774237632751465
2000-07-05,10.772953033447266
2000-07-06,10.628026962280273
2000-07-07,10.466996192932129
2000-07-10,10.40257740020752
2000-07-11,10.354269981384277
2000-07-12,10.386474609375
2000-07-13,10.257650375366211
2000-07-14,10.225449562072754
2000-07-17,10.096624374389648
2000-07-18,10.241549491882324
2000-07-19,10.354269981384277
2000-07-20,10.531405448913574
2000-07-21,10.322064399719238
2000-07-24,10.17713737487793
2000-07-25,10.241549491882324
2000-07-26,10.096624374389648
2000-07-27,10.531405448913574
2000-07-28,10.579718589782715
2000-07-31,10.14493179321289
2000-08-01,10.418678283691406
2000-08-02,10.61192512512207
2000-08-03,10.531405448913574
2000-08-04,10.756845474243164
2000-08-07,10.692434310913086
2000-08-08,10.692434310913086
2000-08-09,10.660233497619629
2000-08-10,10.869565963745117
2000-08-11,11.078908920288086
2000-08-14,11.01449966430664
2000-08-15,10.789055824279785
2000-08-16,10.837362289428711
2000-08-17,10.885674476623535
2000-08-18,11.03060531616211
2000-08-21,11.078908920288086
2000-08-22,11.36876392364502
2000-08-23,11.626408576965332
2000-08-24,11.336559295654297
2000-08-25,11.01449966430664
2000-08-28,10.982287406921387
2000-08-29,10.93398380279541
2000-08-30,10.805155754089355
2000-08-31,10.901772499084473
2000-09-01,10.837362289428711
2000-09-05,10.837362289428711
2000-09-06,10.869565963745117
2000-09-07,10.805155754089355
2000-09-08,10.821256637573242
2000-09-11,10.805155754089355
2000-09-12,11.006449699401855
2000-09-13,11.175525665283203
2000-09-14,11.062811851501465
2000-09-15,11.143322944641113
2000-09-18,11.223834037780762
2000-09-19,11.223834037780762
2000-09-20,11.320454597473145
2000-09-21,11.529794692993164
2000-09-22,11.771340370178223
2000-09-25,11.706930160522461
2000-09-26,11.706930160522461
2000-09-27,11.867962837219238
2000-09-28,12.053141593933105
2000-09-29,11.932372093200684
2000-10-02,11.803547859191895
2000-10-03,11.787446022033691
2000-10-04,11.65698528289795
2000-10-05,11.67313003540039
2000-10-06,11.414811134338379
2000-10-09,11.301793098449707
2000-10-10,11.463240623474121
2000-10-11,11.560117721557617
2000-10-12,11.67313003540039
2000-10-13,11.624693870544434
2000-10-16,11.963748931884766
2000-10-17,11.947608947753906
2000-10-18,11.93145751953125
2000-10-19,12.189785957336426
2000-10-20,12.092916488647461
2000-10-23,12.254372596740723
2000-10-24,12.367395401000977
2000-10-25,12.609563827514648
2000-10-26,12.803313255310059
2000-10-27,13.013204574584961
2000-10-30,13.497570991516113
2000-10-31,13.481420516967773
2000-11-01,13.319966316223145
2000-11-02,13.14236831665039
2000-11-03,13.206948280334473
2000-11-06,13.562154769897461
2000-11-07,13.62673282623291
2000-11-08,13.691303253173828
2000-11-09,13.933490753173828
2000-11-10,13.981928825378418
2000-11-13,13.852762222290039
2000-11-14,13.432988166809082
2000-11-15,13.755891799926758
2000-11-16,13.998072624206543
2000-11-17,13.610583305358887
2000-11-20,13.739749908447266
2000-11-21,14.191815376281738
2000-11-22,14.207961082458496
2000-11-24,13.885052680969238
2000-11-27,13.901204109191895
2000-11-28,14.07879638671875
2000-11-29,14.563161849975586
2000-11-30,14.272551536560059
2000-12-01,13.949636459350586
2000-12-04,14.692317962646484
