Date,GEHC
2022-12-15,59.67827224731445
2022-12-16,56.435760498046875
2022-12-19,56.197044372558594
2022-12-20,56.903236389160156
2022-12-21,56.654571533203125
2022-12-22,57.291141510009766
2022-12-23,57.191680908203125
2022-12-27,57.141944885253906
2022-12-28,57.191680908203125
2022-12-29,57.68899917602539
2022-12-30,58.06696319580078
2023-01-03,55.69972229003906
2023-01-04,60.165653228759766
2023-01-05,58.68363952636719
2023-01-06,58.63390350341797
2023-01-09,57.788455963134766
2023-01-10,59.67827224731445
2023-01-11,64.6415023803711
2023-01-12,65.2979736328125
2023-01-13,65.089111328125
2023-01-17,62.990421295166016
2023-01-18,61.74711227416992
2023-01-19,63.59714126586914
2023-01-20,66.41197204589844
2023-01-23,69.14723205566406
2023-01-24,69.22679901123047
2023-01-25,68.34156036376953
2023-01-26,68.84884643554688
2023-01-27,69.70423126220703
2023-01-30,71.11660766601562
2023-01-31,69.14723205566406
2023-02-01,69.6346206665039
2023-02-02,70.27117156982422
2023-02-03,70.17171478271484
2023-02-06,71.47468566894531
2023-02-07,71.24591827392578
2023-02-08,69.79373168945312
2023-02-09,68.04317474365234
2023-02-10,68.86873626708984
2023-02-13,69.05770111083984
2023-02-14,72.22064971923828
2023-02-15,71.93221282958984
2023-02-16,70.52977752685547
2023-02-17,72.77765655517578
2023-02-21,72.0813980102539
2023-02-22,71.55425262451172
2023-02-23,75.49301147460938
2023-02-24,74.6077880859375
2023-02-27,75.63227081298828
2023-02-28,75.59246826171875
2023-03-01,74.89623260498047
2023-03-02,74.63762664794922
2023-03-03,75.96049499511719
2023-03-06,76.26883697509766
2023-03-07,75.84114837646484
2023-03-08,76.21910095214844
2023-03-09,75.970458984375
2023-03-10,74.56798553466797
2023-03-13,75.83118438720703
2023-03-14,76.72637939453125
2023-03-15,76.34839630126953
2023-03-16,76.20916748046875
2023-03-17,75.4333267211914
2023-03-20,74.79676818847656
2023-03-21,76.10969543457031
2023-03-22,74.36907196044922
2023-03-23,75.30403900146484
2023-03-24,76.0500259399414
2023-03-27,75.970458984375
2023-03-28,76.48766326904297
2023-03-29,78.81510925292969
2023-03-30,81.69954681396484
2023-03-31,81.59014129638672
2023-04-03,81.37132263183594
2023-04-04,81.15251159667969
2023-04-05,80.68502807617188
2023-04-06,79.73017120361328
2023-04-10,80.15787506103516
2023-04-11,80.15787506103516
2023-04-12,81.3116455078125
2023-04-13,82.49526977539062
2023-04-14,81.92832946777344
2023-04-17,82.27643585205078
2023-04-18,83.21141052246094
2023-04-19,85.29019927978516
2023-04-20,84.54421997070312
2023-04-21,86.01628875732422
2023-04-24,87.31926727294922
2023-04-25,79.95895385742188
2023-04-26,79.6904067993164
2023-04-27,81.0828857421875
2023-04-28,80.90384674072266
2023-05-01,80.34683990478516
2023-05-02,78.03929138183594
2023-05-03,79.28260040283203
2023-05-04,77.84037017822266
2023-05-05,78.56644439697266
2023-05-08,78.99414825439453
2023-05-09,75.96049499511719
2023-05-10,75.49301147460938
2023-05-11,74.58788299560547
2023-05-12,74.51827239990234
2023-05-15,74.52821350097656
2023-05-16,77.36293029785156
2023-05-17,79.86942291259766
2023-05-18,79.26270294189453
2023-05-19,78.91455078125
2023-05-22,78.68572998046875
2023-05-23,76.8051528930664
2023-05-24,76.14840698242188
2023-05-25,79.46183013916016
2023-05-26,78.03895568847656
2023-05-30,77.57131958007812
2023-05-31,79.11357116699219
2023-06-01,79.4319839477539
2023-06-02,79.5712890625
2023-06-05,80.08868408203125
2023-06-06,82.51651000976562
2023-06-07,80.07874298095703
2023-06-08,77.36235046386719
2023-06-09,76.71559143066406
2023-06-12,77.87974548339844
2023-06-13,77.40215301513672
2023-06-14,78.13845825195312
2023-06-15,78.70562744140625
2023-06-16,78.25788116455078
2023-06-20,78.50662231445312
2023-06-21,79.22303009033203
2023-06-22,79.81008911132812
2023-06-23,79.42203521728516
2023-06-26,77.41210174560547
2023-06-27,76.68574523925781
2023-06-28,76.8051528930664
2023-06-29,78.28770446777344
2023-06-30,80.8349609375
2023-07-03,80.28770446777344
2023-07-05,80.24789428710938
2023-07-06,78.72552490234375
2023-07-07,79.22303009033203
2023-07-10,80.25784301757812
2023-07-11,80.85485076904297
2023-07-12,81.28270721435547
2023-07-13,80.994140625
2023-07-14,81.41205596923828
2023-07-17,80.78520202636719
2023-07-18,82.0588150024414
2023-07-19,81.34239959716797
2023-07-20,81.4718017578125
2023-07-21,82.2481918334961
2023-07-24,80.2574234008789
2023-07-25,79.83938598632812
2023-07-26,77.07222747802734
2023-07-27,76.5048599243164
2023-07-28,77.51019287109375
2023-07-31,77.63960266113281
2023-08-01,77.3310317993164
2023-08-02,76.2361068725586
2023-08-03,75.66874694824219
2023-08-04,75.5492935180664
2023-08-07,75.24071502685547
2023-08-08,73.58841705322266
2023-08-09,73.57843780517578
2023-08-10,71.9659423828125
2023-08-11,71.25920104980469
2023-08-14,71.46825408935547
2023-08-15,70.2140884399414
2023-08-16,70.34346771240234
2023-08-17,68.07401275634766
2023-08-18,68.04413604736328
2023-08-21,68.65133666992188
2023-08-22,68.61150360107422
2023-08-23,68.67121887207031
2023-08-24,68.11381530761719
2023-08-25,68.2730712890625
2023-08-28,68.98973083496094
