Date,VICI
2018-01-02,12.952542304992676
2018-01-03,12.991209030151367
2018-01-04,13.016982078552246
2018-01-05,13.016982078552246
2018-01-08,13.016982078552246
2018-01-09,13.023422241210938
2018-01-10,12.88809871673584
2018-01-11,12.88809871673584
2018-01-12,12.881656646728516
2018-01-16,13.854704856872559
2018-01-17,13.712939262390137
2018-01-18,13.532502174377441
2018-01-19,13.371400833129883
2018-01-22,14.81486701965332
2018-01-23,13.532502174377441
2018-01-24,13.532502174377441
2018-01-25,13.487396240234375
2018-01-26,13.596949577331543
2018-01-29,13.596949577331543
2018-01-30,13.56472110748291
2018-01-31,14.176909446716309
2018-02-01,13.461618423461914
2018-02-02,13.538947105407715
2018-02-05,13.28118896484375
2018-02-06,13.21030330657959
2018-02-07,13.377849578857422
2018-02-08,12.88809871673584
2018-02-09,12.83010196685791
2018-02-12,12.617447853088379
2018-02-13,12.69477653503418
2018-02-14,12.662558555603027
2018-02-15,12.791440963745117
2018-02-16,12.881656646728516
2018-02-20,12.88809871673584
2018-02-21,12.675447463989258
2018-02-22,12.784995079040527
2018-02-23,12.772107124328613
2018-02-26,12.69477653503418
2018-02-27,12.540122032165527
2018-02-28,12.598116874694824
2018-03-01,12.559452056884766
2018-03-02,12.501455307006836
2018-03-05,12.546564102172852
2018-03-06,12.636781692504883
2018-03-07,12.636781692504883
2018-03-08,12.430570602416992
2018-03-09,12.630338668823242
2018-03-12,12.495012283325195
2018-03-13,12.630338668823242
2018-03-14,12.649667739868164
2018-03-15,12.51434326171875
2018-03-16,12.51434326171875
2018-03-19,12.39190673828125
2018-03-20,12.263026237487793
2018-03-21,12.224365234375
2018-03-22,12.114812850952148
2018-03-23,11.9021577835083
2018-03-26,12.024595260620117
2018-03-27,11.908604621887207
2018-03-28,11.876099586486816
2018-03-29,11.908602714538574
2018-04-02,11.889104843139648
2018-04-03,11.876099586486816
2018-04-04,11.785097122192383
2018-04-05,11.817599296569824
2018-04-06,11.882601737976074
2018-04-09,11.791597366333008
2018-04-10,11.804598808288574
2018-04-11,11.811097145080566
2018-04-12,11.811097145080566
2018-04-13,11.83060073852539
