Date,LH
2000-01-03,7.418892860412598
2000-01-04,7.163069248199463
2000-01-05,7.163069248199463
2000-01-06,7.035157203674316
2000-01-07,7.290982246398926
2000-01-10,7.163069248199463
2000-01-11,6.907244682312012
2000-01-12,6.907244682312012
2000-01-13,7.290982246398926
2000-01-14,7.290982246398926
2000-01-18,7.163069248199463
2000-01-19,7.163069248199463
2000-01-20,7.035157203674316
2000-01-21,7.035157203674316
2000-01-24,6.907244682312012
2000-01-25,6.77933406829834
2000-01-26,6.77933406829834
2000-01-27,6.651422023773193
2000-01-28,6.907244682312012
2000-01-31,6.77933406829834
2000-02-01,6.77933406829834
2000-02-02,6.907244682312012
2000-02-03,7.035157203674316
2000-02-04,6.907244682312012
2000-02-07,7.802630424499512
2000-02-08,8.442188262939453
2000-02-09,8.18636703491211
2000-02-10,7.930540561676025
2000-02-11,7.930540561676025
2000-02-14,8.058453559875488
2000-02-15,8.18636703491211
2000-02-16,8.058453559875488
2000-02-17,8.058453559875488
2000-02-18,8.058453559875488
2000-02-22,8.058453559875488
2000-02-23,7.802630424499512
2000-02-24,7.674717903137207
2000-02-25,7.674717903137207
2000-02-28,7.418892860412598
2000-02-29,8.18636703491211
2000-03-01,8.314276695251465
2000-03-02,8.698013305664062
2000-03-03,8.570099830627441
2000-03-06,9.081748008728027
2000-03-07,8.825925827026367
2000-03-08,8.698013305664062
2000-03-09,8.953835487365723
2000-03-10,8.18636703491211
2000-03-13,8.570099830627441
2000-03-14,8.570099830627441
2000-03-15,8.442188262939453
2000-03-16,8.698013305664062
2000-03-17,8.570099830627441
2000-03-20,8.442188262939453
2000-03-21,8.442188262939453
2000-03-22,8.314276695251465
2000-03-23,7.930540561676025
2000-03-24,8.058453559875488
2000-03-27,8.058453559875488
2000-03-28,8.18636703491211
2000-03-29,7.930540561676025
2000-03-30,7.802630424499512
2000-03-31,8.698013305664062
2000-04-03,8.570099830627441
2000-04-04,8.570099830627441
2000-04-05,8.570099830627441
2000-04-06,8.953835487365723
2000-04-07,9.081748008728027
2000-04-10,9.081748008728027
2000-04-11,9.209664344787598
2000-04-12,9.081748008728027
2000-04-13,8.953835487365723
2000-04-14,8.570099830627441
2000-04-17,8.314276695251465
2000-04-18,9.081748008728027
2000-04-19,9.977132797241211
2000-04-20,9.977132797241211
2000-04-24,9.849220275878906
2000-04-25,11.256253242492676
2000-04-26,11.895812034606934
2000-04-27,11.895812034606934
2000-04-28,12.151636123657227
2000-05-01,12.791196823120117
2000-05-02,12.535372734069824
2000-05-03,12.919107437133789
2000-05-04,12.88073444366455
2000-05-05,12.88073444366455
2000-05-08,13.072603225708008
2000-05-09,13.430755615234375
2000-05-10,13.507502555847168
2000-05-11,14.313348770141602
2000-05-12,14.198226928710938
2000-05-15,15.068028450012207
2000-05-16,15.080819129943848
2000-05-17,14.90174388885498
2000-05-18,14.569169998168945
2000-05-19,14.095897674560547
2000-05-22,13.533087730407715
2000-05-23,13.609831809997559
2000-05-24,13.238885879516602
2000-05-25,13.187725067138672
2000-05-26,13.980777740478516
2000-05-30,14.735456466674805
2000-05-31,14.709874153137207
2000-06-01,14.556381225585938
2000-06-02,14.479633331298828
2000-06-05,13.686579704284668
2000-06-06,13.584248542785645
2000-06-07,13.507502555847168
2000-06-08,13.366799354553223
2000-06-09,13.328424453735352
2000-06-12,12.816778182983398
2000-06-13,12.803987503051758
2000-06-14,13.098182678222656
2000-06-15,13.30284309387207
2000-06-16,13.89123821258545
2000-06-19,14.428468704223633
2000-06-20,15.144776344299316
2000-06-21,15.298269271850586
2000-06-22,15.144776344299316
2000-06-23,15.221524238586426
2000-06-26,15.375019073486328
2000-06-27,15.247103691101074
2000-06-28,15.502927780151367
2000-06-29,16.078533172607422
2000-06-30,15.781137466430664
2000-07-03,15.963414192199707
2000-07-05,16.615764617919922
2000-07-06,16.718090057373047
2000-07-07,16.500642776489258
2000-07-10,16.57738494873047
2000-07-11,17.600685119628906
2000-07-12,18.803058624267578
2000-07-13,18.17629051208496
2000-07-14,18.444902420043945
2000-07-17,19.212377548217773
2000-07-18,20.363584518432617
2000-07-19,20.158926010131836
2000-07-20,20.619407653808594
2000-07-21,19.890310287475586
2000-07-24,20.069387435913086
2000-07-25,19.199583053588867
2000-07-26,19.596113204956055
2000-07-27,20.018224716186523
2000-07-28,20.76011085510254
2000-07-31,20.10776138305664
2000-08-01,21.07988929748535
2000-08-02,20.97756004333496
2000-08-03,20.88802719116211
2000-08-04,21.898529052734375
2000-08-07,21.949691772460938
2000-08-08,21.51479148864746
2000-08-09,22.000856399536133
2000-08-10,21.949691772460938
2000-08-11,21.732242584228516
2000-08-14,22.231101989746094
2000-08-15,21.860151290893555
2000-08-16,21.75782585144043
2000-08-17,22.039230346679688
2000-08-18,22.435754776000977
2000-08-21,23.10089874267578
2000-08-22,22.985780715942383
2000-08-23,23.139272689819336
2000-08-24,23.45905303955078
2000-08-25,23.33114242553711
2000-08-28,23.49742889404297
2000-08-29,23.52301025390625
2000-08-30,23.599756240844727
2000-08-31,24.2137393951416
2000-09-01,25.173072814941406
2000-09-05,25.3393611907959
