Date,OKE
2000-01-03,1.5647956132888794
2000-01-04,1.5450880527496338
2000-01-05,1.5608545541763306
2000-01-06,1.5608545541763306
2000-01-07,1.6199772357940674
2000-01-10,1.6160366535186768
2000-01-11,1.5963281393051147
2000-01-12,1.6357438564300537
2000-01-13,1.671217679977417
2000-01-14,1.6554510593414307
2000-01-18,1.6278605461120605
2000-01-19,1.6475685834884644
2000-01-20,1.659393072128296
2000-01-21,1.7382245063781738
2000-01-24,1.7382245063781738
2000-01-25,1.7066925764083862
2000-01-26,1.702749252319336
2000-01-27,1.6627182960510254
2000-01-28,1.6627182960510254
2000-01-31,1.6667048931121826
2000-02-01,1.6746788024902344
2000-02-02,1.6906287670135498
2000-02-03,1.6906287670135498
2000-02-04,1.6467679738998413
2000-02-07,1.6108825206756592
2000-02-08,1.5869591236114502
2000-02-09,1.559046983718872
2000-02-10,1.5749963521957397
2000-02-11,1.5151870250701904
2000-02-14,1.5510720014572144
2000-02-15,1.5869591236114502
2000-02-16,1.5430973768234253
2000-02-17,1.5510720014572144
2000-02-18,1.5271483659744263
2000-02-22,1.4992367029190063
2000-02-23,1.4793003797531128
2000-02-24,1.4314523935317993
2000-02-25,1.3875919580459595
2000-02-28,1.427464246749878
2000-02-29,1.447400689125061
2000-03-01,1.4673383235931396
2000-03-02,1.4513893127441406
2000-03-03,1.4553759098052979
2000-03-06,1.4354398250579834
2000-03-07,1.4593628644943237
2000-03-08,1.5032240152359009
2000-03-09,1.5151870250701904
2000-03-10,1.5191736221313477
2000-03-13,1.5271483659744263
2000-03-14,1.447400689125061
2000-03-15,1.4753124713897705
2000-03-16,1.5710091590881348
2000-03-17,1.5510720014572144
2000-03-20,1.5710091590881348
2000-03-21,1.5949331521987915
2000-03-22,1.5430973768234253
2000-03-23,1.5391103029251099
2000-03-24,1.559046983718872
2000-03-27,1.559046983718872
2000-03-28,1.5151870250701904
2000-03-29,1.555059552192688
2000-03-30,1.5749963521957397
2000-03-31,1.5949331521987915
2000-04-03,1.598920226097107
2000-04-04,1.5909456014633179
2000-04-05,1.5710091590881348
2000-04-06,1.598920226097107
2000-04-07,1.5869591236114502
2000-04-10,1.5749963521957397
2000-04-11,1.5749963521957397
2000-04-12,1.5789836645126343
2000-04-13,1.6308194398880005
2000-04-14,1.614869236946106
2000-04-17,1.6387933492660522
2000-04-18,1.6228444576263428
2000-04-19,1.61885666847229
2000-04-20,1.6547428369522095
2000-04-24,1.6228444576263428
2000-04-25,1.6627182960510254
2000-04-26,1.6585208177566528
2000-04-27,1.618167519569397
2000-04-28,1.630273699760437
2000-05-01,1.6423803567886353
2000-05-02,1.6423803567886353
2000-05-03,1.634308934211731
2000-05-04,1.630273699760437
2000-05-05,1.6544855833053589
2000-05-08,1.6504507064819336
2000-05-09,1.62220299243927
2000-05-10,1.626238226890564
2000-05-11,1.6665912866592407
2000-05-12,1.6625561714172363
2000-05-15,1.7351925373077393
2000-05-16,1.7392276525497437
2000-05-17,1.706944465637207
2000-05-18,1.6948384046554565
2000-05-19,1.6867681741714478
2000-05-22,1.7392276525497437
2000-05-23,1.7150157690048218
2000-05-24,1.7715104818344116
2000-05-25,1.747299075126648
2000-05-26,1.7755458354949951
2000-05-30,1.8118641376495361
2000-05-31,1.8804636001586914
2000-06-01,1.9409942626953125
2000-06-02,1.945029377937317
2000-06-05,1.8723939657211304
2000-06-06,1.8360748291015625
2000-06-07,1.8239690065383911
2000-06-08,1.7957221269607544
2000-06-09,1.8360748291015625
