Date,RF
2000-01-03,7.863261699676514
2000-01-04,7.633223533630371
2000-01-05,7.591395854949951
2000-01-06,7.612308025360107
2000-01-07,7.695965766906738
2000-01-10,7.361351490020752
2000-01-11,7.4868340492248535
2000-01-12,7.612308025360107
2000-01-13,7.905093193054199
2000-01-14,8.07239818572998
2000-01-18,8.051484107971191
2000-01-19,8.135133743286133
2000-01-20,7.716874599456787
2000-01-21,7.716874599456787
2000-01-24,7.60185432434082
2000-01-25,7.654134750366211
2000-01-26,7.905093193054199
2000-01-27,7.926002025604248
2000-01-28,7.612308025360107
2000-01-31,8.11422348022461
2000-02-01,8.11422348022461
2000-02-02,7.988745212554932
2000-02-03,8.009659767150879
2000-02-04,7.863261699676514
2000-02-07,7.800522804260254
2000-02-08,7.894636631011963
2000-02-09,8.009659767150879
2000-02-10,7.96782922744751
2000-02-11,7.905093193054199
2000-02-14,7.77961540222168
2000-02-15,7.842348575592041
2000-02-16,7.842348575592041
2000-02-17,7.654134750366211
2000-02-18,7.277703762054443
2000-02-22,7.298617362976074
2000-02-23,7.110398292541504
2000-02-24,6.964008331298828
2000-02-25,6.796706199645996
2000-02-28,7.110398292541504
2000-02-29,6.775795936584473
2000-03-01,6.650315761566162
2000-03-02,6.441184997558594
2000-03-03,6.462098121643066
2000-03-06,6.483011722564697
2000-03-07,6.399359226226807
2000-03-08,6.169317722320557
2000-03-09,6.441184997558594
2000-03-10,6.37844705581665
2000-03-13,6.483011722564697
2000-03-14,6.483011722564697
2000-03-15,6.977593898773193
2000-03-16,7.953179359436035
2000-03-17,7.6774749755859375
2000-03-20,7.401764392852783
2000-03-21,7.709285736083984
2000-03-22,7.719888210296631
2000-03-23,7.825932025909424
2000-03-24,7.719888210296631
2000-03-27,7.4653849601745605
2000-03-28,7.529013633728027
2000-03-29,7.5926408767700195
2000-03-30,7.444182395935059
2000-03-31,7.7410993576049805
2000-04-03,8.313727378845215
2000-04-04,8.144059181213379
2000-04-05,7.916072368621826
2000-04-06,7.78351354598999
2000-04-07,7.444182395935059
2000-04-10,7.486598968505859
2000-04-11,7.444182395935059
2000-04-12,7.502504825592041
2000-04-13,7.412365913391113
2000-04-14,7.004105567932129
2000-04-17,6.982896327972412
2000-04-18,7.210885524749756
2000-04-19,7.104844093322754
2000-04-20,7.168469429016113
2000-04-24,7.359344005584717
2000-04-25,7.4653849601745605
2000-04-26,7.359344005584717
2000-04-27,7.083631992340088
2000-04-28,6.935178279876709
2000-05-01,6.998802661895752
2000-05-02,6.913966655731201
2000-05-03,6.913966655731201
2000-05-04,6.829133033752441
2000-05-05,6.511006832122803
2000-05-08,6.913966655731201
2000-05-09,6.913966655731201
2000-05-10,6.74429988861084
2000-05-11,6.871553897857666
2000-05-12,6.998802661895752
