Date,YUM
2000-01-03,4.481660842895508
2000-01-04,4.391578674316406
2000-01-05,4.414097309112549
2000-01-06,4.376563549041748
2000-01-07,4.27897310256958
2000-01-10,4.451635837554932
2000-01-11,4.421605587005615
2000-01-12,4.376563549041748
2000-01-13,4.444127082824707
2000-01-14,4.324014663696289
2000-01-18,4.196396827697754
2000-01-19,4.038748741149902
2000-01-20,3.8210463523864746
2000-01-21,3.82855486869812
2000-01-24,3.745978832244873
2000-01-25,3.648388385772705
2000-01-26,3.610854387283325
2000-01-27,3.6183605194091797
2000-01-28,3.4682199954986572
2000-01-31,3.4381930828094482
2000-02-01,3.6934292316436768
2000-02-02,3.4757261276245117
2000-02-03,3.565810441970825
2000-02-04,3.5583043098449707
2000-02-07,3.5357844829559326
2000-02-08,3.588331699371338
2000-02-09,3.6033453941345215
2000-02-10,3.303067207336426
2000-02-11,3.3556160926818848
2000-02-14,3.3706295490264893
2000-02-15,3.4081640243530273
2000-02-16,3.3556160926818848
2000-02-17,3.528277635574341
2000-02-18,3.3631234169006348
2000-02-22,3.2430129051208496
2000-02-23,3.2204904556274414
2000-02-24,3.122899293899536
2000-02-25,3.1078855991363525
2000-02-28,3.0853655338287354
2000-02-29,3.1979689598083496
2000-03-01,3.385643720626831
2000-03-02,3.325587749481201
2000-03-03,3.1379148960113525
2000-03-06,3.325587749481201
2000-03-07,3.175447940826416
2000-03-08,3.175447940826416
2000-03-09,3.3556160926818848
2000-03-10,3.3330941200256348
2000-03-13,3.303067207336426
2000-03-14,3.182955026626587
2000-03-15,3.423180341720581
2000-03-16,3.9486658573150635
2000-03-17,3.7534854412078857
2000-03-20,3.6183605194091797
2000-03-21,3.6859233379364014
2000-03-22,3.50575590133667
2000-03-23,3.50575590133667
2000-03-24,3.5808258056640625
2000-03-27,3.565810441970825
2000-03-28,3.543290615081787
2000-03-29,3.4832348823547363
2000-03-30,3.7609925270080566
2000-03-31,3.730963945388794
2000-04-03,3.640881061553955
2000-04-04,3.745978832244873
2000-04-05,3.8735973834991455
2000-04-06,3.791020631790161
2000-04-07,3.7985281944274902
2000-04-10,3.791020631790161
2000-04-11,3.9036271572113037
2000-04-12,3.9486658573150635
2000-04-13,3.8135411739349365
2000-04-14,3.6634020805358887
2000-04-17,3.640881061553955
2000-04-18,3.6333746910095215
2000-04-19,3.5583043098449707
2000-04-20,3.8510758876800537
2000-04-24,3.9711873531341553
2000-04-25,3.993708372116089
2000-04-26,4.136341571807861
