Date,EBAY
2000-01-03,6.591351509094238
2000-01-04,5.973048210144043
2000-01-05,6.372612953186035
2000-01-06,6.2938666343688965
2000-01-07,6.288032531738281
2000-01-10,6.638014793395996
2000-01-11,6.495107173919678
2000-01-12,6.08387565612793
2000-01-13,6.430942058563232
2000-01-14,6.244285583496094
2000-01-18,6.509687900543213
2000-01-19,6.708012580871582
2000-01-20,7.22715425491333
2000-01-21,7.02299690246582
2000-01-24,6.363861560821533
2000-01-25,6.4163594245910645
2000-01-26,7.1659064292907715
2000-01-27,7.183407306671143
2000-01-28,6.885922431945801
2000-01-31,7.002583026885986
2000-02-01,7.043411731719971
2000-02-02,7.046329975128174
2000-02-03,7.699630260467529
2000-02-04,7.842543125152588
2000-02-07,7.912538051605225
2000-02-08,7.921288967132568
2000-02-09,7.652966022491455
2000-02-10,7.577138900756836
2000-02-11,7.1571574211120605
2000-02-14,7.192157745361328
2000-02-15,6.929667949676514
2000-02-16,6.565102577209473
2000-02-17,6.778009414672852
2000-02-18,6.404693603515625
2000-02-22,6.276365756988525
2000-02-23,7.230070114135742
2000-02-24,7.652966022491455
2000-02-25,7.037579536437988
2000-02-28,6.769261360168457
2000-02-29,6.690514087677002
2000-03-01,6.964666843414307
2000-03-02,7.005497932434082
2000-03-03,6.976334095001221
2000-03-06,7.539223670959473
2000-03-07,7.597553253173828
2000-03-08,8.586255073547363
2000-03-09,8.516260147094727
2000-03-10,9.017901420593262
2000-03-13,9.787862777709961
2000-03-14,9.846193313598633
2000-03-15,8.843640327453613
2000-03-16,10.242843627929688
2000-03-17,10.216595649719238
2000-03-20,9.152063369750977
2000-03-21,10.009522438049316
2000-03-22,10.855317115783691
2000-03-23,10.43242073059082
2000-03-24,11.374456405639648
2000-03-27,11.190715789794922
2000-03-28,10.444085121154785
2000-03-29,9.286222457885742
2000-03-30,9.665372848510742
2000-03-31,8.212940216064453
2000-04-03,6.684681415557861
2000-04-04,7.792960166931152
2000-04-05,7.743382453918457
2000-04-06,8.492928504943848
2000-04-07,8.4404296875
2000-04-10,7.26507043838501
2000-04-11,7.259236812591553
2000-04-12,6.690514087677002
2000-04-13,6.477606773376465
2000-04-14,6.512604236602783
2000-04-17,6.684681415557861
2000-04-18,7.603386402130127
2000-04-19,7.014248847961426
2000-04-20,7.011331081390381
2000-04-24,6.620517253875732
2000-04-25,7.1659064292907715
2000-04-26,6.964666843414307
2000-04-27,7.556720733642578
2000-04-28,7.428393363952637
2000-05-01,7.262152194976807
2000-05-02,6.690514087677002
2000-05-03,6.533021926879883
2000-05-04,6.390111446380615
2000-05-05,6.253034591674805
2000-05-08,5.996380805969238
2000-05-09,5.65514612197876
2000-05-10,5.179752349853516
2000-05-11,5.49473762512207
2000-05-12,5.660980701446533
2000-05-15,5.949715614318848
2000-05-16,6.2938666343688965
2000-05-17,5.9788818359375
2000-05-18,5.789306163787842
2000-05-19,5.5151543617248535
2000-05-22,6.355111598968506
2000-05-23,5.413074493408203
2000-05-24,6.063460826873779
2000-05-25,5.646396636962891
2000-05-26,5.780557155609131
2000-05-30,6.254492282867432
2000-05-31,5.838887691497803
2000-06-01,6.288032531738281
2000-06-02,7.203824043273926
2000-06-05,7.0404953956604
2000-06-06,6.702179431915283
2000-06-07,7.0579962730407715
2000-06-08,6.690514087677002
2000-06-09,6.830506801605225
2000-06-12,6.235535621643066
2000-06-13,6.346363544464111
2000-06-14,5.856387138366699
2000-06-15,5.9788818359375
2000-06-16,5.704728126525879
2000-06-19,5.588066101074219
2000-06-20,5.815555095672607
2000-06-21,5.763055801391602
2000-06-22,5.430574893951416
2000-06-23,5.028092384338379
2000-06-26,4.893931865692139
2000-06-27,4.893931865692139
2000-06-28,4.85310173034668
2000-06-29,4.8239359855651855
2000-06-30,5.0689239501953125
2000-07-03,4.928932189941406
2000-07-05,4.7189412117004395
2000-07-06,4.759772777557373
2000-07-07,4.643111228942871
2000-07-10,4.485619068145752
2000-07-11,4.100635528564453
2000-07-12,4.911431312561035
2000-07-13,4.9872612953186035
2000-07-14,5.710558891296387
2000-07-17,5.617231369018555
2000-07-18,5.366409778594971
2000-07-19,5.308079719543457
2000-07-20,5.6930623054504395
2000-07-21,5.483071804046631
2000-07-24,5.1447529792785645
2000-07-25,5.249748706817627
2000-07-26,4.917263984680176
2000-07-27,4.637279510498047
2000-07-28,4.374792575836182
2000-07-31,4.666444778442383
2000-08-01,4.532282829284668
2000-08-02,4.561448097229004
2000-08-03,4.666444778442383
2000-08-04,4.736440658569336
2000-08-07,4.666444778442383
2000-08-08,4.689774990081787
2000-08-09,4.660611629486084
2000-08-10,4.561448097229004
2000-08-11,4.526450157165527
2000-08-14,4.49728536605835
2000-08-15,4.841434478759766
2000-08-16,5.366409778594971
2000-08-17,5.885551452636719
2000-08-18,5.133087635040283
2000-08-21,5.2380828857421875
2000-08-22,5.296413898468018
2000-08-23,5.395573139190674
2000-08-24,5.728059768676758
2000-08-25,5.803889274597168
2000-08-28,5.873887062072754
2000-08-29,5.704728126525879
2000-08-30,5.698894023895264
2000-08-31,5.78639030456543
2000-09-01,5.8680524826049805
2000-09-05,6.299699783325195
2000-09-06,6.1247076988220215
2000-09-07,6.2180352210998535
2000-09-08,6.140748023986816
2000-09-11,6.043045520782471
2000-09-12,5.803889274597168
2000-09-13,5.833055019378662
2000-09-14,6.387194633483887
2000-09-15,6.2938666343688965
2000-09-18,6.165539741516113
2000-09-19,6.13054084777832
2000-09-20,7.1454925537109375
2000-09-21,6.643847942352295
2000-09-22,6.7065534591674805
2000-09-25,6.754677772521973
2000-09-26,6.597184181213379
2000-09-27,5.9263834953308105
2000-09-28,6.451357364654541
2000-09-29,6.410526752471924
2000-10-02,6.241369724273682
