Date,AME
2000-01-03,2.3239963054656982
2000-01-04,2.3163511753082275
2000-01-05,2.3392834663391113
2000-01-06,2.3239963054656982
2000-01-07,2.3545753955841064
2000-01-10,2.4310216903686523
2000-01-11,2.3622188568115234
2000-01-12,2.3698649406433105
2000-01-13,2.3392834663391113
2000-01-14,2.3163511753082275
2000-01-18,2.4310216903686523
2000-01-19,2.3851537704467773
2000-01-20,2.4004428386688232
2000-01-21,2.3927979469299316
2000-01-24,2.3010616302490234
2000-01-25,2.2628378868103027
2000-01-26,2.3239963054656982
2000-01-27,2.453956365585327
2000-01-28,2.499824047088623
2000-01-31,2.690941572189331
2000-02-01,2.4157321453094482
2000-02-02,2.2781271934509277
2000-02-03,2.2399039268493652
2000-02-04,2.224614143371582
2000-02-07,2.1940362453460693
2000-02-08,2.1863901615142822
2000-02-09,2.1405224800109863
2000-02-10,2.018206834793091
2000-02-11,2.1940362453460693
2000-02-14,2.1940362453460693
2000-02-15,2.1940362453460693
2000-02-16,2.178746223449707
2000-02-17,2.1940362453460693
2000-02-18,2.1634554862976074
2000-02-22,2.216968536376953
2000-02-23,2.1405224800109863
2000-02-24,2.0946545600891113
2000-02-25,2.1099441051483154
2000-02-28,2.0564301013946533
2000-02-29,2.071719169616699
2000-03-01,2.2628378868103027
2000-03-02,2.178746223449707
2000-03-03,2.1328775882720947
2000-03-06,2.148167371749878
2000-03-07,2.1328775882720947
2000-03-08,2.171100616455078
2000-03-09,2.1328775882720947
2000-03-10,2.0487852096557617
2000-03-13,2.10229754447937
2000-03-14,1.9570475816726685
2000-03-15,1.9797624349594116
2000-03-16,2.094865322113037
2000-03-17,2.1869471073150635
2000-03-20,2.194620370864868
2000-03-21,2.1562535762786865
2000-03-22,2.232987642288208
2000-03-23,2.2636823654174805
2000-03-24,2.3020496368408203
2000-03-27,2.2867023944854736
2000-03-28,2.1715989112854004
2000-03-29,2.140906572341919
2000-03-30,2.3327438831329346
2000-03-31,2.363438129425049
2000-04-03,2.4171526432037354
2000-04-04,2.4094784259796143
2000-04-05,2.4094784259796143
2000-04-06,2.4555201530456543
2000-04-07,2.478541135787964
2000-04-10,2.470867156982422
2000-04-11,2.4478471279144287
2000-04-12,2.4401721954345703
2000-04-13,2.4401721954345703
2000-04-14,2.4555201530456543
2000-04-17,2.3864591121673584
2000-04-18,2.4401721954345703
2000-04-19,2.5092341899871826
2000-04-20,2.5476019382476807
2000-04-24,2.478541135787964
2000-04-25,2.532254695892334
2000-04-26,2.524580955505371
2000-04-27,2.532254695892334
2000-04-28,2.524580955505371
2000-05-01,2.5552752017974854
2000-05-02,2.524580955505371
2000-05-03,2.4478471279144287
2000-05-04,2.5399274826049805
2000-05-05,2.578296422958374
2000-05-08,2.5476019382476807
2000-05-09,2.5399274826049805
2000-05-10,2.493886947631836
2000-05-11,2.4862139225006104
2000-05-12,2.4862139225006104
2000-05-15,2.524580955505371
2000-05-16,2.578296422958374
2000-05-17,2.5476019382476807
2000-05-18,2.524580955505371
2000-05-19,2.4555201530456543
2000-05-22,2.4555201530456543
2000-05-23,2.371110439300537
2000-05-24,2.3941311836242676
2000-05-25,2.3941311836242676
2000-05-26,2.3480894565582275
2000-05-30,2.4862139225006104
2000-05-31,2.5552752017974854
2000-06-01,2.5552752017974854
2000-06-02,2.5706229209899902
2000-06-05,2.5169076919555664
2000-06-06,2.5476019382476807
2000-06-07,2.5169076919555664
2000-06-08,2.478541135787964
2000-06-09,2.5169076919555664
2000-06-12,2.5092341899871826
2000-06-13,2.4478471279144287
2000-06-14,2.4090540409088135
2000-06-15,2.470628499984741
2000-06-16,2.4321441650390625
2000-06-19,2.447537899017334
2000-06-20,2.447537899017334
2000-06-21,2.462932586669922
