Date,FANG
2012-10-12,13.378534317016602
2012-10-15,13.569656372070312
2012-10-16,13.600238800048828
2012-10-17,13.5314359664917
2012-10-18,13.5314359664917
2012-10-19,13.309731483459473
2012-10-22,13.019225120544434
2012-10-23,13.095674514770508
2012-10-24,13.294443130493164
2012-10-25,13.019225120544434
2012-10-26,13.103321075439453
2012-10-31,13.019225120544434
2012-11-01,13.172120094299316
2012-11-02,12.996293067932129
2012-11-05,12.774591445922852
2012-11-06,13.003934860229492
2012-11-07,13.042160987854004
2012-11-08,12.805170059204102
2012-11-09,12.652271270751953
2012-11-12,12.614046096801758
2012-11-13,12.262382507324219
2012-11-14,12.270026206970215
2012-11-15,12.766948699951172
2012-11-16,12.858685493469238
2012-11-19,13.088032722473145
2012-11-20,13.095674514770508
2012-11-21,13.149189949035645
2012-11-23,13.240928649902344
2012-11-26,13.195056915283203
2012-11-27,13.172120094299316
2012-11-28,13.187413215637207
2012-11-29,13.883099555969238
2012-11-30,13.760781288146973
2012-12-03,13.837233543395996
2012-12-04,13.630817413330078
2012-12-05,13.745491027832031
2012-12-06,13.470274925231934
2012-12-07,13.569656372070312
2012-12-10,13.470274925231934
2012-12-11,13.4091157913208
2012-12-12,13.485565185546875
2012-12-13,13.669039726257324
2012-12-14,13.432048797607422
2012-12-17,13.745491027832031
2012-12-18,14.372365951538086
2012-12-19,14.662880897521973
2012-12-20,14.540557861328125
2012-12-21,14.509978294372559
2012-12-24,14.250051498413086
2012-12-26,14.257697105407715
2012-12-27,14.173604965209961
2012-12-28,14.357081413269043
2012-12-31,14.617005348205566
2013-01-02,14.70874309539795
2013-01-03,14.632293701171875
2013-01-04,15.32797622680664
2013-01-07,15.878411293029785
2013-01-08,15.748446464538574
2013-01-09,15.649065971374512
2013-01-10,16.535865783691406
2013-01-11,16.566444396972656
2013-01-14,16.66583251953125
2013-01-15,16.604673385620117
2013-01-16,16.268301010131836
2013-01-17,16.14598274230957
2013-01-18,15.702581405639648
2013-01-22,16.658191680908203
2013-01-23,16.382972717285156
2013-01-24,16.382972717285156
2013-01-25,16.8187313079834
2013-01-28,16.54351234436035
2013-01-29,16.918109893798828
2013-01-30,17.330934524536133
2013-01-31,17.139816284179688
2013-02-01,17.35387420654297
2013-02-04,17.231557846069336
2013-02-05,17.300357818603516
2013-02-06,17.300357818603516
2013-02-07,17.139816284179688
2013-02-08,16.856952667236328
2013-02-11,16.48235321044922
2013-02-12,16.489999771118164
2013-02-13,16.48235321044922
2013-02-14,16.8187313079834
2013-02-15,17.048076629638672
2013-02-19,17.44561004638672
2013-02-20,16.268301010131836
2013-02-21,15.847831726074219
2013-02-22,16.038951873779297
2013-02-25,15.090985298156738
2013-02-26,15.32797622680664
2013-02-27,16.023666381835938
2013-02-28,17.36151885986328
2013-03-01,17.078655242919922
2013-03-04,17.116886138916016
2013-03-05,18.11836051940918
2013-03-06,18.00368309020996
2013-03-07,18.737592697143555
2013-03-08,19.03574562072754
2013-03-11,18.722301483154297
2013-03-12,19.058683395385742
2013-03-13,19.685556411743164
2013-03-14,19.00516128540039
2013-03-15,18.462377548217773
2013-03-18,18.340059280395508
2013-03-19,18.164228439331055
2013-03-20,18.347705841064453
2013-03-21,18.58469581604004
2013-03-22,18.76817512512207
2013-03-25,19.26509666442871
2013-03-26,19.60910987854004
2013-03-27,19.960773468017578
2013-03-28,20.518848419189453
2013-04-01,20.94696807861328
2013-04-02,20.67174530029297
2013-04-03,19.05103874206543
2013-04-04,19.150419235229492
2013-04-05,19.249797821044922
2013-04-08,19.914905548095703
2013-04-09,20.45768928527832
2013-04-10,19.937841415405273
2013-04-11,20.25892448425293
2013-04-12,20.358308792114258
2013-04-15,19.72378158569336
2013-04-16,20.442401885986328
2013-04-17,19.72378158569336
2013-04-18,20.26657485961914
2013-04-19,20.04486656188965
2013-04-22,20.62588119506836
2013-04-23,21.01576805114746
2013-04-24,20.717620849609375
2013-04-25,20.870515823364258
2013-04-26,20.549428939819336
2013-04-29,19.907262802124023
2013-04-30,20.07545280456543
2013-05-01,20.213058471679688
2013-05-02,20.717620849609375
2013-05-03,21.00812339782715
2013-05-06,21.986665725708008
2013-05-07,21.818485260009766
2013-05-08,22.57532501220703
2013-05-09,21.925514221191406
2013-05-10,21.84906005859375
2013-05-13,21.910215377807617
2013-05-14,22.07076072692871
2013-05-15,22.53710174560547
2013-05-16,22.88876724243164
2013-05-17,24.027849197387695
2013-05-20,24.486536026000977
2013-05-21,24.24190330505371
2013-05-22,24.87643051147461
2013-05-23,25.43450927734375
2013-05-24,26.237220764160156
2013-05-28,26.718847274780273
2013-05-29,26.726486206054688
2013-05-30,26.718847274780273
2013-05-31,25.816753387451172
2013-06-03,26.45127296447754
2013-06-04,26.053747177124023
2013-06-05,25.946718215942383
2013-06-06,26.435989379882812
2013-06-07,27.101093292236328
2013-06-10,26.55830955505371
2013-06-11,26.344240188598633
2013-06-12,26.321308135986328
2013-06-13,26.7341365814209
2013-06-14,26.672977447509766
2013-06-17,26.336605072021484
2013-06-18,26.76471710205078
2013-06-19,26.458921432495117
2013-06-20,24.952877044677734
2013-06-21,25.342775344848633
2013-06-24,24.47889518737793
2013-06-25,25.16693878173828
2013-06-26,25.725013732910156
2013-06-27,25.273967742919922
2013-06-28,25.47273063659668
2013-07-01,26.198997497558594
2013-07-02,26.420698165893555
2013-07-03,26.90996742248535
2013-07-05,27.437458038330078
2013-07-08,27.598005294799805
2013-07-09,27.903804779052734
2013-07-10,28.40836524963379
2013-07-11,28.744731903076172
2013-07-12,28.4771785736084
2013-07-15,28.49245262145996
2013-07-16,28.828826904296875
2013-07-17,28.79060935974121
2013-07-18,29.1116886138916
2013-07-19,30.090238571166992
2013-07-22,30.174339294433594
2013-07-23,29.654481887817383
2013-07-24,28.599483489990234
2013-07-25,28.859416961669922
2013-07-26,28.645353317260742
2013-07-29,28.798250198364258
2013-07-30,28.92057991027832
2013-07-31,29.188148498535156
2013-08-01,32.57482147216797
2013-08-02,32.605403900146484
2013-08-05,32.94942092895508
2013-08-06,32.261390686035156
2013-08-07,32.29196548461914
2013-08-08,32.17729187011719
2013-08-09,32.29196548461914
2013-08-12,32.16964340209961
2013-08-13,32.17729187011719
2013-08-14,30.923532485961914
2013-08-15,30.418960571289062
2013-08-16,30.961755752563477
2013-08-19,30.082599639892578
2013-08-20,30.029071807861328
2013-08-21,29.983213424682617
2013-08-22,30.082599639892578
2013-08-23,30.671253204345703
2013-08-26,30.579500198364258
2013-08-27,30.49541664123535
2013-08-28,31.72624969482422
2013-08-29,30.915882110595703
2013-08-30,30.76299285888672
2013-09-03,31.84856605529785
2013-09-04,33.14053726196289
2013-09-05,33.34695816040039
2013-09-06,33.19405746459961
2013-09-09,33.8820915222168
2013-09-10,33.9279670715332
2013-09-11,34.80712890625
2013-09-12,35.648067474365234
2013-09-13,35.16643524169922
2013-09-16,34.264347076416016
2013-09-17,34.088504791259766
2013-09-18,34.14966583251953
2013-09-19,33.65275192260742
2013-09-20,32.70478439331055
2013-09-23,33.29343795776367
2013-09-24,33.3546028137207
2013-09-25,33.4539794921875
2013-09-26,33.62217712402344
2013-09-27,32.987640380859375
2013-09-30,32.59775161743164
2013-10-01,33.19405746459961
