Date,CL
2000-01-03,17.562253952026367
2000-01-04,17.10380744934082
2000-01-05,16.521928787231445
2000-01-06,16.486656188964844
2000-01-07,17.47410011291504
2000-01-10,17.950183868408203
2000-01-11,18.038349151611328
2000-01-12,18.161775588989258
2000-01-13,18.285205841064453
2000-01-14,17.86201286315918
2000-01-18,17.773853302001953
2000-01-19,17.350658416748047
2000-01-20,17.47410011291504
2000-01-21,17.29776382446289
2000-01-24,17.165685653686523
2000-01-25,16.86514663696289
2000-01-26,17.02424430847168
2000-01-27,17.059600830078125
2000-01-28,16.82978057861328
2000-01-31,16.759078979492188
2000-02-01,16.86514663696289
2000-02-02,17.342453002929688
2000-02-03,16.97121810913086
2000-02-04,15.910506248474121
2000-02-07,15.945873260498047
2000-02-08,16.59996795654297
2000-02-09,16.45853614807129
2000-02-10,16.26408576965332
2000-02-11,15.804443359375
2000-02-14,15.274091720581055
2000-02-15,15.751409530639648
2000-02-16,15.663013458251953
2000-02-17,15.256418228149414
2000-02-18,15.0089111328125
2000-02-22,14.814460754394531
2000-02-23,14.531600952148438
2000-02-24,13.8774995803833
2000-02-25,13.647686004638672
2000-02-28,14.42552661895752
2000-02-29,14.7614164352417
2000-03-01,14.991240501403809
2000-03-02,14.885170936584473
2000-03-03,15.521587371826172
2000-03-06,14.93820571899414
2000-03-07,13.223403930664062
2000-03-08,12.427879333496094
2000-03-09,12.445558547973633
2000-03-10,12.091988563537598
2000-03-13,12.268774032592773
2000-03-14,12.215739250183105
2000-03-15,14.655350685119629
2000-03-16,14.49624252319336
2000-03-17,14.124998092651367
2000-03-20,14.21339225769043
2000-03-21,14.23106575012207
2000-03-22,14.301783561706543
2000-03-23,15.026594161987305
2000-03-24,15.380160331726074
2000-03-27,15.32712173461914
2000-03-28,16.08728790283203
2000-03-29,15.963545799255371
2000-03-30,15.892830848693848
2000-03-31,15.945873260498047
2000-04-03,17.112640380859375
2000-04-04,17.165685653686523
2000-04-05,16.52924919128418
2000-04-06,16.688358306884766
2000-04-07,16.776748657226562
2000-04-10,17.04192352294922
2000-04-11,17.713695526123047
2000-04-12,17.53691291809082
2000-04-13,16.688358306884766
2000-04-14,15.769087791442871
2000-04-17,16.29943084716797
2000-04-18,15.627655982971191
2000-04-19,15.751409530639648
2000-04-20,16.158002853393555
2000-04-24,16.628278732299805
2000-04-25,16.787817001342773
2000-04-26,16.36237335205078
2000-04-27,16.64601707458496
2000-04-28,16.202823638916016
2000-05-01,15.635554313659668
2000-05-02,15.919180870056152
2000-05-03,15.741904258728027
2000-05-04,15.865997314453125
2000-05-05,16.202823638916016
2000-05-08,16.344646453857422
2000-05-09,16.73464584350586
2000-05-10,16.504186630249023
2000-05-11,17.071462631225586
2000-05-12,16.690326690673828
2000-05-15,16.805559158325195
2000-05-16,16.468738555908203
2000-05-17,16.61055564880371
2000-05-18,16.752370834350586
2000-05-19,16.14964485168457
2000-05-22,16.04327964782715
2000-05-23,15.865997314453125
2000-05-24,16.061006546020508
2000-05-25,15.883723258972168
2000-05-26,15.812823295593262
2000-05-30,15.351907730102539
2000-05-31,14.9264497756958
2000-06-01,15.121464729309082
2000-06-02,15.458277702331543
2000-06-05,15.050545692443848
2000-06-06,15.476001739501953
2000-06-07,16.16737174987793
2000-06-08,16.025554656982422
2000-06-09,16.131916046142578
2000-06-12,16.291465759277344
2000-06-13,15.759636878967285
2000-06-14,16.202823638916016
2000-06-15,16.592819213867188
2000-06-16,16.41555404663086
2000-06-19,16.344646453857422
2000-06-20,16.273727416992188
2000-06-21,16.16737174987793
2000-06-22,15.883723258972168
2000-06-23,15.759636878967285
2000-06-26,16.025554656982422
2000-06-27,16.14964485168457
2000-06-28,16.05657386779785
2000-06-29,16.096452713012695
2000-06-30,16.982826232910156
2000-07-03,16.982826232910156
2000-07-05,16.823287963867188
2000-07-06,16.681453704833984
2000-07-07,16.220548629760742
2000-07-10,15.795093536376953
2000-07-11,15.493727684020996
2000-07-12,15.032814025878906
2000-07-13,15.050545692443848
2000-07-14,15.387369155883789
2000-07-17,15.582371711730957
2000-07-18,15.582371711730957
2000-07-19,15.458277702331543
2000-07-20,15.706459045410156
2000-07-21,16.061006546020508
2000-07-24,15.928171157836914
2000-07-25,16.017059326171875
2000-07-26,15.803738594055176
2000-07-27,16.03483772277832
2000-07-28,15.928171157836914
2000-07-31,15.839288711547852
2000-08-01,16.17705535888672
2000-08-02,16.088178634643555
2000-08-03,16.03483772277832
2000-08-04,15.643739700317383
2000-08-07,15.234872817993164
2000-08-08,15.039325714111328
2000-08-09,14.826001167297363
2000-08-10,15.252646446228027
2000-08-11,15.181540489196777
2000-08-14,15.341536521911621
2000-08-15,15.359312057495117
2000-08-16,15.323756217956543
2000-08-17,15.00377368927002
2000-08-18,14.89710521697998
2000-08-21,14.985994338989258
2000-08-22,14.488232612609863
2000-08-23,15.092658996582031
2000-08-24,15.0215482711792
2000-08-25,15.074875831604004
2000-08-28,14.968220710754395
2000-08-29,14.737113952636719
2000-08-30,14.612675666809082
2000-08-31,14.488232612609863
2000-09-01,14.737113952636719
2000-09-05,14.826001167297363
2000-09-06,15.537086486816406
2000-09-07,15.163762092590332
2000-09-08,15.37708854675293
2000-09-11,15.643739700317383
2000-09-12,15.82150936126709
2000-09-13,15.981505393981934
2000-09-14,13.492727279663086
2000-09-15,13.24384593963623
