Date,ABBV
2013-01-02,20.56106185913086
2013-01-03,20.39129066467285
2013-01-04,20.133689880371094
2013-01-07,20.17467498779297
2013-01-08,19.735584259033203
2013-01-09,19.84681510925293
2013-01-10,19.905357360839844
2013-01-11,20.053470611572266
2013-01-14,20.195653915405273
2013-01-15,20.497785568237305
2013-01-16,21.054658889770508
2013-01-17,21.575992584228516
2013-01-18,22.109169006347656
2013-01-22,21.575992584228516
2013-01-23,22.393529891967773
2013-01-24,22.19211196899414
2013-01-25,22.275047302246094
2013-01-28,21.854429244995117
2013-01-29,22.10325050354004
2013-01-30,21.87812042236328
2013-01-31,21.73594093322754
2013-02-01,22.0262393951416
2013-02-04,22.085479736328125
2013-02-05,22.038084030151367
2013-02-06,22.002532958984375
2013-02-07,21.575992584228516
2013-02-08,21.475276947021484
2013-02-11,21.238311767578125
2013-02-12,20.98356819152832
2013-02-13,20.89470863342285
2013-02-14,21.66486167907715
2013-02-15,22.26319694519043
2013-02-19,22.62458038330078
2013-02-20,22.873397827148438
2013-02-21,22.974102020263672
2013-02-22,22.784528732299805
2013-02-25,22.1387882232666
2013-02-26,21.972919464111328
2013-02-27,21.7596378326416
2013-02-28,21.872203826904297
2013-03-01,22.399456024169922
2013-03-04,22.65419578552246
2013-03-05,22.221736907958984
2013-03-06,22.357994079589844
2013-03-07,22.209882736206055
2013-03-08,22.12101936340332
2013-03-11,22.316513061523438
2013-03-12,22.02031135559082
2013-03-13,22.02031135559082
2013-03-14,22.25135612487793
2013-03-15,22.8082275390625
2013-03-18,22.606807708740234
2013-03-19,22.72528648376465
2013-03-20,23.13998031616211
2013-03-21,22.802310943603516
2013-03-22,23.086669921875
2013-03-25,23.294015884399414
2013-03-26,23.821266174316406
2013-03-27,23.785722732543945
2013-03-28,24.158945083618164
2013-04-01,24.36037254333496
2013-04-02,24.117475509643555
2013-04-03,24.034543991088867
2013-04-04,24.64473533630371
2013-04-05,24.472932815551758
2013-04-08,24.74544906616211
2013-04-09,25.20754051208496
2013-04-10,25.841426849365234
2013-04-11,25.8294677734375
2013-04-12,25.763704299926758
2013-04-15,24.777149200439453
2013-04-16,25.381046295166016
2013-04-17,25.255489349365234
2013-04-18,25.303316116333008
2013-04-19,25.345163345336914
2013-04-22,26.427385330200195
2013-04-23,26.989404678344727
2013-04-24,26.499120712280273
2013-04-25,26.45128631591797
2013-04-26,27.407936096191406
2013-04-29,27.043216705322266
2013-04-30,27.53350067138672
2013-05-01,27.234546661376953
2013-05-02,26.301809310913086
2013-05-03,26.714370727539062
2013-05-06,26.66055679321289
2013-05-07,26.851882934570312
2013-05-08,26.002853393554688
2013-05-09,26.45128631591797
2013-05-10,26.911678314208984
2013-05-13,26.630661010742188
2013-05-14,27.114967346191406
2013-05-15,27.52153968811035
2013-05-16,27.629161834716797
2013-05-17,28.203147888183594
2013-05-20,27.659053802490234
2013-05-21,27.82647132873535
2013-05-22,27.958009719848633
2013-05-23,27.85637092590332
2013-05-24,27.168785095214844
2013-05-28,27.138885498046875
2013-05-29,26.236045837402344
2013-05-30,26.63663101196289
2013-05-31,25.524538040161133
2013-06-03,25.925128936767578
2013-06-04,26.08657455444336
2013-06-05,25.733810424804688
2013-06-06,26.00885009765625
2013-06-07,26.30778694152832
2013-06-10,26.259939193725586
2013-06-11,26.06265640258789
2013-06-12,25.572370529174805
2013-06-13,25.799577713012695
2013-06-14,25.8354434967041
2013-06-17,25.715869903564453
2013-06-18,26.03275489807129
2013-06-19,25.733810424804688
2013-06-20,24.54995346069336
2013-06-21,25.482681274414062
2013-06-24,25.046218872070312
2013-06-25,25.488664627075195
2013-06-26,25.937088012695312
2013-06-27,25.787612915039062
2013-06-28,24.717369079589844
2013-07-01,24.878799438476562
2013-07-02,25.2375431060791
2013-07-03,25.24950408935547
2013-07-05,25.54248046875
2013-07-08,26.1164608001709
2013-07-09,25.901214599609375
2013-07-10,26.25398063659668
2013-07-11,26.41689109802246
2013-07-12,27.183225631713867
2013-07-15,26.92375946044922
2013-07-16,26.43501091003418
2013-07-17,26.525503158569336
2013-07-18,26.742734909057617
2013-07-19,26.863422393798828
2013-07-22,27.13494873046875
2013-07-23,26.73670196533203
2013-07-24,26.33242416381836
2013-07-25,26.694461822509766
2013-07-26,27.02634048461914
2013-07-29,27.189258575439453
2013-07-30,26.972034454345703
2013-07-31,27.44268035888672
2013-08-01,27.303911209106445
2013-08-02,27.346139907836914
2013-08-05,26.978055953979492
2013-08-06,27.080644607543945
2013-08-07,26.893587112426758
2013-08-08,27.189258575439453
2013-08-09,26.978055953979492
2013-08-12,27.17719268798828
2013-08-13,27.110811233520508
2013-08-14,26.899625778198242
2013-08-15,26.072956085205078
2013-08-16,25.946239471435547
2013-08-19,26.16950798034668
2013-08-20,25.92815399169922
2013-08-21,25.529897689819336
2013-08-22,25.897972106933594
2013-08-23,26.205718994140625
2013-08-26,26.217788696289062
2013-08-27,25.722991943359375
2013-08-28,25.680740356445312
2013-08-29,25.716951370239258
2013-08-30,25.71091651916504
2013-09-03,25.698850631713867
2013-09-04,26.02468490600586
