Date,OTIS
2020-03-19,41.11618423461914
2020-03-20,40.889041900634766
2020-03-23,36.34580612182617
2020-03-24,36.34580612182617
2020-03-25,37.2635383605957
2020-03-26,40.889041900634766
2020-03-27,41.102569580078125
2020-03-30,45.4322624206543
2020-03-31,45.4322624206543
2020-04-01,42.43373107910156
2020-04-02,39.98039245605469
2020-04-03,42.99708938598633
2020-04-06,41.743160247802734
2020-04-07,40.23481369018555
2020-04-08,40.062164306640625
2020-04-09,44.65082550048828
2020-04-13,41.79767608642578
2020-04-14,41.69773483276367
2020-04-15,40.48014450073242
2020-04-16,41.45240020751953
2020-04-17,41.933982849121094
2020-04-20,41.24341583251953
2020-04-21,41.706817626953125
2020-04-22,42.75175857543945
2020-04-23,43.133392333984375
2020-04-24,43.478675842285156
2020-04-27,43.81487274169922
2020-04-28,45.30504608154297
2020-04-29,46.477195739746094
2020-04-30,46.25913619995117
2020-05-01,45.16875076293945
2020-05-04,45.00519561767578
2020-05-05,43.69675064086914
2020-05-06,43.89664840698242
2020-05-07,47.076904296875
2020-05-08,48.112770080566406
2020-05-11,47.076904296875
2020-05-12,45.17784118652344
2020-05-13,43.80577850341797
2020-05-14,43.61497497558594
2020-05-15,44.423675537109375
2020-05-18,47.367671966552734
2020-05-19,47.531227111816406
2020-05-20,48.321754455566406
2020-05-21,47.45528793334961
2020-05-22,47.16341018676758
2020-05-26,46.4155158996582
2020-05-27,47.77450942993164
2020-05-28,46.47935485839844
2020-05-29,48.0207633972168
2020-06-01,49.32502746582031
2020-06-02,49.38888931274414
2020-06-03,50.59282302856445
2020-06-04,50.52898025512695
2020-06-05,53.420249938964844
2020-06-08,55.87372589111328
2020-06-09,55.3173713684082
2020-06-10,53.83980941772461
2020-06-11,51.30423355102539
2020-06-12,51.11270523071289
2020-06-15,52.59939193725586
2020-06-16,52.763553619384766
2020-06-17,51.751155853271484
2020-06-18,52.43521499633789
2020-06-19,51.98830795288086
2020-06-22,52.043025970458984
2020-06-23,51.80587387084961
2020-06-24,50.656673431396484
2020-06-25,51.258636474609375
2020-06-26,50.88468551635742
2020-06-29,51.59611511230469
2020-06-30,51.86060333251953
2020-07-01,50.87556457519531
2020-07-02,51.53226852416992
2020-07-06,51.86060333251953
2020-07-07,51.82412338256836
2020-07-08,51.915321350097656
2020-07-09,51.176551818847656
2020-07-10,51.97005844116211
2020-07-13,51.88796615600586
2020-07-14,52.32576370239258
2020-07-15,53.08277130126953
2020-07-16,53.192230224609375
2020-07-17,53.40202713012695
2020-07-20,53.411128997802734
2020-07-21,53.30168914794922
2020-07-22,53.338165283203125
2020-07-23,53.86716842651367
2020-07-24,53.018943786621094
2020-07-27,53.192230224609375
2020-07-28,54.97990036010742
2020-07-29,58.64643859863281
2020-07-30,57.81645202636719
2020-07-31,57.223609924316406
2020-08-03,57.65227127075195
2020-08-04,57.10504150390625
2020-08-05,57.54283905029297
2020-08-06,57.8985481262207
2020-08-07,58.74678039550781
2020-08-10,59.47642517089844
2020-08-11,58.710289001464844
2020-08-12,59.193695068359375
2020-08-13,58.3728141784668
2020-08-14,58.436676025390625
2020-08-17,58.336341857910156
2020-08-18,57.87118148803711
2020-08-19,57.38777160644531
2020-08-20,57.61653518676758
2020-08-21,58.220420837402344
2020-08-24,58.37596130371094
2020-08-25,58.824310302734375
2020-08-26,58.72365951538086
2020-08-27,57.85442352294922
2020-08-28,58.18381881713867
2020-08-31,57.55248260498047
2020-09-01,58.60471725463867
2020-09-02,59.7850456237793
2020-09-03,56.59174346923828
2020-09-04,56.26234817504883
2020-09-08,55.47547149658203
2020-09-09,56.80220031738281
2020-09-10,54.807533264160156
2020-09-11,55.027130126953125
2020-09-14,54.88987350463867
2020-09-15,55.17351531982422
2020-09-16,54.70688247680664
2020-09-17,55.850608825683594
2020-09-18,55.70421600341797
2020-09-21,54.35918045043945
2020-09-22,55.804866790771484
2020-09-23,55.2741813659668
2020-09-24,56.80220031738281
2020-09-25,56.317256927490234
2020-09-28,57.195640563964844
2020-09-29,57.104129791259766
2020-09-30,57.11328887939453
2020-10-01,57.067543029785156
2020-10-02,57.790374755859375
2020-10-05,59.05305862426758
2020-10-06,58.403411865234375
2020-10-07,59.51969909667969
2020-10-08,59.208595275878906
2020-10-09,59.794193267822266
2020-10-12,60.10530090332031
2020-10-13,59.59288787841797
