Date,GPC
2000-01-03,10.290027618408203
2000-01-04,10.183126449584961
2000-01-05,10.129660606384277
2000-01-06,10.129660606384277
2000-01-07,10.7978515625
2000-01-10,10.664219856262207
2000-01-11,10.503849029541016
2000-01-12,10.423666954040527
2000-01-13,10.664219856262207
2000-01-14,10.584030151367188
2000-01-18,10.610757827758789
2000-01-19,10.717670440673828
2000-01-20,10.396940231323242
2000-01-21,10.343488693237305
2000-01-24,10.290027618408203
2000-01-25,10.129660606384277
2000-01-26,9.915848731994629
2000-01-27,9.835667610168457
2000-01-28,9.728757858276367
2000-01-31,10.316758155822754
2000-02-01,9.862391471862793
2000-02-02,9.835667610168457
2000-02-03,9.889119148254395
2000-02-04,9.728757858276367
2000-02-07,9.808942794799805
2000-02-08,9.728757858276367
2000-02-09,9.621844291687012
2000-02-10,9.461477279663086
2000-02-11,9.247664451599121
2000-02-14,9.434749603271484
2000-02-15,9.595115661621094
2000-02-16,9.541671752929688
2000-02-17,9.541671752929688
2000-02-18,9.568392753601074
2000-02-22,9.702037811279297
2000-02-23,9.434749603271484
2000-02-24,9.327847480773926
2000-02-25,9.301119804382324
2000-02-28,9.434749603271484
2000-02-29,9.648571968078613
2000-03-01,9.497052192687988
2000-03-02,9.44294261932373
2000-03-03,9.469996452331543
2000-03-06,9.226484298706055
2000-03-07,8.793569564819336
2000-03-08,8.982972145080566
2000-03-09,8.901795387268066
2000-03-10,8.955914497375488
2000-03-13,9.118257522583008
2000-03-14,8.820624351501465
2000-03-15,9.52410888671875
2000-03-16,10.119365692138672
2000-03-17,10.281710624694824
2000-03-20,10.09231185913086
2000-03-21,10.173487663269043
2000-03-22,10.12613296508789
2000-03-23,10.247892379760742
2000-03-24,10.065254211425781
2000-03-27,10.173487663269043
2000-03-28,10.065254211425781
2000-03-29,10.065254211425781
2000-03-30,10.200543403625488
2000-03-31,10.33582592010498
2000-04-03,10.471117973327637
2000-04-04,10.525224685668945
2000-04-05,10.525224685668945
2000-04-06,10.606391906738281
2000-04-07,10.389942169189453
2000-04-10,10.498172760009766
2000-04-11,10.876974105834961
2000-04-12,10.687569618225098
2000-04-13,10.633453369140625
2000-04-14,10.362882614135742
2000-04-17,10.633453369140625
2000-04-18,10.71462631225586
2000-04-19,10.687569618225098
2000-04-20,10.71462631225586
2000-04-24,10.931079864501953
2000-04-25,11.364002227783203
2000-04-26,11.39105224609375
2000-04-27,11.282828330993652
2000-04-28,11.364002227783203
2000-05-01,11.445158004760742
2000-05-02,11.364002227783203
2000-05-03,11.282828330993652
2000-05-04,11.25577163696289
2000-05-05,11.066368103027344
2000-05-08,11.228714942932129
2000-05-09,11.147536277770996
2000-05-10,11.012252807617188
2000-05-11,11.039310455322266
2000-05-12,11.093428611755371
2000-05-15,11.012252807617188
2000-05-16,11.228714942932129
2000-05-17,10.958139419555664
2000-05-18,10.876974105834961
2000-05-19,10.876974105834961
2000-05-22,10.849908828735352
2000-05-23,10.822853088378906
2000-05-24,11.012252807617188
2000-05-25,10.876974105834961
2000-05-26,10.525224685668945
2000-05-30,10.660511016845703
2000-05-31,10.33582592010498
2000-06-01,10.498172760009766
2000-06-02,10.498172760009766
2000-06-05,10.471117973327637
2000-06-06,10.308773040771484
2000-06-07,10.155479431152344
2000-06-08,10.128103256225586
2000-06-09,10.073359489440918
2000-06-12,10.045988082885742
2000-06-13,10.128103256225586
2000-06-14,10.155479431152344
2000-06-15,9.963868141174316
2000-06-16,9.690128326416016
2000-06-19,9.471144676208496
2000-06-20,9.361653327941895
2000-06-21,9.334282875061035
2000-06-22,9.252164840698242
2000-06-23,9.279533386230469
2000-06-26,9.197416305541992
2000-06-27,9.279533386230469
2000-06-28,9.231629371643066
2000-06-29,9.087920188903809
2000-06-30,8.759442329406738
2000-07-03,9.197416305541992
2000-07-05,9.22479248046875
2000-07-06,9.22479248046875
2000-07-07,9.389031410217285
2000-07-10,9.471144676208496
2000-07-11,9.608011245727539
2000-07-12,9.553266525268555
2000-07-13,9.553266525268555
2000-07-14,9.580639839172363
2000-07-17,9.389031410217285
2000-07-18,9.306906700134277
2000-07-19,9.142667770385742
2000-07-20,9.115296363830566
2000-07-21,9.033171653747559
2000-07-24,9.22479248046875
2000-07-25,9.087920188903809
2000-07-26,9.115296363830566
2000-07-27,8.978429794311523
2000-07-28,8.814189910888672
2000-07-31,8.786816596984863
2000-08-01,8.896308898925781
2000-08-02,8.978429794311523
2000-08-03,8.896308898925781
2000-08-04,8.978429794311523
2000-08-07,9.005804061889648
2000-08-08,9.170042037963867
2000-08-09,9.115296363830566
2000-08-10,9.197416305541992
2000-08-11,9.443774223327637
2000-08-14,9.553266525268555
2000-08-15,9.361653327941895
2000-08-16,9.361653327941895
2000-08-17,9.389031410217285
2000-08-18,9.279533386230469
2000-08-21,9.361653327941895
2000-08-22,9.416402816772461
2000-08-23,9.142667770385742
2000-08-24,9.197416305541992
2000-08-25,9.142667770385742
2000-08-28,9.115296363830566
2000-08-29,9.033171653747559
2000-08-30,9.005804061889648
2000-08-31,9.005804061889648
2000-09-01,8.92368221282959
2000-09-05,9.142667770385742
2000-09-06,9.320196151733398
2000-09-07,9.29245662689209
2000-09-08,9.181502342224121
2000-09-11,9.29245662689209
2000-09-12,9.236981391906738
2000-09-13,9.126025199890137
2000-09-14,8.959593772888184
2000-09-15,8.848640441894531
2000-09-18,8.73768138885498
2000-09-19,8.54351806640625
2000-09-20,8.40481948852539
2000-09-21,8.460294723510742
2000-09-22,8.40481948852539
2000-09-25,8.34934139251709
2000-09-26,8.26612663269043
2000-09-27,8.488036155700684
2000-09-28,8.488036155700684
2000-09-29,8.460294723510742
2000-10-02,8.432557106018066
2000-10-03,8.709944725036621
2000-10-04,8.709944725036621
2000-10-05,8.793159484863281
2000-10-06,8.682207107543945
2000-10-09,8.73768138885498
2000-10-10,8.709944725036621
2000-10-11,8.765423774719238
2000-10-12,8.709944725036621
2000-10-13,8.682207107543945
2000-10-16,8.682207107543945
2000-10-17,8.598986625671387
2000-10-18,8.488036155700684
2000-10-19,8.82089900970459
2000-10-20,8.73768138885498
2000-10-23,8.65446662902832
2000-10-24,8.793159484863281
2000-10-25,8.709944725036621
2000-10-26,8.793159484863281
2000-10-27,8.765423774719238
2000-10-30,9.015071868896484
2000-10-31,9.45888900756836
2000-11-01,9.347936630249023
2000-11-02,9.29245662689209
2000-11-03,9.264716148376465
2000-11-06,9.375676155090332
2000-11-07,9.29245662689209
