Date,FCX
2000-01-03,6.120049953460693
2000-01-04,5.777037143707275
2000-01-05,5.993677139282227
2000-01-06,5.813145637512207
2000-01-07,5.6687188148498535
2000-01-10,5.704824924468994
2000-01-11,5.740930080413818
2000-01-12,5.650662422180176
2000-01-13,5.614560127258301
2000-01-14,5.488185405731201
2000-01-18,5.6326141357421875
2000-01-19,5.777037143707275
2000-01-20,5.506237983703613
2000-01-21,5.307652950286865
2000-01-24,5.163228988647461
2000-01-25,5.091014385223389
2000-01-26,4.820214748382568
2000-01-27,5.145173072814941
2000-01-28,5.036854267120361
2000-01-31,5.036854267120361
2000-02-01,5.036854267120361
2000-02-02,5.036854267120361
2000-02-03,5.054907321929932
2000-02-04,5.361813068389893
2000-02-07,5.307652950286865
2000-02-08,5.199334621429443
2000-02-09,5.181280612945557
2000-02-10,5.145173072814941
2000-02-11,5.253495693206787
2000-02-14,5.307652950286865
2000-02-15,5.2895989418029785
2000-02-16,5.199334621429443
2000-02-17,5.235438823699951
2000-02-18,5.199334621429443
2000-02-22,5.1271209716796875
2000-02-23,4.820214748382568
2000-02-24,4.314725399017334
2000-02-25,4.043924331665039
2000-02-28,3.9717142581939697
2000-02-29,3.9717142581939697
2000-03-01,4.0619797706604
2000-03-02,3.8453409671783447
2000-03-03,3.9536609649658203
2000-03-06,3.8453409671783447
2000-03-07,4.025872230529785
2000-03-08,3.9175519943237305
2000-03-09,3.8272881507873535
2000-03-10,3.773127794265747
2000-03-13,3.737020254135132
2000-03-14,3.6467549800872803
2000-03-15,3.8453409671783447
2000-03-16,3.9717142581939697
2000-03-17,3.809232711791992
2000-03-20,3.9717142581939697
2000-03-21,4.007819652557373
2000-03-22,3.6467549800872803
2000-03-23,3.9717142581939697
2000-03-24,3.9175519943237305
2000-03-27,3.899500608444214
2000-03-28,3.9536609649658203
2000-03-29,3.574540853500366
2000-03-30,3.520381450653076
2000-03-31,3.484276056289673
2000-04-03,3.502329111099243
2000-04-04,3.4662232398986816
2000-04-05,3.538435459136963
2000-04-06,3.520381450653076
2000-04-07,3.159315824508667
2000-04-10,3.339848756790161
2000-04-11,3.0871052742004395
2000-04-12,3.2134759426116943
2000-04-13,3.2856903076171875
2000-04-14,3.159315824508667
2000-04-17,3.0509982109069824
2000-04-18,2.8885185718536377
2000-04-19,2.9968385696411133
2000-04-20,2.8885185718536377
2000-04-24,2.8885185718536377
2000-04-25,2.9065728187561035
2000-04-26,2.8343594074249268
2000-04-27,2.8885185718536377
2000-04-28,2.780198574066162
2000-05-01,2.870465040206909
2000-05-02,3.0871052742004395
2000-05-03,3.014892339706421
2000-05-04,3.574540853500366
2000-05-05,3.303743362426758
2000-05-08,3.2495830059051514
2000-05-09,3.1954243183135986
2000-05-10,3.1412622928619385
2000-05-11,2.9968385696411133
2000-05-12,3.069051504135132
2000-05-15,3.1412622928619385
2000-05-16,3.321796417236328
2000-05-17,3.267637252807617
2000-05-18,3.1773722171783447
2000-05-19,3.069051504135132
2000-05-22,2.9426777362823486
2000-05-23,2.9065728187561035
2000-05-24,2.870465040206909
2000-05-25,2.852412462234497
2000-05-26,2.7440927028656006
2000-05-30,2.7621445655822754
2000-05-31,2.6538264751434326
2000-06-01,2.5996673107147217
2000-06-02,2.70798659324646
2000-06-05,2.7440927028656006
2000-06-06,2.70798659324646
2000-06-07,2.6538264751434326
2000-06-08,2.6177194118499756
2000-06-09,2.5635604858398438
2000-06-12,2.5455071926116943
2000-06-13,2.5816144943237305
2000-06-14,2.70798659324646
2000-06-15,2.70798659324646
2000-06-16,2.798252582550049
2000-06-19,2.798252582550049
2000-06-20,2.6177194118499756
2000-06-21,2.7260398864746094
2000-06-22,2.780198574066162
2000-06-23,2.798252582550049
2000-06-26,2.780198574066162
2000-06-27,2.780198574066162
2000-06-28,2.6944475173950195
2000-06-29,2.5996673107147217
2000-06-30,2.671879529953003
2000-07-03,2.8163070678710938
2000-07-05,2.6899333000183105
2000-07-06,2.70798659324646
2000-07-07,2.6177194118499756
2000-07-10,2.6899333000183105
2000-07-11,2.70798659324646
2000-07-12,2.635773181915283
2000-07-13,2.5635604858398438
2000-07-14,2.509399652481079
2000-07-17,2.5003740787506104
2000-07-18,2.491346836090088
2000-07-19,2.401081085205078
2000-07-20,2.4371883869171143
2000-07-21,2.401081085205078
2000-07-24,2.3649744987487793
2000-07-25,2.401081085205078
2000-07-26,2.3830270767211914
2000-07-27,2.3830270767211914
2000-07-28,2.5455071926116943
2000-07-31,2.5996673107147217
2000-08-01,2.5996673107147217
2000-08-02,2.6177194118499756
2000-08-03,2.527453660964966
2000-08-04,2.5455071926116943
2000-08-07,2.509399652481079
2000-08-08,2.527453660964966
2000-08-09,2.509399652481079
2000-08-10,2.45524001121521
2000-08-11,2.5455071926116943
2000-08-14,2.6177194118499756
2000-08-15,2.635773181915283
2000-08-16,2.671879529953003
2000-08-17,2.6177194118499756
2000-08-18,2.5455071926116943
2000-08-21,2.509399652481079
2000-08-22,2.527453660964966
2000-08-23,2.5635604858398438
2000-08-24,2.70798659324646
2000-08-25,2.70798659324646
2000-08-28,2.6177194118499756
2000-08-29,2.5635604858398438
2000-08-30,2.5635604858398438
2000-08-31,2.8388729095458984
2000-09-01,2.798252582550049
2000-09-05,2.8163070678710938
2000-09-06,2.870465040206909
2000-09-07,2.780198574066162
2000-09-08,2.852412462234497
2000-09-11,2.8885185718536377
2000-09-12,2.9426777362823486
2000-09-13,3.032945394515991
2000-09-14,2.8885185718536377
2000-09-15,2.870465040206909
2000-09-18,2.7440927028656006
2000-09-19,2.635773181915283
2000-09-20,2.509399652481079
2000-09-21,2.5816144943237305
2000-09-22,2.5996673107147217
2000-09-25,2.5816144943237305
2000-09-26,2.509399652481079
2000-09-27,2.5996673107147217
2000-09-28,2.527453660964966
2000-09-29,2.5455071926116943
2000-10-02,2.5816144943237305
2000-10-03,2.5816144943237305
2000-10-04,2.5816144943237305
