Date,TEL
2007-06-14,26.723142623901367
2007-06-15,26.688739776611328
2007-06-18,25.553794860839844
2007-06-19,25.2442569732666
2007-06-20,24.728370666503906
2007-06-21,25.2442569732666
2007-06-22,26.79192352294922
2007-06-25,26.998273849487305
2007-06-26,27.170255661010742
2007-06-27,27.342208862304688
2007-06-28,27.23903465270996
2007-06-29,26.867584228515625
2007-07-02,27.493541717529297
2007-07-03,27.280302047729492
2007-07-05,27.1358642578125
2007-07-06,27.39035987854004
2007-07-09,27.72053337097168
2007-07-10,26.82632064819336
2007-07-11,26.867584228515625
2007-07-12,26.833192825317383
2007-07-13,27.14960289001465
2007-07-16,27.03268814086914
2007-07-17,26.730024337768555
2007-07-18,26.09718894958496
2007-07-19,26.207250595092773
2007-07-20,26.159103393554688
2007-07-23,26.764423370361328
2007-07-24,26.413606643676758
2007-07-25,26.461759567260742
2007-07-26,25.835817337036133
2007-07-27,25.416210174560547
2007-07-30,24.797147750854492
2007-07-31,24.638944625854492
2007-08-01,24.22622299194336
2007-08-02,24.26063346862793
2007-08-03,24.136804580688477
2007-08-06,24.178070068359375
2007-08-07,23.97171401977539
2007-08-08,23.896055221557617
2007-08-09,23.201332092285156
2007-08-10,22.56850242614746
2007-08-13,22.69231414794922
2007-08-14,22.320873260498047
2007-08-15,22.67168426513672
2007-08-16,22.726713180541992
2007-08-17,24.14368438720703
2007-08-20,24.04051399230957
2007-08-21,23.847911834716797
2007-08-22,23.978609085083008
2007-08-23,24.322542190551758
2007-08-24,24.948484420776367
2007-08-27,24.39820098876953
2007-08-28,24.15744400024414
2007-08-29,24.322542190551758
2007-08-30,24.047388076782227
2007-08-31,23.9854793548584
2007-09-04,24.01300048828125
2007-09-05,23.861661911010742
2007-09-06,24.23310661315918
2007-09-07,23.04312515258789
2007-09-10,22.836769104003906
2007-09-11,22.726713180541992
2007-09-12,22.39654541015625
2007-09-13,22.623523712158203
2007-09-14,22.740463256835938
2007-09-17,22.795501708984375
2007-09-18,23.10503387451172
2007-09-19,22.747346878051758
2007-09-20,23.01560401916504
2007-09-21,23.008729934692383
