Date,MS
2000-01-03,32.50877380371094
2000-01-04,30.1007080078125
2000-01-05,29.002031326293945
2000-01-06,29.558902740478516
2000-01-07,30.47694969177246
2000-01-10,31.554960250854492
2000-01-11,31.554960250854492
2000-01-12,31.796524047851562
2000-01-13,31.992807388305664
2000-01-14,33.17045593261719
2000-01-18,32.309871673583984
2000-01-19,32.777923583984375
2000-01-20,32.56654357910156
2000-01-21,32.007911682128906
2000-01-24,30.920869827270508
2000-01-25,31.268089294433594
2000-01-26,32.09850311279297
2000-01-27,32.64202117919922
2000-01-28,30.588685989379883
2000-01-31,32.007911682128906
2000-02-01,30.920869827270508
2000-02-02,31.464378356933594
2000-02-03,31.887121200561523
2000-02-04,31.73614501953125
2000-02-07,31.464378356933594
2000-02-08,32.76280975341797
2000-02-09,32.460853576660156
2000-02-10,32.279659271240234
2000-02-11,32.24947738647461
2000-02-14,31.887121200561523
2000-02-15,31.675756454467773
2000-02-16,31.675756454467773
2000-02-17,30.55850601196289
2000-02-18,29.59222412109375
2000-02-22,30.105554580688477
2000-02-23,31.766324996948242
2000-02-24,33.36673355102539
2000-02-25,33.75928497314453
2000-02-28,33.427127838134766
2000-02-29,34.03106689453125
2000-03-01,36.356143951416016
2000-03-02,36.99028778076172
2000-03-03,38.258506774902344
2000-03-06,39.07379150390625
2000-03-07,39.13419723510742
2000-03-08,38.167938232421875
2000-03-09,40.281646728515625
2000-03-10,41.85184860229492
2000-03-13,39.85891342163086
2000-03-14,38.62086868286133
2000-03-15,37.68477249145508
2000-03-16,39.013404846191406
2000-03-17,42.93890380859375
2000-03-20,42.365177154541016
2000-03-21,42.84833908081055
2000-03-22,43.550376892089844
2000-03-23,45.777347564697266
2000-03-24,46.29069519042969
2000-03-27,43.482444763183594
2000-03-28,42.516178131103516
2000-03-29,41.9122428894043
2000-03-30,40.65156936645508
2000-03-31,40.040077209472656
2000-04-03,41.247947692871094
2000-04-04,37.98674392700195
2000-04-05,38.530277252197266
2000-04-06,41.21772003173828
2000-04-07,40.85537338256836
2000-04-10,42.87851333618164
2000-04-11,41.5800895690918
2000-04-12,38.620025634765625
2000-04-13,36.561912536621094
2000-04-14,32.3851318359375
2000-04-17,33.3839225769043
2000-04-18,36.6829719543457
2000-04-19,36.31975173950195
2000-04-20,36.31975173950195
2000-04-24,37.59098815917969
2000-04-25,38.680572509765625
2000-04-26,39.043766021728516
2000-04-27,38.98323059082031
2000-04-28,37.16722869873047
2000-05-01,38.620025634765625
2000-05-02,36.6829719543457
2000-05-03,35.35124206542969
2000-05-04,34.68538284301758
2000-05-05,34.4432487487793
2000-05-08,34.776161193847656
2000-05-09,34.4432487487793
2000-05-10,32.02192687988281
2000-05-11,32.445655822753906
2000-05-12,33.61093521118164
2000-05-15,35.86579513549805
2000-05-16,36.440818786621094
2000-05-17,36.80404281616211
2000-05-18,36.16844177246094
2000-05-19,33.62604904174805
2000-05-22,32.687801361083984
2000-05-23,33.05096435546875
2000-05-24,33.05096435546875
2000-05-25,30.992855072021484
2000-05-26,30.84153938293457
2000-05-30,32.445655822753906
2000-05-31,34.62486267089844
2000-06-01,36.440818786621094
2000-06-02,40.22414016723633
2000-06-05,39.77014923095703
2000-06-06,38.620025634765625
2000-06-07,38.7108154296875
2000-06-08,38.13576126098633
2000-06-09,38.37789535522461
2000-06-12,39.13455581665039
2000-06-13,40.37547302246094
2000-06-14,41.4045295715332
2000-06-15,40.647884368896484
2000-06-16,39.28587341308594
2000-06-19,40.8900260925293
2000-06-20,41.919063568115234
2000-06-21,41.46505355834961
2000-06-22,40.28468322753906
2000-06-23,39.28587341308594
2000-06-26,39.8004264831543
2000-06-27,40.1938591003418
2000-06-28,40.43598937988281
2000-06-29,40.859737396240234
2000-06-30,40.31494903564453
2000-07-03,41.16240692138672
2000-07-05,42.16961669921875
2000-07-06,43.443824768066406
2000-07-07,43.98988723754883
2000-07-10,45.324745178222656
2000-07-11,46.0528564453125
2000-07-12,46.35624313354492
2000-07-13,46.78095626831055
2000-07-14,46.59893035888672
2000-07-17,44.718013763427734
2000-07-18,44.293270111083984
2000-07-19,42.83705520629883
2000-07-20,44.293270111083984
2000-07-21,45.96185302734375
2000-07-24,45.68879699707031
2000-07-25,45.85567092895508
2000-07-26,45.14274215698242
2000-07-27,44.90003967285156
2000-07-28,42.83705520629883
2000-07-31,44.293270111083984
2000-08-01,44.141597747802734
2000-08-02,44.748348236083984
2000-08-03,45.56745910644531
2000-08-04,47.448394775390625
2000-08-07,47.90346145629883
2000-08-08,46.96300506591797
2000-08-09,47.75178909301758
2000-08-10,46.90233612060547
2000-08-11,49.329368591308594
2000-08-14,50.51253128051758
2000-08-15,49.26869201660156
