Date,CPB
2000-01-03,16.85377311706543
2000-01-04,16.23164939880371
2000-01-05,16.191810607910156
2000-01-06,16.533300399780273
2000-01-07,16.84632110595703
2000-01-10,16.305641174316406
2000-01-11,16.47637367248535
2000-01-12,16.277193069458008
2000-01-13,16.56174659729004
2000-01-14,16.077987670898438
2000-01-18,15.992615699768066
2000-01-19,15.2527494430542
2000-01-20,14.65514850616455
2000-01-21,15.053547859191895
2000-01-24,14.228309631347656
2000-01-25,13.85837459564209
2000-01-26,14.114480972290039
2000-01-27,13.943740844726562
2000-01-28,13.459980010986328
2000-01-31,14.313673973083496
2000-02-01,13.403063774108887
2000-02-02,13.118497848510742
2000-02-03,13.34615707397461
2000-02-04,12.833930969238281
2000-02-07,12.66319751739502
2000-02-08,12.919303894042969
2000-02-09,12.606282234191895
2000-02-10,11.980240821838379
2000-02-11,11.752586364746094
2000-02-14,11.809502601623535
2000-02-15,12.492453575134277
2000-02-16,12.492453575134277
2000-02-17,13.374608039855957
2000-02-18,13.317704200744629
2000-02-22,13.459980010986328
2000-02-23,13.146955490112305
2000-02-24,12.634743690490723
2000-02-25,12.634743690490723
2000-02-28,12.862394332885742
2000-02-29,12.919303894042969
2000-03-01,13.175410270690918
2000-03-02,13.004670143127441
2000-03-03,13.203872680664062
2000-03-06,13.203872680664062
2000-03-07,12.549359321594238
2000-03-08,13.80146312713623
2000-03-09,13.744546890258789
2000-03-10,13.175410270690918
2000-03-13,12.890847206115723
2000-03-14,12.777023315429688
2000-03-15,13.545350074768066
2000-03-16,15.480401992797852
2000-03-17,14.512869834899902
2000-03-20,15.395028114318848
2000-03-21,14.285222053527832
2000-03-22,13.516899108886719
2000-03-23,13.687633514404297
2000-03-24,13.886826515197754
2000-03-27,13.289244651794434
2000-03-28,13.203872680664062
2000-03-29,13.630718231201172
2000-03-30,14.171398162841797
2000-03-31,14.000655174255371
2000-04-03,13.972196578979492
2000-04-04,14.484420776367188
2000-04-05,14.358315467834473
2000-04-06,13.813783645629883
2000-04-07,12.89669132232666
2000-04-10,13.297926902770996
2000-04-11,13.097304344177246
2000-04-12,13.527194023132324
2000-04-13,14.186360359191895
2000-04-14,13.412562370300293
2000-04-17,13.75646686553955
2000-04-18,13.011326789855957
2000-04-19,12.868032455444336
2000-04-20,12.868032455444336
2000-04-24,12.89669132232666
2000-04-25,13.297926902770996
2000-04-26,12.581442832946777
2000-04-27,12.237528800964355
2000-04-28,11.922285079956055
2000-05-01,11.950934410095215
2000-05-02,12.1515531539917
2000-05-03,13.555852890014648
2000-05-04,13.097304344177246
2000-05-05,13.011326789855957
2000-05-08,13.527194023132324
2000-05-09,13.326582908630371
2000-05-10,13.18328857421875
2000-05-11,13.412562370300293
2000-05-12,13.355242729187012
2000-05-15,13.699152946472168
2000-05-16,13.9570951461792
2000-05-17,13.412562370300293
2000-05-18,13.068649291992188
2000-05-19,12.925346374511719
2000-05-22,13.03998851776123
2000-05-23,13.03998851776123
2000-05-24,14.501611709594727
2000-05-25,14.215024948120117
2000-05-26,14.530274391174316
2000-05-30,14.558928489685059
2000-05-31,14.215024948120117
2000-06-01,13.813783645629883
2000-06-02,13.727811813354492
2000-06-05,14.27233600616455
2000-06-06,13.555852890014648
2000-06-07,14.501611709594727
2000-06-08,14.4729585647583
2000-06-09,14.24367904663086
2000-06-12,14.014404296875
2000-06-13,14.24367904663086
2000-06-14,14.329655647277832
2000-06-15,14.186360359191895
2000-06-16,14.014404296875
2000-06-19,13.699152946472168
2000-06-20,13.928434371948242
2000-06-21,13.670487403869629
2000-06-22,13.527194023132324
2000-06-23,13.75646686553955
2000-06-26,14.014404296875
2000-06-27,13.871110916137695
2000-06-28,13.799457550048828
2000-06-29,13.383903503417969
2000-06-30,13.355242729187012
2000-07-03,13.355242729187012
2000-07-05,13.285929679870605
2000-07-06,13.3436861038208
2000-07-07,13.025978088378906
2000-07-10,12.939335823059082
2000-07-11,12.794916152954102
2000-07-12,12.708271026611328
2000-07-13,12.881570816040039
2000-07-14,12.881570816040039
2000-07-17,12.59274959564209
2000-07-18,12.737154960632324
2000-07-19,13.025978088378906
2000-07-20,13.05486011505127
2000-07-21,12.737154960632324
2000-07-24,13.025978088378906
2000-07-25,13.199271202087402
2000-07-26,12.477210998535156
2000-07-27,12.188392639160156
2000-07-28,12.217270851135254
2000-07-31,12.246158599853516
2000-08-01,12.246158599853516
2000-08-02,12.332803726196289
2000-08-03,12.332803726196289
2000-08-04,12.332803726196289
2000-08-07,12.130623817443848
2000-08-08,12.130623817443848
2000-08-09,11.870681762695312
2000-08-10,12.015103340148926
2000-08-11,12.361682891845703
2000-08-14,12.217270851135254
2000-08-15,12.246158599853516
2000-08-16,12.188392639160156
2000-08-17,12.072858810424805
2000-08-18,12.043978691101074
2000-08-21,12.303916931152344
2000-08-22,12.072858810424805
2000-08-23,12.188392639160156
2000-08-24,12.275038719177246
2000-08-25,12.043978691101074
2000-08-28,11.899563789367676
2000-08-29,11.812921524047852
2000-08-30,11.581859588623047
2000-08-31,11.726268768310547
2000-09-01,11.610733032226562
2000-09-05,11.437445640563965
2000-09-06,11.495209693908691
2000-09-07,11.610733032226562
2000-09-08,12.303916931152344
2000-09-11,12.043978691101074
2000-09-12,11.98620891571045
2000-09-13,11.84179973602295
2000-09-14,11.668499946594238
2000-09-15,11.610733032226562
2000-09-18,11.552971839904785
2000-09-19,11.408565521240234
2000-09-20,11.437445640563965
2000-09-21,11.726268768310547
2000-09-22,11.784034729003906
2000-09-25,11.668499946594238
2000-09-26,11.639623641967773
2000-09-27,11.726268768310547
2000-09-28,12.072858810424805
2000-09-29,11.957331657409668
2000-10-02,11.812921524047852
2000-10-03,11.84179973602295
2000-10-04,11.888422012329102
2000-10-05,12.354630470275879
2000-10-06,12.063255310058594
2000-10-09,12.12153434753418
2000-10-10,12.354630470275879
2000-10-11,12.325495719909668
2000-10-12,12.092389106750488
2000-10-13,11.946697235107422
2000-10-16,12.733427047729492
2000-10-17,12.412906646728516
2000-10-18,12.325495719909668
2000-10-19,12.442042350769043
2000-10-20,12.412906646728516
2000-10-23,12.471184730529785
2000-10-24,12.646015167236328
2000-10-25,13.053949356079102
2000-10-26,13.34533405303955
2000-10-27,13.432750701904297
2000-10-30,13.694993019104004
2000-10-31,13.63672161102295
2000-11-01,13.811552047729492
2000-11-02,13.811552047729492
2000-11-03,13.694993019104004
2000-11-06,14.161216735839844
2000-11-07,14.306894302368164
2000-11-08,14.42345142364502
2000-11-09,14.743980407714844
2000-11-10,14.685697555541992
2000-11-13,14.248621940612793
2000-11-14,13.898959159851074
2000-11-15,14.33603572845459
2000-11-16,14.94794750213623
2000-11-17,15.239316940307617
2000-11-20,15.210186958312988
2000-11-21,15.559850692749023
2000-11-22,15.559850692749023
2000-11-24,15.355876922607422
2000-11-27,15.18104362487793
2000-11-28,15.385015487670898
2000-11-29,15.58898639678955
2000-11-30,15.559850692749023
2000-12-01,15.297595977783203
2000-12-04,15.618121147155762
2000-12-05,14.977075576782227
2000-12-06,14.83138656616211
2000-12-07,15.122776985168457
2000-12-08,14.918802261352539
2000-12-11,14.394316673278809
2000-12-12,14.481728553771973
2000-12-13,14.569146156311035
2000-12-14,14.452589988708496
2000-12-15,14.452589988708496
2000-12-18,14.773113250732422
2000-12-19,15.239316940307617
2000-12-20,15.326740264892578
2000-12-21,15.58898639678955
2000-12-22,15.443289756774902
2000-12-26,15.822090148925781
2000-12-27,15.58898639678955
2000-12-28,15.734675407409668
2000-12-29,16.142614364624023
2001-01-02,16.200885772705078
2001-01-03,15.661253929138184
2001-01-04,14.810731887817383
2001-01-05,15.250657081604004
2001-01-08,15.36797046661377
2001-01-09,15.749238014221191
2001-01-10,15.543932914733887
2001-01-11,15.221331596374512
2001-01-12,15.045363426208496
2001-01-16,15.661253929138184
2001-01-17,15.807882308959961
2001-01-18,15.543932914733887
2001-01-19,15.27997875213623
2001-01-22,15.309311866760254
2001-01-23,15.07468032836914
2001-01-24,14.840066909790039
2001-01-25,14.957367897033691
2001-01-26,14.986698150634766
2001-01-29,15.227192878723145
2001-01-30,15.438358306884766
2001-01-31,15.438358306884766
2001-02-01,15.36327838897705
2001-02-02,14.776713371276855
2001-02-05,14.997259140014648
2001-02-06,14.875251770019531
2001-02-07,14.734476089477539
2001-02-08,14.80486011505127
2001-02-09,14.795478820800781
2001-02-12,14.664093017578125
2001-02-13,14.42008113861084
2001-02-14,14.086918830871582
2001-02-15,13.669280052185059
2001-02-16,14.030599594116211
2001-02-20,14.124457359313965
2001-02-21,14.03998851776123
2001-02-22,13.763134956359863
2001-02-23,13.650505065917969
2001-02-26,13.622352600097656
2001-02-27,13.636433601379395
2001-02-28,14.044682502746582
2001-03-01,14.429462432861328
2001-03-02,14.298080444335938
2001-03-05,14.359073638916016
2001-03-06,14.176072120666504
2001-03-07,14.237077713012695
2001-03-08,14.570244789123535
2001-03-09,14.546777725219727
2001-03-12,14.443536758422852
2001-03-13,14.429462432861328
2001-03-14,14.312151908874512
2001-03-15,14.265233039855957
2001-03-16,14.194839477539062
2001-03-19,14.5233154296875
2001-03-20,14.321538925170898
2001-03-21,13.964914321899414
2001-03-22,13.969608306884766
2001-03-23,13.8898286819458
2001-03-26,13.838208198547363
2001-03-27,13.69743537902832
2001-03-28,13.767815589904785
2001-03-29,13.842902183532715
2001-03-30,14.016524314880371
2001-04-02,13.786584854125977
2001-04-03,13.673973083496094
2001-04-04,14.083035469055176
2001-04-05,13.97899055480957
2001-04-06,13.766191482543945
2001-04-09,13.964808464050293
2001-04-10,14.012100219726562
2001-04-11,13.822942733764648
