Date,NUE
2000-01-03,6.881079196929932
2000-01-04,6.809816837310791
2000-01-05,6.999853134155273
2000-01-06,7.063202857971191
2000-01-07,7.086958408355713
2000-01-10,6.833570957183838
2000-01-11,6.976101398468018
2000-01-12,6.73854923248291
2000-01-13,6.968181133270264
2000-01-14,6.944428443908691
2000-01-18,6.809816837310791
2000-01-19,6.999853134155273
2000-01-20,6.635610103607178
2000-01-21,6.469322681427002
2000-01-24,6.2476067543029785
2000-01-25,6.200096607208252
2000-01-26,6.168426990509033
2000-01-27,6.405974388122559
2000-01-28,6.421813488006592
2000-01-31,6.303034782409668
2000-02-01,6.318874835968018
2000-02-02,6.27928352355957
2000-02-03,6.318874835968018
2000-02-04,6.1763410568237305
2000-02-07,6.081324100494385
2000-02-08,5.867525577545166
2000-02-09,6.010054111480713
2000-02-10,5.732909679412842
2000-02-11,5.970465660095215
2000-02-14,6.0338134765625
2000-02-15,6.572262287139893
2000-02-16,6.4455695152282715
2000-02-17,6.421813488006592
2000-02-18,6.184260368347168
2000-02-22,6.556426525115967
2000-02-23,6.50099515914917
2000-02-24,6.342629909515381
2000-02-25,6.089240550994873
2000-02-28,6.223852634429932
2000-02-29,6.295119762420654
2000-03-01,6.303034782409668
2000-03-02,6.231771945953369
2000-03-03,6.39805793762207
2000-03-06,6.097158432006836
2000-03-07,6.136751651763916
2000-03-08,5.986299514770508
2000-03-09,6.120913982391357
2000-03-10,6.089240550994873
2000-03-13,5.915032863616943
2000-03-14,6.073404788970947
2000-03-15,6.358469009399414
2000-03-16,6.596016883850098
2000-03-17,6.303034782409668
2000-03-20,6.3505449295043945
2000-03-21,6.366387367248535
2000-03-22,6.334710121154785
2000-03-23,6.3505449295043945
2000-03-24,6.3109540939331055
2000-03-27,6.089240550994873
2000-03-28,6.1129984855651855
2000-03-29,6.12411642074585
2000-03-30,6.155889511108398
2000-03-31,6.354466915130615
2000-04-03,6.2829790115356445
2000-04-04,6.2512030601501465
2000-04-05,6.179717540740967
2000-04-06,6.259148120880127
2000-04-07,5.949366569519043
2000-04-10,6.132058143615723
2000-04-11,6.322693824768066
2000-04-12,6.362407684326172
2000-04-13,6.370352268218994
2000-04-14,5.957311630249023
2000-04-17,5.861996173858643
2000-04-18,5.869935989379883
2000-04-19,5.750789642333984
2000-04-20,5.846109390258789
2000-04-24,5.734903335571289
2000-04-25,5.9334821701049805
2000-04-26,5.7746195793151855
2000-04-27,5.711074352264404
2000-04-28,5.464837551116943
2000-05-01,5.536327362060547
2000-05-02,5.425123691558838
2000-05-03,5.52838134765625
2000-05-04,5.4489521980285645
2000-05-05,5.425123691558838
2000-05-08,5.417179107666016
2000-05-09,5.337750434875488
2000-05-10,5.242433071136475
2000-05-11,5.226547718048096
2000-05-12,5.353638172149658
2000-05-15,5.329809188842773
2000-05-16,5.433070659637451
2000-05-17,5.321864128112793
2000-05-18,5.3456926345825195
2000-05-19,5.298038005828857
2000-05-22,5.234489440917969
2000-05-23,5.035914421081543
2000-05-24,5.194777965545654
2000-05-25,5.043856143951416
2000-05-26,4.940598964691162
2000-05-30,4.996198654174805
2000-05-31,4.972368240356445
2000-06-01,4.9167680740356445
2000-06-02,5.091516971588135
2000-06-05,4.988255023956299
2000-06-06,5.004141807556152
2000-06-07,4.884994029998779
2000-06-08,4.884994029998779
2000-06-09,4.81350564956665
2000-06-12,4.773791313171387
2000-06-13,4.702306270599365
2000-06-14,4.7420196533203125
2000-06-15,4.6069865226745605
2000-06-16,4.646707057952881
2000-06-19,4.527555465698242
2000-06-20,4.432240009307861
2000-06-21,4.313092231750488
2000-06-22,4.328982353210449
2000-06-23,4.344865798950195
2000-06-26,4.336921691894531
2000-06-27,4.464012622833252
2000-06-28,4.311648845672607
2000-06-29,4.5070905685424805
2000-06-30,4.235864639282227
2000-07-03,4.586860179901123
2000-07-05,4.411364555358887
2000-07-06,4.275750160217285
2000-07-07,4.355520725250244
2000-07-10,4.363501071929932
2000-07-11,4.626745223999023
2000-07-12,4.554950714111328
2000-07-13,4.578882694244385
2000-07-14,4.586860179901123
2000-07-17,4.515066146850586
2000-07-18,4.56292724609375
2000-07-19,4.435295581817627
2000-07-20,4.634724140167236
2000-07-21,4.7304487228393555
2000-07-24,4.770332336425781
2000-07-25,4.882015228271484
2000-07-26,4.770332336425781
2000-07-27,4.67460823059082
2000-07-28,4.634724140167236
2000-07-31,4.818196773529053
2000-08-01,4.953808307647705
2000-08-02,4.874035835266113
2000-08-03,4.794265270233154
2000-08-04,4.850106239318848
2000-08-07,4.953808307647705
2000-08-08,5.0575103759765625
2000-08-09,4.945833683013916
2000-08-10,4.88999080657959
2000-08-11,5.009647369384766
2000-08-14,5.0335822105407715
2000-08-15,5.041557788848877
2000-08-16,4.977740287780762
2000-08-17,4.88999080657959
2000-08-18,4.842129707336426
2000-08-21,4.842129707336426
2000-08-22,4.690561294555664
2000-08-23,4.570905685424805
2000-08-24,4.610791206359863
2000-08-25,4.666630744934082
2000-08-28,4.634724140167236
2000-08-29,4.626745223999023
2000-08-30,4.682583808898926
2000-08-31,4.692556858062744
2000-09-01,4.578882694244385
2000-09-05,4.874035835266113
2000-09-06,4.921901226043701
2000-09-07,4.834150791168213
2000-09-08,4.874035835266113
2000-09-11,4.86605978012085
2000-09-12,4.778312683105469
2000-09-13,4.754378795623779
2000-09-14,4.538994789123535
2000-09-15,4.467201232910156
2000-09-18,4.259795665740967
2000-09-19,4.05239200592041
