Date,TKO
2000-01-03,6.73269510269165
2000-01-04,6.445640563964844
2000-01-05,6.680505752563477
2000-01-06,6.2629714012146
2000-01-07,6.289066791534424
2000-01-10,6.269493103027344
2000-01-11,6.184686183929443
2000-01-12,6.080303192138672
2000-01-13,6.158588886260986
2000-01-14,6.184686183929443
2000-01-18,5.949823379516602
2000-01-19,5.949823379516602
2000-01-20,6.210779666900635
2000-01-21,6.2629714012146
2000-01-24,6.680505752563477
2000-01-25,6.471734523773193
2000-01-26,6.889267921447754
2000-01-27,6.83707857131958
2000-01-28,6.5761213302612305
2000-01-31,6.445640563964844
2000-02-01,6.367355823516846
2000-02-02,6.889267921447754
2000-02-03,5.140857219696045
2000-02-04,4.801612854003906
2000-02-07,4.8538031578063965
2000-02-08,4.749422073364258
2000-02-09,4.462368011474609
2000-02-10,4.279696941375732
2000-02-11,4.305792331695557
2000-02-14,4.723324775695801
2000-02-15,4.801612854003906
2000-02-16,4.958184719085693
2000-02-17,4.801612854003906
2000-02-18,4.8538031578063965
2000-02-22,4.932085990905762
2000-02-23,4.775517463684082
2000-02-24,4.723324775695801
2000-02-25,4.879897594451904
2000-02-28,4.8538031578063965
2000-02-29,5.427907943725586
2000-03-01,5.819343090057373
2000-03-02,5.7932448387146
2000-03-03,5.662768840789795
2000-03-06,5.6366753578186035
2000-03-07,5.271333694458008
2000-03-08,5.349620819091797
2000-03-09,5.506195545196533
2000-03-10,5.7410569190979
2000-03-13,5.584482192993164
2000-03-14,5.271333694458008
2000-03-15,5.427907943725586
2000-03-16,5.193048477172852
2000-03-17,5.375716686248779
2000-03-20,5.6366753578186035
2000-03-21,5.819343090057373
2000-03-22,6.86317253112793
2000-03-23,6.654407024383545
2000-03-24,6.706600666046143
2000-03-27,6.993650913238525
2000-03-28,7.228514194488525
2000-03-29,7.254610538482666
2000-03-30,7.0719404220581055
2000-03-31,7.404662609100342
2000-04-03,7.045840263366699
2000-04-04,6.2629714012146
2000-04-05,6.2629714012146
2000-04-06,6.680505752563477
2000-04-07,6.628312110900879
2000-04-10,6.158588886260986
2000-04-11,5.92372989654541
2000-04-12,5.7932448387146
2000-04-13,5.7932448387146
2000-04-14,5.558385848999023
2000-04-17,5.662768840789795
2000-04-18,5.7410569190979
2000-04-19,6.419546604156494
2000-04-20,6.523928165435791
2000-04-24,6.55002498626709
2000-04-25,6.680505752563477
2000-04-26,6.889267921447754
