Date,AON
2000-01-03,26.40394401550293
2000-01-04,25.81154441833496
2000-01-05,26.573192596435547
2000-01-06,27.504106521606445
2000-01-07,28.942777633666992
2000-01-10,20.395349502563477
2000-01-11,19.125926971435547
2000-01-12,18.872053146362305
2000-01-13,20.564617156982422
2000-01-14,20.268409729003906
2000-01-18,19.46444320678711
2000-01-19,18.491220474243164
2000-01-20,17.856510162353516
2000-01-21,17.30643081665039
2000-01-24,16.417848587036133
2000-01-25,15.867751121520996
2000-01-26,17.094858169555664
2000-01-27,17.89882469177246
2000-01-28,17.517995834350586
2000-01-31,17.517995834350586
2000-02-01,17.81420135498047
2000-02-02,18.491220474243164
2000-02-03,18.491220474243164
2000-02-04,18.54921531677246
2000-02-07,18.84770393371582
2000-02-08,18.122798919677734
2000-02-09,16.672969818115234
2000-02-10,15.990702629089355
2000-02-11,16.331832885742188
2000-02-14,16.630329132080078
2000-02-15,16.246557235717773
2000-02-16,15.948057174682617
2000-02-17,15.777484893798828
2000-02-18,15.478999137878418
2000-02-22,15.64955997467041
2000-02-23,15.265789031982422
2000-02-24,15.09522533416748
2000-02-25,14.583514213562012
2000-02-28,14.668798446655273
2000-02-29,14.370306015014648
2000-03-01,15.73485279083252
2000-03-02,15.777484893798828
2000-03-03,16.246557235717773
2000-03-06,15.90541934967041
2000-03-07,15.265789031982422
2000-03-08,14.839370727539062
2000-03-09,14.839370727539062
2000-03-10,14.711441040039062
2000-03-13,14.882003784179688
2000-03-14,14.839370727539062
2000-03-15,16.417118072509766
2000-03-16,18.463930130004883
2000-03-17,17.653736114501953
2000-03-20,17.14203643798828
2000-03-21,18.208078384399414
2000-03-22,18.378639221191406
2000-03-23,19.78583526611328
2000-03-24,20.89451789855957
2000-03-27,20.425460815429688
2000-03-28,19.99903678894043
2000-03-29,19.99903678894043
2000-03-30,21.960561752319336
2000-03-31,22.00320816040039
2000-04-03,21.534137725830078
2000-04-04,20.766590118408203
2000-04-05,20.468090057373047
2000-04-06,20.55338478088379
2000-04-07,19.956388473510742
2000-04-10,19.274118423461914
2000-04-11,19.316761016845703
2000-04-12,19.274118423461914
2000-04-13,18.63450050354004
2000-04-14,17.525806427001953
2000-04-17,17.099390029907227
2000-04-18,17.312599182128906
2000-04-19,17.39788246154785
2000-04-20,17.824295043945312
2000-04-24,18.165437698364258
2000-04-25,18.97564125061035
2000-04-26,18.463930130004883
2000-04-27,17.866941452026367
2000-04-28,18.620357513427734
2000-05-01,19.6954345703125
2000-05-02,19.35141372680664
2000-05-03,18.061315536499023
2000-05-04,20.21148109436035
2000-05-05,20.340484619140625
2000-05-08,20.856523513793945
2000-05-09,21.243545532226562
2000-05-10,21.845592498779297
2000-05-11,21.931596755981445
2000-05-12,22.404644012451172
2000-05-15,23.47971534729004
2000-05-16,23.60872459411621
2000-05-17,22.70566177368164
2000-05-18,23.092681884765625
2000-05-19,22.70566177368164
2000-05-22,23.2216854095459
2000-05-23,23.264686584472656
2000-05-24,24.038753509521484
2000-05-25,24.038753509521484
2000-05-26,24.081764221191406
2000-05-30,24.597793579101562
2000-05-31,24.167762756347656
2000-06-01,24.339773178100586
2000-06-02,25.156829833984375
2000-06-05,24.167762756347656
2000-06-06,24.081764221191406
2000-06-07,24.554784774780273
2000-06-08,23.952754974365234
