Date,CINF
2000-01-03,11.704048156738281
2000-01-04,11.692065238952637
2000-01-05,11.811860084533691
2000-01-06,11.88373851776123
2000-01-07,12.12332534790039
2000-01-10,11.787900924682617
2000-01-11,11.692065238952637
2000-01-12,11.787900924682617
2000-01-13,11.931656837463379
2000-01-14,11.644145965576172
2000-01-18,11.308713912963867
2000-01-19,11.452478408813477
2000-01-20,11.093083381652832
2000-01-21,11.524348258972168
2000-01-24,11.39257526397705
2000-01-25,11.332677841186523
2000-01-26,11.620186805725098
2000-01-27,11.16496467590332
2000-01-28,10.589944839477539
2000-01-31,11.021209716796875
2000-02-01,11.141011238098145
2000-02-02,10.925374984741211
2000-02-03,11.308713912963867
2000-02-04,11.452478408813477
2000-02-07,11.045166969299316
2000-02-08,11.021209716796875
2000-02-09,11.224864959716797
2000-02-10,11.105067253112793
2000-02-11,11.06912899017334
2000-02-14,11.00922966003418
2000-02-15,11.572274208068848
2000-02-16,11.644145965576172
2000-02-17,11.787900924682617
2000-02-18,11.763941764831543
2000-02-22,11.716024398803711
2000-02-23,11.835824966430664
2000-02-24,11.572274208068848
2000-02-25,11.404560089111328
2000-02-28,11.476430892944336
2000-02-29,11.452478408813477
2000-03-01,11.644145965576172
2000-03-02,12.171253204345703
2000-03-03,12.195208549499512
2000-03-06,11.2608003616333
2000-03-07,10.757654190063477
2000-03-08,10.230558395385742
2000-03-09,10.781620979309082
2000-03-10,10.302433967590332
2000-03-13,10.494109153747559
2000-03-14,10.434212684631348
2000-03-15,11.021209716796875
2000-03-16,12.33896255493164
2000-03-17,11.88373851776123
2000-03-20,12.243128776550293
2000-03-21,12.482721328735352
2000-03-22,12.363187789916992
2000-03-23,12.555981636047363
2000-03-24,13.11027717590332
2000-03-27,12.387280464172363
2000-03-28,12.724679946899414
2000-03-29,12.911452293395996
2000-03-30,13.568175315856934
2000-03-31,14.508063316345215
2000-04-03,15.014161109924316
2000-04-04,15.050312042236328
2000-04-05,15.39975643157959
2000-04-06,15.39975643157959
2000-04-07,15.42385196685791
2000-04-10,15.544346809387207
2000-04-11,15.544346809387207
2000-04-12,15.39975643157959
2000-04-13,15.670875549316406
2000-04-14,14.990065574645996
2000-04-17,15.429874420166016
2000-04-18,15.616655349731445
2000-04-19,15.231061935424805
2000-04-20,15.472053527832031
2000-04-24,15.701000213623047
2000-04-25,16.19505500793457
2000-04-26,15.78535270690918
