Date,EQT
2000-01-03,3.1445586681365967
2000-01-04,3.249964475631714
2000-01-05,3.3436567783355713
2000-01-06,3.384648084640503
2000-01-07,3.437350034713745
2000-01-10,3.3378000259399414
2000-01-11,3.2968101501464844
2000-01-12,3.290954113006592
2000-01-13,3.3319454193115234
2000-01-14,3.3202338218688965
2000-01-18,3.3378000259399414
2000-01-19,3.349510431289673
2000-01-20,3.3260884284973145
2000-01-21,3.3963563442230225
2000-01-24,3.3553669452667236
2000-01-25,3.244107484817505
2000-01-26,3.2968101501464844
2000-01-27,3.2792434692382812
2000-01-28,3.290954113006592
2000-01-31,3.2323954105377197
2000-02-01,3.238250255584717
2000-02-02,3.267530679702759
2000-02-03,3.267530679702759
2000-02-04,3.2206857204437256
2000-02-07,3.1738381385803223
2000-02-08,3.1445586681365967
2000-02-09,3.1133663654327393
2000-02-10,3.225613832473755
2000-02-11,3.1133663654327393
2000-02-14,3.1724438667297363
2000-02-15,3.261059522628784
2000-02-16,3.2669665813446045
2000-02-17,3.373305320739746
2000-02-18,3.3024137020111084
2000-02-22,3.261059522628784
2000-02-23,3.225613832473755
2000-02-24,3.272876501083374
2000-02-25,3.1842594146728516
2000-02-28,3.2669665813446045
2000-02-29,3.568260908126831
2000-03-01,3.432382583618164
2000-03-02,3.5150904655456543
2000-03-03,3.5446300506591797
2000-03-06,3.5328140258789062
2000-03-07,3.6037068367004395
2000-03-08,3.662785291671753
2000-03-09,3.7454917430877686
2000-03-10,3.8163833618164062
2000-03-13,3.792754888534546
2000-03-14,3.7513997554779053
2000-03-15,3.6923229694366455
2000-03-16,3.79866361618042
2000-03-17,3.7159523963928223
2000-03-20,3.9168155193328857
2000-03-21,3.86364483833313
2000-03-22,3.8282015323638916
2000-03-23,3.8813703060150146
2000-03-24,3.9581680297851562
2000-03-27,3.9168155193328857
2000-03-28,3.9463560581207275
2000-03-29,4.1294941902160645
2000-03-30,4.294908046722412
2000-03-31,4.235830783843994
2000-04-03,4.170849323272705
2000-04-04,4.170849323272705
2000-04-05,4.153124809265137
2000-04-06,4.21811056137085
2000-04-07,4.247645378112793
2000-04-10,4.21811056137085
2000-04-11,4.117678642272949
2000-04-12,4.188571929931641
2000-04-13,4.21811056137085
2000-04-14,4.194479465484619
2000-04-17,4.194479465484619
