Date,WST
2000-01-03,5.391735553741455
2000-01-04,5.447434902191162
2000-01-05,5.425155162811279
2000-01-06,5.369454860687256
2000-01-07,5.425155162811279
2000-01-10,5.536554336547852
2000-01-11,5.380595684051514
2000-01-12,5.414015293121338
2000-01-13,5.503133296966553
2000-01-14,5.432787895202637
2000-01-18,5.455191135406494
2000-01-19,5.466392517089844
2000-01-20,5.443988800048828
2000-01-21,5.466392517089844
2000-01-24,5.443988800048828
2000-01-25,5.679225444793701
2000-01-26,5.668020248413086
2000-01-27,5.533600807189941
2000-01-28,5.567207336425781
2000-01-31,5.544805526733398
2000-02-01,5.589608192443848
2000-02-02,5.477594375610352
2000-02-03,5.3767805099487305
2000-02-04,5.343176364898682
2000-02-07,5.5111985206604
2000-02-08,5.634418487548828
2000-02-09,5.623214244842529
2000-02-10,5.679225444793701
2000-02-11,5.5560078620910645
2000-02-14,5.656820297241211
2000-02-15,5.085539817810059
2000-02-16,5.018328666687012
2000-02-17,5.219958782196045
2000-02-18,5.119143486022949
2000-02-22,4.984726428985596
2000-02-23,4.984726428985596
2000-02-24,4.771892547607422
2000-02-25,4.771892547607422
2000-02-28,4.928715229034424
2000-02-29,5.275967597961426
2000-03-01,5.2087554931640625
2000-03-02,5.040731906890869
2000-03-03,4.917513847351074
2000-03-06,4.984726428985596
2000-03-07,4.973522186279297
2000-03-08,4.939917087554932
2000-03-09,4.86150598526001
2000-03-10,4.727085590362549
2000-03-13,4.6262712478637695
2000-03-14,4.637473106384277
2000-03-15,4.682281494140625
2000-03-16,4.906309604644775
2000-03-17,4.86150598526001
2000-03-20,4.805496692657471
2000-03-21,4.86150598526001
2000-03-22,4.771892547607422
2000-03-23,4.738285064697266
2000-03-24,4.693480968475342
2000-03-27,4.715883731842041
2000-03-28,4.693480968475342
2000-03-29,4.547858238220215
2000-03-30,4.760692596435547
2000-03-31,4.536654949188232
2000-04-03,4.391037940979004
2000-04-04,4.346231460571289
2000-04-05,4.4358439445495605
2000-04-06,4.368632793426514
2000-04-07,4.323828220367432
2000-04-10,4.178206443786621
2000-04-11,4.110997200012207
2000-04-12,4.167004108428955
2000-04-13,4.211811542510986
2000-04-14,4.245416641235352
2000-04-17,4.33251953125
2000-04-18,4.490475177764893
2000-04-19,4.422779560089111
2000-04-20,4.366365432739258
2000-04-24,4.377647876739502
2000-04-25,4.445343971252441
2000-04-26,4.377647876739502
2000-04-27,4.445343971252441
2000-04-28,4.411495685577393
2000-05-01,4.377647876739502
2000-05-02,4.242257118225098
2000-05-03,4.140713691711426
2000-05-04,4.242257118225098
2000-05-05,4.230975151062012
2000-05-08,4.242257118225098
2000-05-09,4.1858439445495605
2000-05-10,4.084301948547363
2000-05-11,4.253540992736816
2000-05-12,4.2648210525512695
2000-05-15,4.242257118225098
2000-05-16,4.253540992736816
2000-05-17,4.208409309387207
2000-05-18,4.208409309387207
2000-05-19,4.174562454223633
2000-05-22,4.151995658874512
2000-05-23,4.140713691711426
2000-05-24,4.1971259117126465
2000-05-25,4.242257118225098
2000-05-26,4.242257118225098
2000-05-30,4.219691753387451
2000-05-31,4.242257118225098
2000-06-01,4.2648210525512695
2000-06-02,4.33251953125
2000-06-05,4.287390232086182
2000-06-06,4.287390232086182
2000-06-07,4.287390232086182
2000-06-08,4.276104927062988
2000-06-09,4.298667907714844
2000-06-12,4.276104927062988
2000-06-13,4.253540992736816
2000-06-14,4.219691753387451
2000-06-15,4.242257118225098
2000-06-16,4.230975151062012
2000-06-19,4.219691753387451
2000-06-20,4.1971259117126465
2000-06-21,4.1971259117126465
2000-06-22,3.7006916999816895
2000-06-23,3.6217153072357178
2000-06-26,3.779670000076294
2000-06-27,3.757103443145752
2000-06-28,3.768388032913208
2000-06-29,3.7345376014709473
2000-06-30,3.903778076171875
2000-07-03,3.881213665008545
2000-07-05,3.768388032913208
2000-07-06,3.723259210586548
2000-07-07,3.7458229064941406
2000-07-10,3.768388032913208
2000-07-11,3.79095196723938
2000-07-12,3.8135175704956055
2000-07-13,3.7458229064941406
2000-07-14,3.8022353649139404
2000-07-17,3.844548225402832
2000-07-18,3.8104259967803955
2000-07-19,3.719431161880493
2000-07-20,3.6170592308044434
2000-07-21,3.708054304122925
2000-07-24,3.68530535697937
2000-07-25,3.776301622390747
2000-07-26,3.719431161880493
2000-07-27,3.6966824531555176
2000-07-28,3.68530535697937
2000-07-31,3.7535526752471924
2000-08-01,3.730804204940796
2000-08-02,3.82179856300354
2000-08-03,3.8104259967803955
2000-08-04,3.7990517616271973
2000-08-07,3.787675380706787
2000-08-08,3.787675380706787
2000-08-09,3.890044927597046
2000-08-10,3.776301622390747
2000-08-11,3.7535526752471924
2000-08-14,3.719431161880493
2000-08-15,3.730804204940796
2000-08-16,3.719431161880493
2000-08-17,3.7535526752471924
2000-08-18,3.719431161880493
2000-08-21,3.730804204940796
2000-08-22,3.673931121826172
2000-08-23,3.6966824531555176
2000-08-24,3.673931121826172
2000-08-25,3.68530535697937
2000-08-28,3.68530535697937
2000-08-29,3.68530535697937
2000-08-30,3.776301622390747
2000-08-31,3.787675380706787
2000-09-01,3.742178201675415
2000-09-05,3.8559248447418213
2000-09-06,4.003791809082031
2000-09-07,4.106161117553711
2000-09-08,4.117534160614014
2000-09-11,4.117534160614014
2000-09-12,4.094783782958984
2000-09-13,4.128909111022949
2000-09-14,4.117534160614014
2000-09-15,4.083412170410156
2000-09-18,3.9355435371398926
2000-09-19,3.992415189743042
2000-09-20,3.981038808822632
2000-09-21,3.8672988414764404
2000-09-22,3.8331730365753174
2000-09-25,3.9355435371398926
2000-09-26,4.049286842346191
2000-09-27,4.163031578063965
2000-09-28,4.3222737312316895
2000-09-29,4.2312774658203125
2000-10-02,4.242650985717773
2000-10-03,4.265404224395752
2000-10-04,4.3109002113342285
2000-10-05,4.254027843475342
2000-10-06,4.242650985717773
2000-10-09,4.288148880004883
2000-10-10,4.242650985717773
2000-10-11,4.242650985717773
2000-10-12,4.140285015106201
2000-10-13,4.242650985717773
2000-10-16,4.2068891525268555
2000-10-17,4.057871341705322
2000-10-18,4.069333076477051
2000-10-19,4.057871341705322
2000-10-20,4.023481845855713
2000-10-23,3.96616792678833
2000-10-24,4.012017250061035
2000-10-25,3.9432411193847656
2000-10-26,4.023481845855713
2000-10-27,4.023481845855713
2000-10-30,3.989091634750366
2000-10-31,4.034945011138916
2000-11-01,4.012017250061035
2000-11-02,4.023481845855713
2000-11-03,3.989091634750366
2000-11-06,3.9432411193847656
2000-11-07,3.96616792678833
2000-11-08,3.8630001544952393
2000-11-09,3.80568528175354
2000-11-10,3.8515372276306152
2000-11-13,3.989091634750366
2000-11-14,4.14957332611084
2000-11-15,4.241279602050781
2000-11-16,4.264204025268555
2000-11-17,4.218349933624268
2000-11-20,4.241279602050781
2000-11-21,4.241279602050781
2000-11-22,4.252742290496826
2000-11-24,4.2298150062561035
2000-11-27,4.2298150062561035
2000-11-28,4.2298150062561035
2000-11-29,4.2298150062561035
2000-11-30,4.172501087188721
2000-12-01,4.161036491394043
2000-12-04,4.138111114501953
2000-12-05,4.275664806365967
2000-12-06,4.252742290496826
2000-12-07,4.298592567443848
2000-12-08,4.493462562561035
2000-12-11,4.493462562561035
2000-12-12,4.4476094245910645
2000-12-13,4.424683570861816
2000-12-14,4.424683570861816
2000-12-15,4.424683570861816
2000-12-18,4.481996059417725
2000-12-19,4.481996059417725
2000-12-20,4.3559064865112305
2000-12-21,4.344444274902344
2000-12-22,4.493462562561035
2000-12-26,4.516386032104492
2000-12-27,4.481996059417725
2000-12-28,4.5851640701293945
2000-12-29,4.5049262046813965
2001-01-02,4.493462562561035
2001-01-03,4.676868915557861
2001-01-04,4.665404319763184
2001-01-05,4.631015777587891
2001-01-08,4.5851640701293945
2001-01-09,4.608088970184326
2001-01-10,4.642476558685303
2001-01-11,4.642476558685303
2001-01-12,4.608088970184326
2001-01-16,4.608088970184326
2001-01-17,4.608088970184326
2001-01-18,4.5851640701293945
2001-01-19,4.516386032104492
2001-01-22,4.595835208892822
2001-01-23,4.642021179199219
2001-01-24,4.561191558837891
2001-01-25,4.526545524597168
2001-01-26,4.526545524597168
2001-01-29,4.554262161254883
2001-01-30,4.426779270172119
2001-01-31,4.465577602386475
2001-02-01,4.445257186889648
2001-02-02,4.434168338775635
2001-02-05,4.448950290679932
2001-02-06,4.502529621124268
2001-02-07,4.7574944496154785
2001-02-08,4.833245754241943
2001-02-09,4.6540303230285645
2001-02-12,4.6651177406311035
2001-02-13,4.703912734985352
2001-02-14,4.720543384552002
2001-02-15,4.748256683349609
2001-02-16,4.720543384552002
2001-02-20,4.703912734985352
2001-02-21,4.631858825683594
2001-02-22,4.569043159484863
2001-02-23,4.552413463592529
2001-02-26,4.711305618286133
2001-02-27,4.683592796325684
2001-02-28,4.637403964996338
2001-03-01,4.602298259735107
2001-03-02,4.637403964996338
2001-03-05,4.581974983215332
2001-03-06,4.6928300857543945
2001-03-07,4.6651177406311035
2001-03-08,4.600449085235596
2001-03-09,4.556107997894287
2001-03-12,4.4803595542907715
2001-03-13,4.489597320556641
2001-03-14,4.471121311187744
2001-03-15,4.415693283081055
2001-03-16,4.397218704223633
2001-03-19,4.5450239181518555
2001-03-20,4.441559314727783
2001-03-21,4.323315620422363
2001-03-22,4.267887592315674
2001-03-23,4.273430824279785
2001-03-26,4.2309346199035645
2001-03-27,4.264194965362549
2001-03-28,4.267887592315674
2001-03-29,4.267887592315674
2001-03-30,4.3140788078308105
2001-04-02,4.240176200866699
2001-04-03,4.2309346199035645
2001-04-04,4.23647928237915
2001-04-05,4.378744125366211
2001-04-06,4.286362648010254
2001-04-09,4.323315620422363
2001-04-10,4.332553863525391
2001-04-11,4.415693283081055
2001-04-12,4.5727386474609375
2001-04-16,4.578319072723389
2001-04-17,4.65276575088501
2001-04-18,4.65276575088501
2001-04-19,4.803513050079346
2001-04-20,4.820263385772705
2001-04-23,4.838875770568848
2001-04-24,4.913318634033203
2001-04-25,5.0435967445373535
2001-04-26,5.006372451782227
2001-04-27,5.024986743927002
2001-04-30,5.127345561981201
2001-05-01,5.108737468719482
2001-05-02,4.978457927703857
2001-05-03,4.894709587097168
2001-05-04,5.006372451782227
2001-05-07,4.810960292816162
2001-05-08,4.885403633117676
2001-05-09,4.9226274490356445
2001-05-10,4.941235542297363
2001-05-11,4.935654163360596
2001-05-14,4.931929588317871
2001-05-15,4.950544834136963
2001-05-16,5.024986743927002
2001-05-17,5.024986743927002
2001-05-18,4.96915340423584
2001-05-21,4.96915340423584
2001-05-22,5.006372451782227
2001-05-23,4.931929588317871
2001-05-24,4.987764358520508
2001-05-25,5.015681743621826
2001-05-29,5.011960029602051
2001-05-30,5.004513740539551
2001-05-31,5.008238315582275
2001-06-01,5.071511745452881
2001-06-04,5.080819129943848
2001-06-05,5.071511745452881
2001-06-06,5.034291744232178
2001-06-07,5.054765224456787
2001-06-08,4.997070789337158
2001-06-11,4.989623546600342
2001-06-12,5.069655418395996
2001-06-13,4.987764358520508
2001-06-14,4.935654163360596
2001-06-15,4.913318634033203
2001-06-18,4.885403633117676
2001-06-19,4.838875770568848
2001-06-20,4.931929588317871
2001-06-21,4.948678970336914
2001-06-22,4.866792678833008
2001-06-25,4.857487201690674
2001-06-26,4.877956867218018
2001-06-27,4.885403633117676
2001-06-28,4.96915340423584
2001-06-29,5.024986743927002
2001-07-02,5.006372451782227
2001-07-03,4.96915340423584
2001-07-05,4.894709587097168
2001-07-06,4.792346954345703
2001-07-09,4.820263385772705
2001-07-10,4.783041477203369
2001-07-11,4.736514568328857
2001-07-12,4.764430999755859
2001-07-13,4.671374797821045
2001-07-16,4.710741996765137
2001-07-17,4.751980304718018
2001-07-18,4.945058822631836
2001-07-19,5.188751697540283
2001-07-20,5.183129787445068
2001-07-23,5.104396820068359
2001-07-24,5.0856499671936035
2001-07-25,5.089399814605713
2001-07-26,5.108144760131836
2001-07-27,5.095022678375244
2001-07-30,5.055658340454102
2001-07-31,5.023791313171387
2001-08-01,5.042534351348877
2001-08-02,5.027543067932129
2001-08-03,5.023791313171387
2001-08-06,5.048161506652832
2001-08-07,5.057531833648682
2001-08-08,5.033165454864502
2001-08-09,5.038788318634033
2001-08-10,5.053785800933838
2001-08-13,5.0181684494018555
2001-08-14,5.080027103424072
2001-08-15,4.978802680969238
2001-08-16,4.990048885345459
2001-08-17,4.980677604675293
2001-08-20,4.995673656463623
2001-08-21,4.982551574707031
2001-08-22,4.958184242248535
2001-08-23,4.911319732666016
2001-08-24,4.907571792602539
2001-08-27,4.84383487701416
2001-08-28,4.873827934265137
2001-08-29,4.855081081390381
2001-08-30,4.860706329345703
2001-08-31,4.817590236663818
2001-09-04,4.838209629058838
2001-09-05,4.856958389282227
2001-09-06,4.841960430145264
2001-09-07,4.806345462799072
2001-09-10,4.815714359283447
2001-09-17,4.461426734924316
2001-09-18,4.446430683135986
2001-09-19,4.4501800537109375
2001-09-20,4.390193939208984
2001-09-21,4.367700099945068
2001-09-24,4.498917579650879
2001-09-25,4.495166301727295
2001-09-26,4.423935890197754
2001-09-27,4.4333086013793945
2001-09-28,4.611390113830566
2001-10-01,4.555154800415039
2001-10-02,4.534534454345703
2001-10-03,4.497041702270508
2001-10-04,4.515789031982422
2001-10-05,4.495166301727295
2001-10-08,4.508288860321045
2001-10-09,4.491421699523926
2001-10-10,4.568275451660156
2001-10-11,4.491421699523926
2001-10-12,4.489544868469238
2001-10-15,4.474547386169434
2001-10-16,4.395816802978516
2001-10-17,4.751980304718018
2001-10-18,4.497041702270508
2001-10-19,4.452053546905518
2001-10-22,4.482288837432861
2001-10-23,4.563544273376465
2001-10-24,4.559764862060547
2001-10-25,4.572993278503418
2001-10-26,4.627792835235596
2001-10-29,4.60511589050293
2001-10-30,4.608896255493164
2001-10-31,4.610785961151123
2001-11-01,4.610785961151123
2001-11-02,4.572993278503418
2001-11-05,4.620236396789551
2001-11-06,4.656137466430664
2001-11-07,4.563544273376465
2001-11-08,4.608896255493164
2001-11-09,4.603228569030762
2001-11-12,4.6240129470825195
2001-11-13,4.622124671936035
2001-11-14,4.641021251678467
2001-11-15,4.720386505126953
2001-11-16,4.7487311363220215
2001-11-19,4.778966903686523
2001-11-20,4.7525105476379395
2001-11-21,4.756289482116699
2001-11-23,4.761959075927734
2001-11-26,4.8469929695129395
2001-11-27,4.907464504241943
2001-11-28,4.915022373199463
2001-11-29,5.30051326751709
2001-11-30,5.139894008636475
2001-12-03,5.051076412200928
2001-12-04,5.170126914978027
2001-12-05,5.141783237457275
2001-12-06,5.120994567871094
2001-12-07,5.143672466278076
2001-12-10,5.092650890350342
2001-12-11,5.085093021392822
2001-12-12,5.083201885223389
2001-12-13,5.018953800201416
2001-12-14,5.10587739944458
2001-12-17,5.224928379058838
2001-12-18,5.196580410003662
2001-12-19,5.120994567871094
2001-12-20,5.117217540740967
2001-12-21,5.113436222076416
2001-12-24,5.111547946929932
2001-12-26,5.102100372314453
2001-12-27,5.045409202575684
2001-12-28,5.032181262969971
2001-12-31,5.026514053344727
2002-01-02,5.032181262969971
2002-01-03,5.139894008636475
2002-01-04,5.05485725402832
2002-01-07,5.05485725402832
2002-01-08,5.060525894165039
2002-01-09,5.128554344177246
2002-01-10,5.071865558624268
2002-01-11,5.013286590576172
2002-01-14,4.969823360443115
2002-01-15,4.941478252410889
2002-01-16,4.8658905029296875
2002-01-17,4.913132667541504
2002-01-18,4.8769659996032715
2002-01-22,4.878867149353027
2002-01-23,4.934072494506836
2002-01-24,4.835086345672607
2002-01-25,4.83128023147583
