Date,BX
2007-06-22,12.881592750549316
2007-06-25,11.918959617614746
2007-06-26,11.298027038574219
2007-06-27,10.993074417114258
2007-06-28,10.9085693359375
2007-06-29,10.754253387451172
2007-07-02,10.754253387451172
2007-07-03,10.91959285736084
2007-07-05,11.253942489624023
2007-07-06,11.573588371276855
2007-07-09,11.566240310668945
2007-07-10,10.996747970581055
2007-07-11,10.721187591552734
2007-07-12,11.022466659545898
2007-07-13,10.967355728149414
2007-07-16,10.9085693359375
2007-07-17,10.732209205627441
2007-07-18,10.434599876403809
2007-07-19,10.04146957397461
2007-07-20,9.534433364868164
2007-07-23,9.688749313354492
2007-07-24,9.44625473022461
2007-07-25,9.372769355773926
2007-07-26,9.442583084106445
2007-07-27,8.92819881439209
2007-07-30,8.99433708190918
2007-07-31,8.821649551391602
2007-08-01,8.93187141418457
2007-08-02,9.306635856628418
2007-08-03,8.961265563964844
2007-08-06,9.012701988220215
2007-08-07,9.148652076721191
2007-08-08,9.284591674804688
2007-08-09,9.15599250793457
2007-08-10,9.2882661819458
2007-08-13,9.44625473022461
2007-08-14,9.027402877807617
2007-08-15,8.704078674316406
2007-08-16,8.781232833862305
2007-08-17,8.847369194030762
2007-08-20,8.593852043151855
2007-08-21,8.637939453125
2007-08-22,9.16334342956543
2007-08-23,9.284591674804688
2007-08-24,8.97228717803955
2007-08-27,8.74449348449707
2007-08-28,8.465253829956055
2007-08-29,8.44321060180664
2007-08-30,8.35503101348877
2007-08-31,8.498320579528809
2007-09-04,8.490976333618164
2007-09-05,8.075791358947754
2007-09-06,8.141929626464844
2007-09-07,7.914129734039307
2007-09-10,8.039050102233887
2007-09-11,8.410140037536621
2007-09-12,8.546087265014648
2007-09-13,8.601201057434082
2007-09-14,8.788578987121582
2007-09-17,8.689377784729004
2007-09-18,9.020051956176758
2007-09-19,9.427882194519043
2007-09-20,9.534433364868164
2007-09-21,9.302960395812988
2007-09-24,9.012701988220215
2007-09-25,8.961265563964844
2007-09-26,9.144973754882812
2007-09-27,9.225802421569824
2007-09-28,9.21478271484375
2007-10-01,9.39848804473877
2007-10-02,9.582198143005371
2007-10-03,9.982680320739746
2007-10-04,10.133321762084961
2007-10-05,10.684446334838867
2007-10-08,10.368468284606934
2007-10-09,10.45296859741211
2007-10-10,10.530131340026855
2007-10-11,10.416226387023926
2007-10-12,10.195779800415039
2007-10-15,9.953286170959473
2007-10-16,9.571170806884766
2007-10-17,9.70711612701416
2007-10-18,9.7365140914917
2007-10-19,9.372769355773926
2007-10-22,9.574848175048828
2007-10-23,9.685074806213379
2007-10-24,9.637308120727539
2007-10-25,9.39848804473877
2007-10-26,9.402165412902832
2007-10-29,9.369095802307129
2007-10-30,9.291943550109863
2007-10-31,9.343377113342285
2007-11-01,9.137629508972168
2007-11-02,8.851037979125977
2007-11-05,8.795929908752441
2007-11-06,8.69672679901123
2007-11-07,8.509343147277832
2007-11-08,8.854717254638672
2007-11-09,8.920853614807129
2007-11-12,8.178670883178711
2007-11-13,8.377074241638184
2007-11-14,8.208065032958984
2007-11-15,8.494649887084961
2007-11-16,8.476276397705078
2007-11-19,8.141929626464844
2007-11-20,7.903109073638916
2007-11-21,7.723073482513428
2007-11-23,7.774510383605957
2007-11-26,7.568760395050049
2007-11-27,7.656942367553711
2007-11-28,8.003625869750977
2007-11-29,8.216114044189453
2007-11-30,8.201199531555176
2007-12-03,8.052087783813477
