Date,TJX
2000-01-03,1.857576847076416
2000-01-04,1.7604111433029175
2000-01-05,1.708970308303833
2000-01-06,1.8118517398834229
2000-01-07,1.857576847076416
2000-01-10,1.8289977312088013
2000-01-11,1.8004206418991089
2000-01-12,1.783272624015808
2000-01-13,1.783272624015808
2000-01-14,1.8004206418991089
2000-01-18,1.743264079093933
2000-01-19,1.6861085891723633
2000-01-20,1.691823124885559
2000-01-21,1.5775114297866821
2000-01-24,1.5203543901443481
2000-01-25,1.5546486377716064
2000-01-26,1.588942527770996
2000-01-27,1.56607985496521
2000-01-28,1.4917774200439453
2000-01-31,1.4917774200439453
2000-02-01,1.5203543901443481
2000-02-02,1.6003738641738892
2000-02-03,1.6632453203201294
2000-02-04,1.6746771335601807
2000-02-07,1.5717955827713013
2000-02-08,1.6093672513961792
2000-02-09,1.5635488033294678
2000-02-10,1.5807305574417114
2000-02-11,1.5349115133285522
2000-02-14,1.5291852951049805
2000-02-15,1.494820475578308
2000-02-16,1.4318211078643799
2000-02-17,1.3917299509048462
2000-02-18,1.3860026597976685
2000-02-22,1.3630930185317993
2000-02-23,1.3459117412567139
2000-02-24,1.305820107460022
2000-02-25,1.2943660020828247
2000-02-28,1.3745477199554443
2000-02-29,1.460457444190979
2000-03-01,1.5120022296905518
2000-03-02,1.5349115133285522
2000-03-03,1.5520936250686646
2000-03-06,1.5005486011505127
2000-03-07,1.4318211078643799
2000-03-08,1.443274736404419
2000-03-09,1.4318211078643799
2000-03-10,1.3974566459655762
2000-03-13,1.3745477199554443
2000-03-14,1.3860026597976685
2000-03-15,1.557820439338684
2000-03-16,1.832729697227478
2000-03-17,1.7410942316055298
2000-03-20,1.8040945529937744
2000-03-21,1.832729697227478
2000-03-22,1.8270031213760376
2000-03-23,1.8270031213760376
2000-03-24,1.9129120111465454
2000-03-27,1.8957314491271973
2000-03-28,1.9300943613052368
2000-03-29,1.935820460319519
2000-03-30,2.1019134521484375
2000-03-31,2.0331859588623047
2000-04-03,2.182095527648926
2000-04-04,2.1362757682800293
2000-04-05,2.170639991760254
