Date,DOW
2019-03-20,33.7333869934082
2019-03-21,33.17792892456055
2019-03-22,32.9205207824707
2019-03-25,33.29308319091797
2019-03-26,33.089874267578125
2019-03-27,33.93659210205078
2019-03-28,34.44462966918945
2019-03-29,34.97298049926758
2019-04-01,36.239681243896484
2019-04-02,38.10246276855469
2019-04-03,38.52921676635742
2019-04-04,40.44619369506836
2019-04-05,38.773067474365234
2019-04-08,38.71210479736328
2019-04-09,38.11600875854492
2019-04-10,37.73667907714844
2019-04-11,37.18122482299805
2019-04-12,39.4910888671875
2019-04-15,39.13884353637695
2019-04-16,39.62656021118164
2019-04-17,39.504642486572266
2019-04-18,39.13207244873047
2019-04-22,39.21336364746094
2019-04-23,39.04401397705078
2019-04-24,37.919578552246094
2019-04-25,37.47928237915039
2019-04-26,37.425079345703125
2019-04-29,37.59442901611328
2019-04-30,38.42760467529297
2019-05-01,38.021175384521484
2019-05-02,35.69777297973633
2019-05-03,36.104209899902344
2019-05-06,36.21257781982422
2019-05-07,35.867122650146484
2019-05-08,35.54875183105469
2019-05-09,35.853572845458984
2019-05-10,35.948394775390625
2019-05-13,34.512367248535156
2019-05-14,35.54875183105469
2019-05-15,35.867122650146484
2019-05-16,35.887447357177734
2019-05-17,34.4107666015625
2019-05-20,33.92305374145508
2019-05-21,34.29561233520508
2019-05-22,34.011104583740234
2019-05-23,32.99502944946289
2019-05-24,33.32695007324219
2019-05-28,32.89344024658203
2019-05-29,32.99502944946289
2019-05-30,33.31118392944336
2019-05-31,32.1359748840332
2019-06-03,32.96067428588867
2019-06-04,34.3145637512207
2019-06-05,34.596336364746094
2019-06-06,35.09115219116211
2019-06-07,35.256099700927734
2019-06-10,35.476016998291016
2019-06-11,35.76466751098633
2019-06-12,36.073936462402344
2019-06-13,36.34196090698242
2019-06-14,35.15302276611328
2019-06-17,33.915950775146484
2019-06-18,34.09465026855469
2019-06-19,33.33179473876953
2019-06-20,33.62731170654297
2019-06-21,33.23558044433594
2019-06-24,34.07402420043945
2019-06-25,34.149620056152344
2019-06-26,34.67193603515625
2019-06-27,34.98807144165039
2019-06-28,33.888465881347656
2019-07-01,34.47264862060547
2019-07-02,33.95032501220703
2019-07-03,33.902217864990234
2019-07-05,33.888465881347656
2019-07-08,33.345542907714844
2019-07-09,32.89881896972656
2019-07-10,32.67890167236328
2019-07-11,32.83696746826172
2019-07-12,34.16337203979492
2019-07-15,35.0018196105957
2019-07-16,35.957096099853516
2019-07-17,35.4622802734375
2019-07-18,35.56536865234375
2019-07-19,35.407291412353516
2019-07-22,34.96746063232422
2019-07-23,36.16327667236328
2019-07-24,36.28011703491211
2019-07-25,34.891868591308594
2019-07-26,33.75101852416992
2019-07-29,33.022525787353516
2019-07-30,33.263065338134766
2019-07-31,33.290550231933594
2019-08-01,32.19781494140625
2019-08-02,31.338754653930664
2019-08-05,30.768333435058594
2019-08-06,30.53467559814453
2019-08-07,30.85080337524414
2019-08-08,32.156585693359375
2019-08-09,32.053497314453125
2019-08-12,31.40062141418457
2019-08-13,32.19781494140625
2019-08-14,30.29413414001465
2019-08-15,29.81305694580078
2019-08-16,30.58965492248535
2019-08-19,31.338754653930664
2019-08-20,29.661855697631836
2019-08-21,29.74433135986328
2019-08-22,28.89901351928711
2019-08-23,27.978084564208984
2019-08-26,28.053682327270508
2019-08-27,28.29422950744629
2019-08-28,29.222013473510742
2019-08-29,29.606332778930664
2019-08-30,29.78800392150879
2019-09-03,29.208045959472656
2019-09-04,29.725120544433594
2019-09-05,30.298107147216797
2019-09-06,30.21425437927246
2019-09-09,31.059751510620117
2019-09-10,32.366424560546875
2019-09-11,32.75773239135742
2019-09-12,32.820613861083984
2019-09-13,33.68009567260742
2019-09-16,34.24607849121094
2019-09-17,33.540340423583984
2019-09-18,33.197940826416016
2019-09-19,33.28878402709961
2019-09-20,33.687076568603516
2019-09-23,33.477447509765625
