Date,EXPD
2000-01-03,8.324310302734375
2000-01-04,8.185770988464355
2000-01-05,8.209867477416992
2000-01-06,8.252030372619629
2000-01-07,8.185770988464355
2000-01-10,8.30623722076416
2000-01-11,8.107468605041504
2000-01-12,7.734017848968506
2000-01-13,7.9629082679748535
2000-01-14,8.53513240814209
2000-01-18,8.071327209472656
2000-01-19,8.161678314208984
2000-01-20,8.173727035522461
2000-01-21,8.167699813842773
2000-01-24,8.09542179107666
2000-01-25,8.089400291442871
2000-01-26,8.276124000549316
2000-01-27,8.276124000549316
2000-01-28,8.113492965698242
2000-01-31,8.125542640686035
2000-02-01,8.137587547302246
2000-02-02,8.059281349182129
2000-02-03,8.529108047485352
2000-02-04,8.64957332611084
2000-02-07,8.167699813842773
2000-02-08,8.131563186645508
2000-02-09,7.709927082061768
2000-02-10,7.17384672164917
2000-02-11,7.324430465698242
2000-02-14,7.270219802856445
2000-02-15,7.228055000305176
2000-02-16,7.264194965362549
2000-02-17,7.03530740737915
2000-02-18,6.673905372619629
2000-02-22,6.58957576751709
2000-02-23,6.28840970993042
2000-02-24,6.43297004699707
2000-02-25,6.547416687011719
2000-02-28,7.535251140594482
2000-02-29,7.276243686676025
2000-03-01,7.3304524421691895
2000-03-02,7.450921058654785
2000-03-03,7.517178058624268
2000-03-06,7.083495140075684
2000-03-07,7.03530740737915
2000-03-08,7.059401035308838
2000-03-09,6.938933849334717
2000-03-10,6.866652488708496
2000-03-13,6.655834674835205
2000-03-14,6.7220916748046875
2000-03-15,6.878700256347656
2000-03-16,7.4328508377075195
2000-03-17,7.511157512664795
2000-03-20,7.179867267608643
2000-03-21,7.667760848999023
2000-03-22,7.87858247756958
2000-03-23,8.264076232910156
2000-03-24,8.456825256347656
2000-03-27,8.167699813842773
2000-03-28,8.468871116638184
2000-03-29,8.384543418884277
2000-03-30,8.131563186645508
2000-03-31,7.661739349365234
2000-04-03,7.107588291168213
2000-04-04,7.625598430633545
2000-04-05,7.601503849029541
2000-04-06,7.637646675109863
2000-04-07,7.312382698059082
2000-04-10,7.167821407318115
2000-04-11,7.3304524421691895
2000-04-12,7.541271686553955
2000-04-13,7.420804977416992
2000-04-14,7.363579273223877
2000-04-17,6.770276069641113
2000-04-18,7.9629082679748535
2000-04-19,7.818348407745361
2000-04-20,7.758114814758301
2000-04-24,7.420804977416992
2000-04-25,8.239983558654785
2000-04-26,8.09542179107666
2000-04-27,8.026155471801758
2000-04-28,8.239983558654785
2000-05-01,7.854488849639893
2000-05-02,7.661739349365234
2000-05-03,7.303348541259766
2000-05-04,7.854488849639893
2000-05-05,8.468871116638184
2000-05-08,8.288171768188477
2000-05-09,8.553197860717773
2000-05-10,8.143610954284668
2000-05-11,8.444780349731445
2000-05-12,8.191795349121094
2000-05-15,8.239983558654785
2000-05-16,8.67366886138916
2000-05-17,8.661620140075684
2000-05-18,8.360453605651855
2000-05-19,8.37249755859375
2000-05-22,8.1797513961792
2000-05-23,8.119518280029297
2000-05-24,8.456825256347656
2000-05-25,7.926769256591797
2000-05-26,7.673786163330078
2000-05-30,7.820048809051514
2000-05-31,7.832118034362793
2000-06-01,7.989002704620361
2000-06-02,8.254496574401855
2000-06-05,8.037272453308105
2000-06-06,8.332940101623535
2000-06-07,8.544127464294434
2000-06-08,8.302769660949707
2000-06-09,8.314834594726562
2000-06-12,8.519990921020508
2000-06-13,8.145886421203613
2000-06-14,8.38724422454834
2000-06-15,8.242427825927734
2000-06-16,8.495853424072266
2000-06-19,8.435518264770508
2000-06-20,8.761350631713867
2000-06-21,8.725146293640137
2000-06-22,8.254496574401855
2000-06-23,7.976929664611816
2000-06-26,8.713081359863281
2000-06-27,8.302769660949707
2000-06-28,8.88203239440918
2000-06-29,8.664809226989746
2000-06-30,9.17166519165039
2000-07-03,9.268208503723145
2000-07-05,9.364747047424316
2000-07-06,9.823330879211426
2000-07-07,9.437159538269043
2000-07-10,9.425087928771973
2000-07-11,9.666451454162598
2000-07-12,9.69058895111084
2000-07-13,9.69058895111084
2000-07-14,9.678519248962402
2000-07-17,9.557838439941406
2000-07-18,9.364747047424316
2000-07-19,9.111321449279785
2000-07-20,9.702652931213379
2000-07-21,9.099255561828613
2000-07-24,9.352684020996094
2000-07-25,9.46129322052002
2000-07-26,9.69058895111084
2000-07-27,9.075119018554688
2000-07-28,8.942373275756836
2000-07-31,9.702652931213379
2000-08-01,9.557838439941406
2000-08-02,9.47336196899414
2000-08-03,9.12338924407959
2000-08-04,9.075119018554688
2000-08-07,9.280271530151367
2000-08-08,9.21993350982666
2000-08-09,9.316475868225098
2000-08-10,9.316475868225098
2000-08-11,9.30139446258545
2000-08-14,9.21993350982666
2000-08-15,9.075119018554688
2000-08-16,9.292343139648438
2000-08-17,9.038911819458008
2000-08-18,8.869962692260742
2000-08-21,8.713081359863281
2000-08-22,8.351038932800293
2000-08-23,8.326902389526367
2000-08-24,8.544127464294434
2000-08-25,8.713081359863281
2000-08-28,8.688945770263672
2000-08-29,8.88203239440918
2000-08-30,9.075119018554688
2000-08-31,9.46129322052002
2000-09-01,9.46129322052002
2000-09-05,9.34061336517334
2000-09-06,9.364747047424316
2000-09-07,9.352684020996094
2000-09-08,9.606110572814941
2000-09-11,9.40095329284668
2000-09-12,9.503532409667969
2000-09-13,9.642314910888672
2000-09-14,9.557838439941406
2000-09-15,9.581974983215332
2000-09-18,9.008749008178711
2000-09-19,9.21993350982666
2000-09-20,9.34061336517334
2000-09-21,9.280271530151367
2000-09-22,9.606110572814941
2000-09-25,9.316475868225098
2000-09-26,8.676876068115234
2000-09-27,8.56826400756836
2000-09-28,8.88203239440918
2000-09-29,8.701011657714844
2000-10-02,8.532061576843262
2000-10-03,8.601452827453613
2000-10-04,8.471720695495605
2000-10-05,8.351038932800293
2000-10-06,8.037272453308105
2000-10-09,7.735570430755615
2000-10-10,7.723505020141602
2000-10-11,7.747640609741211
2000-10-12,7.820048809051514
2000-10-13,8.411382675170898
2000-10-16,8.483790397644043
2000-10-17,8.375178337097168
2000-10-18,8.302769660949707
2000-10-19,9.099255561828613
2000-10-20,9.268208503723145
2000-10-23,9.087189674377441
2000-10-24,9.268208503723145
2000-10-25,9.268208503723145
2000-10-26,9.53370475769043
2000-10-27,9.61817741394043
2000-10-30,9.87160587310791
2000-10-31,10.016419410705566
2000-11-01,10.064692497253418
2000-11-02,10.161236763000488
2000-11-03,10.354323387145996
2000-11-06,10.692230224609375
2000-11-07,10.761618614196777
2000-11-08,10.100897789001465
2000-11-09,10.487072944641113
2000-11-10,10.281915664672852
2000-11-13,10.42673397064209
2000-11-14,10.80084228515625
2000-11-15,11.054265975952148
2000-11-16,11.102537155151367
2000-11-17,11.042196273803711
2000-11-20,11.00599479675293
2000-11-21,11.018062591552734
2000-11-22,10.957722663879395
2000-11-24,11.102537155151367
2000-11-27,11.368033409118652
2000-11-28,10.631890296936035
2000-11-29,10.391671180725098
2000-11-30,10.029170036315918
2000-12-01,10.150004386901855
2000-12-04,10.295004844665527
2000-12-05,10.0050048828125
2000-12-06,9.860003471374512
2000-12-07,9.944589614868164
2000-12-08,10.053337097167969
2000-12-11,10.282919883728027
2000-12-12,10.995838165283203
2000-12-13,10.536667823791504
2000-12-14,10.488337516784668
2000-12-15,9.267924308776855
2000-12-18,9.376668930053711
2000-12-19,9.412919044494629
2000-12-20,9.038335800170898
2000-12-21,8.990004539489746
2000-12-22,9.34041976928711
2000-12-26,9.304171562194824
2000-12-27,9.814692497253418
2000-12-28,10.412817001342773
2000-12-29,10.379587173461914
2001-01-02,9.594169616699219
2001-01-03,10.512506484985352
2001-01-04,10.778337478637695
2001-01-05,10.633340835571289
2001-01-08,10.633340835571289
2001-01-09,10.198339462280273
2001-01-10,9.956670761108398
2001-01-11,10.113758087158203
2001-01-12,10.029170036315918
2001-01-16,9.980838775634766
2001-01-17,10.125836372375488
2001-01-18,10.146981239318848
2001-01-19,9.884171485900879
2001-01-22,10.137921333312988
2001-01-23,9.92042350769043
2001-01-24,9.908339500427246
2001-01-25,10.162090301513672
2001-01-26,10.35542106628418
2001-01-29,11.310005187988281
2001-01-30,11.020004272460938
2001-01-31,11.273756980895996
2001-02-01,11.189172744750977
2001-02-02,10.92333698272705
2001-02-05,11.080421447753906
2001-02-06,11.068338394165039
2001-02-07,11.032089233398438
2001-02-08,11.023025512695312
2001-02-09,10.73000717163086
2001-02-12,10.835734367370605
2001-02-13,10.971671104431152
2001-02-14,11.11667537689209
2001-02-15,11.237505912780762
2001-02-16,11.056254386901855
2001-02-20,11.237505912780762
2001-02-21,11.491252899169922
2001-02-22,11.44292163848877
2001-02-23,11.273756980895996
2001-02-26,11.237505912780762
2001-02-27,11.346254348754883
2001-02-28,11.285839080810547
2001-03-01,11.261674880981445
2001-03-02,10.778337478637695
2001-03-05,10.826674461364746
2001-03-06,10.947502136230469
2001-03-07,10.971671104431152
2001-03-08,10.705842018127441
2001-03-09,10.282919883728027
2001-03-12,9.376668930053711
2001-03-13,9.618340492248535
2001-03-14,8.905421257019043
2001-03-15,9.038335800170898
2001-03-16,8.55500316619873
2001-03-19,9.086669921875
2001-03-20,9.086669921875
2001-03-21,9.255838394165039
2001-03-22,8.893336296081543
2001-03-23,8.700005531311035
2001-03-26,9.364587783813477
2001-03-27,9.49750804901123
2001-03-28,9.485420227050781
2001-03-29,9.425005912780762
2001-03-30,9.75125789642334
2001-04-02,9.702923774719238
2001-04-03,9.195420265197754
2001-04-04,9.09875774383545
2001-04-05,9.110838890075684
2001-04-06,8.857087135314941
2001-04-09,8.903002738952637
2001-04-10,9.009336471557617
2001-04-11,8.893336296081543
2001-04-12,8.748337745666504
2001-04-16,8.796669960021973
2001-04-17,9.086669921875
2001-04-18,9.744004249572754
2001-04-19,9.832940101623535
2001-04-20,9.558403968811035
2001-04-23,9.24520206451416
2001-04-24,9.024801254272461
2001-04-25,9.285802841186523
2001-04-26,9.436605453491211
2001-04-27,9.457869529724121
2001-04-30,9.672472953796387
2001-05-01,10.034004211425781
2001-05-02,9.956670761108398
2001-05-03,9.645401000976562
2001-05-04,9.666669845581055
2001-05-07,9.502338409423828
2001-05-08,9.751733779907227
2001-05-09,9.610603332519531
2001-05-10,10.772541999816895
2001-05-11,10.637207984924316
2001-05-14,11.232671737670898
2001-05-15,11.516871452331543
2001-05-16,12.075604438781738
2001-05-17,12.620808601379395
2001-05-18,11.98667049407959
2001-05-21,12.280540466308594
2001-05-22,11.862936019897461
2001-05-23,11.754672050476074
2001-05-24,12.354008674621582
2001-05-25,12.336605072021484
2001-05-29,12.265070915222168
2001-05-30,12.205041885375977
2001-05-31,12.468393325805664
2001-06-01,12.363829612731934
2001-06-04,12.526487350463867
2001-06-05,12.605878829956055
2001-06-06,12.286370277404785
2001-06-07,12.323163032531738
2001-06-08,12.37351131439209
2001-06-11,12.121779441833496
2001-06-12,12.100480079650879
2001-06-13,11.773229598999023
2001-06-14,11.389822006225586
2001-06-15,11.521502494812012
2001-06-18,11.242659568786621
2001-06-19,11.02966022491455
2001-06-20,11.434361457824707
2001-06-21,11.31430721282959
2001-06-22,11.374336242675781
2001-06-25,11.331735610961914
2001-06-26,11.310436248779297
2001-06-27,11.260086059570312
2001-06-28,11.705453872680664
2001-06-29,11.618318557739258
2001-07-02,11.722885131835938
2001-07-03,11.75774097442627
2001-07-05,11.618318557739258
2001-07-06,11.244595527648926
2001-07-09,10.84183120727539
2001-07-10,10.853446006774902
2001-07-11,10.653997421264648
2001-07-12,11.174886703491211
2001-07-13,11.432425498962402
2001-07-16,11.424678802490234
2001-07-17,11.438232421875
2001-07-18,11.46534538269043
2001-07-19,11.521502494812012
2001-07-20,11.875859260559082
2001-07-23,11.84487533569336
2001-07-24,11.46534538269043
2001-07-25,11.174886703491211
2001-07-26,11.502138137817383
2001-07-27,11.811958312988281
2001-07-30,11.813894271850586
2001-07-31,11.002545356750488
2001-08-01,10.863122940063477
2001-08-02,10.979310989379883
2001-08-03,10.679170608520508
2001-08-06,10.768250465393066
2001-08-07,11.047083854675293
2001-08-08,10.659809112548828
2001-08-09,10.714028358459473
2001-08-10,10.64819049835205
2001-08-13,10.762434959411621
2001-08-14,11.01610279083252
2001-08-15,11.043211936950684
2001-08-16,11.124542236328125
2001-08-17,11.066452026367188
2001-08-20,10.859257698059082
2001-08-21,10.63076114654541
2001-08-22,10.677233695983887
2001-08-23,10.652060508728027
2001-08-24,10.92121696472168
2001-08-27,10.872809410095215
2001-08-28,10.655935287475586
2001-08-29,10.677233695983887
2001-08-30,10.582351684570312
2001-08-31,9.848464012145996
2001-09-04,9.933663368225098
2001-09-05,10.123429298400879
2001-09-06,10.7391996383667
2001-09-07,10.510705947875977
2001-09-10,10.533941268920898
2001-09-17,9.345000267028809
2001-09-18,8.73116683959961
2001-09-19,8.423283576965332
2001-09-20,8.374873161315918
2001-09-21,8.684694290161133
