Date,GE
2000-01-03,129.4379119873047
2000-01-04,124.26038360595703
2000-01-05,124.04470825195312
2000-01-06,125.70310974121094
2000-01-07,130.57049560546875
2000-01-10,130.5165557861328
2000-01-11,130.73228454589844
2000-01-12,131.1637725830078
2000-01-13,132.67384338378906
2000-01-14,130.3008270263672
2000-01-18,127.71209716796875
2000-01-19,128.33230590820312
2000-01-20,125.93228149414062
2000-01-21,124.36824798583984
2000-01-24,119.1906967163086
2000-01-25,119.5143051147461
2000-01-26,122.04913330078125
2000-01-27,122.31881713867188
2000-01-28,115.63123321533203
2000-01-31,115.63123321533203
2000-02-01,117.3570785522461
2000-02-02,115.68511199951172
2000-02-03,120.16156768798828
2000-02-04,122.1570053100586
2000-02-07,117.78845977783203
2000-02-08,118.27391052246094
2000-02-09,115.68511199951172
2000-02-10,116.87162780761719
2000-02-11,115.41541290283203
2000-02-14,115.95478820800781
2000-02-15,118.65140533447266
2000-02-16,117.06036376953125
2000-02-17,113.04248809814453
2000-02-18,107.97283935546875
2000-02-22,111.85591888427734
2000-02-23,112.6109848022461
2000-02-24,113.04248809814453
2000-02-25,108.83573150634766
2000-02-28,111.69412994384766
2000-02-29,114.22894287109375
2000-03-01,113.36602783203125
2000-03-02,116.70986938476562
2000-03-03,120.26937103271484
2000-03-06,118.9473648071289
2000-03-07,112.45639038085938
2000-03-08,112.7809829711914
2000-03-09,111.64498138427734
2000-03-10,113.97098541259766
2000-03-13,112.023681640625
2000-03-14,109.91410827636719
2000-03-15,115.59376525878906
2000-03-16,120.29973602294922
2000-03-17,121.05703735351562
2000-03-20,121.97647857666016
2000-03-21,130.25253295898438
2000-03-22,130.57708740234375
2000-03-23,138.47434997558594
2000-03-24,137.6630859375
2000-03-27,136.68946838378906
2000-03-28,135.0125732421875
2000-03-29,141.07081604003906
2000-03-30,137.39260864257812
2000-03-31,134.6881103515625
2000-04-03,139.33987426757812
2000-04-04,133.28163146972656
2000-04-05,132.68666076660156
2000-04-06,135.7698516845703
2000-04-07,137.4467010498047
2000-04-10,137.9875946044922
2000-04-11,139.8808135986328
2000-04-12,135.6616668701172
2000-04-13,130.25253295898438
2000-04-14,126.14154815673828
2000-04-17,131.55075073242188
2000-04-18,135.44540405273438
2000-04-19,134.57984924316406
2000-04-20,137.17626953125
2000-04-24,140.25950622558594
2000-04-25,143.66720581054688
2000-04-26,141.2871856689453
2000-04-27,139.77276611328125
2000-04-28,136.09442138671875
2000-05-01,137.93357849121094
2000-05-02,139.39404296875
2000-05-03,135.06671142578125
2000-05-04,133.28163146972656
2000-05-05,136.74356079101562
2000-05-08,136.1485137939453
2000-05-09,135.33721923828125
2000-05-10,131.44253540039062
2000-05-11,132.25396728515625
2000-05-12,135.6616668701172
2000-05-15,140.20542907714844
2000-05-16,140.85450744628906
2000-05-17,139.2317352294922
2000-05-18,137.93357849121094
2000-05-19,134.6881103515625
2000-05-22,129.81979370117188
2000-05-23,129.81979370117188
2000-05-24,131.7670440673828
2000-05-25,131.7670440673828
2000-05-26,128.6839141845703
2000-05-30,133.06529235839844
2000-05-31,136.6353302001953
2000-06-01,135.9862823486328
