Date,ADI
2000-01-03,27.553598403930664
2000-01-04,26.1596736907959
2000-01-05,26.541587829589844
2000-01-06,25.81597900390625
2000-01-07,26.541587829589844
2000-01-10,28.852027893066406
2000-01-11,27.668167114257812
2000-01-12,28.56561851501465
2000-01-13,28.661088943481445
2000-01-14,30.971540451049805
2000-01-18,30.09319305419922
2000-01-19,30.990636825561523
2000-01-20,30.379608154296875
2000-01-21,29.520349502563477
2000-01-24,30.1122989654541
2000-01-25,32.079036712646484
2000-01-26,31.067035675048828
2000-01-27,29.348508834838867
2000-01-28,29.1766357421875
2000-01-31,28.56561851501465
2000-02-01,29.940431594848633
2000-02-02,29.405778884887695
2000-02-03,32.308162689208984
2000-02-04,34.06489562988281
2000-02-07,36.356231689453125
2000-02-08,35.05779266357422
2000-02-09,35.344207763671875
2000-02-10,35.47787857055664
2000-02-11,35.01960372924805
2000-02-14,35.745208740234375
2000-02-15,36.62355422973633
2000-02-16,38.953102111816406
2000-02-17,43.077552795410156
2000-02-18,41.47361373901367
2000-02-22,43.89861297607422
2000-02-23,45.101600646972656
2000-02-24,49.2833137512207
2000-02-25,47.927581787109375
2000-02-28,45.65533447265625
2000-02-29,48.04218673706055
2000-03-01,49.340599060058594
2000-03-02,47.67937469482422
2000-03-03,51.02095413208008
2000-03-06,55.794593811035156
2000-03-07,50.40988540649414
2000-03-08,50.60087966918945
2000-03-09,54.07606506347656
2000-03-10,52.83491897583008
2000-03-13,50.40988540649414
2000-03-14,44.4905891418457
2000-03-15,40.93895721435547
2000-03-16,48.271278381347656
2000-03-17,47.58387756347656
2000-03-20,49.03508377075195
2000-03-21,51.93749237060547
2000-03-22,56.21467208862305
2000-03-23,55.298152923583984
2000-03-24,53.6177978515625
2000-03-27,53.770572662353516
2000-03-28,49.79888916015625
2000-03-29,52.70124435424805
2000-03-30,47.6602897644043
2000-03-31,49.18784713745117
2000-04-03,45.33071517944336
2000-04-04,43.38307571411133
2000-04-05,44.59560012817383
2000-04-06,48.156742095947266
2000-04-07,48.271278381347656
2000-04-10,43.38307571411133
2000-04-11,41.70275115966797
