Date,PSX
2012-04-12,21.157085418701172
2012-04-13,23.02387809753418
2012-04-16,22.743864059448242
2012-04-17,22.401613235473633
2012-04-18,22.401613235473633
2012-04-19,22.401613235473633
2012-04-20,22.600746154785156
2012-04-23,22.20248794555664
2012-04-24,21.623783111572266
2012-04-25,21.623783111572266
2012-04-26,21.748239517211914
2012-04-27,21.225534439086914
2012-04-30,21.188196182250977
2012-05-01,20.385469436645508
2012-05-02,19.912548065185547
2012-05-03,19.5329647064209
2012-05-04,18.767580032348633
2012-05-07,18.263538360595703
2012-05-08,18.730234146118164
2012-05-09,20.21746253967285
2012-05-10,20.211238861083984
2012-05-11,19.806764602661133
2012-05-14,19.489408493041992
2012-05-15,19.70720672607422
2012-05-16,19.974773406982422
2012-05-17,19.45207405090332
2012-05-18,19.526742935180664
2012-05-21,20.030780792236328
2012-05-22,19.682308197021484
2012-05-23,19.54540252685547
2012-05-24,19.371177673339844
2012-05-25,19.47696304321289
2012-05-29,19.296499252319336
2012-05-30,18.941810607910156
2012-05-31,18.68668556213379
2012-06-01,18.618240356445312
2012-06-04,18.375547409057617
2012-06-05,18.605791091918945
2012-06-06,19.620080947875977
2012-06-07,19.806764602661133
2012-06-08,19.987215042114258
2012-06-11,20.285903930664062
2012-06-12,20.839723587036133
2012-06-13,20.391700744628906
2012-06-14,20.8646183013916
2012-06-15,21.71712303161621
2012-06-18,21.069965362548828
2012-06-19,21.069965362548828
2012-06-20,21.567785263061523
2012-06-21,20.833498001098633
2012-06-22,21.25663948059082
2012-06-25,20.453922271728516
2012-06-26,20.273466110229492
2012-06-27,19.84410285949707
2012-06-28,20.105449676513672
2012-06-29,20.684158325195312
2012-07-02,21.157085418701172
2012-07-03,21.306428909301758
2012-07-05,21.03262710571289
2012-07-06,20.765047073364258
2012-07-09,20.69038200378418
2012-07-10,20.335691452026367
2012-07-11,20.833498001098633
2012-07-12,20.541032791137695
2012-07-13,21.742006301879883
2012-07-16,22.463842391967773
2012-07-17,22.83098030090332
2012-07-18,23.086105346679688
2012-07-19,22.272775650024414
2012-07-20,22.09760093688965
2012-07-23,21.909908294677734
2012-07-24,22.04128646850586
2012-07-25,22.147655487060547
2012-07-26,22.498010635375977
2012-07-27,22.848369598388672
2012-07-30,23.555339813232422
2012-07-31,23.52406120300293
2012-08-01,23.9432315826416
2012-08-02,23.962005615234375
2012-08-03,24.819129943847656
2012-08-06,25.06939125061035
2012-08-07,24.881694793701172
2012-08-08,25.119441986083984
2012-08-09,25.225797653198242
2012-08-10,25.02559471130371
2012-08-13,25.119441986083984
2012-08-14,24.98180389404297
2012-08-15,25.250825881958008
2012-08-16,25.76384735107422
2012-08-17,26.758607864379883
2012-08-20,26.94631004333496
2012-08-21,25.995332717895508
2012-08-22,25.951536178588867
2012-08-23,25.857696533203125
2012-08-24,25.8764705657959
2012-08-27,25.69503402709961
2012-08-28,26.25185203552246
2012-08-29,26.26435661315918
2012-08-30,26.577178955078125
2012-08-31,26.276880264282227
2012-09-04,26.533388137817383
2012-09-05,26.114206314086914
2012-09-06,27.165279388427734
2012-09-07,27.69081687927246
2012-09-10,27.86598777770996
2012-09-11,28.522916793823242
2012-09-12,28.954605102539062
2012-09-13,29.179845809936523
2012-09-14,29.236148834228516
2012-09-17,28.867029190063477
2012-09-18,28.4791259765625
2012-09-19,28.51041030883789
2012-09-20,28.64179801940918
2012-09-21,29.29246711730957
2012-09-24,29.24241065979004
2012-09-25,28.766918182373047
2012-09-26,28.485382080078125
2012-09-27,29.11102867126465
2012-09-28,29.01091766357422
2012-10-01,29.129793167114258
2012-10-02,29.042203903198242
2012-10-03,28.253902435302734
2012-10-04,28.397781372070312
2012-10-05,28.79193687438965
2012-10-08,28.735633850097656
2012-10-09,28.835739135742188
2012-10-10,28.247638702392578
2012-10-11,28.05889320373535
2012-10-12,27.6310977935791
2012-10-15,27.920490264892578
2012-10-16,29.247957229614258
2012-10-17,29.348608016967773
2012-10-18,28.662853240966797
2012-10-19,28.084060668945312
2012-10-22,28.67544174194336
2012-10-23,28.260221481323242
2012-10-24,28.17214584350586
2012-10-25,28.32942771911621
2012-10-26,29.883359909057617
2012-10-31,29.66945457458496
2012-11-01,29.807857513427734
2012-11-02,29.071786880493164
2012-11-05,30.04692840576172
2012-11-06,31.481346130371094
2012-11-07,31.11644172668457
2012-11-08,30.82703971862793
2012-11-09,29.82673454284668
2012-11-12,29.788986206054688
2012-11-13,29.480716705322266
2012-11-14,28.788681030273438
2012-11-15,28.524457931518555
2012-11-16,28.794973373413086
2012-11-19,30.27341079711914
2012-11-20,30.86478614807129
2012-11-21,31.072397232055664
2012-11-23,31.34292984008789
2012-11-26,31.17934799194336
2012-11-27,31.493927001953125
2012-11-28,32.08528518676758
2012-11-29,32.43760299682617
2012-11-30,32.94718551635742
2012-12-03,32.43760299682617
2012-12-04,32.43760299682617
2012-12-05,31.890254974365234
2012-12-06,32.06641387939453
2012-12-07,32.92832946777344
2012-12-10,33.70843505859375
2012-12-11,33.36869812011719
2012-12-12,33.374996185302734
2012-12-13,32.846534729003906
2012-12-14,33.639225006103516
2012-12-17,33.670677185058594
2012-12-18,33.450477600097656
2012-12-19,33.028968811035156
2012-12-20,32.978641510009766
2012-12-21,32.81507110595703
