Date,ETN
2000-01-03,6.751077175140381
2000-01-04,6.520519733428955
2000-01-05,6.573724746704102
2000-01-06,6.709695339202881
2000-01-07,6.916599750518799
2000-01-10,6.739249229431152
2000-01-11,6.751077175140381
2000-01-12,6.733339309692383
2000-01-13,6.745162010192871
2000-01-14,6.745162010192871
2000-01-18,6.898868560791016
2000-01-19,6.833833694458008
2000-01-20,6.745162010192871
2000-01-21,6.343170166015625
2000-01-24,6.881128787994385
2000-01-25,6.650575160980225
2000-01-26,6.626930236816406
2000-01-27,6.756987571716309
2000-01-28,6.626930236816406
2000-01-31,6.756987571716309
2000-02-01,6.745162010192871
2000-02-02,6.650575160980225
2000-02-03,6.5556321144104
2000-02-04,6.430708885192871
2000-02-07,6.371218681335449
2000-02-08,6.383118629455566
2000-02-09,6.258191108703613
2000-02-10,6.1749067306518555
2000-02-11,5.913160800933838
2000-02-14,6.085674285888672
2000-02-15,6.20465087890625
2000-02-16,6.1868062019348145
2000-02-17,6.133265018463135
2000-02-18,5.990493297576904
2000-02-22,6.038082122802734
2000-02-23,6.240344524383545
2000-02-24,7.424167156219482
2000-02-25,6.930411338806152
2000-02-28,7.168363571166992
2000-02-29,7.132669448852539
2000-03-01,6.948261260986328
2000-03-02,7.073183536529541
2000-03-03,7.132669448852539
2000-03-06,7.590733528137207
2000-03-07,7.132669448852539
2000-03-08,6.948261260986328
2000-03-09,7.132669448852539
2000-03-10,7.24569845199585
2000-03-13,7.132669448852539
2000-03-14,7.025591850280762
2000-03-15,7.2813944816589355
2000-03-16,7.697813987731934
2000-03-17,7.442012310028076
2000-03-20,7.3170881271362305
2000-03-21,7.465803146362305
2000-03-22,7.400368690490723
2000-03-23,7.340882778167725
2000-03-24,7.299238681793213
2000-03-27,7.269495010375977
2000-03-28,7.114823818206787
2000-03-29,7.204057693481445
2000-03-30,7.287342548370361
2000-03-31,7.424167156219482
2000-04-03,7.400368690490723
2000-04-04,7.275441646575928
2000-04-05,7.168363571166992
2000-04-06,7.2813944816589355
2000-04-07,7.3111371994018555
2000-04-10,7.24569845199585
2000-04-11,7.424167156219482
2000-04-12,7.352778911590576
2000-04-13,7.531243801116943
2000-04-14,7.1029276847839355
2000-04-17,7.328982353210449
2000-04-18,7.519345283508301
2000-04-19,7.566936492919922
2000-04-20,7.578834533691406
2000-04-24,7.614530086517334
2000-04-25,7.995253086090088
2000-04-26,8.060689926147461
2000-04-27,7.959562301635742
2000-04-28,7.995253086090088
2000-05-01,8.036894798278809
2000-05-02,7.923868179321289
2000-05-03,7.733503818511963
2000-05-04,7.66795539855957
2000-05-05,7.84738826751709
2000-05-08,7.823462009429932
2000-05-09,7.655987739562988
2000-05-10,7.5961761474609375
2000-05-11,7.709822177886963
2000-05-12,7.66196870803833
2000-05-15,7.727764129638672
2000-05-16,7.84738826751709
2000-05-17,7.919164657592773
2000-05-18,7.907199382781982
2000-05-19,7.679914951324463
2000-05-22,7.560290813446045
2000-05-23,7.434677600860596
