Date,MKC
2000-01-03,4.06547212600708
2000-01-04,4.120043754577637
2000-01-05,4.156425476074219
2000-01-06,4.101853370666504
2000-01-07,4.083664417266846
2000-01-10,3.901766061782837
2000-01-11,3.874478340148926
2000-01-12,3.874478340148926
2000-01-13,3.9654295444488525
2000-01-14,4.00180721282959
2000-01-18,3.7835276126861572
2000-01-19,3.7016708850860596
2000-01-20,3.6561968326568604
2000-01-21,3.6380081176757812
2000-01-24,3.51067852973938
2000-01-25,3.501582622528076
2000-01-26,3.5834381580352783
2000-01-27,3.692577838897705
2000-01-28,3.7653393745422363
2000-01-31,3.8471949100494385
2000-02-01,3.8108127117156982
2000-02-02,3.601626396179199
2000-02-03,3.7835276126861572
2000-02-04,3.9654295444488525
2000-02-07,3.8471949100494385
2000-02-08,3.929048776626587
2000-02-09,3.9381420612335205
2000-02-10,3.9472384452819824
2000-02-11,3.9472384452819824
2000-02-14,3.9381420612335205
2000-02-15,4.083664417266846
2000-02-16,4.00180721282959
2000-02-17,3.9745237827301025
2000-02-18,4.00180721282959
2000-02-22,3.9927127361297607
2000-02-23,4.083664417266846
2000-02-24,3.8653831481933594
2000-02-25,3.8290045261383057
2000-02-28,3.8471949100494385
2000-02-29,3.9836182594299316
2000-03-01,3.9927127361297607
2000-03-02,3.883575677871704
2000-03-03,3.8471949100494385
2000-03-06,3.7471463680267334
2000-03-07,3.72895884513855
2000-03-08,3.8199102878570557
2000-03-09,3.883575677871704
2000-03-10,3.8471949100494385
2000-03-13,3.7380542755126953
2000-03-14,3.8108127117156982
2000-03-15,4.4110846519470215
2000-03-16,4.49293851852417
2000-03-17,4.392892360687256
2000-03-20,4.4292755126953125
2000-03-21,4.620270252227783
2000-03-22,4.647555828094482
2000-03-23,4.502034664154053
2000-03-24,4.329229831695557
2000-03-27,4.238278865814209
2000-03-28,4.292849063873291
2000-03-29,4.503756999969482
2000-03-30,4.576990604400635
2000-03-31,4.723453521728516
2000-04-03,4.540372848510742
2000-04-04,4.576990604400635
2000-04-05,4.714298725128174
2000-04-06,4.888223171234131
2000-04-07,4.961455345153809
2000-04-10,4.8607611656188965
2000-04-11,4.952302932739258
2000-04-12,5.14453649520874
2000-04-13,5.2726898193359375
2000-04-14,4.952302932739258
2000-04-17,5.080458641052246
2000-04-18,4.833299160003662
2000-04-19,4.8241472244262695
2000-04-20,4.8607611656188965
2000-04-24,4.8058366775512695
2000-04-25,4.933993339538574
2000-04-26,4.833299160003662
2000-04-27,4.6593732833862305
2000-04-28,4.567834854125977
2000-05-01,4.677682399749756
2000-05-02,4.631912708282471
2000-05-03,4.650221347808838
2000-05-04,5.052995681762695
2000-05-05,4.961455345153809
2000-05-08,5.089611530303955
2000-05-09,5.14453649520874
2000-05-10,5.098766803741455
2000-05-11,5.162845611572266
2000-05-12,5.007226943969727
2000-05-15,4.988916873931885
2000-05-16,4.933993339538574
2000-05-17,4.796685218811035
2000-05-18,4.741760730743408
2000-05-19,4.8607611656188965
2000-05-22,4.897378921508789
2000-05-23,4.897378921508789
2000-05-24,4.933993339538574
2000-05-25,4.869916915893555
2000-05-26,4.8241472244262695
2000-05-30,4.833299160003662
2000-05-31,4.760068893432617
2000-06-01,4.8058366775512695
2000-06-02,4.73260498046875
2000-06-05,4.586143493652344
2000-06-06,4.576990604400635
2000-06-07,4.787531852722168
2000-06-08,4.73260498046875
2000-06-09,4.677682399749756
2000-06-12,4.787531852722168
2000-06-13,4.769224643707275
2000-06-14,4.915685653686523
2000-06-15,5.26353645324707
2000-06-16,5.318458557128906
2000-06-19,5.062150001525879
2000-06-20,4.988916873931885
2000-06-21,4.988916873931885
2000-06-22,4.952302932739258
2000-06-23,5.007226943969727
2000-06-26,4.998071193695068
2000-06-27,5.034688949584961
2000-06-28,5.016644477844238
2000-06-29,4.970621109008789
2000-06-30,4.786526203155518
2000-07-03,4.869365692138672
2000-07-05,4.841755390167236
2000-07-06,4.850957870483398
2000-07-07,4.850957870483398
2000-07-10,4.832547664642334
2000-07-11,4.915393829345703
2000-07-12,4.943005561828613
2000-07-13,4.924598693847656
2000-07-14,4.832547664642334
2000-07-17,4.749704360961914
2000-07-18,4.6852707862854
2000-07-19,4.694475173950195
2000-07-20,4.53799295425415
2000-07-21,4.455150604248047
2000-07-24,4.418331146240234
2000-07-25,4.418331146240234
2000-07-26,4.482764720916748
2000-07-27,4.372308731079102
2000-07-28,4.353896617889404
2000-07-31,4.31707763671875
2000-08-01,4.363099098205566
2000-08-02,4.630043983459473
2000-08-03,4.602428913116455
2000-08-04,4.53799295425415
2000-08-07,4.3354878425598145
2000-08-08,4.390714168548584
2000-08-09,4.427534580230713
2000-08-10,4.390714168548584
2000-08-11,4.482764720916748
2000-08-14,4.390714168548584
2000-08-15,4.280257225036621
2000-08-16,4.307873725891113
2000-08-17,4.3815107345581055
2000-08-18,4.353896617889404
2000-08-21,4.31707763671875
2000-08-22,4.271052360534668
2000-08-23,4.2342329025268555
2000-08-24,4.31707763671875
2000-08-25,4.31707763671875
2000-08-28,4.344692230224609
2000-08-29,4.3354878425598145
2000-08-30,4.2342329025268555
2000-08-31,4.298666477203369
2000-09-01,4.326282024383545
2000-09-05,4.271052360534668
2000-09-06,4.261847019195557
2000-09-07,4.390714168548584
2000-09-08,4.261847019195557
2000-09-11,4.2526445388793945
2000-09-12,4.298666477203369
2000-09-13,4.2342329025268555
2000-09-14,4.206618785858154
2000-09-15,4.1605939865112305
2000-09-18,4.151388645172119
2000-09-19,4.501174449920654
2000-09-20,4.482764720916748
2000-09-21,4.409125804901123
2000-09-22,4.491969585418701
2000-09-25,4.445944309234619
2000-09-26,4.363099098205566
2000-09-27,4.4283223152160645
2000-09-28,4.363472938537598
2000-09-29,4.409791469573975
2000-10-02,4.446849346160889
2000-10-03,4.465378761291504
2000-10-04,4.4283223152160645
2000-10-05,4.493171215057373
2000-10-06,4.483910083770752
2000-10-09,4.539492607116699
2000-10-10,4.548758029937744
2000-10-11,4.548758029937744
2000-10-12,4.567285537719727
2000-10-13,4.548758029937744
2000-10-16,4.5580220222473145
2000-10-17,4.548758029937744
2000-10-18,4.483910083770752
2000-10-19,4.622872829437256
2000-10-20,4.604342460632324
2000-10-23,4.641401290893555
2000-10-24,4.5580220222473145
2000-10-25,4.548758029937744
2000-10-26,4.595080375671387
2000-10-27,4.650662422180176
2000-10-30,4.724777698516846
2000-10-31,4.696984767913818
2000-11-01,4.734043121337891
2000-11-02,4.696984767913818
2000-11-03,4.641401290893555
2000-11-06,4.659927845001221
2000-11-07,4.659927845001221
2000-11-08,4.604342460632324
2000-11-09,4.659927845001221
2000-11-10,4.7062506675720215
2000-11-13,4.63213586807251
2000-11-14,4.641401290893555
2000-11-15,5.039763450622559
2000-11-16,5.113877773284912
2000-11-17,5.095349311828613
2000-11-20,5.160200119018555
2000-11-21,5.187991142272949
2000-11-22,5.234313488006592
2000-11-24,5.15093469619751
2000-11-27,5.234313488006592
2000-11-28,5.3362202644348145
2000-11-29,5.382539749145508
2000-11-30,5.52150821685791
2000-12-01,5.493714332580566
2000-12-04,5.465918064117432
2000-12-05,5.3269548416137695
2000-12-06,5.262106418609619
2000-12-07,5.308428764343262
2000-12-08,5.410332679748535
2000-12-11,5.438125133514404
2000-12-12,5.22504997253418
2000-12-13,5.243575096130371
2000-12-14,5.234313488006592
2000-12-15,5.187991142272949
2000-12-18,5.22504997253418
2000-12-19,5.317691802978516
2000-12-20,5.271368503570557
2000-12-21,5.317691802978516
2000-12-22,5.15093469619751
2000-12-26,5.317691802978516
2000-12-27,5.403401851654053
2000-12-28,5.5990424156188965
2000-12-29,5.375451564788818
2001-01-02,5.496561527252197
2001-01-03,5.319556713104248
2001-01-04,5.105282783508301
2001-01-05,5.151864528656006
2001-01-08,5.366135120391846
2001-01-09,5.366135120391846
2001-01-10,5.468612194061279
2001-01-11,5.356819152832031
2001-01-12,5.310239791870117
2001-01-16,5.543145179748535
2001-01-17,5.552463054656982
2001-01-18,5.375451564788818
2001-01-19,5.29160737991333
2001-01-22,5.2263922691345215
2001-01-23,5.319556713104248
2001-01-24,5.282294273376465
2001-01-25,5.375451564788818
2001-01-26,5.496561527252197
2001-01-29,5.463025093078613
2001-01-30,5.439174652099609
2001-01-31,5.4332146644592285
2001-02-01,5.4540791511535645
2001-02-02,5.498798370361328
2001-02-05,5.510725021362305
2001-02-06,5.580780506134033
2001-02-07,5.567367076873779
2001-02-08,5.561402320861816
2001-02-09,5.653818607330322
2001-02-12,5.944487571716309
2001-02-13,5.8520708084106445
2001-02-14,5.798409938812256
2001-02-15,5.758164405822754
2001-02-16,5.850580215454102
2001-02-20,5.875919342041016
2001-02-21,5.911694526672363
2001-02-22,5.831201076507568
2001-02-23,5.844615936279297
2001-02-26,5.868465423583984
2001-02-27,5.844615936279297
2001-02-28,5.858029842376709
2001-03-01,5.874427795410156
2001-03-02,5.962375640869141
2001-03-05,5.932562828063965
2001-03-06,5.865486145019531
2001-03-07,5.9370317459106445
2001-03-08,6.126339435577393
2001-03-09,6.165090084075928
2001-03-12,6.014542579650879
2001-03-13,6.020507335662842
2001-03-14,5.972808361053467
2001-03-15,5.957901477813721
2001-03-16,5.962375640869141
2001-03-19,6.051808834075928
2001-03-20,6.014542579650879
2001-03-21,5.9653544425964355
2001-03-22,5.940016746520996
2001-03-23,5.914675712585449
2001-03-26,6.038396835327148
2001-03-27,6.1606221199035645
2001-03-28,6.120375156402588
2001-03-29,6.2057576179504395
2001-03-30,6.289638996124268
2001-04-02,6.294131278991699
2001-04-03,6.238708972930908
2001-04-04,6.307613849639893
2001-04-05,6.361536502838135
2001-04-06,6.313603401184082
2001-04-09,6.292633056640625
2001-04-10,6.35105037689209
2001-04-11,6.30611515045166
2001-04-12,6.246198654174805
2001-04-16,6.2851433753967285
2001-04-17,6.201261520385742
2001-04-18,6.108392715454102
2001-04-19,6.244704246520996
2001-04-20,6.171303749084473
2001-04-23,6.085926532745361
2001-04-24,6.048477649688721
2001-04-25,6.075439929962158
2001-04-26,6.124872207641602
2001-04-27,6.147338390350342
2001-04-30,5.886703014373779
2001-05-01,5.684490203857422
2001-05-02,5.629070281982422
2001-05-03,5.694979190826416
2001-05-04,5.702465057373047
2001-05-07,5.72493314743042
2001-05-08,5.841772556304932
2001-05-09,5.820798397064209
2001-05-10,5.765378952026367
2001-05-11,5.711450576782227
2001-05-14,5.672506809234619
2001-05-15,5.6814961433410645
2001-05-16,5.859744548797607
2001-05-17,5.916662216186523
2001-05-18,5.885206699371338
2001-05-21,6.008035659790039
2001-05-22,6.030501365661621
2001-05-23,6.118876934051514
2001-05-24,6.085926532745361
2001-05-25,6.106896877288818
2001-05-29,6.069449424743652
2001-05-30,6.039491176605225
2001-05-31,6.051473617553711
2001-06-01,6.06645393371582
2001-06-04,6.1728034019470215
2001-06-05,6.171303749084473
2001-06-06,6.133857727050781
2001-06-07,6.163813591003418
2001-06-08,6.142845630645752
2001-06-11,6.1518330574035645
2001-06-12,6.217740058898926
2001-06-13,6.162314414978027
2001-06-14,6.148836612701416
2001-06-15,6.133857727050781
2001-06-18,6.1413469314575195
2001-06-19,5.8822102546691895
2001-06-20,6.133857727050781
2001-06-21,6.313603401184082
2001-06-22,6.273159503936768
2001-06-25,6.294131278991699
2001-06-26,6.334576606750488
2001-06-27,6.366179943084717
2001-06-28,6.373703956604004
2001-06-29,6.324039459228516
2001-07-02,6.4023027420043945
2001-07-03,6.625041961669922
2001-07-05,6.588919639587402
2001-07-06,6.575377464294434
2001-07-09,6.543771743774414
2001-07-10,6.662668228149414
2001-07-11,6.727380275726318
2001-07-12,6.784570217132568
2001-07-13,6.798116207122803
2001-07-16,6.745439052581787
2001-07-17,6.667181015014648
2001-07-18,6.602464199066162
2001-07-19,6.600960731506348
2001-07-20,6.61450719833374
2001-07-23,6.548285007476807
2001-07-24,6.477550029754639
2001-07-25,6.470024108886719
2001-07-26,6.456480979919434
2001-07-27,6.436915874481201
2001-07-30,6.361664295196533
2001-07-31,6.4248738288879395
2001-08-01,6.4339070320129395
2001-08-02,6.432399272918701
2001-08-03,6.426380157470703
2001-08-06,6.369191646575928
2001-08-07,6.388755798339844
2001-08-08,6.381229400634766
2001-08-09,6.393270015716553
2001-08-10,6.394777297973633
2001-08-13,6.4339070320129395
2001-08-14,6.4339070320129395
2001-08-15,6.411329746246338
2001-08-16,6.509154796600342
2001-08-17,6.504639148712158
2001-08-20,6.524205684661865
2001-08-21,6.497117042541504
2001-08-22,6.528721332550049
2001-08-23,6.546777725219727
2001-08-24,6.6069817543029785
2001-08-27,6.862833023071289
2001-08-28,6.775543212890625
2001-08-29,6.75748348236084
2001-08-30,6.742428302764893
2001-08-31,6.80263090133667
2001-09-04,6.917012691497803
2001-09-05,6.921527862548828
2001-09-06,6.915510177612305
2001-09-07,6.829724311828613
2001-09-10,6.817680358886719
2001-09-17,6.49410343170166
2001-09-18,6.501632213592529
2001-09-19,6.128389358520508
2001-09-20,6.15548038482666
2001-09-21,6.153975486755371
2001-09-24,6.313501834869385
2001-09-25,6.418854713439941
2001-09-26,6.514118194580078
2001-09-27,6.9329681396484375
2001-09-28,6.925409317016602
2001-10-01,6.8422417640686035
2001-10-02,6.828634262084961
2001-10-03,6.872485160827637
2001-10-04,6.727321624755859
2001-10-05,6.812001705169678
2001-10-08,6.815026760101318
2001-10-09,6.8528242111206055
2001-10-10,6.899702072143555
2001-10-11,6.881556510925293
2001-10-12,6.821072101593018
2001-10-15,6.710691452026367
2001-10-16,6.79990816116333
2001-10-17,6.710691452026367
2001-10-18,6.695571422576904
2001-10-19,6.733371257781982
2001-10-22,6.789320945739746
2001-10-23,6.834681510925293
2001-10-24,6.801413059234619
2001-10-25,6.7212748527526855
2001-10-26,6.7409348487854
2001-10-29,6.660787582397461
2001-10-30,6.520167827606201
2001-10-31,6.616936683654785
2001-11-01,6.630549430847168
2001-11-02,6.6381096839904785
2001-11-05,6.79083251953125
2001-11-06,6.830145359039307
2001-11-07,6.808975696563721
2001-11-08,6.7212748527526855
2001-11-09,6.523189067840576
2001-11-12,6.527728080749512
2001-11-13,6.526214599609375
2001-11-14,6.524700164794922
2001-11-15,6.440024375915527
2001-11-16,6.412808418273926
2001-11-19,6.39617395401001
2001-11-20,6.4490966796875
2001-11-21,6.489923477172852
2001-11-23,6.427927017211914
2001-11-26,6.426412582397461
2001-11-27,6.358372688293457
2001-11-28,6.44304895401001
2001-11-29,6.524700164794922
2001-11-30,6.50201940536499
2001-12-03,6.438514709472656
2001-12-04,6.39315128326416
2001-12-05,6.3810505867004395
2001-12-06,6.157262802124023
2001-12-07,6.201114177703857
2001-12-10,6.173899173736572
2001-12-11,6.208674907684326
2001-12-12,6.252521514892578
2001-12-13,6.24043083190918
2001-12-14,6.272183895111084
2001-12-17,6.260085105895996
2001-12-18,6.275206089019775
2001-12-19,6.471781253814697
2001-12-20,6.319055557250977
2001-12-21,6.387103080749512
2001-12-24,6.450610160827637
2001-12-26,6.461193561553955
2001-12-27,6.561483860015869
2001-12-28,6.550848960876465
2001-12-31,6.377617835998535
2002-01-02,6.404967784881592
2002-01-03,6.389776229858398
2002-01-04,6.3852152824401855
2002-01-07,6.398893356323242
2002-01-08,6.386733055114746
2002-01-09,6.412567615509033
2002-01-10,6.471829414367676
2002-01-11,6.509822368621826
2002-01-14,6.487026214599609
2002-01-15,6.503744125366211
2002-01-16,6.480949401855469
2002-01-17,6.53413200378418
2002-01-18,6.496145725250244
2002-01-22,6.496145725250244
2002-01-23,6.523496627807617
2002-01-24,6.479430198669434
2002-01-25,6.493103981018066
2002-01-28,6.5310959815979
2002-01-29,6.567561626434326
2002-01-30,6.698246002197266
2002-01-31,6.716482639312744
2002-02-01,6.7316765785217285
2002-02-04,6.762068271636963
2002-02-05,6.888190746307373
2002-02-06,6.866916179656982
2002-02-07,6.876035690307617
2002-02-08,6.9246625900268555
2002-02-11,6.923144340515137
2002-02-12,6.9368205070495605
2002-02-13,6.99760103225708
2002-02-14,6.991520881652832
2002-02-15,7.069020748138428
2002-02-19,7.078137397766113
2002-02-20,7.245285987854004
2002-02-21,7.2604875564575195
2002-02-22,7.433717727661133
2002-02-25,7.453470230102539
2002-02-26,7.19362211227417
2002-02-27,7.372935771942139
2002-02-28,7.4458746910095215
2002-03-01,7.454991817474365
2002-03-04,7.325822830200195
2002-03-05,7.184508800506592
2002-03-06,7.1586737632751465
2002-03-07,7.056866645812988
2002-03-08,7.06294059753418
2002-03-11,7.052308559417725
2002-03-12,7.157156467437744
2002-03-13,7.084217548370361
2002-03-14,7.182983875274658
2002-03-15,7.356218338012695
2002-03-18,7.453470230102539
2002-03-19,7.423080921173096
2002-03-20,7.488421440124512
2002-03-21,7.497575759887695
2002-03-22,7.7066497802734375
2002-03-25,7.705123424530029
2002-03-26,7.781429290771484
2002-03-27,7.804317951202393
2002-03-28,7.802788734436035
2002-04-01,7.781429290771484
2002-04-02,7.9187726974487305
2002-04-03,7.843998908996582
2002-04-04,7.82110071182251
2002-04-05,7.767687797546387
2002-04-08,7.984389781951904
2002-04-09,7.898936748504639
2002-04-10,7.871462821960449
2002-04-11,8.219407081604004
2002-04-12,8.149209976196289
2002-04-15,8.036279678344727
2002-04-16,8.124789237976074
2002-04-17,8.011858940124512
2002-04-18,7.868412971496582
2002-04-19,7.843998908996582
2002-04-22,7.825679302215576
2002-04-23,7.776846885681152
2002-04-24,7.660865306854248
2002-04-25,7.615080833435059
2002-04-26,7.69749116897583
2002-04-29,7.7646403312683105
2002-04-30,7.825679302215576
2002-05-01,7.963027000427246
2002-05-02,7.996601581573486
2002-05-03,8.04543685913086
2002-05-06,7.996601581573486
2002-05-07,7.856205940246582
2002-05-08,7.847048282623291
2002-05-09,7.752427101135254
2002-05-10,7.752427101135254
2002-05-13,7.825679302215576
2002-05-14,7.966082572937012
2002-05-15,7.819576263427734
2002-05-16,7.782952785491943
2002-05-17,7.847048282623291
2002-05-20,7.825679302215576
2002-05-21,7.871462821960449
2002-05-22,7.99354887008667
2002-05-23,8.097319602966309
2002-05-24,8.07900619506836
2002-05-28,8.02101993560791
2002-05-29,8.082059860229492
2002-05-30,8.027120590209961
2002-05-31,8.014914512634277
2002-06-03,8.011858940124512
2002-06-04,7.941662311553955
2002-06-05,8.12174129486084
2002-06-06,7.966082572937012
2002-06-07,7.972186088562012
2002-06-10,8.09427261352539
2002-06-11,7.908090591430664
2002-06-12,7.843998908996582
2002-06-13,7.712748050689697
2002-06-14,7.615080833435059
2002-06-17,7.813472747802734
2002-06-18,7.813472747802734
2002-06-19,7.596770763397217
2002-06-20,8.127843856811523
2002-06-21,8.149209976196289
