Date,HAS
2000-01-03,9.243570327758789
2000-01-04,8.64822006225586
2000-01-05,8.240874290466309
2000-01-06,8.021540641784668
2000-01-07,8.303544044494629
2000-01-10,8.679555892944336
2000-01-11,8.460210800170898
2000-01-12,8.585554122924805
2000-01-13,8.522886276245117
2000-01-14,8.272210121154785
2000-01-18,8.209540367126465
2000-01-19,8.021540641784668
2000-01-20,7.770864486694336
2000-01-21,7.770864486694336
2000-01-24,7.927535057067871
2000-01-25,7.708199501037598
2000-01-26,7.864867687225342
2000-01-27,7.770864486694336
2000-01-28,7.801060676574707
2000-01-31,7.549415111541748
2000-02-01,7.675236701965332
2000-02-02,7.895429611206055
2000-02-03,8.272899627685547
2000-02-04,7.9897990226745605
2000-02-07,8.084163665771484
2000-02-08,8.1785306930542
2000-02-09,7.926888465881348
2000-02-10,7.549415111541748
2000-02-11,7.580873012542725
2000-02-14,7.958341121673584
2000-02-15,7.9897990226745605
2000-02-16,7.958341121673584
2000-02-17,7.801060676574707
2000-02-18,7.7381510734558105
2000-02-22,7.801060676574707
2000-02-23,7.580873012542725
2000-02-24,7.2977681159973145
2000-02-25,8.052708625793457
2000-02-28,7.926888465881348
2000-02-29,7.926888465881348
2000-03-01,7.7381510734558105
2000-03-02,7.675236701965332
2000-03-03,7.863973140716553
2000-03-06,7.706695556640625
2000-03-07,7.2977681159973145
2000-03-08,7.109034538269043
2000-03-09,7.360677719116211
2000-03-10,7.2348551750183105
2000-03-13,7.2977681159973145
2000-03-14,7.3292236328125
2000-03-15,7.549415111541748
2000-03-16,7.801060676574707
2000-03-17,7.895429611206055
2000-03-20,8.02125358581543
2000-03-21,8.115623474121094
2000-03-22,8.115623474121094
2000-03-23,8.241442680358887
2000-03-24,8.335811614990234
2000-03-27,8.493087768554688
2000-03-28,8.555999755859375
2000-03-29,8.052708625793457
2000-03-30,8.398723602294922
2000-03-31,8.398723602294922
2000-04-03,8.367266654968262
2000-04-04,8.367266654968262
2000-04-05,8.493087768554688
2000-04-06,8.744735717773438
2000-04-07,8.52454948425293
2000-04-10,8.807653427124023
2000-04-11,8.807653427124023
2000-04-12,8.367266654968262
2000-04-13,8.52454948425293
2000-04-14,7.801060676574707
2000-04-17,7.958341121673584
2000-04-18,8.052708625793457
2000-04-19,8.115623474121094
2000-04-20,7.863973140716553
2000-04-24,7.926888465881348
2000-04-25,8.084163665771484
2000-04-26,8.1785306930542
2000-04-27,8.240415573120117
2000-04-28,8.050980567932129
2000-05-01,8.082551956176758
2000-05-02,7.924689769744873
2000-05-03,7.861549377441406
2000-05-04,7.766829967498779
2000-05-05,7.893117904663086
2000-05-08,7.924689769744873
2000-05-09,8.082551956176758
2000-05-10,8.050980567932129
2000-05-11,8.271986961364746
2000-05-12,8.492998123168945
2000-05-15,8.777142524719238
2000-05-16,8.903437614440918
2000-05-17,8.808716773986816
2000-05-18,9.156015396118164
2000-05-19,8.650856971740723
2000-05-22,8.55614185333252
2000-05-23,8.713998794555664
2000-05-24,8.619282722473145
2000-05-25,8.619282722473145
2000-05-26,8.303558349609375
2000-05-30,8.240415573120117
2000-05-31,8.271986961364746
2000-06-01,8.303558349609375
2000-06-02,8.650856971740723
2000-06-05,8.429850578308105
2000-06-06,8.303558349609375
2000-06-07,8.366703987121582
2000-06-08,8.145699501037598
2000-06-09,8.303558349609375
2000-06-12,8.366703987121582
2000-06-13,8.58770751953125
2000-06-14,8.777142524719238
2000-06-15,8.84029483795166
2000-06-16,8.745573997497559
2000-06-19,8.524564743041992
2000-06-20,8.492998123168945
2000-06-21,8.524564743041992
2000-06-22,8.398277282714844
2000-06-23,8.524564743041992
2000-06-26,8.524564743041992
2000-06-27,8.58770751953125
2000-06-28,8.690325736999512
2000-06-29,8.619282722473145
2000-06-30,7.6089677810668945
2000-07-03,8.492998123168945
2000-07-05,8.619282722473145
2000-07-06,8.55614185333252
2000-07-07,8.461418151855469
2000-07-10,8.429850578308105
2000-07-11,8.240415573120117
2000-07-12,7.98783540725708
2000-07-13,8.303558349609375
2000-07-14,8.398277282714844
2000-07-17,8.366703987121582
2000-07-18,8.240415573120117
2000-07-19,8.050980567932129
2000-07-20,6.093486309051514
2000-07-21,5.556753635406494
2000-07-24,5.904053211212158
2000-07-25,5.840906620025635
2000-07-26,5.904053211212158
2000-07-27,6.061914920806885
2000-07-28,5.711604118347168
2000-07-31,5.775063514709473
2000-08-01,5.648141860961914
2000-08-02,5.679869651794434
2000-08-03,5.457752704620361
2000-08-04,5.2356343269348145
2000-08-07,5.489485263824463
2000-08-08,5.394291877746582
2000-08-09,5.394291877746582
2000-08-10,5.584676742553711
2000-08-11,5.5212178230285645
2000-08-14,5.648141860961914
2000-08-15,5.394291877746582
2000-08-16,5.489485263824463
2000-08-17,5.5212178230285645
2000-08-18,5.584676742553711
2000-08-21,5.552948474884033
2000-08-22,5.648141860961914
2000-08-23,5.616410255432129
2000-08-24,5.7433319091796875
2000-08-25,5.997183322906494
2000-08-28,6.251034259796143
2000-08-29,6.219298839569092
2000-08-30,6.092372894287109
2000-08-31,6.258963108062744
2000-09-01,6.346225261688232
2000-09-05,6.251034259796143
2000-09-06,6.028914451599121
2000-09-07,6.219298839569092
2000-09-08,6.028914451599121
2000-09-11,5.806798458099365
2000-09-12,5.648141860961914
2000-09-13,5.584676742553711
2000-09-14,5.806798458099365
2000-09-15,5.711604118347168
2000-09-18,5.584676742553711
2000-09-19,5.679869651794434
2000-09-20,5.584676742553711
2000-09-21,5.584676742553711
2000-09-22,5.552948474884033
2000-09-25,5.426021099090576
2000-09-26,5.457752704620361
2000-09-27,5.806798458099365
2000-09-28,5.775063514709473
2000-09-29,5.806798458099365
2000-10-02,5.775063514709473
2000-10-03,5.711604118347168
2000-10-04,5.679869651794434
2000-10-05,5.679869651794434
2000-10-06,5.9337239265441895
2000-10-09,6.028914451599121
2000-10-10,5.965449810028076
2000-10-11,5.90199089050293
2000-10-12,5.108709812164307
2000-10-13,5.140442848205566
2000-10-16,5.2356343269348145
2000-10-17,5.0769782066345215
2000-10-18,5.140442848205566
2000-10-19,5.2356343269348145
2000-10-20,5.0769782066345215
2000-10-23,5.045251369476318
2000-10-24,5.013516426086426
2000-10-25,5.203904628753662
2000-10-26,5.2356343269348145
2000-10-27,5.203904628753662
2000-10-30,5.3302998542785645
2000-10-31,5.489890098571777
2000-11-01,5.4579691886901855
2000-11-02,5.649480819702148
2000-11-03,5.904823303222656
2000-11-06,5.80906867980957
2000-11-07,5.904823303222656
2000-11-08,6.351675033569336
2000-11-09,6.1282477378845215
2000-11-10,5.872906684875488
2000-11-13,6.096330165863037
2000-11-14,6.160167217254639
2000-11-15,6.064413547515869
2000-11-16,5.968660354614258
2000-11-17,6.064413547515869
2000-11-20,5.93673849105835
2000-11-21,5.80906867980957
2000-11-22,5.745232582092285
2000-11-24,5.872906684875488
2000-11-27,5.872906684875488
2000-11-28,6.096330165863037
2000-11-29,5.904823303222656
2000-11-30,5.904823303222656
2000-12-01,5.968660354614258
2000-12-04,6.064413547515869
2000-12-05,6.000575065612793
2000-12-06,5.904823303222656
2000-12-07,4.660020351409912
2000-12-08,4.9792022705078125
2000-12-11,4.819612503051758
2000-12-12,4.9472832679748535
2000-12-13,4.7557759284973145
2000-12-14,4.787692546844482
2000-12-15,4.819612503051758
2000-12-18,4.819612503051758
2000-12-19,4.851531028747559
2000-12-20,4.787692546844482
2000-12-21,4.9472832679748535
2000-12-22,5.011120319366455
2000-12-26,4.9472832679748535
2000-12-27,5.138791084289551
2000-12-28,5.426053524017334
2000-12-29,5.426053524017334
2001-01-02,5.26646089553833
2001-01-03,5.553725719451904
2001-01-04,5.904823303222656
2001-01-05,5.840989112854004
2001-01-08,5.840989112854004
2001-01-09,6.255918025970459
2001-01-10,6.287841796875
2001-01-11,6.255918025970459
2001-01-12,6.447429180145264
2001-01-16,6.41550874710083
2001-01-17,6.447429180145264
2001-01-18,6.543181896209717
2001-01-19,6.351675033569336
2001-01-22,6.319753170013428
2001-01-23,6.447429180145264
2001-01-24,6.255918025970459
2001-01-25,6.1282477378845215
2001-01-26,5.872906684875488
2001-01-29,6.056751251220703
2001-01-30,6.118188858032227
2001-01-31,6.082351207733154
2001-02-01,6.056751251220703
2001-02-02,6.143791198730469
