Date,PLD
2000-01-03,7.364500522613525
2000-01-04,7.248344421386719
2000-01-05,7.15541410446167
2000-01-06,7.29480504989624
2000-01-07,7.43419885635376
2000-01-10,7.480663299560547
2000-01-11,7.503890514373779
2000-01-12,7.43419885635376
2000-01-13,7.410965919494629
2000-01-14,7.341273784637451
2000-01-18,7.457430839538574
2000-01-19,7.503890514373779
2000-01-20,7.550356388092041
2000-01-21,7.596818447113037
2000-01-24,7.5735883712768555
2000-01-25,7.596818447113037
2000-01-26,7.620055198669434
2000-01-27,7.643282890319824
2000-01-28,7.620055198669434
2000-01-31,7.596818447113037
2000-02-01,7.643282890319824
2000-02-02,7.620055198669434
2000-02-03,7.643282890319824
2000-02-04,7.620055198669434
2000-02-07,7.643282890319824
2000-02-08,7.596818447113037
2000-02-09,7.596818447113037
2000-02-10,7.596818447113037
2000-02-11,7.457430839538574
2000-02-14,7.550356388092041
2000-02-15,7.666514873504639
2000-02-16,7.666514873504639
2000-02-17,7.643282890319824
2000-02-18,7.620055198669434
2000-02-22,7.643282890319824
2000-02-23,7.620055198669434
2000-02-24,7.596818447113037
2000-02-25,7.527124404907227
2000-02-28,7.480663299560547
2000-02-29,7.503890514373779
2000-03-01,7.503890514373779
2000-03-02,7.480663299560547
2000-03-03,7.457430839538574
2000-03-06,7.503890514373779
2000-03-07,7.503890514373779
2000-03-08,7.527124404907227
2000-03-09,7.503890514373779
2000-03-10,7.503890514373779
2000-03-13,7.503890514373779
2000-03-14,7.5735883712768555
2000-03-15,7.71298360824585
2000-03-16,7.782676696777344
2000-03-17,7.782676696777344
2000-03-20,7.805908679962158
2000-03-21,7.805908679962158
2000-03-22,7.9452948570251465
2000-03-23,7.991763114929199
2000-03-24,7.9452948570251465
2000-03-27,7.922065258026123
2000-03-28,7.8523736000061035
2000-03-29,7.87560510635376
2000-03-30,7.87560510635376
2000-03-31,7.991763114929199
2000-04-03,8.037153244018555
2000-04-04,8.108064651489258
2000-04-05,8.084418296813965
2000-04-06,8.06079387664795
2000-04-07,8.06079387664795
2000-04-10,8.084418296813965
2000-04-11,8.131702423095703
2000-04-12,8.178982734680176
2000-04-13,8.226261138916016
2000-04-14,8.178982734680176
2000-04-17,8.155343055725098
2000-04-18,8.226261138916016
2000-04-19,8.320812225341797
2000-04-20,8.27353286743164
2000-04-24,8.320812225341797
2000-04-25,8.320812225341797
2000-04-26,8.34445571899414
2000-04-27,8.320812225341797
2000-04-28,8.34445571899414
2000-05-01,8.53355598449707
2000-05-02,8.651753425598145
2000-05-03,8.651753425598145
2000-05-04,8.62811279296875
2000-05-05,8.651753425598145
2000-05-08,8.604475021362305
2000-05-09,8.699030876159668
2000-05-10,8.62811279296875
2000-05-11,8.604475021362305
2000-05-12,8.651753425598145
2000-05-15,8.675395965576172
2000-05-16,8.675395965576172
2000-05-17,8.580841064453125
2000-05-18,8.50992488861084
2000-05-19,8.415373802185059
2000-05-22,8.415373802185059
2000-05-23,8.50992488861084
2000-05-24,8.486287117004395
2000-05-25,8.486287117004395
2000-05-26,8.53355598449707
2000-05-30,8.50992488861084
2000-05-31,8.50992488861084
2000-06-01,8.486287117004395
2000-06-02,8.486287117004395
2000-06-05,8.486287117004395
2000-06-06,8.53355598449707
2000-06-07,8.580841064453125
2000-06-08,8.651753425598145
2000-06-09,8.62811279296875
2000-06-12,8.651753425598145
2000-06-13,8.699030876159668
2000-06-14,8.769949913024902
2000-06-15,8.769949913024902
2000-06-16,8.722672462463379
2000-06-19,8.746309280395508
2000-06-20,8.840864181518555
2000-06-21,8.840864181518555
2000-06-22,8.888138771057129
2000-06-23,8.840864181518555
2000-06-26,8.81722354888916
2000-06-27,8.81722354888916
2000-06-28,8.840864181518555
2000-06-29,8.935418128967285
2000-06-30,8.77139663696289
2000-07-03,8.837438583374023
2000-07-05,8.95750904083252
2000-07-06,9.14963150024414
2000-07-07,9.197660446166992
2000-07-10,9.221675872802734
2000-07-11,9.197660446166992
2000-07-12,9.14963150024414
2000-07-13,9.17364501953125
2000-07-14,9.10159969329834
2000-07-17,9.125617027282715
2000-07-18,9.125617027282715
2000-07-19,9.029557228088379
2000-07-20,9.029557228088379
2000-07-21,9.053573608398438
2000-07-24,9.125617027282715
2000-07-25,9.10159969329834
2000-07-26,9.125617027282715
2000-07-27,9.221675872802734
2000-07-28,9.17364501953125
2000-07-31,9.17364501953125
2000-08-01,9.221675872802734
2000-08-02,9.221675872802734
2000-08-03,9.221675872802734
2000-08-04,9.17364501953125
