Date,EG
2000-01-03,14.001004219055176
2000-01-04,13.961004257202148
2000-01-05,14.881073951721191
2000-01-06,15.561117172241211
2000-01-07,16.401182174682617
2000-01-10,16.321170806884766
2000-01-11,16.361173629760742
2000-01-12,16.401182174682617
2000-01-13,16.481182098388672
2000-01-14,16.921215057373047
2000-01-18,16.921215057373047
2000-01-19,16.68120002746582
2000-01-20,16.68120002746582
2000-01-21,17.001216888427734
2000-01-24,16.281171798706055
2000-01-25,16.121164321899414
2000-01-26,15.841134071350098
2000-01-27,16.16116714477539
2000-01-28,16.081161499023438
2000-01-31,16.121164321899414
2000-02-01,16.2011661529541
2000-02-02,16.001155853271484
2000-02-03,15.881146430969238
2000-02-04,15.961153984069824
2000-02-07,16.001155853271484
2000-02-08,16.04115104675293
2000-02-09,16.04115104675293
2000-02-10,14.961085319519043
2000-02-11,14.321029663085938
2000-02-14,14.081011772155762
2000-02-15,14.361038208007812
2000-02-16,15.36110782623291
2000-02-17,17.281246185302734
2000-02-18,16.72121238708496
2000-02-22,16.001155853271484
2000-02-23,16.561193466186523
2000-02-24,15.36110782623291
2000-02-25,14.921075820922852
2000-02-28,15.641128540039062
2000-02-29,15.721131324768066
2000-03-01,16.241168975830078
2000-03-02,16.001155853271484
2000-03-03,17.001216888427734
2000-03-06,16.598684310913086
2000-03-07,16.478404998779297
2000-03-08,15.636444091796875
2000-03-09,15.83691692352295
2000-03-10,15.315695762634277
2000-03-13,15.997284889221191
2000-03-14,16.117568969726562
2000-03-15,16.99962043762207
2000-03-16,18.683551788330078
2000-03-17,17.72130012512207
2000-03-20,17.961864471435547
2000-03-21,18.122230529785156
2000-03-22,17.921772003173828
2000-03-23,18.683551788330078
2000-03-24,18.76373291015625
2000-03-27,18.042043685913086
2000-03-28,18.483074188232422
2000-03-29,18.843915939331055
2000-03-30,19.405231475830078
2000-03-31,20.92877960205078
2000-04-03,20.04671287536621
2000-04-04,19.72597885131836
2000-04-05,19.68587875366211
2000-04-06,19.405231475830078
2000-04-07,19.32504653930664
2000-04-10,19.124570846557617
2000-04-11,18.92411231994629
2000-04-12,18.884010314941406
2000-04-13,19.00428581237793
2000-04-14,17.801488876342773
2000-04-17,18.242521286010742
2000-04-18,18.603363037109375
2000-04-19,18.843915939331055
2000-04-20,18.64345359802246
2000-04-24,19.68587875366211
2000-04-25,19.32504653930664
2000-04-26,18.884010314941406
2000-04-27,18.603363037109375
2000-04-28,18.76373291015625
2000-05-01,19.8061580657959
2000-05-02,19.084482192993164
2000-05-03,18.843915939331055
2000-05-04,20.006629943847656
2000-05-05,20.567941665649414
2000-05-08,20.447650909423828
2000-05-09,20.04671287536621
2000-05-10,19.8863525390625
2000-05-11,19.766071319580078
2000-05-12,20.006629943847656
2000-05-15,21.16933822631836
2000-05-16,22.452333450317383
2000-05-17,21.971216201782227
2000-05-18,21.490093231201172
2000-05-19,21.850927352905273
2000-05-22,22.091489791870117
2000-05-23,21.891019821166992
2000-05-24,22.412235260009766
2000-05-25,21.65045928955078
2000-05-26,21.6905574798584
2000-05-30,22.452333450317383
2000-05-31,21.810829162597656
2000-06-01,21.610366821289062
2000-06-02,22.693208694458008
2000-06-05,22.331737518310547
2000-06-06,21.16694450378418
2000-06-07,21.448097229003906
2000-06-08,21.528427124023438
2000-06-09,21.568593978881836
2000-06-12,21.769418716430664
2000-06-13,21.84975242614746
2000-06-14,21.367765426635742
2000-06-15,21.20711326599121
2000-06-16,21.126781463623047
2000-06-19,22.89403533935547
2000-06-20,22.452226638793945
2000-06-21,21.40793800354004
2000-06-22,20.684961318969727
2000-06-23,20.524307250976562
2000-06-26,20.725130081176758
2000-06-27,21.327611923217773
2000-06-28,21.488264083862305
2000-06-29,21.648923873901367
2000-06-30,21.126781463623047
2000-07-03,20.96611785888672
2000-07-05,21.448097229003906
2000-07-06,21.247276306152344
2000-07-07,22.171064376831055
2000-07-10,22.73338508605957
2000-07-11,22.412057876586914
2000-07-12,23.938322067260742
2000-07-13,23.89816665649414
2000-07-14,23.938322067260742
2000-07-17,23.938322067260742
2000-07-18,23.094863891601562
2000-07-19,22.773536682128906
2000-07-20,23.416181564331055
2000-07-21,23.0145263671875
2000-07-24,22.89403533935547
2000-07-25,23.496509552001953
2000-07-26,25.183446884155273
2000-07-27,25.06295394897461
2000-07-28,25.303937911987305
2000-07-31,25.504776000976562
2000-08-01,25.785917282104492
2000-08-02,25.906410217285156
2000-08-03,25.705575942993164
2000-08-04,27.151533126831055
2000-08-07,27.754003524780273
2000-08-08,28.235980987548828
2000-08-09,27.713836669921875
2000-08-10,26.91053581237793
2000-08-11,27.432693481445312
2000-08-14,27.954824447631836
2000-08-15,26.99087142944336
2000-08-16,25.946569442749023
2000-08-17,26.30805015563965
2000-08-18,26.18756103515625
2000-08-21,25.946569442749023
2000-08-22,25.745744705200195
2000-08-23,25.705575942993164
2000-08-24,25.946569442749023
2000-08-25,25.625261306762695
2000-08-28,25.785917282104492
2000-08-29,26.34821891784668
2000-08-30,26.74886131286621
2000-08-31,25.904159545898438
2000-09-01,25.582355499267578
2000-09-05,26.346599578857422
2000-09-06,26.82929801940918
2000-09-07,26.74886131286621
2000-09-08,27.754451751708984
2000-09-11,29.12206268310547
2000-09-12,29.20250701904297
2000-09-13,28.639375686645508
2000-09-14,29.484086990356445
2000-09-15,29.00139808654785
2000-09-18,28.35780906677246
2000-09-19,28.478485107421875
2000-09-20,29.282974243164062
2000-09-21,30.409231185913086
2000-09-22,30.449472427368164
2000-09-25,30.00699234008789
2000-09-26,30.08744239807129
2000-09-27,30.00699234008789
2000-09-28,30.811473846435547
2000-09-29,31.857288360595703
2000-10-02,31.736623764038086
2000-10-03,30.891910552978516
