Date,HPE
2015-10-19,7.226116180419922
2015-10-20,7.365834712982178
2015-10-21,7.195550918579102
2015-10-22,7.400766372680664
2015-10-23,7.422596454620361
2015-10-26,7.169355869293213
2015-10-27,6.868084907531738
2015-10-28,7.108227252960205
2015-10-29,6.96414041519165
2015-10-30,6.427093505859375
2015-11-02,6.326671600341797
2015-11-03,6.269909858703613
2015-11-04,5.964275360107422
2015-11-05,5.7983574867248535
2015-11-06,6.287376403808594
2015-11-09,6.200051784515381
2015-11-10,6.291740894317627
2015-11-11,6.160756587982178
2015-11-12,5.981740951538086
2015-11-13,5.846386909484863
2015-11-16,5.842020511627197
2015-11-17,5.772159576416016
2015-11-18,5.955541133880615
2015-11-19,6.016667366027832
2015-11-20,6.204418182373047
2015-11-23,6.0472331047058105
2015-11-24,5.977372646331787
2015-11-25,6.165121078491211
2015-11-27,6.265542984008789
2015-11-30,6.488224029541016
2015-12-01,6.815688610076904
2015-12-02,6.5275187492370605
2015-12-03,6.383432388305664
2015-12-04,6.645406246185303
2015-12-07,6.770294666290283
2015-12-08,6.647597789764404
2015-12-09,6.507372856140137
2015-12-10,6.450406074523926
2015-12-11,6.213771820068359
2015-12-14,6.327705383300781
2015-12-15,6.380290985107422
2015-12-16,6.441640377044678
2015-12-17,6.27073860168457
2015-12-18,6.205009460449219
2015-12-21,6.1436591148376465
2015-12-22,6.161187648773193
2015-12-23,6.533664226531982
2015-12-24,6.5818657875061035
2015-12-28,6.673890113830566
2015-12-29,6.660743236541748
2015-12-30,6.69580078125
2015-12-31,6.660743236541748
2016-01-04,6.630066871643066
2016-01-05,6.586248397827148
2016-01-06,6.48546028137207
2016-01-07,6.007815837860107
2016-01-08,5.933319568634033
2016-01-11,5.810624599456787
2016-01-12,5.810624599456787
2016-01-13,5.587137222290039
2016-01-14,5.696689128875732
2016-01-15,5.495113849639893
2016-01-19,5.398707389831543
2016-01-20,5.284774303436279
2016-01-21,5.438146591186523
2016-01-22,5.85006046295166
2016-01-25,5.845678329467773
2016-01-26,5.95961332321167
2016-01-27,5.867588996887207
2016-01-28,5.779946804046631
2016-01-29,6.02972412109375
2016-02-01,6.042870998382568
2016-02-02,5.893881320953369
2016-02-03,5.858824729919434
2016-02-04,6.069164752960205
2016-02-05,5.784328937530518
2016-02-08,5.481967449188232
2016-02-09,5.573990345001221
2016-02-10,5.635339260101318
2016-02-11,5.433764934539795
2016-02-12,5.385560512542725
2016-02-16,5.403090000152588
2016-02-17,5.705453395843506
2016-02-18,5.928938388824463
2016-02-19,5.990287780761719
2016-02-22,6.047253131866455
2016-02-23,5.736125946044922
2016-02-24,5.928938388824463
2016-02-25,5.994669437408447
2016-02-26,5.889499187469482
2016-02-29,5.815004825592041
2016-03-01,5.8193864822387695
2016-03-02,6.091073513031006
2016-03-03,5.95961332321167
2016-03-04,6.765910625457764
2016-03-07,7.023177623748779
2016-03-08,6.697746753692627
2016-03-09,6.812089920043945
2016-03-10,6.992397308349609
2016-03-11,7.181497573852539
2016-03-14,7.216680526733398
2016-03-15,7.375002384185791
