Date,REG
2000-01-03,5.923559665679932
2000-01-04,5.9421305656433105
2000-01-05,5.9049906730651855
2000-01-06,5.9421305656433105
2000-01-07,6.14638614654541
2000-01-10,6.164958477020264
2000-01-11,6.164958477020264
2000-01-12,6.090681552886963
2000-01-13,6.034975051879883
2000-01-14,5.997835159301758
2000-01-18,6.016406536102295
2000-01-19,6.090681552886963
2000-01-20,6.090681552886963
2000-01-21,6.034975051879883
2000-01-24,5.9049906730651855
2000-01-25,5.9049906730651855
2000-01-26,5.960695743560791
2000-01-27,5.923559665679932
2000-01-28,5.682158946990967
2000-01-31,5.8121442794799805
2000-02-01,5.830714225769043
2000-02-02,5.849282741546631
2000-02-03,5.9049906730651855
2000-02-04,5.9049906730651855
2000-02-07,5.886422634124756
2000-02-08,5.9421305656433105
2000-02-09,5.9550652503967285
2000-02-10,5.859938621520996
2000-02-11,5.802859783172607
2000-02-14,5.612600803375244
2000-02-15,5.707732200622559
2000-02-16,5.8218841552734375
2000-02-17,5.764805793762207
2000-02-18,5.74578332901001
2000-02-22,5.74578332901001
2000-02-23,5.74578332901001
2000-02-24,5.78383731842041
2000-02-25,5.74578332901001
2000-02-28,5.84091329574585
2000-02-29,5.755296230316162
2000-03-01,5.74578332901001
2000-03-02,5.8218841552734375
2000-03-03,5.859938621520996
2000-03-06,5.84091329574585
2000-03-07,5.8218841552734375
2000-03-08,5.878962993621826
2000-03-09,6.012143135070801
2000-03-10,5.993116855621338
2000-03-13,5.878962993621826
2000-03-14,5.802859783172607
2000-03-15,5.78383731842041
2000-03-16,5.993116855621338
2000-03-17,5.936036109924316
2000-03-20,5.9170145988464355
2000-03-21,6.069220066070557
2000-03-22,6.1262969970703125
2000-03-23,6.012143135070801
2000-03-24,5.936036109924316
2000-03-27,5.974091529846191
2000-03-28,5.9550652503967285
2000-03-29,5.897988319396973
2000-03-30,5.897988319396973
2000-03-31,6.012143135070801
2000-04-03,5.878962993621826
2000-04-04,6.088245868682861
2000-04-05,6.069220066070557
2000-04-06,6.145325183868408
2000-04-07,6.183375358581543
2000-04-10,6.202399253845215
2000-04-11,6.278503894805908
2000-04-12,6.297527313232422
2000-04-13,6.297527313232422
2000-04-14,6.411686897277832
2000-04-17,6.354607105255127
2000-04-18,6.354607105255127
2000-04-19,6.411686897277832
2000-04-20,6.221429824829102
2000-04-24,6.202399253845215
2000-04-25,6.3165602684021
2000-04-26,6.525838375091553
2000-04-27,6.659018516540527
2000-04-28,6.6970720291137695
2000-05-01,7.077587604522705
2000-05-02,6.982456207275391
2000-05-03,6.716095447540283
2000-05-04,6.6970720291137695
2000-05-05,6.773177623748779
2000-05-08,6.563891410827637
2000-05-09,6.6019415855407715
