Date,DHI
2000-01-03,2.6087236404418945
2000-01-04,2.510281801223755
2000-01-05,2.5471982955932617
2000-01-06,2.411839723587036
2000-01-07,2.4979758262634277
2000-01-10,2.5471982955932617
2000-01-11,2.38722825050354
2000-01-12,2.3626186847686768
2000-01-13,2.38722825050354
2000-01-14,2.4979758262634277
2000-01-18,2.3749234676361084
2000-01-19,2.313397169113159
2000-01-20,2.313397169113159
2000-01-21,2.288785696029663
2000-01-24,2.288785696029663
2000-01-25,2.165734052658081
2000-01-26,2.2026500701904297
2000-01-27,2.2272603511810303
2000-01-28,2.190343141555786
2000-01-31,2.288785696029663
2000-02-01,2.2518701553344727
2000-02-02,2.288785696029663
2000-02-03,2.4078190326690674
2000-02-04,2.3954718112945557
2000-02-07,2.4325153827667236
2000-02-08,2.4448633193969727
2000-02-09,2.457210063934326
2000-02-10,2.4448633193969727
2000-02-11,2.3831233978271484
2000-02-14,2.457210063934326
2000-02-15,2.457210063934326
2000-02-16,2.3090360164642334
2000-02-17,2.3460798263549805
2000-02-18,2.3460798263549805
2000-02-22,2.321385145187378
2000-02-23,2.259645700454712
2000-02-24,2.2102558612823486
2000-02-25,2.222602367401123
2000-02-28,2.234950304031372
2000-02-29,2.222602367401123
2000-03-01,2.3831233978271484
2000-03-02,2.3831233978271484
2000-03-03,2.3954718112945557
2000-03-06,2.3460798263549805
2000-03-07,2.234950304031372
2000-03-08,2.259645700454712
2000-03-09,2.358426809310913
2000-03-10,2.2843406200408936
2000-03-13,2.2843406200408936
2000-03-14,2.222602367401123
2000-03-15,2.3831233978271484
2000-03-16,2.7165133953094482
2000-03-17,2.642428159713745
2000-03-20,2.6671226024627686
2000-03-21,2.642428159713745
2000-03-22,2.59303617477417
2000-03-23,2.69181752204895
2000-03-24,2.654775381088257
2000-03-27,2.617732524871826
2000-03-28,2.568341016769409
2000-03-29,2.518948793411255
2000-03-30,2.642428159713745
2000-03-31,2.580688238143921
2000-04-03,2.617732524871826
2000-04-04,2.568341016769409
2000-04-05,2.568341016769409
2000-04-06,2.642428159713745
2000-04-07,2.679471015930176
2000-04-10,2.6053826808929443
2000-04-11,2.59303617477417
2000-04-12,2.654775381088257
2000-04-13,2.7041659355163574
2000-04-14,2.4942526817321777
2000-04-17,2.4201667308807373
2000-04-18,2.518948793411255
2000-04-19,2.518948793411255
2000-04-20,2.4078190326690674
2000-04-24,2.531297445297241
2000-04-25,2.580688238143921
2000-04-26,2.6053826808929443
2000-04-27,2.617732524871826
