Date,ADP
2000-01-03,23.61703109741211
2000-01-04,23.61703109741211
2000-01-05,23.38994026184082
2000-01-06,23.702177047729492
2000-01-07,24.241506576538086
2000-01-10,24.837615966796875
2000-01-11,24.355064392089844
2000-01-12,24.127981185913086
2000-01-13,23.986042022705078
2000-01-14,23.730562210083008
2000-01-18,22.368053436279297
2000-01-19,24.553770065307617
2000-01-20,23.07770347595215
2000-01-21,22.96415138244629
2000-01-24,22.708694458007812
2000-01-25,23.19124984741211
2000-01-26,23.162857055664062
2000-01-27,22.79383659362793
2000-01-28,22.226116180419922
2000-01-31,21.544851303100586
2000-02-01,21.885482788085938
2000-02-02,20.693288803100586
2000-02-03,22.08418846130371
2000-02-04,21.800321578979492
2000-02-07,21.119068145751953
2000-02-08,21.1474666595459
2000-02-09,20.43781089782715
2000-02-10,21.5164737701416
2000-02-11,20.80683708190918
2000-02-14,21.033912658691406
2000-02-15,20.920381546020508
2000-02-16,20.7784366607666
2000-02-17,20.636518478393555
2000-02-18,20.21072769165039
2000-02-22,19.01851463317871
2000-02-23,19.728160858154297
2000-02-24,20.26749038696289
2000-02-25,19.501081466674805
2000-02-28,20.21072769165039
2000-02-29,19.78493881225586
2000-03-01,20.09718132019043
2000-03-02,19.64301300048828
2000-03-03,19.614625930786133
2000-03-06,19.95524787902832
2000-03-07,19.756553649902344
2000-03-08,19.682825088500977
2000-03-09,20.024150848388672
2000-03-10,20.08102798461914
2000-03-13,20.50768280029297
2000-03-14,21.503206253051758
2000-03-15,22.35651206970215
2000-03-16,24.916404724121094
2000-03-17,24.575082778930664
2000-03-20,23.77867317199707
2000-03-21,23.89244842529297
2000-03-22,23.380464553833008
2000-03-23,23.40892219543457
2000-03-24,23.664901733398438
2000-03-27,23.636449813842773
2000-03-28,22.043628692626953
2000-03-29,21.67386817932129
2000-03-30,21.588525772094727
2000-03-31,21.958297729492188
2000-04-03,22.75472068786621
2000-04-04,23.20980453491211
2000-04-05,22.840038299560547
2000-04-06,23.863996505737305
2000-04-07,23.721786499023438
2000-04-10,23.579574584960938
2000-04-11,23.20980453491211
2000-04-12,22.640941619873047
2000-04-13,21.759201049804688
2000-04-14,20.9343318939209
2000-04-17,21.21877098083496
2000-04-18,22.299617767333984
2000-04-19,22.35651206970215
2000-04-20,23.039148330688477
2000-04-24,24.546648025512695
2000-04-25,24.546648025512695
2000-04-26,24.233762741088867
2000-04-27,24.68886375427246
2000-04-28,24.489761352539062
2000-05-01,24.546648025512695
2000-05-02,24.20533561706543
2000-05-03,23.721786499023438
2000-05-04,23.750228881835938
2000-05-05,23.579574584960938
2000-05-08,23.664901733398438
2000-05-09,22.982267379760742
2000-05-10,23.238256454467773
2000-05-11,23.977781295776367
2000-05-12,23.55112075805664
2000-05-15,23.608016967773438
2000-05-16,24.290651321411133
2000-05-17,23.89244842529297
2000-05-18,23.40892219543457
2000-05-19,23.266695022583008
2000-05-22,23.977781295776367
2000-05-23,24.461307525634766
2000-05-24,25.257736206054688
2000-05-25,25.485286712646484
2000-05-26,24.37599754333496
2000-05-30,25.371496200561523
2000-05-31,25.03017807006836
2000-06-01,25.087068557739258
2000-06-02,25.940370559692383
2000-06-05,25.99725341796875
2000-06-06,26.253252029418945
2000-06-07,26.150922775268555
2000-06-08,25.410253524780273
2000-06-09,25.609676361083984
2000-06-12,25.139650344848633
2000-06-13,24.698091506958008
2000-06-14,24.869020462036133
2000-06-15,24.925983428955078
2000-06-16,25.01145362854004
2000-06-19,24.897510528564453
2000-06-20,23.81500244140625
2000-06-21,23.90045738220215
2000-06-22,23.985931396484375
2000-06-23,24.156848907470703
2000-06-26,24.099863052368164
2000-06-27,23.78651237487793
2000-06-28,24.548532485961914
2000-06-29,23.501651763916016
2000-06-30,24.413232803344727
2000-07-03,23.84348487854004
2000-07-05,23.81500244140625
2000-07-06,24.042898178100586
2000-07-07,23.587099075317383
2000-07-10,23.729549407958984
2000-07-11,23.473163604736328
2000-07-12,24.01441192626953
2000-07-13,24.384750366210938
2000-07-14,24.242313385009766
2000-07-17,24.441730499267578
2000-07-18,24.413232803344727
2000-07-19,24.78356170654297
2000-07-20,24.52717399597168
2000-07-21,24.12835693359375
2000-07-24,24.042898178100586
2000-07-25,23.21678924560547
2000-07-26,22.647052764892578
2000-07-27,23.017377853393555
2000-07-28,22.70401954650879
2000-07-31,22.590059280395508
2000-08-01,23.017377853393555
2000-08-02,23.701059341430664
2000-08-03,23.78651237487793
2000-08-04,24.441730499267578
2000-08-07,24.384750366210938
2000-08-08,24.812053680419922
2000-08-09,24.869020462036133
2000-08-10,24.755067825317383
2000-08-11,25.581188201904297
2000-08-14,26.435813903808594
2000-08-15,26.492767333984375
2000-08-16,26.54975700378418
2000-08-17,26.008495330810547
2000-08-18,26.8345947265625
2000-08-21,26.94856071472168
2000-08-22,27.005529403686523
2000-08-23,26.777631759643555
2000-08-24,26.777631759643555
2000-08-25,26.663692474365234
2000-08-28,27.347383499145508
2000-08-29,27.034011840820312
2000-08-30,26.920074462890625
2000-08-31,27.18358612060547
2000-09-01,27.48979949951172
2000-09-05,27.917104721069336
2000-09-06,28.059526443481445
2000-09-07,28.173492431640625
2000-09-08,28.51531219482422
2000-09-11,28.71473503112793
2000-09-12,28.572307586669922
2000-09-13,29.154491424560547
2000-09-14,29.183006286621094
2000-09-15,28.954803466796875
2000-09-18,28.641010284423828
2000-09-19,28.81216049194336
2000-09-20,28.013412475585938
2000-09-21,28.355731964111328
2000-09-22,28.698040008544922
2000-09-25,29.35416603088379
2000-09-26,30.666414260864258
2000-09-27,30.267044067382812
2000-09-28,30.55231285095215
2000-09-29,30.52378273010254
2000-10-02,29.582406997680664
2000-10-03,29.125946044921875
2000-10-04,28.72659683227539
2000-10-05,29.154491424560547
2000-10-06,29.011837005615234
2000-10-09,29.04038429260254
2000-10-10,29.582406997680664
2000-10-11,29.240055084228516
2000-10-12,29.6679630279541
2000-10-13,28.840682983398438
2000-10-16,27.5284481048584
2000-10-17,27.357295989990234
2000-10-18,27.61402130126953
2000-10-19,27.984872817993164
2000-10-20,28.583938598632812
2000-10-23,28.041946411132812
2000-10-24,29.011837005615234
2000-10-25,29.35416603088379
2000-10-26,28.98333168029785
2000-10-27,28.783655166625977
2000-10-30,30.124406814575195
2000-10-31,29.810611724853516
2000-11-01,29.553850173950195
2000-11-02,29.896181106567383
2000-11-03,29.29711151123047
2000-11-06,29.725025177001953
2000-11-07,29.61090850830078
2000-11-08,29.582406997680664
2000-11-09,29.6679630279541
2000-11-10,30.324077606201172
2000-11-13,29.696514129638672
2000-11-14,30.55231285095215
2000-11-15,30.7805118560791
2000-11-16,30.609359741210938
2000-11-17,30.951688766479492
2000-11-20,31.436643600463867
2000-11-21,31.20842170715332
2000-11-22,31.20842170715332
2000-11-24,31.351058959960938
2000-11-27,30.951688766479492
2000-11-28,30.866092681884766
2000-11-29,30.324077606201172
2000-11-30,30.124406814575195
2000-12-01,29.639436721801758
2000-12-04,29.753549575805664
2000-12-05,29.810611724853516
2000-12-06,30.209964752197266
2000-12-07,29.74278450012207
2000-12-08,28.799924850463867
2000-12-11,27.999921798706055
2000-12-12,28.2570743560791
2000-12-13,28.45706558227539
2000-12-14,28.942781448364258
2000-12-15,27.371360778808594
2000-12-18,27.342775344848633
2000-12-19,27.228506088256836
2000-12-20,26.942792892456055
2000-12-21,26.971364974975586
2000-12-22,27.199913024902344
2000-12-26,27.971359252929688
2000-12-27,28.714210510253906
2000-12-28,28.971351623535156
2000-12-29,28.942781448364258
2001-01-02,28.37135124206543
2001-01-03,27.77135467529297
2001-01-04,25.91421890258789
2001-01-05,25.085660934448242
2001-01-08,26.91420555114746
2001-01-09,27.74279022216797
2001-01-10,27.8284969329834
2001-01-11,27.685653686523438
2001-01-12,28.2570743560791
2001-01-16,28.342790603637695
2001-01-17,27.57135009765625
2001-01-18,27.45705795288086
2001-01-19,27.428504943847656
2001-01-22,26.82849884033203
2001-01-23,27.199913024902344
2001-01-24,27.48564338684082
2001-01-25,27.399930953979492
2001-01-26,27.171356201171875
2001-01-29,27.657075881958008
2001-01-30,27.4879150390625
2001-01-31,27.364501953125
2001-02-01,27.29136848449707
2001-02-02,26.377077102661133
2001-02-05,26.96221923828125
2001-02-06,27.263935089111328
2001-02-07,27.282217025756836
2001-02-08,27.405643463134766
2001-02-09,27.236507415771484
2001-02-12,26.97591781616211
2001-02-13,27.419355392456055
2001-02-14,27.03077507019043
2001-02-15,26.93478012084961
2001-02-16,26.939355850219727
2001-02-20,26.034223556518555
2001-02-21,26.331357955932617
2001-02-22,26.057077407836914
2001-02-23,25.878787994384766
2001-02-26,26.331357955932617
2001-02-27,26.48679542541504
2001-02-28,26.971364974975586
2001-03-01,27.058216094970703
2001-03-02,26.943925857543945
2001-03-05,27.044511795043945
2001-03-06,26.85708236694336
2001-03-07,26.950035095214844
2001-03-08,27.23853874206543
2001-03-09,26.48750877380371
2001-03-12,25.530406951904297
2001-03-13,25.741064071655273
2001-03-14,24.591623306274414
2001-03-15,23.836027145385742
2001-03-16,22.846851348876953
2001-03-19,23.69862937927246
2001-03-20,23.37348175048828
2001-03-21,24.042091369628906
2001-03-22,23.927597045898438
2001-03-23,23.584144592285156
2001-03-26,24.486295700073242
2001-03-27,24.816003799438477
2001-03-28,24.45881462097168
2001-03-29,24.293956756591797
2001-03-30,24.903017044067383
2001-04-02,24.953405380249023
2001-04-03,24.087890625
2001-04-04,23.863489151000977
2001-04-05,24.486295700073242
2001-04-06,24.01919937133789
2001-04-09,24.316850662231445
2001-04-10,24.257326126098633
2001-04-11,23.171995162963867
2001-04-12,23.584144592285156
2001-04-16,23.084972381591797
2001-04-17,23.492551803588867
2001-04-18,24.85723304748535
2001-04-19,24.751895904541016
2001-04-20,24.40386199951172
2001-04-23,23.886390686035156
2001-04-24,23.813119888305664
2001-04-25,24.316850662231445
2001-04-26,24.261905670166016
2001-04-27,25.067873001098633
2001-04-30,24.843496322631836
2001-05-01,24.70152473449707
2001-05-02,24.25273895263672
2001-05-03,24.023771286010742
2001-05-04,23.927597045898438
2001-05-07,24.110780715942383
2001-05-08,24.271066665649414
2001-05-09,24.234426498413086
2001-05-10,24.449649810791016
2001-05-11,23.9459171295166
2001-05-14,24.179471969604492
2001-05-15,24.156574249267578
2001-05-16,25.46171760559082
2001-05-17,25.434226989746094
2001-05-18,25.516658782958984
2001-05-21,26.002099990844727
2001-05-22,25.60826301574707
2001-05-23,25.393020629882812
2001-05-24,25.663223266601562
2001-05-25,25.6448974609375
2001-05-29,25.37012481689453
2001-05-30,25.09535789489746
2001-05-31,24.60994529724121
2001-06-01,25.02665901184082
2001-06-04,25.315170288085938
2001-06-05,26.057039260864258
2001-06-06,25.760202407836914
2001-06-07,25.462017059326172
2001-06-08,25.07204246520996
2001-06-11,25.07204246520996
2001-06-12,24.824308395385742
2001-06-13,24.466472625732422
2001-06-14,23.62691307067871
2001-06-15,23.892995834350586
2001-06-18,23.961835861206055
2001-06-19,24.01228904724121
2001-06-20,23.943470001220703
2001-06-21,23.970985412597656
2001-06-22,23.67279624938965
2001-06-25,23.718673706054688
2001-06-26,23.970985412597656
2001-06-27,23.67279624938965
2001-06-28,23.737016677856445
2001-06-29,22.801118850708008
2001-07-02,23.700313568115234
2001-07-03,23.76913833618164
2001-07-05,23.714075088500977
2001-07-06,23.443401336669922
2001-07-09,24.227907180786133
2001-07-10,24.06275749206543
2001-07-11,23.892995834350586
2001-07-12,24.682096481323242
2001-07-13,24.539873123168945
2001-07-16,24.338016510009766
2001-07-17,24.649993896484375
2001-07-18,24.36095428466797
2001-07-19,24.75090789794922
2001-07-20,24.452707290649414
2001-07-23,23.805830001831055
2001-07-24,23.512222290039062
2001-07-25,23.67279624938965
2001-07-26,23.415876388549805
2001-07-27,23.39752769470215
2001-07-30,23.328712463378906
2001-07-31,23.374591827392578
2001-08-01,22.934160232543945
2001-08-02,22.17719078063965
2001-08-03,21.534896850585938
2001-08-06,21.99827003479004
2001-08-07,22.13131332397461
2001-08-08,22.071657180786133
2001-08-09,22.342348098754883
2001-08-10,22.246000289916992
2001-08-13,22.135894775390625
2001-08-14,22.296466827392578
2001-08-15,22.73689842224121
2001-08-16,22.961685180664062
2001-08-17,22.7552433013916
2001-08-20,22.989213943481445
2001-08-21,23.342470169067383
2001-08-22,23.452585220336914
2001-08-23,23.865478515625
2001-08-24,24.374731063842773
2001-08-27,24.310482025146484
2001-08-28,24.172853469848633
2001-08-29,24.714204788208008
2001-08-30,23.961835861206055
2001-08-31,23.74619483947754
2001-09-04,23.810422897338867
2001-09-05,23.425060272216797
2001-09-06,22.93875503540039
2001-09-07,22.94333839416504
2001-09-10,23.3929443359375
2001-09-17,22.110445022583008
2001-09-18,23.022493362426758
2001-09-19,22.52501106262207
2001-09-20,20.59955406188965
2001-09-21,20.263296127319336
2001-09-24,20.73775863647461
2001-09-25,20.498218536376953
2001-09-26,20.383068084716797
2001-09-27,20.38767433166504
2001-09-28,21.66823387145996
2001-10-01,21.626773834228516
2001-10-02,22.193355560302734
2001-10-03,23.04092025756836
2001-10-04,22.71388053894043
2001-10-05,22.47893524169922
2001-10-08,22.211772918701172
2001-10-09,22.197954177856445
2001-10-10,23.059343338012695
2001-10-11,23.23899269104004
2001-10-12,22.63096809387207
2001-10-15,22.52501106262207
2001-10-16,22.732303619384766
2001-10-17,22.432905197143555
2001-10-18,22.294692993164062
2001-10-19,22.56186294555664
2001-10-22,22.944189071655273
2001-10-23,23.04092025756836
2001-10-24,23.183719635009766
2001-10-25,23.6029052734375
2001-10-26,23.67198944091797
2001-10-29,23.40021514892578
2001-10-30,23.492347717285156
2001-10-31,23.796367645263672
2001-11-01,24.36754608154297
2001-11-02,24.713029861450195
2001-11-05,25.058502197265625
2001-11-06,24.745262145996094
2001-11-07,24.791336059570312
2001-11-08,24.740663528442383
2001-11-09,25.030860900878906
2001-11-12,25.20591163635254
2001-11-13,25.532947540283203
2001-11-14,25.721813201904297
2001-11-15,25.79551124572754
2001-11-16,25.41779899597168
2001-11-19,26.242340087890625
2001-11-20,25.92909812927246
2001-11-21,25.78630828857422
2001-11-23,26.090322494506836
2001-11-26,26.099536895751953
2001-11-27,25.823163986206055
2001-11-28,25.53754997253418
2001-11-29,25.519121170043945
2001-11-30,25.54677963256836
2001-12-03,25.459245681762695
2001-12-04,25.836971282958984
2001-12-05,26.707563400268555
2001-12-06,27.36166000366211
2001-12-07,27.56895637512207
2001-12-10,26.91485595703125
2001-12-11,27.0806827545166
2001-12-12,27.461444854736328
2001-12-13,26.935302734375
2001-12-14,26.60300064086914
2001-12-17,27.18915367126465
2001-12-18,27.17991828918457
2001-12-19,27.18453025817871
2001-12-20,27.438379287719727
2001-12-21,27.56760597229004
2001-12-24,27.239913940429688
2001-12-26,27.27684211730957
2001-12-27,27.57221794128418
2001-12-28,27.816822052001953
2001-12-31,27.18453025817871
2002-01-02,27.05991554260254
2002-01-03,27.04607582092285
2002-01-04,26.99991226196289
2002-01-07,26.422996520996094
2002-01-08,26.399919509887695
2002-01-09,26.155303955078125
2002-01-10,26.386058807373047
2002-01-11,26.266071319580078
2002-01-14,26.42760467529297
2002-01-15,26.87067222595215
2002-01-16,26.60300064086914
2002-01-17,26.639909744262695
2002-01-18,26.450681686401367
2002-01-22,26.081457138061523
2002-01-23,25.822986602783203
2002-01-24,25.822986602783203
2002-01-25,26.113767623901367
2002-01-28,26.04912757873535
2002-01-29,24.09223175048828
2002-01-30,24.886066436767578
2002-01-31,24.922998428344727
2002-02-01,24.71530532836914
2002-02-04,24.41530990600586
2002-02-05,24.701461791992188
2002-02-06,24.766084671020508
2002-02-07,24.922998428344727
2002-02-08,25.126073837280273
2002-02-11,25.17222023010254
2002-02-12,24.922998428344727
2002-02-13,24.87683868408203
2002-02-14,25.010677337646484
2002-02-15,24.692237854003906
2002-02-19,24.276844024658203
2002-02-20,24.50762176513672
2002-02-21,24.032241821289062
2002-02-22,24.309152603149414
2002-02-25,24.904542922973633
2002-02-26,24.2999267578125
2002-02-27,24.073776245117188
2002-02-28,24.327611923217773
2002-03-01,25.15376853942871
2002-03-04,25.984533309936523
2002-03-05,26.16915512084961
2002-03-06,26.524532318115234
2002-03-07,26.362995147705078
2002-03-08,26.852218627929688
2002-03-11,26.492231369018555
2002-03-12,26.722986221313477
2002-03-13,25.83738899230957
2002-03-14,25.546031951904297
2002-03-15,26.040864944458008
2002-03-18,26.531082153320312
2002-03-19,26.18423080444336
2002-03-20,26.336843490600586
2002-03-21,26.429336547851562
2002-03-22,26.128738403320312
2002-03-25,25.43504524230957
2002-03-26,26.484827041625977
2002-03-27,26.498703002929688
2002-03-28,26.947290420532227
2002-04-01,26.475584030151367
2002-04-02,26.221227645874023
2002-04-03,25.43504524230957
2002-04-04,25.43504524230957
2002-04-05,25.527545928955078
2002-04-08,25.865137100219727
2002-04-09,25.809621810913086
2002-04-10,26.13335609436035
2002-04-11,25.781902313232422
2002-04-12,26.040864944458008
2002-04-15,25.388809204101562
2002-04-16,24.625762939453125
2002-04-17,23.60374641418457
2002-04-18,23.483495712280273
2002-04-19,23.88582992553711
2002-04-22,23.169029235839844
2002-04-23,23.44648551940918
2002-04-24,23.659225463867188
2002-04-25,23.78871726989746
2002-04-26,23.391006469726562
2002-04-29,23.085771560668945
2002-04-30,23.51123046875
2002-05-01,23.73321533203125
2002-05-02,23.469615936279297
2002-05-03,23.173646926879883
2002-05-06,23.007165908813477
2002-05-07,23.192148208618164
2002-05-08,24.019939422607422
2002-05-09,23.83032989501953
2002-05-10,23.62221336364746
2002-05-13,24.00606918334961
2002-05-14,24.74138069152832
2002-05-15,24.574893951416016
2002-05-16,25.13445281982422
2002-05-17,25.22231674194336
2002-05-20,24.51939582824707
2002-05-21,24.297412872314453
2002-05-22,24.186424255371094
2002-05-23,24.74138069152832
2002-05-24,24.41763687133789
2002-05-28,24.41763687133789
2002-05-29,24.11243438720703
2002-05-30,24.117046356201172
2002-05-31,24.01069450378418
2002-06-03,23.927446365356445
2002-06-04,24.14018440246582
2002-06-05,24.163307189941406
2002-06-06,24.237302780151367
2002-06-07,23.585235595703125
2002-06-10,23.552858352661133
2002-06-11,23.432615280151367
2002-06-12,22.66551971435547
2002-06-13,22.225183486938477
2002-06-14,21.69678497314453
2002-06-17,22.354961395263672
2002-06-18,22.294702529907227
2002-06-19,21.747766494750977
2002-06-20,21.038606643676758
2002-06-21,20.347978591918945
2002-06-24,20.505569458007812
2002-06-25,20.03278923034668
2002-06-26,19.9771671295166
2002-06-27,20.139402389526367
2002-06-28,20.185754776000977
2002-07-01,19.564647674560547
