Date,MAA
2000-01-03,5.932161808013916
2000-01-04,5.965118408203125
2000-01-05,5.899205207824707
2000-01-06,5.998074054718018
2000-01-07,6.047504901885986
2000-01-10,5.998074054718018
2000-01-11,5.932161808013916
2000-01-12,5.932161808013916
2000-01-13,5.932161808013916
2000-01-14,5.915683746337891
2000-01-18,6.0639848709106445
2000-01-19,6.129898548126221
2000-01-20,6.01633358001709
2000-01-21,6.067032814025879
2000-01-24,5.982535362243652
2000-01-25,6.01633358001709
2000-01-26,5.96563196182251
2000-01-27,5.96563196182251
2000-01-28,5.96563196182251
2000-01-31,5.982535362243652
2000-02-01,5.999432563781738
2000-02-02,5.982535362243652
2000-02-03,5.999432563781738
2000-02-04,5.96563196182251
2000-02-07,6.01633358001709
2000-02-08,6.01633358001709
2000-02-09,6.01633358001709
2000-02-10,6.033231735229492
2000-02-11,6.050132751464844
2000-02-14,6.033231735229492
2000-02-15,6.083932399749756
2000-02-16,6.067032814025879
2000-02-17,6.067032814025879
2000-02-18,6.050132751464844
2000-02-22,5.999432563781738
2000-02-23,6.050132751464844
2000-02-24,6.01633358001709
2000-02-25,5.999432563781738
2000-02-28,6.050132751464844
2000-02-29,6.168432235717773
2000-03-01,6.083932399749756
2000-03-02,6.083932399749756
2000-03-03,6.083932399749756
2000-03-06,6.11773157119751
2000-03-07,5.982535362243652
2000-03-08,6.083932399749756
2000-03-09,6.01633358001709
2000-03-10,6.01633358001709
2000-03-13,5.999432563781738
2000-03-14,6.067032814025879
2000-03-15,6.01633358001709
2000-03-16,6.083932399749756
2000-03-17,6.11773157119751
2000-03-20,6.067032814025879
2000-03-21,6.050132751464844
2000-03-22,6.050132751464844
2000-03-23,6.050132751464844
2000-03-24,6.100830554962158
2000-03-27,6.067032814025879
2000-03-28,6.083932399749756
2000-03-29,6.083932399749756
2000-03-30,6.202226638793945
2000-03-31,6.151532173156738
2000-04-03,6.11773157119751
2000-04-04,6.11773157119751
2000-04-05,6.151532173156738
2000-04-06,6.168432235717773
2000-04-07,6.219128131866455
2000-04-10,6.219128131866455
2000-04-11,6.286728382110596
2000-04-12,6.472629070281982
2000-04-13,6.5233259201049805
2000-04-14,6.624725341796875
2000-04-17,6.624725341796875
2000-04-18,6.456480979919434
2000-04-19,6.5257134437561035
2000-04-20,6.577640533447266
2000-04-24,6.508405685424805
2000-04-25,6.491093158721924
2000-04-26,6.508405685424805
2000-04-27,6.560336112976074
2000-04-28,6.612262725830078
2000-05-01,6.646880626678467
2000-05-02,6.646880626678467
2000-05-03,6.5257134437561035
2000-05-04,6.508405685424805
2000-05-05,6.577640533447266
2000-05-08,6.5257134437561035
2000-05-09,6.439168453216553
2000-05-10,6.439168453216553
2000-05-11,6.456480979919434
2000-05-12,6.491093158721924
2000-05-15,6.62957239151001
2000-05-16,6.681502819061279
2000-05-17,6.698813438415527
2000-05-18,6.646880626678467
2000-05-19,6.664192199707031
2000-05-22,6.681502819061279
2000-05-23,6.62957239151001
2000-05-24,6.491093158721924
2000-05-25,6.439168453216553
2000-05-26,6.439168453216553
2000-05-30,6.508405685424805
2000-05-31,6.491093158721924
2000-06-01,6.508405685424805
2000-06-02,6.5257134437561035
2000-06-05,6.543024063110352
2000-06-06,6.5257134437561035
2000-06-07,6.543024063110352
2000-06-08,6.560336112976074
2000-06-09,6.646880626678467
2000-06-12,6.5257134437561035
2000-06-13,6.40454626083374
2000-06-14,6.508405685424805
2000-06-15,6.543024063110352
2000-06-16,6.456480979919434
2000-06-19,6.5257134437561035
2000-06-20,6.508405685424805
2000-06-21,6.577640533447266
