Date,MGM
2000-01-03,11.094179153442383
2000-01-04,10.991453170776367
2000-01-05,10.815357208251953
2000-01-06,11.211577415466309
2000-01-07,11.094179153442383
2000-01-10,11.343648910522461
2000-01-11,10.771332740783691
2000-01-12,10.976780891418457
2000-01-13,10.712632179260254
2000-01-14,10.830028533935547
2000-01-18,10.830028533935547
2000-01-19,11.167552947998047
2000-01-20,11.138201713562012
2000-01-21,10.815357208251953
2000-01-24,10.28706169128418
2000-01-25,10.213687896728516
2000-01-26,10.125638008117676
2000-01-27,9.846817016601562
2000-01-28,9.758770942687988
2000-01-31,9.714741706848145
2000-02-01,10.066938400268555
2000-02-02,9.978891372680664
2000-02-03,9.890840530395508
2000-02-04,10.404461860656738
2000-02-07,9.993565559387207
2000-02-08,10.07593822479248
2000-02-09,9.972972869873047
2000-02-10,10.031810760498047
2000-02-11,9.928840637207031
2000-02-14,9.914133071899414
2000-02-15,9.928840637207031
2000-02-16,9.884716987609863
2000-02-17,10.178903579711914
2000-02-18,9.928840637207031
2000-02-22,9.502270698547363
2000-02-23,9.840588569641113
2000-02-24,9.752331733703613
2000-02-25,9.222793579101562
2000-02-28,9.502270698547363
2000-02-29,9.355175971984863
2000-03-01,8.943314552307129
2000-03-02,8.943314552307129
2000-03-03,8.943314552307129
2000-03-06,9.178665161132812
2000-03-07,9.237503051757812
2000-03-08,9.060989379882812
2000-03-09,9.472854614257812
2000-03-10,9.502270698547363
2000-03-13,9.178665161132812
2000-03-14,8.943314552307129
2000-03-15,9.502270698547363
2000-03-16,10.590765953063965
2000-03-17,10.149484634399414
2000-03-20,10.590765953063965
2000-03-21,10.502510070800781
2000-03-22,10.502510070800781
2000-03-23,9.884716987609863
2000-03-24,9.884716987609863
2000-03-27,9.649365425109863
2000-03-28,10.325998306274414
2000-03-29,10.914372444152832
2000-03-30,10.796700477600098
2000-03-31,11.296818733215332
2000-04-03,11.296818733215332
2000-04-04,11.267400741577148
2000-04-05,11.649843215942383
2000-04-06,11.944034576416016
2000-04-07,12.738340377807617
2000-04-10,13.385552406311035
2000-04-11,13.495874404907227
2000-04-12,13.944506645202637
2000-04-13,13.767997741699219
2000-04-14,12.7089204788208
2000-04-17,12.326476097106934
2000-04-18,12.679503440856934
2000-04-19,12.944271087646484
2000-04-20,13.297295570373535
2000-04-24,13.0031099319458
