Date,RCL
2000-01-03,32.313655853271484
2000-01-04,31.22490882873535
2000-01-05,33.14110565185547
2000-01-06,33.79433059692383
2000-01-07,34.31692886352539
2000-01-10,36.18955612182617
2000-01-11,36.32020568847656
2000-01-12,36.45086669921875
2000-01-13,37.36540603637695
2000-01-14,38.802528381347656
2000-01-18,38.45413589477539
2000-01-19,38.62834548950195
2000-01-20,38.149288177490234
2000-01-21,37.45249557495117
2000-01-24,36.40730667114258
2000-01-25,36.5379524230957
2000-01-26,38.323490142822266
2000-01-27,37.45249557495117
2000-01-28,35.797611236572266
2000-01-31,34.44758987426758
2000-02-01,33.010459899902344
2000-02-02,32.705604553222656
2000-02-03,33.576595306396484
2000-02-04,33.22819519042969
2000-02-07,31.137826919555664
2000-02-08,31.355581283569336
2000-02-09,31.355581283569336
2000-02-10,31.355581283569336
2000-02-11,29.09100914001465
2000-02-14,25.4328556060791
2000-02-15,26.08609962463379
2000-02-16,25.9554386138916
2000-02-17,26.260299682617188
2000-02-18,25.4328556060791
2000-02-22,25.82480239868164
2000-02-23,25.563495635986328
2000-02-24,24.039274215698242
2000-02-25,23.64732551574707
2000-02-28,23.72422218322754
2000-02-29,24.72911834716797
2000-03-01,20.534772872924805
2000-03-02,19.83572006225586
2000-03-03,20.27263641357422
2000-03-06,20.27263641357422
2000-03-07,19.398815155029297
2000-03-08,18.73252296447754
2000-03-09,19.22406005859375
2000-03-10,18.78714370727539
2000-03-13,18.262849807739258
2000-03-14,18.175464630126953
2000-03-15,18.87453269958496
2000-03-16,22.020278930664062
2000-03-17,20.054174423217773
2000-03-20,19.83572006225586
2000-03-21,20.97169303894043
2000-03-22,20.88431167602539
2000-03-23,21.364904403686523
2000-03-24,21.495981216430664
2000-03-27,21.62705421447754
2000-03-28,21.495981216430664
2000-03-29,20.97169303894043
2000-03-30,20.622169494628906
2000-03-31,19.573583602905273
2000-04-03,18.525001525878906
2000-04-04,18.481298446655273
2000-04-05,18.175464630126953
2000-04-06,18.219152450561523
2000-04-07,18.219152450561523
2000-04-10,18.08807945251465
2000-04-11,17.47640609741211
2000-04-12,17.301637649536133
2000-04-13,17.520097732543945
2000-04-14,16.07829475402832
2000-04-17,16.60259246826172
2000-04-18,16.60259246826172
2000-04-19,17.126876831054688
2000-04-20,17.126876831054688
2000-04-24,15.772459983825684
2000-04-25,15.335552215576172
2000-04-26,14.986028671264648
2000-04-27,14.680188179016113
2000-04-28,14.549108505249023
2000-05-01,14.680188179016113
2000-05-02,14.986028671264648
2000-05-03,16.03460693359375
2000-05-04,16.733661651611328
2000-05-05,16.12198829650879
2000-05-08,16.07829475402832
2000-05-09,15.85983943939209
