Date,ACGL
2000-01-03,1.215037226676941
2000-01-04,1.2084332704544067
2000-01-05,1.3206924200057983
2000-01-06,1.3074854612350464
2000-01-07,1.3801236152648926
2000-01-10,1.4263477325439453
2000-01-11,1.4395548105239868
2000-01-12,1.4395548105239868
2000-01-13,1.5055890083312988
2000-01-14,1.5716241598129272
2000-01-18,1.6376583576202393
2000-01-19,1.6772793531417847
2000-01-20,1.6376583576202393
2000-01-21,1.6508654356002808
2000-01-24,1.6376583576202393
2000-01-25,1.6310553550720215
2000-01-26,1.5980383157730103
2000-01-27,1.61784827709198
2000-01-28,1.5980383157730103
2000-01-31,1.5452101230621338
2000-02-01,1.4923819303512573
2000-02-02,1.4857789278030396
2000-02-03,1.4527618885040283
2000-02-04,1.4791759252548218
2000-02-07,1.5320031642913818
2000-02-08,1.5584170818328857
2000-02-09,1.5320031642913818
2000-02-10,1.5320031642913818
2000-02-11,1.4989858865737915
2000-02-14,1.4890804290771484
2000-02-15,1.5121930837631226
2000-02-16,1.538607120513916
2000-02-17,1.5683226585388184
2000-02-18,1.5055890083312988
2000-02-22,1.4791759252548218
2000-02-23,1.5055890083312988
2000-02-24,1.578227162361145
2000-02-25,1.4791759252548218
2000-02-28,1.5320031642913818
2000-02-29,1.6112442016601562
2000-03-01,1.5716241598129272
2000-03-02,1.5848312377929688
2000-03-03,1.5848312377929688
2000-03-06,1.5716241598129272
2000-03-07,1.578227162361145
2000-03-08,1.578227162361145
2000-03-09,1.588132619857788
2000-03-10,1.578227162361145
2000-03-13,1.5716241598129272
2000-03-14,1.565020203590393
2000-03-15,1.578227162361145
2000-03-16,1.578227162361145
2000-03-17,1.5716241598129272
2000-03-20,1.578227162361145
2000-03-21,1.5914342403411865
2000-03-22,1.5848312377929688
2000-03-23,1.5848312377929688
2000-03-24,1.6376583576202393
2000-03-27,1.6376583576202393
2000-03-28,1.6508654356002808
2000-03-29,1.6772793531417847
2000-03-30,1.6970895528793335
2000-03-31,1.7301065921783447
2000-04-03,1.6970895528793335
2000-04-04,1.7499176263809204
2000-04-05,1.6904865503311157
2000-04-06,1.6904865503311157
2000-04-07,1.7433136701583862
2000-04-10,1.683882474899292
2000-04-11,1.6508654356002808
2000-04-12,1.6376583576202393
2000-04-13,1.6508654356002808
2000-04-14,1.6409598588943481
2000-04-17,1.6772793531417847
2000-04-18,1.7169005870819092
2000-04-19,1.6376583576202393
2000-04-20,1.6244513988494873
2000-04-24,1.5980383157730103
2000-04-25,1.6244513988494873
2000-04-26,1.6409598588943481
2000-04-27,1.6772793531417847
2000-04-28,1.626102089881897
2000-05-01,1.6310553550720215
2000-05-02,1.61784827709198
2000-05-03,1.6376583576202393
2000-05-04,1.6904865503311157
2000-05-05,1.6904865503311157
2000-05-08,1.657469391822815
2000-05-09,1.6112442016601562
2000-05-10,1.657469391822815
2000-05-11,1.5848312377929688
2000-05-12,1.6244513988494873
2000-05-15,1.6244513988494873
2000-05-16,1.6376583576202393
2000-05-17,1.5980383157730103
2000-05-18,1.5980383157730103
2000-05-19,1.6112442016601562
2000-05-22,1.5980383157730103
2000-05-23,1.6244513988494873
2000-05-24,1.61784827709198
2000-05-25,1.5914342403411865
2000-05-26,1.6112442016601562
2000-05-30,1.5716241598129272
2000-05-31,1.5848312377929688
2000-06-01,1.5980383157730103
2000-06-02,1.6244513988494873
2000-06-05,1.5848312377929688
2000-06-06,1.5848312377929688
2000-06-07,1.5980383157730103
2000-06-08,1.61784827709198
2000-06-09,1.5848312377929688
2000-06-12,1.5848312377929688
2000-06-13,1.5848312377929688
2000-06-14,1.5848312377929688
2000-06-15,1.5716241598129272
2000-06-16,1.538607120513916
2000-06-19,1.5848312377929688
2000-06-20,1.5848312377929688
2000-06-21,1.6772793531417847
2000-06-22,1.6508654356002808
2000-06-23,1.6508654356002808
2000-06-26,1.6442623138427734
2000-06-27,1.6442623138427734
2000-06-28,1.6442623138427734
2000-06-29,1.6442623138427734
2000-06-30,1.578227162361145
2000-07-03,1.578227162361145
2000-07-05,1.6112442016601562
2000-07-06,1.6508654356002808
2000-07-07,1.6772793531417847
2000-07-10,1.6508654356002808
2000-07-11,1.6706753969192505
2000-07-12,1.6706753969192505
2000-07-13,1.6640723943710327
2000-07-14,1.6706753969192505
2000-07-17,1.657469391822815
2000-07-18,1.6706753969192505
2000-07-19,1.6640723943710327
2000-07-20,1.6508654356002808
2000-07-21,1.6508654356002808
2000-07-24,1.6508654356002808
2000-07-25,1.6508654356002808
2000-07-26,1.5980383157730103
2000-07-27,1.6112442016601562
2000-07-28,1.626102089881897
2000-07-31,1.6376583576202393
2000-08-01,1.6706753969192505
2000-08-02,1.6706753969192505
2000-08-03,1.6376583576202393
2000-08-04,1.6376583576202393
2000-08-07,1.6640723943710327
2000-08-08,1.6376583576202393
2000-08-09,1.5848312377929688
2000-08-10,1.5716241598129272
2000-08-11,1.5716241598129272
2000-08-14,1.6112442016601562
2000-08-15,1.5848312377929688
2000-08-16,1.5716241598129272
2000-08-17,1.5848312377929688
2000-08-18,1.5848312377929688
2000-08-21,1.5848312377929688
2000-08-22,1.5980383157730103
2000-08-23,1.6112442016601562
2000-08-24,1.5848312377929688
2000-08-25,1.6112442016601562
2000-08-28,1.6772793531417847
2000-08-29,1.6376583576202393
2000-08-30,1.6112442016601562
2000-08-31,1.604641318321228
2000-09-01,1.6442623138427734
2000-09-05,1.6112442016601562
2000-09-06,1.6376583576202393
2000-09-07,1.6640723943710327
2000-09-08,1.6244513988494873
2000-09-11,1.6112442016601562
2000-09-12,1.5980383157730103
2000-09-13,1.5980383157730103
2000-09-14,1.5848312377929688
2000-09-15,1.5980383157730103
2000-09-18,1.6112442016601562
2000-09-19,1.6376583576202393
2000-09-20,1.6376583576202393
2000-09-21,1.6442623138427734
2000-09-22,1.626102089881897
2000-09-25,1.6244513988494873
2000-09-26,1.6244513988494873
2000-09-27,1.6244513988494873
2000-09-28,1.6376583576202393
2000-09-29,1.6640723943710327
2000-10-02,1.6640723943710327
2000-10-03,1.6772793531417847
2000-10-04,1.6508654356002808
2000-10-05,1.6772793531417847
2000-10-06,1.657469391822815
2000-10-09,1.6508654356002808
2000-10-10,1.6376583576202393
2000-10-11,1.657469391822815
2000-10-12,1.657469391822815
2000-10-13,1.657469391822815
2000-10-16,1.6706753969192505
2000-10-17,1.6706753969192505
2000-10-18,1.6640723943710327
2000-10-19,1.6244513988494873
2000-10-20,1.604641318321228
2000-10-23,1.6508654356002808
2000-10-24,1.6376583576202393
2000-10-25,1.6508654356002808
2000-10-26,1.6376583576202393
2000-10-27,1.6310553550720215
2000-10-30,1.6376583576202393
2000-10-31,1.6376583576202393
2000-11-01,1.6376583576202393
2000-11-02,1.6706753969192505
2000-11-03,1.6244513988494873
2000-11-06,1.6244513988494873
2000-11-07,1.6442623138427734
