Date,CFG
2014-09-24,15.407262802124023
2014-09-25,15.387234687805176
2014-09-26,15.520750999450684
2014-09-29,15.50739574432373
2014-09-30,15.634232521057129
2014-10-01,15.64758586883545
2014-10-02,15.580828666687012
2014-10-03,15.50739574432373
2014-10-06,15.113540649414062
2014-10-07,15.033429145812988
2014-10-08,15.18697452545166
2014-10-09,15.00672721862793
2014-10-10,14.87321949005127
2014-10-13,14.986701965332031
2014-10-14,14.986701965332031
2014-10-15,14.586170196533203
2014-10-16,14.552785873413086
2014-10-17,14.632899284362793
2014-10-20,14.939972877502441
2014-10-21,15.233695983886719
2014-10-22,15.086834907531738
2014-10-23,15.373889923095703
2014-10-24,15.474019050598145
2014-10-27,15.253724098205566
2014-10-28,15.540775299072266
2014-10-29,15.674283027648926
2014-10-30,15.64758586883545
2014-10-31,15.767745971679688
2014-11-03,16.02141761779785
2014-11-04,15.820313453674316
2014-11-05,16.02141571044922
2014-11-06,16.2895565032959
2014-11-07,16.068344116210938
2014-11-10,16.054931640625
2014-11-11,16.048233032226562
2014-11-12,15.994597434997559
2014-11-13,15.967785835266113
2014-11-14,16.0616397857666
2014-11-17,16.088451385498047
2014-11-18,15.907458305358887
2014-11-19,15.900754928588867
2014-11-20,15.894052505493164
2014-11-21,15.93427562713623
2014-11-24,16.256040573120117
2014-11-25,16.10856056213379
2014-11-26,16.242639541625977
2014-11-28,16.510774612426758
2014-12-01,16.07504653930664
2014-12-02,16.222524642944336
2014-12-03,16.242639541625977
2014-12-04,16.35659408569336
2014-12-05,16.859357833862305
2014-12-08,16.785619735717773
2014-12-09,16.86606216430664
2014-12-10,16.52418327331543
2014-12-11,16.551000595092773
2014-12-12,16.396814346313477
2014-12-15,16.41692352294922
2014-12-16,16.256040573120117
2014-12-17,16.463850021362305
2014-12-18,16.81243324279785
2014-12-19,16.758804321289062
2014-12-22,16.82583999633789
2014-12-23,17.053756713867188
2014-12-24,17.100683212280273
2014-12-26,16.96660804748535
2014-12-29,17.0068359375
2014-12-30,16.886178970336914
2014-12-31,16.664958953857422
2015-01-02,16.597925186157227
2015-01-05,16.209115982055664
2015-01-06,16.028120040893555
2015-01-07,16.088451385498047
2015-01-08,16.209115982055664
2015-01-09,16.01471710205078
2015-01-12,16.00801658630371
2015-01-13,16.00130844116211
2015-01-14,15.713054656982422
2015-01-15,15.391287803649902
2015-01-16,15.545466423034668
2015-01-20,15.485139846801758
2015-01-21,15.605805397033691
2015-01-22,16.18230438232422
2015-01-23,15.894052505493164
2015-01-26,16.148784637451172
2015-01-27,16.18900489807129
2015-01-28,15.994597434997559
2015-01-29,16.24933624267578
2015-01-30,16.02141571044922
2015-02-02,16.088451385498047
2015-02-03,16.35098648071289
2015-02-04,16.16250228881836
2015-02-05,16.391380310058594
2015-02-06,16.492347717285156
2015-02-09,16.330791473388672
2015-02-10,16.7077579498291
2015-02-11,16.808731079101562
2015-02-12,17.051069259643555
2015-02-13,17.131845474243164
2015-02-17,17.205894470214844
2015-02-18,16.97028350830078
2015-02-19,16.842397689819336
2015-02-20,16.997211456298828
2015-02-23,16.768341064453125
2015-02-24,16.781808853149414
2015-02-25,16.802000045776367
2015-02-26,16.727954864501953
2015-02-27,16.721220016479492
2015-03-02,16.727954864501953
2015-03-03,16.855854034423828
2015-03-04,16.761613845825195
2015-03-05,17.030872344970703
2015-03-06,17.165508270263672
2015-03-09,16.98375129699707
2015-03-10,16.82892608642578
2015-03-11,16.902969360351562
2015-03-12,17.158771514892578
2015-03-13,16.67410659790039
2015-03-16,17.037607192993164
2015-03-17,17.232816696166992
