Date,GL
2000-01-03,9.78239631652832
2000-01-04,9.588044166564941
2000-01-05,9.61923885345459
2000-01-06,9.597576141357422
2000-01-07,9.792555809020996
2000-01-10,9.662567138671875
2000-01-11,9.640902519226074
2000-01-12,9.597576141357422
2000-01-13,9.684231758117676
2000-01-14,9.48924732208252
2000-01-18,8.925956726074219
2000-01-19,8.44933032989502
2000-01-20,8.189349174499512
2000-01-21,8.081025123596191
2000-01-24,8.146020889282227
2000-01-25,8.081025123596191
2000-01-26,8.211012840270996
2000-01-27,8.276010513305664
2000-01-28,7.972700595855713
2000-01-31,8.730978012084961
2000-02-01,7.799380302429199
2000-02-02,8.037693977355957
2000-02-03,8.059359550476074
2000-02-04,7.994368553161621
2000-02-07,7.994368553161621
2000-02-08,7.7127251625061035
2000-02-09,7.431076526641846
2000-02-10,7.257758140563965
2000-02-11,7.27942419052124
2000-02-14,7.106104373931885
2000-02-15,7.236096382141113
2000-02-16,7.192764759063721
2000-02-17,7.019444465637207
2000-02-18,6.889451503753662
2000-02-22,6.9761152267456055
2000-02-23,6.802792549133301
2000-02-24,6.737799644470215
2000-02-25,6.716134548187256
2000-02-28,6.694471836090088
2000-02-29,6.867793083190918
2000-03-01,7.019444465637207
2000-03-02,6.824459552764893
2000-03-03,6.954451084136963
2000-03-06,6.802792549133301
2000-03-07,6.586141109466553
2000-03-08,6.6511383056640625
2000-03-09,6.716134548187256
2000-03-10,6.6294732093811035
2000-03-13,6.607812881469727
2000-03-14,6.607812881469727
2000-03-15,6.932789325714111
2000-03-16,7.842713356018066
2000-03-17,7.7777228355407715
2000-03-20,7.821042537689209
2000-03-21,8.146020889282227
2000-03-22,8.037693977355957
2000-03-23,8.232680320739746
2000-03-24,8.276010513305664
2000-03-27,7.972700595855713
2000-03-28,7.842713356018066
2000-03-29,7.886041164398193
2000-03-30,8.124353408813477
2000-03-31,8.016031265258789
2000-04-03,8.211012840270996
2000-04-04,8.081025123596191
2000-04-05,8.199341773986816
2000-04-06,8.24283504486084
2000-04-07,8.199341773986816
2000-04-10,8.308083534240723
2000-04-11,8.308083534240723
2000-04-12,8.351583480834961
2000-04-13,8.308083534240723
2000-04-14,7.786109447479248
2000-04-17,7.786109447479248
2000-04-18,7.981851577758789
2000-04-19,7.720860481262207
2000-04-20,7.873108386993408
2000-04-24,8.308083534240723
2000-04-25,8.699570655822754
2000-04-26,8.3950777053833
2000-04-27,8.155841827392578
2000-04-28,8.721314430236816
2000-05-01,8.9170560836792
2000-05-02,8.612566947937012
2000-05-03,8.41683292388916
2000-05-04,8.329832077026367
2000-05-05,8.24283504486084
2000-05-08,8.460329055786133
2000-05-09,8.41683292388916
2000-05-10,8.155841827392578
2000-05-11,8.112344741821289
2000-05-12,8.41683292388916
2000-05-15,8.65606689453125
2000-05-16,8.743063926696777
2000-05-17,8.743063926696777
2000-05-18,8.9170560836792
2000-05-19,8.699570655822754
2000-05-22,9.025796890258789
2000-05-23,9.091044425964355
2000-05-24,9.460777282714844
2000-05-25,9.156289100646973
2000-05-26,9.134546279907227
2000-05-30,9.178037643432617
2000-05-31,9.460777282714844
2000-06-01,9.852265357971191
2000-06-02,9.634767532348633
2000-06-05,9.504273414611816
2000-06-06,9.547771453857422
2000-06-07,9.743510246276855
2000-06-08,9.373781204223633
2000-06-09,9.460777282714844
2000-06-12,9.352035522460938
2000-06-13,9.526023864746094
