Date,WYNN
2002-10-25,6.944839000701904
2002-10-28,6.944839000701904
2002-10-29,6.747329235076904
2002-10-30,6.672595500946045
2002-10-31,6.731316089630127
2002-11-01,6.731316089630127
2002-11-04,6.8914594650268555
2002-11-05,6.950179100036621
2002-11-06,6.9394989013671875
2002-11-07,6.966192245483398
2002-11-08,6.902134895324707
2002-11-11,6.784698486328125
2002-11-12,6.384340286254883
2002-11-13,5.925267696380615
2002-11-14,5.919927597045898
2002-11-15,6.16547966003418
2002-11-18,6.501776695251465
2002-11-19,6.725976943969727
2002-11-20,6.624552249908447
2002-11-21,6.859428405761719
2002-11-22,6.7526702880859375
2002-11-25,6.902134895324707
2002-11-26,6.800710678100586
2002-11-27,6.672595500946045
2002-11-29,6.8434157371521
2002-12-02,6.624552249908447
2002-12-03,6.603199005126953
2002-12-04,6.725976943969727
2002-12-05,7.088970184326172
2002-12-06,7.035584449768066
2002-12-09,6.9394989013671875
2002-12-10,6.9394989013671875
2002-12-11,7.0729522705078125
2002-12-12,7.334517955780029
2002-12-13,7.259784698486328
2002-12-16,7.302491664886475
2002-12-17,7.195728302001953
2002-12-18,7.110320091247559
2002-12-19,6.806051731109619
2002-12-20,6.982205867767334
2002-12-23,7.179712772369385
2002-12-24,7.2117438316345215
2002-12-26,7.0729522705078125
2002-12-27,6.9394989013671875
2002-12-30,6.992879390716553
2002-12-31,6.998217582702637
2003-01-02,7.2064032554626465
2003-01-03,7.153024673461914
2003-01-06,7.094305515289307
2003-01-07,7.104978561401367
2003-01-08,6.950179100036621
2003-01-09,6.9394989013671875
2003-01-10,6.9394989013671875
2003-01-13,7.115655899047852
2003-01-14,7.179712772369385
2003-01-15,7.297152519226074
2003-01-16,7.425266742706299
2003-01-17,7.195728302001953
2003-01-21,7.323843002319336
2003-01-22,7.612097263336182
2003-01-23,7.606761932373047
2003-01-24,7.473308086395264
2003-01-27,7.542702674865723
2003-01-28,7.612097263336182
2003-01-29,7.489321708679199
2003-01-30,7.350532531738281
2003-01-31,7.3398566246032715
2003-02-03,7.281136512756348
2003-02-04,7.249107837677002
2003-02-05,7.233096122741699
2003-02-06,7.686833381652832
2003-02-07,7.446613788604736
2003-02-10,7.318502902984619
2003-02-11,7.638791561126709
2003-02-12,7.441281318664551
2003-02-13,7.4626312255859375
2003-02-14,7.649466514587402
2003-02-18,7.7135210037231445
2003-02-19,7.62811279296875
2003-02-20,7.505337715148926
2003-02-21,7.505337715148926
2003-02-24,7.473308086395264
2003-02-25,7.569394111633301
2003-02-26,7.446613788604736
2003-02-27,7.446613788604736
2003-02-28,7.590744495391846
2003-03-03,7.51600980758667
2003-03-04,7.499998092651367
2003-03-05,7.430603504180908
2003-03-06,7.473308086395264
2003-03-07,7.558713912963867
2003-03-10,7.558713912963867
2003-03-11,7.51600980758667
2003-03-12,7.382560729980469
2003-03-13,7.510673999786377
2003-03-14,7.499998092651367
2003-03-17,7.537364482879639
2003-03-18,7.548041343688965
2003-03-19,7.537364482879639
2003-03-20,7.580069541931152
2003-03-21,7.777576446533203
2003-03-24,7.638791561126709
2003-03-25,8.220637321472168
2003-03-26,8.007116317749023
2003-03-27,7.809605598449707
2003-03-28,8.02846622467041
2003-03-31,8.220637321472168
2003-04-01,7.9590744972229
2003-04-02,8.012455940246582
2003-04-03,7.927046298980713
2003-04-04,8.18860912322998
2003-04-07,8.471527099609375
2003-04-08,8.674379348754883
2003-04-09,8.823843002319336
2003-04-10,8.604978561401367
2003-04-11,8.658361434936523
2003-04-14,8.620994567871094
2003-04-15,8.701065063476562
