Date,TROW
2000-01-03,8.522547721862793
2000-01-04,8.26474666595459
2000-01-05,8.249582290649414
2000-01-06,8.492216110229492
2000-01-07,8.43155574798584
2000-01-10,8.522547721862793
2000-01-11,8.492216110229492
2000-01-12,8.856167793273926
2000-01-13,9.341443061828613
2000-01-14,9.477922439575195
2000-01-18,9.113961219787598
2000-01-19,9.25045394897461
2000-01-20,9.25045394897461
2000-01-21,9.690224647521973
2000-01-24,9.584071159362793
2000-01-25,10.281651496887207
2000-01-26,10.19066333770752
2000-01-27,9.523414611816406
2000-01-28,8.856167793273926
2000-01-31,9.43242359161377
2000-02-01,9.493082046508789
2000-02-02,9.614404678344727
2000-02-03,9.326273918151855
2000-02-04,9.007814407348633
2000-02-07,8.90165901184082
2000-02-08,8.90165901184082
2000-02-09,8.719684600830078
2000-02-10,8.659029006958008
2000-02-11,8.514965057373047
2000-02-14,8.173758506774902
2000-02-15,8.568038940429688
2000-02-16,8.583202362060547
2000-02-17,8.082772254943848
2000-02-18,7.870467185974121
2000-02-22,7.915956974029541
2000-02-23,7.840135097503662
2000-02-24,8.583202362060547
2000-02-25,8.295073509216309
2000-02-28,8.310237884521484
2000-02-29,7.991783142089844
2000-03-01,8.082772254943848
2000-03-02,8.32540512084961
2000-03-03,8.26474666595459
2000-03-06,8.158590316772461
2000-03-07,7.90079402923584
2000-03-08,7.491345405578613
2000-03-09,7.733983039855957
2000-03-10,7.779478073120117
2000-03-13,7.461017608642578
2000-03-14,7.324536323547363
2000-03-15,8.461882591247559
2000-03-16,8.73484992980957
2000-03-17,8.82583999633789
2000-03-20,8.750014305114746
2000-03-21,8.73484992980957
2000-03-22,8.538211822509766
2000-03-23,9.299193382263184
2000-03-24,9.39051628112793
2000-03-27,8.888264656066895
2000-03-28,8.78172492980957
2000-03-29,8.903486251831055
2000-03-30,9.329632759094238
2000-03-31,9.618803977966309
2000-04-03,9.360074996948242
2000-04-04,9.040460586547852
2000-04-05,9.375293731689453
2000-04-06,9.375293731689453
2000-04-07,9.847100257873535
2000-04-10,9.80144214630127
2000-04-11,9.854711532592773
2000-04-12,9.573147773742676
2000-04-13,9.1317777633667
2000-04-14,8.370796203613281
2000-04-17,8.857824325561523
2000-04-18,9.542702674865723
2000-04-19,9.481827735900879
2000-04-20,9.694910049438477
2000-04-24,9.694910049438477
2000-04-25,9.99168872833252
2000-04-26,9.49704647064209
2000-04-27,9.116558074951172
2000-04-28,9.283980369567871
2000-05-01,9.207873344421387
2000-05-02,9.283980369567871
2000-05-03,8.522990226745605
2000-05-04,8.157720565795898
2000-05-05,8.401232719421387
2000-05-08,8.55723762512207
2000-05-09,8.477337837219238
2000-05-10,8.157720565795898
2000-05-11,8.112061500549316
2000-05-12,8.039769172668457
2000-05-15,9.283980369567871
2000-05-16,9.573147773742676
2000-05-17,9.253533363342285
2000-05-18,9.43617057800293
2000-05-19,9.116558074951172
2000-05-22,9.268755912780762
2000-05-23,9.268755912780762
2000-05-24,9.192654609680176
2000-05-25,9.116558074951172
2000-05-26,8.812166213989258
2000-05-30,9.101339340209961
2000-05-31,9.299193382263184
2000-06-01,9.360074996948242
2000-06-02,10.181934356689453
2000-06-05,10.638521194458008
2000-06-06,10.379788398742676
2000-06-07,10.59286117553711
2000-06-08,10.04495620727539
2000-06-09,10.288471221923828
2000-06-12,10.227592468261719
2000-06-13,10.486323356628418
2000-06-14,10.836377143859863
2000-06-15,10.395005226135254
2000-06-16,10.318906784057617
2000-06-19,11.688679695129395
2000-06-20,10.531980514526367
2000-06-21,10.414896965026855
2000-06-22,10.059975624084473
2000-06-23,9.922582626342773
2000-06-26,10.166831016540527
2000-06-27,10.456875801086426
2000-06-28,10.197364807128906
2000-06-29,10.182098388671875
2000-06-30,10.380550384521484
2000-07-03,10.762190818786621
2000-07-05,10.50267505645752
2000-07-06,10.33475112915039
2000-07-07,10.53320598602295
2000-07-10,10.319485664367676
2000-07-11,10.319485664367676
2000-07-12,10.86904525756836
2000-07-13,11.525464057922363
2000-07-14,11.357542037963867
2000-07-17,11.143824577331543
2000-07-18,10.73165225982666
2000-07-19,10.212630271911621
2000-07-20,11.082757949829102
2000-07-21,10.853778839111328
2000-07-24,11.052227020263672
2000-07-25,10.777454376220703
2000-07-26,10.350019454956055
2000-07-27,10.27369499206543
2000-07-28,9.861518859863281
2000-07-31,9.983640670776367
2000-08-01,10.017989158630371
2000-08-02,10.12103271484375
2000-08-03,10.086689949035645
2000-08-04,10.243157386779785
2000-08-07,10.624797821044922
2000-08-08,10.578994750976562
2000-08-09,10.624797821044922
2000-08-10,10.578994750976562
2000-08-11,10.487409591674805
2000-08-14,10.594265937805176
2000-08-15,10.380550384521484
2000-08-16,10.136302947998047
2000-08-17,10.487409591674805
2000-08-18,10.50267505645752
2000-08-21,10.441612243652344
2000-08-22,10.86904525756836
2000-08-23,10.746922492980957
2000-08-24,10.487409591674805
2000-08-25,10.53320598602295
2000-08-28,10.426351547241211
2000-08-29,10.41108512878418
2000-08-30,10.716392517089844
2000-08-31,11.052227020263672
2000-09-01,11.189629554748535
2000-09-05,11.418603897094727
2000-09-06,11.464400291442871
2000-09-07,11.372808456420898
2000-09-08,11.449141502380371
2000-09-11,11.4949312210083
2000-09-12,11.678117752075195
2000-09-13,11.846036911010742
2000-09-14,11.876569747924805
2000-09-15,11.723912239074707
2000-09-18,10.975908279418945
2000-09-19,11.647590637207031
2000-09-20,11.587587356567383
2000-09-21,11.694740295410156
2000-09-22,11.618191719055176
2000-09-25,11.618191719055176
2000-09-26,11.373283386230469
2000-09-27,11.57227897644043
2000-09-28,11.511048316955566
2000-09-29,11.495737075805664
2000-10-02,11.541665077209473
2000-10-03,11.32735824584961
2000-10-04,11.22021198272705
2000-10-05,11.480433464050293
2000-10-06,11.082439422607422
2000-10-09,10.760985374450684
2000-10-10,10.255857467651367
2000-10-11,10.148696899414062
2000-10-12,9.980327606201172
2000-10-13,10.485459327697754
2000-10-16,10.500770568847656
2000-10-17,10.026244163513184
2000-10-18,9.643566131591797
2000-10-19,10.010937690734863
2000-10-20,10.500770568847656
2000-10-23,10.301776885986328
2000-10-24,10.500770568847656
