Date,MLM
2000-01-03,29.34512710571289
2000-01-04,28.93754768371582
2000-01-05,30.43194580078125
2000-01-06,32.69624328613281
2000-01-07,34.05482864379883
2000-01-10,33.55666732788086
2000-01-11,33.23966598510742
2000-01-12,34.37181854248047
2000-01-13,35.77566909790039
2000-01-14,34.190677642822266
2000-01-18,33.828407287597656
2000-01-19,33.60196304321289
2000-01-20,32.06224060058594
2000-01-21,31.790544509887695
2000-01-24,32.51511764526367
2000-01-25,31.11126708984375
2000-01-26,31.337671279907227
2000-01-27,31.6999568939209
2000-01-28,31.88112449645996
2000-01-31,30.43194580078125
2000-02-01,30.522544860839844
2000-02-02,31.428253173828125
2000-02-03,32.152828216552734
2000-02-04,31.74524688720703
2000-02-07,31.428253173828125
2000-02-08,30.43194580078125
2000-02-09,29.707414627075195
2000-02-10,28.982812881469727
2000-02-11,28.711118698120117
2000-02-14,28.258258819580078
2000-02-15,28.62053871154785
2000-02-16,28.62053871154785
2000-02-17,28.846967697143555
2000-02-18,27.986541748046875
2000-02-22,27.941247940063477
2000-02-23,27.533676147460938
2000-02-24,26.492111206054688
2000-02-25,26.58268928527832
2000-02-28,26.722667694091797
2000-02-29,25.813732147216797
2000-03-01,26.631771087646484
2000-03-02,26.768108367919922
2000-03-03,27.222570419311523
2000-03-06,26.94989776611328
2000-03-07,26.99534797668457
2000-03-08,28.040616989135742
2000-03-09,28.13151741027832
2000-03-10,28.904109954833984
2000-03-13,28.585979461669922
2000-03-14,27.40435218811035
2000-03-15,31.040098190307617
2000-03-16,34.584957122802734
2000-03-17,33.22154235839844
2000-03-20,34.17593002319336
2000-03-21,33.44877243041992
2000-03-22,32.90339660644531
2000-03-23,33.90323257446289
2000-03-24,33.130645751953125
2000-03-27,33.085208892822266
2000-03-28,32.99430847167969
2000-03-29,32.76707458496094
2000-03-30,32.721622467041016
2000-03-31,34.539485931396484
2000-04-03,33.9941291809082
2000-04-04,32.721622467041016
2000-04-05,33.494224548339844
2000-04-06,33.22154235839844
2000-04-07,32.99430847167969
2000-04-10,33.44877243041992
2000-04-11,34.85762023925781
2000-04-12,35.221187591552734
2000-04-13,35.221187591552734
2000-04-14,34.17593002319336
2000-04-17,34.494049072265625
2000-04-18,36.4028205871582
2000-04-19,39.26595687866211
2000-04-20,38.53879165649414
2000-04-24,38.26614761352539
2000-04-25,39.44775390625
2000-04-26,38.31156539916992
2000-04-27,37.90255355834961
2000-04-28,38.53879165649414
2000-05-01,39.3113899230957
2000-05-02,38.2206916809082
2000-05-03,37.538970947265625
2000-05-04,38.084327697753906
2000-05-05,38.175228118896484
2000-05-08,38.584259033203125
2000-05-09,39.12959671020508
2000-05-10,38.7205924987793
2000-05-11,39.08414840698242
2000-05-12,38.856937408447266
2000-05-15,38.856937408447266
2000-05-16,39.12959671020508
2000-05-17,39.03872299194336
2000-05-18,37.85710144042969
2000-05-19,36.948177337646484
2000-05-22,37.993465423583984
2000-05-23,37.44807052612305
