Date,DTE
2000-01-03,8.535272598266602
2000-01-04,8.553017616271973
2000-01-05,8.819190979003906
2000-01-06,8.783702850341797
2000-01-07,8.872425079345703
2000-01-10,8.925661087036133
2000-01-11,8.925661087036133
2000-01-12,8.961148262023926
2000-01-13,8.94340705871582
2000-01-14,8.854683876037598
2000-01-18,8.748211860656738
2000-01-19,9.049874305725098
2000-01-20,9.617713928222656
2000-01-21,10.558185577392578
2000-01-24,10.664658546447754
2000-01-25,10.150054931640625
2000-01-26,10.185545921325684
2000-01-27,9.937115669250488
2000-01-28,9.440261840820312
2000-01-31,9.86613655090332
2000-02-01,9.86613655090332
2000-02-02,9.564476013183594
2000-02-03,9.724174499511719
2000-02-04,9.440261840820312
2000-02-07,9.369281768798828
2000-02-08,9.369281768798828
2000-02-09,9.191831588745117
2000-02-10,9.13860034942627
2000-02-11,9.227319717407227
2000-02-14,9.280556678771973
2000-02-15,9.369281768798828
2000-02-16,9.245064735412598
2000-02-17,9.227319717407227
2000-02-18,9.12085247039795
2000-02-22,9.032127380371094
2000-02-23,8.765957832336426
2000-02-24,8.535272598266602
2000-02-25,8.357826232910156
2000-02-28,8.446548461914062
2000-02-29,8.57076358795166
2000-03-01,8.340076446533203
2000-03-02,8.340076446533203
2000-03-03,8.375568389892578
2000-03-06,8.464293479919434
2000-03-07,8.340076446533203
2000-03-08,8.446548461914062
2000-03-09,8.588512420654297
2000-03-10,8.73046588897705
2000-03-13,8.67723274230957
2000-03-14,8.517531394958496
2000-03-15,8.925661087036133
2000-03-16,9.200594902038574
2000-03-17,8.78566837310791
2000-03-20,8.857833862304688
2000-03-21,8.677425384521484
2000-03-22,8.442900657653809
2000-03-23,8.623307228088379
2000-03-24,8.5872220993042
2000-03-27,8.5872220993042
2000-03-28,8.659387588500977
2000-03-29,8.5872220993042
2000-03-30,8.551140785217285
2000-03-31,8.424858093261719
2000-04-03,8.460939407348633
2000-04-04,8.551140785217285
2000-04-05,8.5872220993042
2000-04-06,8.551140785217285
2000-04-07,8.49701976776123
2000-04-10,8.695464134216309
2000-04-11,8.605262756347656
2000-04-12,8.605262756347656
2000-04-13,8.695464134216309
2000-04-14,8.49701976776123
2000-04-17,8.442900657653809
2000-04-18,8.74958610534668
2000-04-19,8.695464134216309
2000-04-20,8.893908500671387
2000-04-24,9.254717826843262
2000-04-25,9.507285118103027
2000-04-26,9.868090629577637
2000-04-27,9.489245414733887
2000-04-28,9.417082786560059
2000-05-01,9.254717826843262
2000-05-02,9.038228034973145
2000-05-03,8.893908500671387
2000-05-04,9.020191192626953
2000-05-05,9.074315071105957
2000-05-08,9.399039268493652
2000-05-09,9.308836936950684
2000-05-10,9.146476745605469
2000-05-11,9.308836936950684
2000-05-12,9.25922966003418
2000-05-15,9.633563995361328
2000-05-16,9.615521430969238
2000-05-17,9.45316219329834
2000-05-18,9.741808891296387
2000-05-19,9.72376823425293
2000-05-22,9.579446792602539
2000-05-23,9.471198081970215
2000-05-24,9.516304016113281
2000-05-25,9.777892112731934
2000-05-26,9.976334571838379
2000-05-30,9.868090629577637
2000-05-31,9.976334571838379
2000-06-01,10.120656967163086
2000-06-02,10.1928129196167
2000-06-05,9.813973426818848
2000-06-06,10.102615356445312
2000-06-07,10.030451774597168
2000-06-08,9.940258979797363
2000-06-09,10.1928129196167
2000-06-12,10.264981269836426
2000-06-13,10.264981269836426
2000-06-14,9.958292961120605
2000-06-15,10.102615356445312
2000-06-16,10.033770561218262
2000-06-19,9.777432441711426
2000-06-20,9.759121894836426
2000-06-21,9.740814208984375
2000-06-22,9.59433650970459
2000-06-23,9.52109432220459
2000-06-26,9.576024055480957
2000-06-27,9.356308937072754
2000-06-28,9.493631362915039
2000-06-29,9.28307056427002
2000-06-30,8.953492164611816
2000-07-03,9.17320728302002
2000-07-05,9.045042991638184
2000-07-06,9.154899597167969
2000-07-07,9.228143692016602
2000-07-10,9.264760971069336
2000-07-11,9.301382064819336
2000-07-12,9.228143692016602
2000-07-13,9.319686889648438
2000-07-14,9.28307056427002
2000-07-17,9.28307056427002
2000-07-18,9.337998390197754
2000-07-19,9.447855949401855
2000-07-20,9.52109432220459
2000-07-21,9.447855949401855
2000-07-24,9.392928123474121
2000-07-25,9.356308937072754
2000-07-26,9.29222583770752
2000-07-27,9.24644660949707
2000-07-28,9.264760971069336
2000-07-31,9.228143692016602
2000-08-01,9.502784729003906
2000-08-02,9.539402961730957
2000-08-03,9.580601692199707
2000-08-04,9.61264419555664
2000-08-07,9.891866683959961
2000-08-08,9.942218780517578
2000-08-09,9.905598640441895
