Date,VTR
2000-01-03,1.107933759689331
2000-01-04,1.107933759689331
2000-01-05,1.0906230211257935
2000-01-06,1.107933759689331
2000-01-07,1.0906230211257935
2000-01-10,1.107933759689331
2000-01-11,1.0906230211257935
2000-01-12,1.073311448097229
2000-01-13,1.0906230211257935
2000-01-14,1.107933759689331
2000-01-18,1.1252461671829224
2000-01-19,1.1252461671829224
2000-01-20,1.107933759689331
2000-01-21,1.0906230211257935
2000-01-24,1.0213770866394043
2000-01-25,0.9694429039955139
2000-01-26,0.9694429039955139
2000-01-27,0.9694429039955139
2000-01-28,0.9521312117576599
2000-01-31,1.0040655136108398
2000-02-01,1.0213770866394043
2000-02-02,1.0386884212493896
2000-02-03,1.0213770866394043
2000-02-04,0.9694429039955139
2000-02-07,1.0213770866394043
2000-02-08,0.9694429039955139
2000-02-09,0.9694429039955139
2000-02-10,0.9521312117576599
2000-02-11,0.9001965522766113
2000-02-14,0.8828853964805603
2000-02-15,0.8828853964805603
2000-02-16,0.9175078272819519
2000-02-17,0.9175078272819519
2000-02-18,0.9175078272819519
2000-02-22,0.9175078272819519
2000-02-23,0.9175078272819519
2000-02-24,0.9175078272819519
2000-02-25,0.9348196387290955
2000-02-28,0.9521312117576599
2000-02-29,0.9348196387290955
2000-03-01,0.9175078272819519
2000-03-02,0.9348196387290955
2000-03-03,0.9867538809776306
2000-03-06,0.9867538809776306
2000-03-07,0.9694429039955139
2000-03-08,0.9348196387290955
2000-03-09,0.9001965522766113
2000-03-10,0.8828853964805603
2000-03-13,0.9348196387290955
2000-03-14,0.865574061870575
2000-03-15,0.7790160775184631
2000-03-16,0.865574061870575
2000-03-17,0.8136395812034607
2000-03-20,0.8136395812034607
2000-03-21,0.9521312117576599
2000-03-22,1.0386884212493896
2000-03-23,0.9001965522766113
2000-03-24,0.9001965522766113
2000-03-27,0.8828853964805603
2000-03-28,0.865574061870575
2000-03-29,0.8828853964805603
2000-03-30,0.9175078272819519
2000-03-31,0.9175078272819519
2000-04-03,0.9175078272819519
2000-04-04,0.9521312117576599
2000-04-05,0.9348196387290955
2000-04-06,0.9521312117576599
2000-04-07,0.9867538809776306
2000-04-10,1.0213770866394043
2000-04-11,1.0386884212493896
2000-04-12,1.073311448097229
2000-04-13,1.0559996366500854
2000-04-14,0.9867538809776306
2000-04-17,1.0213770866394043
2000-04-18,1.0386884212493896
2000-04-19,1.0559996366500854
2000-04-20,1.0559996366500854
2000-04-24,1.0386884212493896
2000-04-25,1.073311448097229
2000-04-26,1.073311448097229
2000-04-27,1.073311448097229
2000-04-28,1.0906230211257935
2000-05-01,1.1425570249557495
2000-05-02,1.1425570249557495
2000-05-03,1.1425570249557495
2000-05-04,1.1425570249557495
2000-05-05,1.1252461671829224
2000-05-08,1.1252461671829224
2000-05-09,1.073311448097229
2000-05-10,1.073311448097229
2000-05-11,1.073311448097229
2000-05-12,1.073311448097229
2000-05-15,1.0906230211257935
2000-05-16,1.0559996366500854
2000-05-17,1.0386884212493896
2000-05-18,1.0386884212493896
2000-05-19,1.0040655136108398
2000-05-22,1.0559996366500854
2000-05-23,1.0386884212493896
2000-05-24,1.073311448097229
2000-05-25,1.0559996366500854
2000-05-26,1.0559996366500854
2000-05-30,1.073311448097229
2000-05-31,1.0559996366500854
2000-06-01,1.0559996366500854
2000-06-02,1.0559996366500854
2000-06-05,1.073311448097229
2000-06-06,1.0386884212493896
2000-06-07,1.0213770866394043
2000-06-08,1.0386884212493896
2000-06-09,1.0559996366500854
2000-06-12,1.0040655136108398
2000-06-13,0.9348196387290955
2000-06-14,0.865574061870575
2000-06-15,0.9348196387290955
2000-06-16,0.9694429039955139
2000-06-19,0.9694429039955139
2000-06-20,1.0386884212493896
2000-06-21,1.0559996366500854
2000-06-22,1.0386884212493896
2000-06-23,1.0213770866394043
2000-06-26,1.0213770866394043
2000-06-27,1.0213770866394043
2000-06-28,1.0040655136108398
2000-06-29,1.0559996366500854
2000-06-30,0.8872129321098328
2000-07-03,0.9867538809776306
2000-07-05,1.073311448097229
2000-07-06,1.0386884212493896
2000-07-07,1.0386884212493896
2000-07-10,1.0040655136108398
2000-07-11,1.0040655136108398
2000-07-12,1.0213770866394043
2000-07-13,1.0906230211257935
2000-07-14,1.0040655136108398
2000-07-17,1.0386884212493896
2000-07-18,1.107933759689331
2000-07-19,1.107933759689331
2000-07-20,1.1598693132400513
2000-07-21,1.1598693132400513
2000-07-24,1.1771798133850098
2000-07-25,1.1598693132400513
2000-07-26,1.2291145324707031
2000-07-27,1.1598693132400513
2000-07-28,1.1771798133850098
2000-07-31,1.2637377977371216
2000-08-01,1.471475601196289
2000-08-02,1.471475601196289
2000-08-03,1.4541637897491455
2000-08-04,1.350295066833496
2000-08-07,1.2983602285385132
2000-08-08,1.4195411205291748
2000-08-09,1.4195411205291748
2000-08-10,1.4195411205291748
2000-08-11,1.384917974472046
2000-08-14,1.3676066398620605
2000-08-15,1.3676066398620605
2000-08-16,1.3676066398620605
2000-08-17,1.3676066398620605
2000-08-18,1.3676066398620605
2000-08-21,1.350295066833496
2000-08-22,1.350295066833496
2000-08-23,1.350295066833496
2000-08-24,1.350295066833496
2000-08-25,1.3329837322235107
2000-08-28,1.281049370765686
2000-08-29,1.2464263439178467
2000-08-30,1.3676066398620605
2000-08-31,1.3676066398620605
2000-09-01,1.3329837322235107
2000-09-05,1.384917974472046
2000-09-06,1.384917974472046
2000-09-07,1.4541637897491455
2000-09-08,1.5060986280441284
2000-09-11,1.5753438472747803
2000-09-12,1.5753438472747803
2000-09-13,1.5580321550369263
2000-09-14,1.5370210409164429
2000-09-15,1.5370210409164429
2000-09-18,1.556476354598999
2000-09-19,1.5759317874908447
2000-09-20,1.6148442029953003
2000-09-21,1.556476354598999
2000-09-22,1.556476354598999
2000-09-25,1.556476354598999
2000-09-26,1.4981082677841187
2000-09-27,1.4981082677841187
2000-09-28,1.5759317874908447
2000-09-29,1.556476354598999
2000-10-02,1.556476354598999
2000-10-03,1.5175639390945435
2000-10-04,1.5175639390945435
2000-10-05,1.5175639390945435
2000-10-06,1.5175639390945435
2000-10-09,1.5175639390945435
2000-10-10,1.4786525964736938
2000-10-11,1.4786525964736938
2000-10-12,1.4981082677841187
2000-10-13,1.5759317874908447
2000-10-16,1.556476354598999
2000-10-17,1.5370210409164429
2000-10-18,1.556476354598999
2000-10-19,1.5370210409164429
2000-10-20,1.595388412475586
2000-10-23,1.595388412475586
2000-10-24,1.5759317874908447
2000-10-25,1.556476354598999
2000-10-26,1.5175639390945435
2000-10-27,1.556476354598999
2000-10-30,1.556476354598999
2000-10-31,1.556476354598999
2000-11-01,1.5175639390945435
2000-11-02,1.4591965675354004
2000-11-03,1.4591965675354004
2000-11-06,1.4202845096588135
2000-11-07,1.5175639390945435
2000-11-08,1.5759317874908447
2000-11-09,1.5759317874908447
2000-11-10,1.556476354598999
2000-11-13,1.439740538597107
2000-11-14,1.439740538597107
2000-11-15,1.4786525964736938
2000-11-16,1.439740538597107
2000-11-17,1.4591965675354004
2000-11-20,1.439740538597107
2000-11-21,1.439740538597107
2000-11-22,1.439740538597107
2000-11-24,1.4202845096588135
2000-11-27,1.4008293151855469
2000-11-28,1.4008293151855469
2000-11-29,1.4008293151855469
2000-11-30,1.4008293151855469
2000-12-01,1.4008293151855469
2000-12-04,1.4981082677841187
2000-12-05,1.556476354598999
2000-12-06,1.6343002319335938
2000-12-07,1.595388412475586
2000-12-08,1.6343002319335938
2000-12-11,1.7704919576644897
2000-12-12,1.7121243476867676
2000-12-13,1.673211693763733
2000-12-14,1.7121243476867676
2000-12-15,1.6537559032440186
2000-12-18,1.6537559032440186
2000-12-19,1.6537559032440186
2000-12-20,1.673211693763733
2000-12-21,1.6537559032440186
2000-12-22,1.6926681995391846
2000-12-26,1.6343002319335938
2000-12-27,1.750447392463684
2000-12-28,1.750447392463684
2000-12-29,1.8534148931503296
2001-01-02,1.9357901811599731
2001-01-03,2.1829099655151367
2001-01-04,2.079943895339966
2001-01-05,2.1623170375823975
2001-01-08,2.141724109649658
2001-01-09,2.141724109649658
2001-01-10,2.1623170375823975
2001-01-11,2.2240967750549316
2001-01-12,2.24469256401062
2001-01-16,2.265284776687622
2001-01-17,2.24469256401062
2001-01-18,2.2240967750549316
2001-01-19,2.203505039215088
2001-01-22,2.2240967750549316
2001-01-23,2.347658395767212
2001-01-24,2.347658395767212
2001-01-25,2.347658395767212
2001-01-26,2.3270652294158936
2001-01-29,2.346012592315674
2001-01-30,2.362485408782959
2001-01-31,2.339421033859253
2001-02-01,2.306472063064575
2001-02-02,2.309767007827759
2001-02-05,2.3361270427703857
2001-02-06,2.3987317085266113
2001-02-07,2.4086155891418457
2001-02-08,2.5535941123962402
2001-02-09,2.5535941123962402
2001-02-12,2.5601837635040283
2001-02-13,2.5733630657196045
2001-02-14,2.579953193664551
2001-02-15,2.6524434089660645
2001-02-16,2.6952757835388184
2001-02-20,2.685391902923584
2001-02-21,2.6524434089660645
2001-02-22,2.662327289581299
2001-02-23,2.701866865158081
2001-02-26,2.7512917518615723
2001-02-27,2.7512917518615723
2001-02-28,2.777651786804199
2001-03-01,2.7710607051849365
2001-03-02,2.7611758708953857
2001-03-05,2.813896417617798
2001-03-06,2.800715923309326
2001-03-07,2.7677669525146484
2001-03-08,2.800715923309326
2001-03-09,2.7842397689819336
2001-03-12,2.774355888366699
2001-03-13,2.777651786804199
2001-03-14,2.754586696624756
2001-03-15,2.780946731567383
2001-03-16,2.754586696624756
2001-03-19,2.774355888366699
2001-03-20,2.7512917518615723
2001-03-21,2.7479968070983887
2001-03-22,2.7677669525146484
2001-03-23,2.7677669525146484
2001-03-26,2.7677669525146484
2001-03-27,2.7842397689819336
2001-03-28,2.7611758708953857
2001-03-29,2.754586696624756
2001-03-30,2.800715923309326
2001-04-02,2.853433847427368
2001-04-03,2.863320827484131
2001-04-04,2.8995635509490967
2001-04-05,2.8995635509490967
2001-04-06,2.866614580154419
2001-04-09,2.886385440826416
2001-04-10,2.9028584957122803
2001-04-11,2.925924062728882
2001-04-12,2.948989152908325
2001-04-16,2.932514190673828
2001-04-17,2.939105272293091
2001-04-18,2.925924062728882
2001-04-19,2.9423987865448
2001-04-20,2.948989152908325
2001-04-23,2.998412847518921
2001-04-24,3.0313637256622314
2001-04-25,3.0313637256622314
2001-04-26,3.008298635482788
2001-04-27,2.991823434829712
2001-04-30,2.9816930294036865
2001-05-01,3.0390985012054443
2001-05-02,2.991823434829712
2001-05-03,2.991823434829712
2001-05-04,3.0053298473358154
2001-05-07,3.0053298473358154
2001-05-08,3.001953125
2001-05-09,3.0087077617645264
2001-05-10,2.9884471893310547
2001-05-11,3.012085199356079
2001-05-14,3.015460252761841
2001-05-15,3.0188381671905518
2001-05-16,3.012085199356079
2001-05-17,3.0188381671905518
2001-05-18,3.0829975605010986
2001-05-21,3.106633186340332
2001-05-22,3.0390985012054443
2001-05-23,3.0390985012054443
2001-05-24,3.0728652477264404
2001-05-25,3.045850992202759
2001-05-29,3.0492305755615234
2001-05-30,3.042475938796997
2001-05-31,3.1235179901123047
2001-06-01,3.1404011249542236
2001-06-04,3.197808027267456
2001-06-05,3.221444845199585
2001-06-06,3.1741671562194824
2001-06-07,3.2585880756378174
2001-06-08,3.224821090698242
2001-06-11,3.218068838119507
2001-06-12,3.275472640991211
2001-06-13,3.2619643211364746
2001-06-14,3.2417032718658447
2001-06-15,3.248457431793213
2001-06-18,3.2417032718658447
2001-06-19,3.2585880756378174
2001-06-20,3.343008518218994
2001-06-21,3.3936591148376465
2001-06-22,3.397036075592041
2001-06-25,3.410543441772461
2001-06-26,3.562498092651367
2001-06-27,3.6232810020446777
2001-06-28,3.68068528175354
2001-06-29,3.69756817817688
2001-07-02,3.68068528175354
2001-07-03,3.663801431655884
2001-07-05,3.7077012062072754
2001-07-06,3.68068528175354
2001-07-09,3.694192409515381
2001-07-10,3.542238712310791
2001-07-11,3.5215437412261963
2001-07-12,3.5456855297088623
2001-07-13,3.593973159790039
2001-07-16,3.6215686798095703
2001-07-17,3.6491611003875732
2001-07-18,3.673304557800293
2001-07-19,3.735386371612549
2001-07-20,3.7388343811035156
2001-07-23,3.7422850131988525
