Date,AVY
2000-01-03,37.89312744140625
2000-01-04,37.39542007446289
2000-01-05,38.623111724853516
2000-01-06,39.98356246948242
2000-01-07,40.116294860839844
2000-01-10,41.41035461425781
2000-01-11,41.1781005859375
2000-01-12,40.81308364868164
2000-01-13,40.48127746582031
2000-01-14,40.61399841308594
2000-01-18,39.784454345703125
2000-01-19,36.466346740722656
2000-01-20,35.30498504638672
2000-01-21,36.89768981933594
2000-01-24,35.73633575439453
2000-01-25,36.23406982421875
2000-01-26,36.56586837768555
2000-01-27,36.33360290527344
2000-01-28,35.30498504638672
2000-01-31,35.96860122680664
2000-02-01,35.603633880615234
2000-02-02,35.371368408203125
2000-02-03,35.07270431518555
2000-02-04,35.636802673339844
2000-02-07,34.93997573852539
2000-02-08,34.90681457519531
2000-02-09,34.30954360961914
2000-02-10,34.50864028930664
2000-02-11,33.679100036621094
2000-02-14,34.873619079589844
2000-02-15,35.83587646484375
2000-02-16,34.873619079589844
2000-02-17,35.53725051879883
2000-02-18,33.57955551147461
2000-02-22,34.34272766113281
2000-02-23,34.24317932128906
2000-02-24,32.849571228027344
2000-02-25,32.25229263305664
2000-02-28,31.962997436523438
2000-02-29,32.36293411254883
2000-03-01,31.296398162841797
2000-03-02,32.06299591064453
2000-03-03,33.796119689941406
2000-03-06,31.16310691833496
2000-03-07,29.496593475341797
2000-03-08,30.596500396728516
2000-03-09,31.829669952392578
2000-03-10,32.26295471191406
2000-03-13,31.429723739624023
2000-03-14,30.963109970092773
2000-03-15,33.496158599853516
2000-03-16,36.09585952758789
2000-03-17,33.762786865234375
2000-03-20,34.129425048828125
2000-03-21,34.129425048828125
2000-03-22,33.12952423095703
2000-03-23,34.429386138916016
2000-03-24,32.329627990722656
2000-03-27,31.16310691833496
2000-03-28,30.629819869995117
2000-03-29,31.429723739624023
2000-03-30,32.49627685546875
2000-03-31,32.56292724609375
2000-04-03,31.696353912353516
2000-04-04,31.663036346435547
2000-04-05,31.129749298095703
2000-04-06,30.996444702148438
2000-04-07,30.796449661254883
2000-04-10,31.86300277709961
2000-04-11,33.996089935302734
2000-04-12,35.295963287353516
2000-04-13,35.92921829223633
2000-04-14,32.62958526611328
2000-04-17,33.26286697387695
2000-04-18,33.062870025634766
2000-04-19,32.329627990722656
2000-04-20,33.39616775512695
2000-04-24,32.16297912597656
2000-04-25,33.8294563293457
2000-04-26,34.49604797363281
2000-04-27,34.762657165527344
2000-04-28,34.995994567871094
2000-05-01,35.029319763183594
2000-05-02,35.06263732910156
2000-05-03,35.029319763183594
2000-05-04,35.6959114074707
2000-05-05,35.862545013427734
2000-05-08,35.295963287353516
2000-05-09,34.995994567871094
2000-05-10,35.26262664794922
2000-05-11,35.92921829223633
2000-05-12,34.89600372314453
2000-05-15,35.46259689331055
2000-05-16,35.52926254272461
2000-05-17,35.46259689331055
2000-05-18,34.62934875488281
2000-05-19,34.09608840942383
2000-05-22,33.562801361083984
2000-05-23,33.36283874511719
2000-05-24,34.49604797363281
2000-05-25,32.82955551147461
2000-05-26,33.429508209228516
2000-05-30,33.96276092529297
2000-05-31,32.66291427612305
2000-06-01,33.496158599853516
2000-06-02,33.96276092529297
2000-06-05,34.1743049621582
2000-06-06,33.839603424072266
2000-06-07,34.040428161621094
2000-06-08,33.60529708862305
2000-06-09,33.839603424072266
2000-06-12,33.739173889160156
2000-06-13,33.80612564086914
2000-06-14,34.910667419433594
2000-06-15,34.60942077636719
2000-06-16,35.81440734863281
2000-06-19,36.149105072021484
2000-06-20,35.37928009033203
2000-06-21,35.513160705566406
2000-06-22,35.178466796875
2000-06-23,35.58011245727539
2000-06-26,35.680538177490234
2000-06-27,37.320613861083984
2000-06-28,36.34996795654297
2000-06-29,35.84787368774414
2000-06-30,35.94829559326172
2000-07-03,37.01937484741211
2000-07-05,36.61771011352539
2000-07-06,35.84787368774414
2000-07-07,34.810264587402344
2000-07-10,34.50901794433594
2000-07-11,34.810264587402344
2000-07-12,34.77680206298828
2000-07-13,36.216060638427734
2000-07-14,35.144989013671875
2000-07-17,34.19104766845703
2000-07-18,34.1743049621582
2000-07-19,34.54249954223633
2000-07-20,34.57597351074219
2000-07-21,34.977638244628906
2000-07-24,34.60942077636719
2000-07-25,33.17015838623047
2000-07-26,28.417240142822266
2000-07-27,28.885839462280273
2000-07-28,29.823013305664062
2000-07-31,29.053186416625977
2000-08-01,28.952760696411133
2000-08-02,29.722612380981445
2000-08-03,28.81888198852539
2000-08-04,29.01970863342285
2000-08-07,30.325103759765625
2000-08-08,30.65981674194336
2000-08-09,30.492446899414062
2000-08-10,30.525928497314453
2000-08-11,31.42963981628418
2000-08-14,31.42963981628418
2000-08-15,31.027990341186523
2000-08-16,30.961048126220703
2000-08-17,31.262290954589844
2000-08-18,30.458980560302734
2000-08-21,29.68914031982422
2000-08-22,29.722612380981445
2000-08-23,29.488306045532227
2000-08-24,29.65566635131836
2000-08-25,29.65566635131836
2000-08-28,29.588735580444336
2000-08-29,29.32096290588379
2000-08-30,29.086652755737305
2000-08-31,28.952760696411133
2000-09-01,28.45894432067871
2000-09-05,28.627138137817383
2000-09-06,27.92071533203125
2000-09-07,26.810604095458984
2000-09-08,26.104185104370117
2000-09-11,25.498668670654297
2000-09-12,25.700511932373047
2000-09-13,25.498668670654297
2000-09-14,24.72495460510254
2000-09-15,24.11945343017578
2000-09-18,23.51394271850586
2000-09-19,23.34575843811035
2000-09-20,23.6821346282959
2000-09-21,23.850343704223633
2000-09-22,23.917606353759766
2000-09-25,23.951261520385742
2000-09-26,24.08580780029297
2000-09-27,24.018537521362305
2000-09-28,24.758604049682617
2000-09-29,24.960453033447266
2000-10-02,25.09499168395996
2000-10-03,25.39775848388672
2000-10-04,25.364120483398438
2000-10-05,24.691333770751953
2000-10-06,25.128629684448242
2000-10-09,26.23874855041504
2000-10-10,25.26320457458496
2000-10-11,24.893165588378906
2000-10-12,23.98489761352539
2000-10-13,23.88397979736328
2000-10-16,24.590412139892578
2000-10-17,23.31212615966797
2000-10-18,24.657690048217773
2000-10-19,25.229564666748047
2000-10-20,24.254013061523438
2000-10-23,23.581226348876953
2000-10-24,23.581226348876953
2000-10-25,24.82589340209961
2000-10-26,25.498668670654297
2000-10-27,25.969629287719727
2000-10-30,27.247915267944336
2000-10-31,27.18062973022461
2000-11-01,27.113374710083008
2000-11-02,27.214282989501953
2000-11-03,27.281566619873047
2000-11-06,27.281566619873047
2000-11-07,27.382476806640625
2000-11-08,27.718883514404297
2000-11-09,27.214282989501953
2000-11-10,26.911544799804688
2000-11-13,27.65159797668457
2000-11-14,28.18984031677246
2000-11-15,28.257108688354492
2000-11-16,27.819795608520508
2000-11-17,28.929893493652344
2000-11-20,29.602676391601562
2000-11-21,29.871793746948242
2000-11-22,30.275476455688477
2000-11-24,30.78006362915039
2000-11-27,30.477291107177734
2000-11-28,29.90543556213379
2000-11-29,29.636322021484375
2000-11-30,29.602676391601562
2000-12-01,30.37639045715332
2000-12-04,30.53870964050293
2000-12-05,30.03142738342285
2000-12-06,30.06524658203125
2000-12-07,28.780122756958008
2000-12-08,28.50957489013672
2000-12-11,27.867008209228516
2000-12-12,28.171371459960938
2000-12-13,27.867008209228516
2000-12-14,27.12299346923828
2000-12-15,26.818622589111328
2000-12-18,26.71714973449707
2000-12-19,27.156787872314453
2000-12-20,26.750972747802734
2000-12-21,27.5288143157959
2000-12-22,27.596450805664062
2000-12-26,28.50957489013672
2000-12-27,28.949216842651367
2000-12-28,29.524145126342773
2000-12-29,29.6932373046875
2001-01-02,29.422691345214844
2001-01-03,30.43724250793457
2001-01-04,30.335796356201172
2001-01-05,28.408119201660156
2001-01-08,29.62561798095703
2001-01-09,28.678651809692383
2001-01-10,29.219770431518555
2001-01-11,28.441930770874023
2001-01-12,29.050676345825195
2001-01-16,29.422691345214844
2001-01-17,28.81394386291504
2001-01-18,27.799352645874023
2001-01-19,27.325897216796875
2001-01-22,27.5288143157959
2001-01-23,27.73174285888672
2001-01-24,27.5288143157959
2001-01-25,27.934640884399414
2001-01-26,27.596450805664062
2001-01-29,28.142980575561523
2001-01-30,28.716524124145508
2001-01-31,29.338809967041016
2001-02-01,29.171077728271484
2001-02-02,29.00874137878418
2001-02-05,28.873470306396484
2001-02-06,29.062849044799805
2001-02-07,28.987096786499023
2001-02-08,29.046611785888672
2001-02-09,28.489276885986328
2001-02-12,28.824764251708984
2001-02-13,29.56608772277832
2001-02-14,28.938400268554688
2001-02-15,29.869102478027344
2001-02-16,29.144010543823242
2001-02-20,29.268484115600586
2001-02-21,28.992507934570312
2001-02-22,28.299896240234375
2001-02-23,28.191673278808594
2001-02-26,29.18189239501953
2001-02-27,28.949216842651367
2001-02-28,28.678651809692383
2001-03-01,28.629968643188477
2001-03-02,29.19270896911621
2001-03-05,29.38315773010254
2001-03-06,29.37226676940918
2001-03-07,29.5736083984375
2001-03-08,29.927291870117188
2001-03-09,30.199363708496094
2001-03-12,30.008899688720703
2001-03-13,28.991390228271484
2001-03-14,28.354751586914062
2001-03-15,28.632266998291016
2001-03-16,28.561527252197266
2001-03-19,28.8553524017334
2001-03-20,28.7791690826416
2001-03-21,28.566974639892578
2001-03-22,27.924882888793945
2001-03-23,28.30035400390625
2001-03-26,28.126218795776367
2001-03-27,28.289464950561523
2001-03-28,28.289464950561523
2001-03-29,28.267690658569336
2001-03-30,28.305776596069336
2001-04-02,28.05547523498535
2001-04-03,27.41884994506836
2001-04-04,28.21326446533203
2001-04-05,28.83901596069336
2001-04-06,28.104448318481445
2001-04-09,28.81726837158203
2001-04-10,29.93816566467285
2001-04-11,29.38315773010254
2001-04-12,29.693321228027344
2001-04-16,29.29609489440918
2001-04-17,29.976261138916016
2001-04-18,30.988357543945312
2001-04-19,30.411563873291016
2001-04-20,29.927291870117188
2001-04-23,30.008899688720703
2001-04-24,30.06332015991211
2001-04-25,29.655235290527344
2001-04-26,31.151582717895508
2001-04-27,30.55303382873535
2001-04-30,30.509502410888672
2001-05-01,30.44967269897461
2001-05-02,31.069974899291992
2001-05-03,30.44967269897461
2001-05-04,31.06454849243164
2001-05-07,30.32451820373535
2001-05-08,30.79790496826172
2001-05-09,30.748918533325195
2001-05-10,31.01011848449707
2001-05-11,30.226573944091797
2001-05-14,30.417007446289062
2001-05-15,30.640113830566406
2001-05-16,32.07117462158203
2001-05-17,32.5609016418457
2001-05-18,32.23986053466797
2001-05-21,32.77855682373047
2001-05-22,32.446624755859375
2001-05-23,32.04397201538086
2001-05-24,31.59235382080078
2001-05-25,31.423660278320312
2001-05-29,31.015562057495117
2001-05-30,31.124372482299805
2001-05-31,31.820884704589844
2001-06-01,31.668500900268555
2001-06-04,31.83258819580078
2001-06-05,31.395044326782227
2001-06-06,31.137977600097656
2001-06-07,31.04498863220215
2001-06-08,31.06687355041504
2001-06-11,30.766036987304688
2001-06-12,30.388648986816406
2001-06-13,30.623838424682617
2001-06-14,30.20269012451172
2001-06-15,30.038597106933594
2001-06-18,29.59010124206543
2001-06-19,29.535402297973633
2001-06-20,29.929208755493164
2001-06-21,26.73501968383789
2001-06-22,27.62654685974121
2001-06-25,27.539026260375977
2001-06-26,28.085987091064453
2001-06-27,28.255538940429688
2001-06-28,28.058645248413086
2001-06-29,27.921892166137695
2001-07-02,28.304771423339844
2001-07-03,28.020347595214844
2001-07-05,28.058645248413086
2001-07-06,27.238210678100586
2001-07-09,27.51715087890625
2001-07-10,27.396839141845703
2001-07-11,27.632017135620117
2001-07-12,27.56636619567871
2001-07-13,27.73045539855957
2001-07-16,27.582794189453125
2001-07-17,27.921892166137695
2001-07-18,27.812496185302734
2001-07-19,28.195375442504883
2001-07-20,27.741409301757812
2001-07-23,27.265552520751953
2001-07-24,26.66391372680664
2001-07-25,28.031301498413086
2001-07-26,27.95471954345703
2001-07-27,27.93284034729004
2001-07-30,27.774213790893555
2001-07-31,28.036739349365234
2001-08-01,27.921892166137695
2001-08-02,28.042221069335938
2001-08-03,28.058645248413086
2001-08-06,27.790626525878906
2001-08-07,27.71953010559082
2001-08-08,27.309310913085938
2001-08-09,26.992074966430664
2001-08-10,27.221792221069336
2001-08-13,27.046768188476562
2001-08-14,27.287418365478516
2001-08-15,27.303834915161133
2001-08-16,27.467924118041992
2001-08-17,27.621070861816406
2001-08-20,28.157093048095703
2001-08-21,28.304771423339844
2001-08-22,28.173492431640625
2001-08-23,27.960186004638672
2001-08-24,28.5727596282959
2001-08-27,28.567298889160156
2001-08-28,28.35399627685547
2001-08-29,28.51261329650879
2001-08-30,27.916423797607422
2001-08-31,28.285053253173828
2001-09-04,28.17502212524414
2001-09-05,28.356565475463867
2001-09-06,27.718366622924805
2001-09-07,27.509279251098633
2001-09-10,27.38825225830078
2001-09-17,25.693683624267578
2001-09-18,25.869735717773438
2001-09-19,25.341571807861328
2001-09-20,24.725341796875
2001-09-21,24.422746658325195
2001-09-24,25.363563537597656
2001-09-25,25.968765258789062
2001-09-26,25.12698745727539
2001-09-27,24.923410415649414
2001-09-28,26.029296875
2001-10-01,25.996274948120117
2001-10-02,26.562965393066406
2001-10-03,27.11865997314453
2001-10-04,27.124162673950195
2001-10-05,27.272705078125
2001-10-08,26.82706642150879
2001-10-09,26.832561492919922
2001-10-10,27.278202056884766
2001-10-11,27.817398071289062
2001-10-12,27.586292266845703
2001-10-15,27.509279251098633
2001-10-16,27.410249710083008
2001-10-17,27.52580451965332
2001-10-18,26.722530364990234
2001-10-19,26.23284339904785
2001-10-22,26.783042907714844
2001-10-23,26.772043228149414
2001-10-24,27.2672119140625
2001-10-25,26.84907341003418
2001-10-26,26.595985412597656
2001-10-29,26.106307983398438
2001-10-30,25.908241271972656
2001-10-31,25.473613739013672
2001-11-01,26.33188819885254
2001-11-02,26.871068954467773
2001-11-05,27.371755599975586
2001-11-06,28.1199951171875
2001-11-07,28.16400146484375
2001-11-08,28.439098358154297
2001-11-09,28.389591217041016
2001-11-12,28.064979553222656
2001-11-13,28.917768478393555
2001-11-14,29.357921600341797
2001-11-15,29.88608741760254
2001-11-16,29.732027053833008
2001-11-19,29.98514175415039
2001-11-20,29.76505470275879
2001-11-21,29.214853286743164
2001-11-23,29.445941925048828
2001-11-26,29.352407455444336
2001-11-27,29.36341094970703
2001-11-28,29.209362030029297
2001-11-29,29.396434783935547
2001-11-30,29.69902992248535
2001-12-03,30.03669548034668
2001-12-04,30.258129119873047
2001-12-05,30.950105667114258
2001-12-06,30.833847045898438
2001-12-07,30.169570922851562
2001-12-10,29.854026794433594
2001-12-11,30.274751663208008
2001-12-12,30.103130340576172
2001-12-13,30.00348472595215
2001-12-14,29.748851776123047
2001-12-17,30.462955474853516
2001-12-18,31.44831085205078
2001-12-19,31.27669906616211
2001-12-20,30.972257614135742
2001-12-21,30.889211654663086
2001-12-24,30.972257614135742
2001-12-26,30.87813949584961
2001-12-27,30.961166381835938
2001-12-28,31.110633850097656
2001-12-31,31.293315887451172
2002-01-02,31.459375381469727
2002-01-03,31.88008689880371
2002-01-04,32.07384490966797
2002-01-07,32.118133544921875
2002-01-08,31.84134292602539
2002-01-09,31.597763061523438
2002-01-10,31.60331916809082
2002-01-11,31.182592391967773
2002-01-14,30.800613403320312
2002-01-15,30.501708984375
2002-01-16,29.903854370117188
2002-01-17,30.169570922851562
2002-01-18,29.854026794433594
2002-01-22,29.687963485717773
2002-01-23,30.617948532104492
2002-01-24,31.69742774963379
2002-01-25,31.968664169311523
2002-01-28,32.206703186035156
2002-01-29,32.190093994140625
2002-01-30,32.74366760253906
2002-01-31,32.93741989135742
2002-02-01,32.57206726074219
2002-02-04,31.83027458190918
2002-02-05,32.234378814697266
2002-02-06,32.25651168823242
2002-02-07,32.489017486572266
2002-02-08,33.269561767578125
2002-02-11,33.07581329345703
2002-02-12,33.5352668762207
2002-02-13,33.89508056640625
2002-02-14,34.16633605957031
2002-02-15,34.575984954833984
2002-02-19,33.2806396484375
2002-02-20,33.49098587036133
2002-02-21,33.529727935791016
2002-02-22,34.05561447143555
2002-02-25,34.93580627441406
2002-02-26,34.858314514160156
2002-02-27,34.836158752441406
2002-02-28,35.42847442626953
2002-03-01,34.98007583618164
2002-03-04,35.45864486694336
2002-03-05,35.030174255371094
2002-03-06,35.0579948425293
2002-03-07,35.05242156982422
2002-03-08,34.97453308105469
2002-03-11,34.779754638671875
2002-03-12,34.07303237915039
2002-03-13,32.776432037353516
2002-03-14,32.82096481323242
2002-03-15,33.861572265625
2002-03-18,34.323448181152344
2002-03-19,34.423614501953125
2002-03-20,34.43474578857422
2002-03-21,33.6612434387207
2002-03-22,33.97843933105469
2002-03-25,33.8893928527832
2002-03-26,34.05075454711914
2002-03-27,34.30118179321289
2002-03-28,33.96171951293945
2002-04-01,33.72800064086914
2002-04-02,33.68906784057617
2002-04-03,33.64454650878906
2002-04-04,33.18821716308594
2002-04-05,34.28449630737305
2002-04-08,34.46812057495117
2002-04-09,34.79087448120117
2002-04-10,35.97063064575195
2002-04-11,35.67567443847656
2002-04-12,35.94279861450195
2002-04-15,35.97063064575195
2002-04-16,36.18206024169922
2002-04-17,35.781410217285156
2002-04-18,35.53098678588867
2002-04-19,35.83705520629883
2002-04-22,34.640628814697266
2002-04-23,35.642303466796875
2002-04-24,35.926090240478516
2002-04-25,35.59779357910156
2002-04-26,35.842628479003906
2002-04-29,35.61445236206055
2002-04-30,35.642303466796875
2002-05-01,36.43247985839844
2002-05-02,37.25050354003906
2002-05-03,37.34511947631836
2002-05-06,36.961143493652344
2002-05-07,37.356239318847656
2002-05-08,37.33397674560547
2002-05-09,37.48421859741211
2002-05-10,37.28388214111328
2002-05-13,37.795867919921875
2002-05-14,38.66952896118164
2002-05-15,38.25774002075195
2002-05-16,37.82367706298828
2002-05-17,38.15756607055664
2002-05-20,37.4285774230957
2002-05-21,37.17259216308594
2002-05-22,37.51204299926758
2002-05-23,38.44694900512695
2002-05-24,38.168697357177734
2002-05-28,37.72907638549805
2002-05-29,36.9833984375
2002-05-30,35.64785385131836
2002-05-31,36.37683868408203
2002-06-03,35.7392463684082
2002-06-04,35.46519088745117
2002-06-05,35.56025695800781
2002-06-06,34.704524993896484
2002-06-07,34.77165985107422
2002-06-10,34.77165985107422
2002-06-11,34.71011734008789
2002-06-12,35.655357360839844
2002-06-13,35.58822250366211
2002-06-14,35.45960235595703
2002-06-17,36.22023391723633
2002-06-18,36.33769989013672
2002-06-19,36.21465301513672
2002-06-20,36.44954299926758
2002-06-21,35.66094207763672
2002-06-24,36.35445785522461
2002-06-25,36.32648849487305
2002-06-26,35.532291412353516
2002-06-27,35.20231628417969
2002-06-28,35.096046447753906
2002-07-01,35.01774597167969
2002-07-02,34.044578552246094
2002-07-03,34.134037017822266
2002-07-05,35.096046447753906
2002-07-08,34.413700103759766
2002-07-09,33.61390686035156
2002-07-10,32.94833755493164
2002-07-11,32.15971374511719
2002-07-12,32.87562561035156
2002-07-15,32.937137603759766
2002-07-16,32.60157012939453
2002-07-17,32.70783233642578
2002-07-18,32.204471588134766
2002-07-19,30.09031105041504
2002-07-22,29.564579010009766
2002-07-23,30.146244049072266
2002-07-24,31.936006546020508
2002-07-25,31.14739990234375
2002-07-26,31.119409561157227
2002-07-29,34.35777282714844
2002-07-30,34.447261810302734
2002-07-31,34.79403305053711
2002-08-01,33.8935546875
2002-08-02,32.819698333740234
2002-08-05,31.852102279663086
2002-08-06,32.864444732666016
2002-08-07,33.52440643310547
2002-08-08,35.056888580322266
2002-08-09,35.1463737487793
2002-08-12,35.09046173095703
2002-08-13,34.95061492919922
2002-08-14,35.39805603027344
2002-08-15,35.81755828857422
2002-08-16,35.6441535949707
2002-08-19,36.48310470581055
2002-08-20,36.06363296508789
2002-08-21,35.85111999511719
2002-08-22,36.36007308959961
2002-08-23,35.6106071472168
2002-08-26,35.99090576171875
2002-08-27,36.158721923828125
2002-08-28,35.303001403808594
2002-08-29,35.07926559448242
2002-08-30,35.489707946777344
2002-09-03,34.6631965637207
2002-09-04,35.37164306640625
2002-09-05,34.01660919189453
2002-09-06,34.8599853515625
2002-09-09,34.64069366455078
2002-09-10,34.888099670410156
2002-09-11,34.79814147949219
2002-09-12,34.14030075073242
2002-09-13,33.7354850769043
2002-09-16,33.68486022949219
2002-09-17,33.33063507080078
2002-09-18,33.1001091003418
2002-09-19,31.83502769470215
2002-09-20,32.442283630371094
2002-09-23,31.964365005493164
2002-09-24,30.772377014160156
2002-09-25,32.18927001953125
2002-09-26,33.4543342590332
2002-09-27,33.246315002441406
2002-09-30,32.03744888305664
2002-10-01,34.08970642089844
2002-10-02,33.032657623291016
2002-10-03,32.976417541503906
2002-10-04,32.35793685913086
2002-10-07,31.790061950683594
2002-10-08,32.40855026245117
2002-10-09,31.04226303100586
2002-10-10,32.678436279296875
2002-10-11,33.56678771972656
2002-10-14,33.95475387573242
2002-10-15,34.91620635986328
2002-10-16,34.500144958496094
2002-10-17,34.79814147949219
2002-10-18,34.62384033203125
2002-10-21,34.80376052856445
2002-10-22,34.65757369995117
2002-10-23,35.017417907714844
2002-10-24,35.163597106933594
2002-10-25,36.52425765991211
2002-10-28,36.215023040771484
2002-10-29,35.186100006103516
2002-10-30,35.35477066040039
2002-10-31,34.99490737915039
2002-11-01,36.08570861816406
2002-11-04,35.585304260253906
2002-11-05,35.71460723876953
2002-11-06,35.78771209716797
2002-11-07,34.989295959472656
2002-11-08,34.500144958496094
2002-11-11,33.572418212890625
2002-11-12,33.93226623535156
2002-11-13,33.48244857788086
2002-11-14,34.73628234863281
2002-11-15,35.93389892578125
2002-11-18,35.36602783203125
2002-11-19,35.36038589477539
2002-11-20,35.349151611328125
2002-11-21,36.93471145629883
2002-11-22,36.37246322631836
2002-11-25,36.647972106933594
2002-11-26,35.68088912963867
2002-11-27,36.529903411865234
2002-11-29,36.23189163208008
2002-12-02,35.96614456176758
2002-12-03,35.47987747192383
2002-12-04,35.53642272949219
2002-12-05,35.4403076171875
2002-12-06,35.27634811401367
2002-12-09,34.12287139892578
2002-12-10,34.71657943725586
2002-12-11,35.07843780517578
2002-12-12,34.349063873291016
2002-12-13,33.7384033203125
2002-12-16,34.91447830200195
2002-12-17,34.32078170776367
2002-12-18,33.8062629699707
2002-12-19,33.53484344482422
2002-12-20,34.06633758544922
2002-12-23,34.14550018310547
2002-12-24,34.0946159362793
2002-12-26,34.30948257446289
2002-12-27,33.38784408569336
2002-12-30,34.29252624511719
2002-12-31,34.5356559753418
2003-01-02,35.55339813232422
2003-01-03,35.19719314575195
2003-01-06,35.90960693359375
2003-01-07,35.44595718383789
2003-01-08,34.795738220214844
