Date,APD
2000-01-03,16.348268508911133
2000-01-04,15.850029945373535
2000-01-05,15.943449020385742
2000-01-06,17.0021915435791
2000-01-07,18.185501098632812
2000-01-10,17.064476013183594
2000-01-11,16.285991668701172
2000-01-12,16.566242218017578
2000-01-13,16.441673278808594
2000-01-14,16.130285263061523
2000-01-18,15.351799964904785
2000-01-19,15.382942199707031
2000-01-20,14.88470458984375
2000-01-21,14.417610168457031
2000-01-24,15.040398597717285
2000-01-25,15.476364135742188
2000-01-26,15.694334983825684
2000-01-27,15.382942199707031
2000-01-28,14.853567123413086
2000-01-31,14.760144233703613
2000-02-01,15.258380889892578
2000-02-02,15.133818626403809
2000-02-03,15.32065486907959
2000-02-04,15.382942199707031
2000-02-07,15.351799964904785
2000-02-08,15.040398597717285
2000-02-09,14.261910438537598
2000-02-10,13.981656074523926
2000-02-11,13.421147346496582
2000-02-14,14.293051719665527
2000-02-15,14.448753356933594
2000-02-16,13.950522422790527
2000-02-17,14.199636459350586
2000-02-18,13.483428001403809
2000-02-22,13.857104301452637
2000-02-23,13.545703887939453
2000-02-24,13.140885353088379
2000-02-25,13.01633071899414
2000-02-28,13.01633071899414
2000-02-29,12.82949447631836
2000-03-01,12.922919273376465
2000-03-02,12.704936027526855
2000-03-03,13.109747886657715
2000-03-06,12.611519813537598
2000-03-07,12.051005363464355
2000-03-08,12.362399101257324
2000-03-09,12.362399101257324
2000-03-10,12.424678802490234
2000-03-13,12.300124168395996
2000-03-14,12.393537521362305
2000-03-15,13.639120101928711
2000-03-16,14.791287422180176
2000-03-17,13.732536315917969
2000-03-20,13.950522422790527
2000-03-21,14.199636459350586
2000-03-22,13.483428001403809
2000-03-23,14.106215476989746
2000-03-24,14.417610168457031
2000-03-27,13.919380187988281
2000-03-28,13.981656074523926
2000-03-29,14.168492317199707
2000-03-30,14.415449142456055
2000-03-31,14.258742332458496
2000-04-03,15.104874610900879
2000-04-04,14.916850090026855
2000-04-05,14.885503768920898
2000-04-06,14.822823524475098
2000-04-07,14.666141510009766
2000-04-10,14.760151863098145
2000-04-11,15.512262344360352
2000-04-12,15.88831615447998
2000-04-13,15.073532104492188
2000-04-14,14.509449005126953
2000-04-17,14.979514122009277
2000-04-18,14.72882080078125
2000-04-19,13.976705551147461
2000-04-20,14.979514122009277
2000-04-24,15.825641632080078
2000-04-25,16.42106819152832
2000-04-26,15.449588775634766
2000-04-27,15.418256759643555
2000-04-28,15.574941635131836
2000-05-01,15.825641632080078
2000-05-02,16.076345443725586
2000-05-03,15.324234962463379
2000-05-04,15.543601036071777
2000-05-05,15.731634140014648
2000-05-08,15.668956756591797
2000-05-09,15.198884010314941
2000-05-10,15.637621879577637
2000-05-11,17.42387580871582
2000-05-12,17.92528533935547
2000-05-15,17.455217361450195
2000-05-16,17.07915496826172
2000-05-17,17.173173904418945
2000-05-18,17.533557891845703
2000-05-19,18.05063819885254
2000-05-22,18.348350524902344
2000-05-23,19.366823196411133
2000-05-24,18.708730697631836
2000-05-25,17.83127212524414
2000-05-26,17.267183303833008
2000-05-30,17.361202239990234
2000-05-31,17.361202239990234
2000-06-01,18.207313537597656
2000-06-02,18.27000617980957
2000-06-05,18.05063819885254
2000-06-06,17.643245697021484
2000-06-07,17.298532485961914
2000-06-08,16.922466278076172
2000-06-09,16.922466278076172
2000-06-12,16.891124725341797
2000-06-13,16.891124725341797
2000-06-14,17.267183303833008
2000-06-15,17.455217361450195
2000-06-16,17.42387580871582
2000-06-19,17.110488891601562
2000-06-20,16.170360565185547
2000-06-21,15.668956756591797
2000-06-22,15.76296329498291
2000-06-23,15.543601036071777
2000-06-26,15.606281280517578
2000-06-27,16.640432357788086
2000-06-28,16.687440872192383
2000-06-29,16.483835220336914
2000-06-30,15.538291931152344
2000-07-03,15.695880889892578
2000-07-05,15.853474617004395
2000-07-06,15.569811820983887
2000-07-07,15.254631996154785
2000-07-10,15.097046852111816
2000-07-11,15.380709648132324
2000-07-12,15.191598892211914
2000-07-13,15.569811820983887
2000-07-14,15.853474617004395
2000-07-17,15.538291931152344
2000-07-18,15.317663192749023
2000-07-19,15.097046852111816
2000-07-20,15.349193572998047
2000-07-21,15.853474617004395
2000-07-24,16.137142181396484
2000-07-25,16.45231056213379
2000-07-26,16.45231056213379
2000-07-27,16.60989761352539
2000-07-28,16.64141845703125
2000-07-31,16.830522537231445
2000-08-01,16.830522537231445
2000-08-02,16.767492294311523
