Date,SRE
2000-01-03,3.543865203857422
2000-01-04,3.5822465419769287
2000-01-05,3.6590092182159424
2000-01-06,3.7613604068756104
2000-01-07,3.684598445892334
2000-01-10,3.6462182998657227
2000-01-11,3.454310894012451
2000-01-12,3.6078362464904785
2000-01-13,3.5822465419769287
2000-01-14,3.5694541931152344
2000-01-18,3.543865203857422
2000-01-19,3.5310709476470947
2000-01-20,3.518279552459717
2000-01-21,3.5694541931152344
2000-01-24,3.518279552459717
2000-01-25,3.5310709476470947
2000-01-26,3.812533140182495
2000-01-27,3.748565912246704
2000-01-28,3.7101850509643555
2000-01-31,3.799741506576538
2000-02-01,3.8253283500671387
2000-02-02,3.838123083114624
2000-02-03,3.889296770095825
2000-02-04,3.889296770095825
2000-02-07,3.9020931720733643
2000-02-08,3.9020931720733643
2000-02-09,3.838123083114624
2000-02-10,3.838123083114624
2000-02-11,3.850917100906372
2000-02-14,3.850917100906372
2000-02-15,3.8637101650238037
2000-02-16,3.87650465965271
2000-02-17,3.838123083114624
2000-02-18,3.8349251747131348
2000-02-22,3.799741506576538
2000-02-23,3.7613604068756104
2000-02-24,3.735771417617798
2000-02-25,3.838123083114624
2000-02-28,3.7101850509643555
2000-02-29,3.684598445892334
2000-03-01,3.684598445892334
2000-03-02,3.5950427055358887
2000-03-03,3.6078362464904785
2000-03-06,3.5566623210906982
2000-03-07,3.5310709476470947
2000-03-08,3.4798970222473145
2000-03-09,3.4926910400390625
2000-03-10,3.5694541931152344
2000-03-13,3.5310709476470947
2000-03-14,3.4798970222473145
2000-03-15,3.6462182998657227
2000-03-16,3.8278775215148926
2000-03-17,3.659191846847534
2000-03-20,3.6072893142700195
2000-03-21,3.6072893142700195
2000-03-22,3.529435396194458
2000-03-23,3.5651187896728516
2000-03-24,3.6072893142700195
2000-03-27,3.6202659606933594
2000-03-28,3.555385112762451
2000-03-29,3.633241891860962
2000-03-30,3.5943140983581543
2000-03-31,3.477531909942627
2000-04-03,3.4515786170959473
2000-04-04,3.4515786170959473
2000-04-05,3.529435396194458
2000-04-06,3.529435396194458
2000-04-07,3.555385112762451
2000-04-10,3.5943140983581543
2000-04-11,3.6721699237823486
2000-04-12,3.801927089691162
2000-04-13,3.8797810077667236
2000-04-14,3.8278775215148926
2000-04-17,3.9187095165252686
2000-04-18,3.853830575942993
2000-04-19,3.853830575942993
2000-04-20,3.8278775215148926
2000-04-24,3.8278775215148926
2000-04-25,3.892758369445801
2000-04-26,3.9187095165252686
2000-04-27,3.7629990577697754
2000-04-28,3.853830575942993
2000-05-01,3.7629990577697754
2000-05-02,3.529435396194458
2000-05-03,3.7629990577697754
2000-05-04,3.9187095165252686
2000-05-05,3.93168568611145
2000-05-08,3.8408560752868652
2000-05-09,3.8797810077667236
2000-05-10,3.801927089691162
2000-05-11,3.8668053150177
2000-05-12,3.775974750518799
2000-05-15,3.93168568611145
2000-05-16,3.801927089691162
2000-05-17,3.8278775215148926
2000-05-18,3.814901351928711
2000-05-19,3.801927089691162
2000-05-22,3.892758369445801
2000-05-23,3.905733346939087
2000-05-24,3.9576382637023926
2000-05-25,3.853830575942993
2000-05-26,3.905733346939087
2000-05-30,3.905733346939087
2000-05-31,3.93168568611145
2000-06-01,3.970611333847046
2000-06-02,3.9187095165252686
2000-06-05,3.814901351928711
2000-06-06,3.853830575942993
2000-06-07,3.853830575942993
2000-06-08,3.801927089691162
2000-06-09,3.8797810077667236
2000-06-12,3.9187095165252686
2000-06-13,3.9446651935577393
2000-06-14,3.853830575942993
2000-06-15,3.9187095165252686
2000-06-16,3.938174247741699
2000-06-19,3.9578983783721924
2000-06-20,3.8921523094177246
2000-06-21,3.8921523094177246
2000-06-22,3.8264052867889404
2000-06-23,3.8527047634124756
2000-06-26,3.8264052867889404
2000-06-27,3.68176531791687
2000-06-28,3.7212138175964355
2000-06-29,3.6554667949676514
2000-06-30,3.576571464538574
2000-07-03,3.708062171936035
2000-07-05,3.6554667949676514
2000-07-06,3.7738091945648193
2000-07-07,3.7738091945648193
2000-07-10,3.865851879119873
2000-07-11,3.8921523094177246
2000-07-12,3.905301332473755
