Date,AIZ
2004-02-05,16.78014373779297
2004-02-06,16.882041931152344
2004-02-09,16.623886108398438
2004-02-10,16.542360305786133
2004-02-11,16.47443389892578
2004-02-12,16.766555786132812
2004-02-13,16.78014373779297
2004-02-17,16.712203979492188
2004-02-18,17.255693435668945
2004-02-19,17.445919036865234
2004-02-20,17.22172737121582
2004-02-23,16.678237915039062
2004-02-24,16.848072052001953
2004-02-25,16.882041931152344
2004-02-26,17.146989822387695
2004-02-27,17.486669540405273
2004-03-01,17.527435302734375
2004-03-02,17.62254524230957
2004-03-03,17.310035705566406
2004-03-04,17.12661361694336
2004-03-05,17.357589721679688
2004-03-08,17.310035705566406
2004-03-09,16.983951568603516
2004-03-10,16.746179580688477
2004-03-11,16.440460205078125
2004-03-12,16.644264221191406
2004-03-15,16.304584503173828
2004-03-16,16.460844039916992
2004-03-17,16.352144241333008
2004-03-18,16.168725967407227
2004-03-19,16.12795639038086
2004-03-22,16.100786209106445
2004-03-23,16.304584503173828
2004-03-24,16.168725967407227
2004-03-25,16.27741050720215
2004-03-26,16.372520446777344
2004-03-29,16.55595588684082
2004-03-30,16.793731689453125
2004-03-31,17.08584976196289
2004-04-01,17.153789520263672
2004-04-02,17.133407592773438
2004-04-05,17.330425262451172
2004-04-06,17.62254524230957
2004-04-07,17.479881286621094
2004-04-08,17.812767028808594
2004-04-12,17.581790924072266
2004-04-13,17.153789520263672
2004-04-14,17.113025665283203
2004-04-15,17.153789520263672
2004-04-16,17.350801467895508
2004-04-19,17.479881286621094
2004-04-20,17.357589721679688
2004-04-21,17.11981964111328
2004-04-22,17.11981964111328
2004-04-23,17.00433921813965
2004-04-26,16.916011810302734
2004-04-27,17.099445343017578
2004-04-28,16.983951568603516
2004-04-29,16.793731689453125
2004-04-30,16.549158096313477
2004-05-03,16.983951568603516
2004-05-04,16.814115524291992
2004-05-05,16.773344039916992
2004-05-06,16.746179580688477
2004-05-07,16.372520446777344
2004-05-10,16.304584503173828
2004-05-11,16.481231689453125
2004-05-12,16.57633399963379
2004-05-13,16.977155685424805
2004-05-14,16.983951568603516
2004-05-17,16.55595588684082
2004-05-18,16.875246047973633
2004-05-19,16.814115524291992
2004-05-20,17.032127380371094
2004-05-21,16.98443603515625
2004-05-24,17.032127380371094
2004-05-25,16.793670654296875
2004-05-26,16.895862579345703
2004-05-27,16.759601593017578
2004-05-28,17.100244522094727
2004-06-01,17.141128540039062
2004-06-02,17.304637908935547
2004-06-03,17.461332321166992
2004-06-04,17.57715606689453
2004-06-07,17.40682601928711
2004-06-08,17.427268981933594
2004-06-09,17.38639259338379
2004-06-10,17.345521926879883
2004-06-14,17.338695526123047
2004-06-15,17.49539566040039
2004-06-16,17.39319610595703
2004-06-17,17.563526153564453
2004-06-18,17.270572662353516
2004-06-21,17.236507415771484
2004-06-22,17.236507415771484
2004-06-23,17.22288703918457
2004-06-24,17.338695526123047
2004-06-25,17.706592559814453
2004-06-28,17.849658966064453
2004-06-29,18.03360939025879
2004-06-30,17.9722900390625
2004-07-01,17.917797088623047
2004-07-02,17.761089324951172
2004-07-06,17.611207962036133
2004-07-07,17.713409423828125
2004-07-08,17.611207962036133
2004-07-09,17.611207962036133
2004-07-12,17.69296646118164
2004-07-13,17.713409423828125
2004-07-14,17.563526153564453
2004-07-15,17.35232162475586
2004-07-16,17.359140396118164
2004-07-19,17.40682601928711
2004-07-20,17.359140396118164
2004-07-21,17.331886291503906
2004-07-22,16.82773780822754
2004-07-23,16.555227279663086
2004-07-26,16.28270149230957
2004-07-27,16.77323341369629
2004-07-28,16.643783569335938
2004-07-29,16.623348236083984
2004-07-30,16.623348236083984
2004-08-02,16.875423431396484
2004-08-03,17.13431167602539
2004-08-04,17.066177368164062
2004-08-05,17.48176383972168
2004-08-06,17.47495460510254
2004-08-09,17.60439682006836
2004-08-10,17.67934226989746
2004-08-11,17.50902557373047
2004-08-12,17.141128540039062
2004-08-13,17.100244522094727
2004-08-16,17.236507415771484
2004-08-17,17.47495460510254
2004-08-18,17.611207962036133
2004-08-19,17.6248779296875
2004-08-20,17.6248779296875
2004-08-23,17.700027465820312
2004-08-24,17.754667282104492
2004-08-25,17.74100685119629
2004-08-26,17.659027099609375
2004-08-27,17.63170623779297
2004-08-30,18.034767150878906
2004-08-31,18.130393981933594
2004-09-01,18.26018714904785
2004-09-02,18.342164993286133
2004-09-03,18.068912506103516
2004-09-07,18.034767150878906
2004-09-08,18.01426887512207
2004-09-09,17.966449737548828
2004-09-10,17.986942291259766
2004-09-13,17.966449737548828
2004-09-14,18.103071212768555
2004-09-15,18.376325607299805
2004-09-16,18.342164993286133
2004-09-17,18.349002838134766
2004-09-20,18.164552688598633
2004-09-21,18.191871643066406
2004-09-22,18.055253982543945
2004-09-23,18.31483268737793
2004-09-24,18.171377182006836
2004-09-27,18.034767150878906
2004-09-28,17.843488693237305
2004-09-29,17.911792755126953
2004-09-30,17.761503219604492
2004-10-01,17.72734832763672
2004-10-04,18.103071212768555
2004-10-05,18.096237182617188
2004-10-06,18.103071212768555
2004-10-07,18.048419952392578
2004-10-08,18.068912506103516
2004-10-11,18.376325607299805
2004-10-12,18.547109603881836
2004-10-13,18.048419952392578
2004-10-14,17.488258361816406
2004-10-15,17.41993522644043
2004-10-18,17.652198791503906
2004-10-19,17.208158493041992
2004-10-20,17.310630798339844
2004-10-21,17.52240562438965
2004-10-22,17.52240562438965
2004-10-25,17.55656623840332
2004-10-26,18.034767150878906
2004-10-27,17.89812660217285
2004-10-28,18.103071212768555
2004-10-29,18.430978775024414
2004-11-01,18.26018714904785
2004-11-02,18.26018714904785
2004-11-03,18.13722038269043
2004-11-04,18.51294708251953
2004-11-05,19.36686897277832
2004-11-08,19.879222869873047
2004-11-09,19.933870315551758
2004-11-10,19.94753646850586
2004-11-11,19.776762008666992
2004-11-12,19.81090545654297
2004-11-15,19.83823013305664
2004-11-16,20.22079086303711
2004-11-17,20.18663215637207
2004-11-18,20.104467391967773
2004-11-19,20.029136657714844
2004-11-22,20.17293357849121
2004-11-23,20.214017868041992
2004-11-24,20.193477630615234
2004-11-26,20.193477630615234
2004-11-29,19.994901657104492
2004-11-30,20.54270362854004
2004-12-01,20.200326919555664
2004-12-02,20.453689575195312
2004-12-03,20.52216148376465
2004-12-06,20.337276458740234
2004-12-07,20.4126033782959
2004-12-08,20.576940536499023
2004-12-09,20.433149337768555
2004-12-10,20.748126983642578
2004-12-13,21.15898895263672
2004-12-14,21.22746467590332
2004-12-15,21.008329391479492
2004-12-16,20.88507843017578
2004-12-17,20.94670867919922
2004-12-20,21.124746322631836
2004-12-21,20.87823486328125
2004-12-22,20.679664611816406
2004-12-23,20.88507843017578
2004-12-27,20.679664611816406
2004-12-28,20.748126983642578
2004-12-29,20.73444366455078
2004-12-30,20.71389389038086
2004-12-31,20.91931915283203
2005-01-03,21.02203369140625
2005-01-04,20.611183166503906
2005-01-05,20.43998908996582
2005-01-06,20.953554153442383
2005-01-07,20.802907943725586
2005-01-10,20.679664611816406
2005-01-11,20.71389389038086
2005-01-12,20.529010772705078
2005-01-13,20.563251495361328
2005-01-14,20.960411071777344
2005-01-18,21.200077056884766
2005-01-19,20.89192771911621
2005-01-20,20.953554153442383
2005-01-21,21.467130661010742
2005-01-24,21.20691680908203
2005-01-25,21.432893753051758
2005-01-26,21.70679473876953
2005-01-27,21.645166397094727
2005-01-28,21.652008056640625
2005-01-31,22.275136947631836
2005-02-01,22.59012794494629
2005-02-02,22.692846298217773
2005-02-03,22.68599510192871
2005-02-04,22.994131088256836
2005-02-07,23.110538482666016
2005-02-08,23.144777297973633
2005-02-09,22.9256591796875
2005-02-10,22.665451049804688
2005-02-11,23.24749755859375
2005-02-14,23.439224243164062
2005-02-15,23.13108253479004
